milliseconds,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s20,s21,s19
0,1.0,1.0,13.88749138037251,104.02297631524524,108.50058114172026,1.7942779651141199,24.98973973322637,68.8352785838964,1.0015951184452851,17.751171239923508,-0.05428473270773036,1.0,0.7684811409671752,0.16836544439131623,0.06776036865981097,-0.5089597675819378,0.005004918122659449,0.0003824635764248131,-0.0012375506418352176,-0.1992284839963627,-0.029684395654248134
100,1.0,1.0,14.300153610822333,104.68967973998684,109.11308413683871,1.787915695769163,24.98182034369058,68.74076317132784,1.0069362226031404,17.80470465344862,0.02692457653243136,1.0,0.7669940875670491,0.2305554135368058,0.07036901007604837,0.07134728245168287,0.00945564827838621,-0.0032967423880214774,-0.00016631124185816125,-0.004457717902042246,-0.04281625485353873
200,1.0,1.0,14.232557585524507,105.57546957005931,110.50835663887253,1.7862988765141783,24.985593702085932,68.66191757741734,1.0034255996075743,17.775398313130236,0.30194133497705833,1.0,0.7674429302012109,0.1261236358965109,0.3003034347952466,-2.4684397152590067,0.009821529510194344,-0.004268363257617034,0.0020983326099173016,-0.433775664428224,-0.059075663481063606
300,1.0,1.0,14.465328432272893,105.86208697941545,109.73320335064554,1.7849452490787885,24.87279859601688,68.20876080028229,1.0089139897119783,17.89215004576061,0.38377627041611084,1.0,0.7641155317900681,0.44087002833040473,0.5289144939152427,-3.1723619972927195,0.007753631118775738,-0.006401879254367791,0.0021676793663592143,-0.5774257064851697,-0.13976513059772813
400,1.0,1.0,14.538572470265212,106.0698748055387,110.76449145092391,1.7851624205176704,24.561507539525092,68.46237897104444,1.0087223182078529,17.85550359584269,0.30723772668682625,1.0,0.7643300780090623,0.5171667473424059,0.6453754622657699,-3.4623979634056763,0.015485595923262733,-0.012897642191328086,0.005276216319749963,-0.5847320635665315,-0.187860372361924
500,1.0,1.0,14.669208705083383,107.52256044334183,110.90680520906827,1.771519738746375,24.599893655627486,68.07599612765685,1.0168084698245783,17.893225783653957,0.3953457855717578,1.0,0.7646747729949861,0.5913261224671001,0.6465958497646581,-3.0406129209910375,0.017630004833004292,-0.01586935785394471,0.004048078661844504,-0.743517087815581,-0.16192465879210882
600,1.0,1.0,14.930956650308525,108.15997513462526,113.25664864299017,1.769019398217541,24.541499600237426,67.9131161036732,1.0202457782403878,18.01053305976719,0.5947397116281051,1.0,0.7606902026545963,1.1185074111682198,0.9948236670561582,-3.8167095726853177,0.018597546273451525,-0.020839186291435097,0.006194413740895875,-0.8606651090279879,-0.26253634755919913
700,1.0,1.0,14.959351231716527,107.90563604913324,112.84393486299918,1.7626388910826425,24.196600428413618,67.80898526891282,1.020184145619659,18.004678750350482,0.7149554384966654,1.0,0.7623375618212798,0.8639926026079199,1.0497702462726386,-4.7456431668905035,0.028580603040676403,-0.01884119588288811,0.00913587073202235,-1.0411519177556623,-0.2864723971038179
800,1.0,1.0,15.283005454683375,108.6602881022601,113.1634768808664,1.7668203883203188,24.069715322902248,67.70210508302051,1.0233362019047332,18.03985111608327,0.8287863923554893,1.0,0.7590148547529776,1.0550588137988657,1.1822166090056185,-7.07946640132474,0.035699514032760615,-0.02419611217894129,0.009709446066002495,-1.2861633898389546,-0.2461770921719088
900,1.0,1.0,15.100546944448727,109.76687161377043,115.59563239784853,1.7596678792950755,24.068315164158257,67.72116968466887,1.0278011609992843,18.038458345662264,0.6495361036650422,1.0,0.7572640645440784,1.4890967989333048,1.3402871792543154,-5.947607232488585,0.03986481868425882,-0.022968483375158652,0.009361927232005938,-1.0685464770217272,-0.34247799509252635
