milliseconds,s118,s119,s120,s122,species_3,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_18,species_19,species_20,species_21,species_22,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,s126,s135,species_74,species_75,species_76,species_78,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_90,species_91,species_98,species_99,species_100,species_101,species_104,species_105,species_106,species_107,species_108,s138,s139,s140,species_92,species_94,species_95,species_96,species_97,species_102,species_103,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30
0,-2.5148110584496143e-10,8.49672084953342e-21,3.6196811575704184e-18,-7.403405063064673e-21,0.0,11.910813484831866,-0.0645218185106205,0.0,0.0,0.0,0.0,999.9999999983415,3.82940686340906e-10,0.0,-9.198123224863138e-19,0.0,0.0,-1.9099494489496678e-13,3.464256489005585e-33,50.00000000001239,6.653070054387674e-11,-6.1395426456883106e-21,-1.0847936550630378e-29,84.74008394799803,0.0,0.0,34.613989021473046,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.28070505074472674,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-1.207502505758789e-22,9.11078085591896e-20,40493.0,0.0,0.0,0.13745941962935604,0.0007545520124301919,5.767501798782738e-06,-7.318186155387486e-09,-2.1769476972400412e-08,1000.0000000166676,-2.245370486488019e-09,2.2851793343985e-18,1.4994255630345567e-17,-6.354735971134538e-10,-8.033044022900326e-11,-9.958422122972747e-13,4.462103181401049e-31,-6.72727176483539e-32,-2.095510410491454e-41,-2.209263804232996e-19,9.615911704386544e-41,7.015687964487162e-43,1.845905714054906e-46,11.855733864154388,100.00000000023026,0.0,0.0,11.906143949360226,-8.654661434479946e-21,6.175060345386357e-23,1.6555855350222442e-21,-2.3116125928389577e-25,-9.624612878408859e-26,2.233933723435335e-22,-4.185572127769488e-25,1.4712768314434257e-21,60.0,4.291835467852085e-23,-3.366145527157283e-22,2.691526167103293e-24,1.6583342350923965e-25,-3.586719254411979e-27,3.99214526292792e-26
100,-3.654554044544058e-10,-2.1050635603640423e-20,1.8957516528303466e-18,2.8302221687770755e-21,0.0,10.725081750039967,0.0827480635878022,0.0,0.0,0.0,0.0,1000.0000000018388,1.2176918981155642e-09,0.0,-5.308882773919889e-19,0.0,0.0,2.1468577380676248e-13,2.6758539006743307e-32,49.999999999688704,6.393852733335319e-11,8.866275750676108e-21,-5.733244954709838e-31,83.2129689110878,0.0,0.0,32.89350381320902,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.5198448891387127,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-9.340226440842163e-23,-7.847764509913073e-20,40493.0,0.0,0.0,1.0680953132929687,-0.0021239978521803418,-5.8901110576469506e-06,3.0466855726425222e-09,-1.6971673383876937e-09,1000.0000000058976,-2.8777757725135375e-09,-2.4568744966367217e-18,1.5151594846694947e-17,-4.746904394593303e-10,1.620181554006257e-10,-1.040954016812608e-12,7.269433173957377e-29,5.189816401824356e-32,-1.1610766760431196e-40,3.085067864518764e-19,1.3003085497881733e-40,-1.091369020666576e-43,2.303222941168908e-46,10.558696802833234,100.00000000054816,0.0,0.0,11.80532806586415,-2.3697515483950276e-20,2.788103187415857e-23,-2.5578544862986053e-22,3.8861971203629887e-25,-2.1710984895025276e-25,-1.392706217403557e-22,-9.244029162313128e-25,3.4452749078037556e-22,60.0,7.60557664911842e-24,-1.8951530158432131e-22,4.840803149725851e-26,7.750911864523825e-26,5.318814514823927e-26,-2.3507353722806224e-26
200,-1.7240123252835322e-10,-3.284892917723524e-20,5.128507303217045e-18,-2.3355891856973818e-21,0.0,9.78851912721212,0.08910184744353059,0.0,0.0,0.0,0.0,999.9999999974465,2.0089955187358793e-09,0.0,-7.96681189439796e-20,0.0,0.0,-5.1011288988697217e-14,7.21231519376951e-33,50.00000000012503,7.951350438740169e-12,3.589396560786816e-21,-9.261204665750398e-30,81.893279526925,0.0,0.0,32.10057708961218,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,1.7468576982912798,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,1.1116732935076443e-22,-9.942621136706477e-21,40493.0,0.0,0.0,2.4564409615267833,-0.0012618050536939234,-3.165090638348521e-06,-7.20680559436364e-10,-2.6639645852125903e-08,999.9999999876151,9.332829807514501e-09,3.870731207833453e-18,1.717525068911216e-17,-3.2190439167083955e-10,2.612057037575821e-10,-1.0878976121045621e-12,9.062524023274075e-29,2.546365163116455e-31,1.2507740173008283e-40,-1.8031102974640333e-19,-1.791792410967032e-40,1.991094207757479e-42,-2.4452327460438228e-47,9.603626968743605,99.99999999985197,0.0,0.0,11.821941599707035,1.5134521266510874e-20,1.579656422943784e-22,-1.4503487093246325e-21,-7.919936334563966e-26,8.96511421367421e-26,-2.16754049362783e-22,6.333905154536031e-25,-2.115708059188143e-21,60.0,6.851418548522206e-24,-2.568571722107191e-22,6.828095696823993e-24,1.442020411729026e-25,-4.372355052586745e-27,3.2528518687852424e-26
300,4.131751425907056e-10,-1.6244939396217385e-20,1.2909432842617996e-18,2.4626857902909507e-21,0.0,8.813823148617216,0.31917060106491607,0.0,0.0,0.0,0.0,1000.0000000007176,1.3599215250067095e-09,0.0,-5.754629920054907e-19,0.0,0.0,1.3911334535259517e-13,-7.439313606120003e-33,50.00000000012146,-5.032032765421763e-11,1.8547779673668568e-20,-8.281967208166017e-30,80.95594172880132,0.0,0.0,30.55753921109794,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,3.4142202978175225,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-4.0592861717183336e-23,2.835612982455234e-20,40493.0,0.0,0.0,3.1086613930850997,0.0019705895939796172,4.5556073902501883e-07,-1.3517276286168926e-09,1.288122910525539e-08,999.9999999727974,2.747716860056598e-09,-2.809290465731401e-18,4.5715238007087434e-18,-2.525130249871491e-10,2.3526331231175385e-10,-1.0044380235218056e-12,-4.989488045233631e-29,-1.2387733349227174e-32,1.0499765029323975e-40,1.568105533092523e-19,8.797500048933334e-41,2.006025442026779e-42,8.944873382855166e-47,9.010077346863294,99.99999999988316,0.0,0.0,11.671288410023669,3.323695148022452e-20,1.3773742555713337e-22,-1.1339086450493552e-20,-3.36443921520217e-25,-2.4828786776179703e-25,2.1861134690167175e-22,6.340542286893754e-26,1.6082014823739963e-21,60.0,-3.0330155886068844e-23,-2.244874050421788e-22,6.375583256409301e-25,7.16209925405226e-26,-3.037264024070578e-26,-2.4433573413030583e-26
400,6.107358975351515e-10,-2.7912071355345016e-20,-3.10903570636815e-18,7.262427951235157e-22,0.0,7.925299476366627,0.3935624134034911,0.0,0.0,0.0,0.0,1000.000000000205,1.9236670492727434e-09,0.0,2.7939182092659903e-19,0.0,0.0,1.537169124509635e-13,2.3983539052270706e-32,49.999999999791235,3.535826391021034e-11,1.2661611232199761e-20,-1.6151402812381523e-29,79.82173700748025,0.0,0.0,29.60859134799478,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,4.778817310826097,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,1.6810590213322297e-22,-5.475008065085158e-20,40493.0,0.0,0.0,3.9385786638419424,-0.0004950951900409453,-2.9242977450803918e-06,-5.49890459210817e-09,1.0281875813409077e-08,999.9999999726407,-6.024455931347296e-09,-2.5025483097466397e-18,-9.628374430914019e-18,-6.05281868224614e-10,-1.352349072220441e-10,9.606376466182286e-14,3.339930931316867e-30,1.68974230911745e-31,1.0356042327658548e-40,-1.323535792664431e-20,-1.1185588541644172e-40,-1.959693700397185e-42,-3.02960641395574e-46,8.025964164345556,100.00000000052681,0.0,0.0,11.650344273924484,-6.250933395002228e-21,-2.9920386869231504e-23,2.0513169025716924e-22,-3.5050696375084213e-25,-3.359024536581793e-26,4.0328762740391333e-22,-2.326473830273175e-25,-1.0639017404326392e-21,60.0,8.728829856469302e-24,4.338492067987701e-22,-2.2697701170905187e-25,3.2311566270981987e-26,-9.186145511652104e-27,-1.6524462114562454e-27
500,-2.96774203110008e-10,-1.9758419432037697e-20,1.9927134854140136e-18,-7.741137042277225e-21,0.0,7.482444899693859,0.5302216861094297,0.0,0.0,0.0,0.0,999.9999999980016,3.117464830445685e-10,0.0,1.0842343537441885e-18,0.0,0.0,-1.6932754506345787e-13,3.202572942393495e-32,49.99999999964528,4.418385417767316e-11,6.895810574290415e-21,1.2309207114823534e-29,79.75575950488528,0.0,0.0,27.576542276348484,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,5.411388956182451,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,4.36836212471006e-23,5.764848958690158e-20,40493.0,0.0,0.0,4.366801365607492,0.0014945321849244694,1.444506997806e-07,-2.5938421981742384e-09,2.5720913501038995e-08,1000.0000000319908,1.856177991710299e-09,2.9276954585793953e-18,-1.7873412407018977e-17,6.197709672651981e-10,6.152464980477975e-11,-1.1816682671072237e-12,-3.3445696378719867e-29,-4.081935079853051e-32,-4.60323159662587e-41,1.089237972199e-19,1.1487733195173879e-40,8.940229535841054e-43,3.696380637093639e-46,7.572014865076053,100.00000000006499,0.0,0.0,11.525522403403937,-1.0882355912403178e-20,-1.9313737933045734e-22,1.173540353123376e-20,-4.950957091312271e-25,2.571578039313933e-25,3.798160269611201e-22,-8.355765231558989e-25,-1.902950719727049e-21,60.0,-4.068164611230243e-23,-1.0815671627906582e-22,-3.979438625298423e-25,1.3962669483414619e-25,-2.1081968823777468e-26,-2.3412539100832194e-26
600,-1.6734344122987903e-10,-1.356059271813644e-20,8.157241716479194e-20,-5.835918233658299e-21,0.0,7.133127784953486,0.5833236976092997,0.0,0.0,0.0,0.0,999.999999997722,-6.833295847885543e-11,0.0,-5.703877780370743e-19,0.0,0.0,-2.5094063810757825e-13,3.2043266543373456e-32,50.00000000001208,-4.031449037366717e-11,1.5084283544013298e-20,2.5787648899091174e-30,78.4128446757729,0.0,0.0,27.7344915318803,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,6.29115765957243,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-1.4619890524367802e-22,7.383277622384196e-20,40493.0,0.0,0.0,5.045404133148715,0.0025493440127745807,-1.900398079684151e-06,3.804222009893507e-09,-2.2206739057766887e-08,1000.0000000182173,-5.023523554188369e-09,-6.489659848291706e-19,9.236722339038237e-18,4.4789982891718753e-10,-2.8707111607336753e-10,4.090034319387804e-14,7.396780158482059e-29,-2.2448471598710333e-31,1.0735331690379962e-41,-1.781210157680987e-19,-1.5531877171918298e-40,6.194323037349423e-43,-6.932488067714602e-47,7.095498586977135,100.00000000021117,0.0,0.0,11.508866070749862,1.5498152072046173e-20,1.8360549937940653e-22,9.214587813047502e-21,-5.080698852483843e-25,2.3787275437713397e-25,5.668627082536232e-22,2.261275213941895e-25,1.6603677131828118e-21,60.0,-1.8094769712051537e-24,2.0112965898645155e-22,6.200141076680639e-24,-3.0869312432605945e-26,7.238840921375984e-26,-4.8833406776374967e-26
700,1.5771694572735642e-10,2.859301583987918e-21,-2.972068769965526e-18,-6.164578038139518e-21,0.0,6.636615146417746,0.7334570440329533,0.0,0.0,0.0,0.0,1000.0000000026323,-1.6534611803419756e-10,0.0,3.580207102454368e-20,0.0,0.0,8.166704543979793e-14,3.720132953360115e-32,50.0000000000393,-6.368812758244708e-11,-1.0654317980743215e-20,1.554425893305321e-29,77.71620657149055,0.0,0.0,26.05842691440021,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,7.518402954660196,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,1.464758560565304e-22,6.352509871109928e-21,40493.0,0.0,0.0,5.51708119777152,0.003797573405404529,-5.82785345200665e-06,-4.032744919358258e-09,-2.5112669373577947e-08,999.9999999698791,-7.226254582110647e-09,-1.4693303291254462e-19,2.0610477455290622e-17,-2.706269983677574e-10,1.49291748706758e-10,3.197755717659221e-13,-1.9676008310181347e-29,-1.8121584677118706e-31,-2.982218487571626e-41,5.584699323532058e-20,1.888661897478041e-40,-2.0395257047206654e-42,-3.4920478703307745e-46,6.7860920626293435,100.00000000025858,0.0,0.0,11.264268058198951,-8.973863115688382e-21,4.3598527521844124e-23,-6.69623572867753e-21,3.906317547192474e-25,-2.9293871200284505e-26,3.684989081068606e-22,1.9510631611312761e-25,1.9505740165939644e-21,60.0,-3.539629380451679e-23,2.2876945539463654e-22,-1.3201081831038927e-24,7.575433227794621e-27,-5.600267361122578e-27,1.2797011921635653e-26
800,1.4114927469867578e-10,-3.026949880521627e-21,1.6617268391692503e-18,6.859710852098187e-21,0.0,6.186149874285775,0.7206896115543208,0.0,0.0,0.0,0.0,1000.000000002147,1.4121892424404984e-09,0.0,8.99050612482845e-19,0.0,0.0,-7.298089410637957e-14,-7.02834418060227e-33,50.0000000001499,3.3095191809744476e-11,-5.657411654279599e-21,9.77010029380132e-30,76.36477159781597,0.0,0.0,26.005862546095393,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,8.89337716542285,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-5.512186648939036e-23,7.093005077096717e-20,40493.0,0.0,0.0,5.861598051665509,0.00417770532719635,6.755592307809785e-06,5.9098607302679456e-09,-1.2072876392331624e-08,999.999999988849,-2.9119759691185405e-10,1.6605677990167527e-18,5.817212122764281e-18,-3.2133519454869935e-10,7.612150996314845e-11,8.346246236100744e-13,5.274269453121037e-30,-2.681807924196724e-31,1.425241105382846e-41,3.272951882267024e-19,-1.848247719597807e-40,-1.268158046496654e-42,-3.0209591435123325e-46,6.344427122733435,99.99999999951994,0.0,0.0,11.301045962969603,-8.704036187465116e-21,-1.1696862191948004e-22,4.3418259611788735e-21,-3.531575658200488e-25,-2.178301853644835e-25,2.20418273022722e-22,-7.894577108145131e-25,-7.892539501549972e-23,60.0,4.177047831512122e-23,-4.9308401325228474e-23,-5.190703673018636e-24,-1.623724160524538e-25,-3.820277040484609e-26,2.6008278549830405e-26
900,2.0812511847056146e-11,-5.817936016179778e-21,-4.611304146451431e-19,-5.433817224612424e-21,0.0,5.861116516386549,0.7199756727992708,0.0,0.0,0.0,0.0,999.9999999989105,-1.0321677349826872e-09,0.0,6.96402729364596e-19,0.0,0.0,-1.805100595063653e-14,-4.3992082148569693e-32,49.999999999981156,-1.12928033566804e-11,-9.468106074427682e-22,-6.150085753884153e-30,75.48166345867082,0.0,0.0,24.20386516597616,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,9.308119871503848,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,-1.2638744758330292e-22,-2.582730303656943e-20,40493.0,0.0,0.0,5.897499596172269,0.005421692189664374,5.332656982959391e-06,7.818539501696929e-09,2.458020963167873e-08,999.99999998688,4.959776700448658e-09,1.5012217825222849e-18,-1.1247731468377581e-17,-3.8082758134253925e-10,-2.866774398135126e-10,-1.1706024205941881e-12,1.2755759277585703e-29,-2.347507121016666e-31,-4.569099405658486e-41,1.4613704704569898e-19,-1.0988347311480842e-40,1.961536003557726e-42,5.358052168021562e-48,5.801933493851746,100.000000000169,0.0,0.0,11.113686252319521,-6.302625859265053e-21,-1.182430070166129e-22,-7.879166121020424e-21,-2.2531356438562053e-25,1.9495798335761935e-25,-5.903769406092158e-22,-4.844566756418921e-25,3.8134175051137892e-22,60.0,-1.3938397638583477e-23,1.2827632252972705e-22,4.419201263574095e-24,1.357422905571639e-25,-4.0761144917013806e-26,3.764152822964285e-26
