milliseconds,CS,CD,CDCS,UVR8M,UCS,UVR8D,RUP,UR,UVR8_M,COP1,HY5,FHY3,DWD,CDW
0,0.44894279578693885,9.898854924864715,1.9798807066205626,0.5021622517678735,-0.021255804499050363,19.734317839621905,0.47037060817174414,0.2640606078783301,0.0,4.2,0.16598824028987913,5.0,20.045862316069606,0.04111390501720536
100,1.804848499738704,0.2276298440535387,0.010831418021176894,35.5884246994942,1.453043972940716,0.2358320312859366,0.02573731534329543,0.6776539033021995,0.0,4.2,0.4287907407511751,5.0,8.110717707175407,11.792524616670404
200,2.1998210998222967,0.24064422100372967,0.00865245907398944,34.537187694025256,1.5601215007687057,-0.13602921497388815,-0.3194980509576707,1.1369626806257678,0.0,4.2,0.5256232936976519,5.0,8.02464989071992,11.834942229674052
300,1.5986182315833621,0.301972518748314,-0.020218019885640277,33.282603222852316,1.7191288253563737,0.2438868636027024,0.11929931203293057,3.3194739976893786,0.0,4.2,0.6194541160212843,5.0,8.299698619985936,11.953677510757647
400,2.3240504513309634,0.20044085531674982,0.01659619588114495,32.10837817533945,1.861942228656033,0.295196160659273,-0.7750915545677489,3.987835319428669,0.0,4.2,0.7995046972041953,5.0,8.206981364379702,11.969126724146287
500,2.0560511762585905,0.08414659542042448,0.0039949546278115105,31.25251154392668,1.910028677615603,0.2409756653282451,-0.3252551252409936,5.301812408957185,0.0,4.2,0.835881115764868,5.0,8.13326268099274,11.890361007825655
600,2.5583172232846105,0.07722443065095715,-0.0034111826335146084,30.430074522979556,2.038969566204572,0.2498281405665622,1.2883970083841618,5.391598052315964,0.0,4.2,0.9348380996501836,5.0,8.152014163863877,11.928648598957075
700,2.8919762881700506,0.03639475207861434,0.004130541456392361,27.369363716536192,2.1384688084501158,0.4230085321327637,0.43294621486954854,7.262519250199177,0.0,4.2,1.024677487787618,5.0,8.008850856263274,11.841745297479513
800,3.129537113788138,0.27341076858798985,-0.01186829669298212,27.522293054172998,2.2170607043991977,0.11831460322739087,0.5193467989448155,8.823482161767407,0.0,4.2,1.1680992113249242,5.0,8.277966742138863,11.783062771609046
900,2.6517536149169794,0.24301469691728128,0.006580169209174444,26.124663635408552,2.329364948387917,0.17461050878561687,0.3242784189631559,10.094726780308271,0.0,4.2,1.1516447986125136,5.0,8.148860524154776,11.692205250371718
1000,2.885613931745328,0.15074763284546547,-0.010644476886853287,23.684840739540746,2.4378287604767155,0.5170488543073686,0.2938835619180774,9.814468840887152,0.0,4.2,1.3298811676399827,5.0,8.068273679044676,11.903381017771721
1100,3.312334666922692,0.1102162809810388,0.013511666032074602,22.124793689761766,2.47096223635671,0.46031936450149424,0.6779157028276341,12.312440975531365,0.0,4.2,1.4711914549374145,5.0,8.107010718285782,11.749443381068748
1200,4.226642513027688,0.3030638029624984,-0.011746385682668274,22.133555805427477,2.552795227098042,0.3574793076853572,1.4352433415248986,12.214035128135897,0.0,4.2,1.5994012019536783,5.0,8.189886656693634,11.677466278905293
1300,3.9754159569614194,0.291089775060261,0.004865407599320031,20.62454885690427,2.653372704591717,0.79419319460005,1.4031804816114906,13.913943215011546,0.0,4.2,1.6807914844822551,5.0,8.096608848274782,11.939588783046633
1400,4.661636522663795,0.07787718548945936,0.020382373475001905,17.954203432523247,2.692702658718749,0.6580173531813294,2.6502241402218707,14.1196849560058,0.0,4.2,1.6925084874234593,5.0,8.336878169019124,11.963985440765185
1500,4.66322920156108,0.12652160898762088,0.025471024711158054,17.152015195762583,2.737954105070301,0.9532858887907971,4.13430645086652,15.461871969691938,0.0,4.2,1.7199173375796786,5.0,8.19300724932128,11.793312673570014
1600,5.456615835747422,0.17069000735446557,0.022479519539315575,17.14241814675414,2.6922934862297483,0.8130039902891845,3.357535183308961,16.75025575465132,0.0,4.2,1.8470464848559416,5.0,8.269098369242284,11.907372277480063
1700,5.116526601727067,0.2425008768304786,0.02376616896013695,16.340738851636118,2.697602418016124,1.028025407769515,4.787157328026299,17.570051870146166,0.0,4.2,1.8822979543813767,5.0,8.09502516479049,11.884701668636486
1800,5.925135691183856,0.27230209350539847,0.020840978210841507,14.976029187079748,2.725712626329789,1.3115240790396356,4.230435772535696,17.25864434853562,0.0,4.2,2.0704801205661063,5.0,8.106673816764964,11.792276912688745
1900,5.9496733853927575,0.26332937986942073,-0.00038559611765671617,14.537815725589068,2.7909951284028294,1.1631265665283421,4.914841189019742,18.963633152965393,0.0,4.2,2.1629407065591875,5.0,8.13417112154361,11.82648534164492
2000,6.83107652112273,0.11271093062783534,0.03431214217578366,13.8030089361312,2.767525319698363,1.2766087818840566,7.159883278953757,18.71607748847573,0.0,4.2,2.125024314092944,5.0,8.246761574764125,11.878878219686735
2100,7.007385267095062,0.27345192559124226,0.0064053401407607406,12.763969382210881,2.736618916559442,1.5729093439612498,7.754450034321469,19.774976562098928,0.0,4.2,2.215940109946206,5.0,8.231928776790339,11.893238399528354
2200,7.4080284878096325,0.2120032497113618,0.02519043971039621,11.61782236503839,2.7509830303594978,1.5585737914260334,9.12746142130543,20.85576663546589,0.0,4.2,2.3012397821818116,5.0,8.033646159470072,11.961812451888441
2300,7.110088016815441,0.1375820258331732,-0.0028100843275648407,10.993603602759448,2.685028953719251,1.4194124774977765,10.016795919244299,20.977139453273672,0.0,4.2,2.4635031787567585,5.0,8.101421735214013,11.7907584874606
2400,7.672039965210248,0.2464570934052939,0.035592896001359134,10.521385122869432,2.731800364569059,1.6592408393540323,10.257010414201908,21.301519663121805,0.0,4.2,2.4589066512438413,5.0,8.111909518030114,11.875852548551899
2500,8.48219262748743,0.29151899991286334,0.006780855588320635,9.07680020835805,2.6670317776055374,1.4250545499577438,11.209755821269718,21.82315868549489,0.0,4.2,2.620244844803299,5.0,8.035151765886063,11.719256580783293
2600,8.274976129297874,0.2233545712481831,-0.0006926215875145154,9.648429948450003,2.619789298836943,1.8934148965383453,12.146767110375283,21.148497537922143,0.0,4.2,2.623268965213623,5.0,8.182597922973402,11.766846598863872
2700,9.159431287328188,0.27662231222175226,-0.007714290842721964,8.521067608340559,2.59682200612119,1.5110672682987023,12.51240748928457,22.248914037968714,0.0,4.2,2.6516121972257136,5.0,8.205009039345013,11.713481100569997
2800,9.221039066165767,0.2764417451123029,0.035912664892521554,9.230795562422768,2.597048527573708,1.538834318407089,12.796531901727288,22.371010736358354,0.0,4.2,2.866560133511858,5.0,8.210049894423802,11.953886660221906
2900,9.678909283207467,0.11165639610495692,0.014892295719947978,8.825205748212817,2.5939967066340164,1.8921205324607777,14.336391075320073,22.22914785432018,0.0,4.2,2.882253273357112,5.0,8.339347285981981,11.715187484595631
3000,10.207428177772726,0.10742379505997508,0.010492137001514494,7.279570497283945,2.550093018974567,1.629510779344097,14.999941111637826,22.610759317911345,0.0,4.2,2.923604764850269,5.0,8.087023449413083,11.819812770996164
3100,9.843477587102244,0.08121610919333253,0.014321516272456612,8.191136604860867,2.5650719228079795,1.6933825328323662,16.041476705068344,22.594340904088742,0.0,4.2,2.9398244743570854,5.0,8.304479990779251,11.64992169170188
3200,10.166618950274863,0.0706824390597056,0.0034187128219821256,8.14744395448763,2.537482268475158,1.97781748645272,17.494314842701087,24.261786463528615,0.0,4.2,2.997550933274132,5.0,8.2276796246088,11.697278427628019
3300,11.140880920883674,0.061673717907743425,0.03711958291247162,8.352285133905172,2.4847705173683248,1.7292614714985135,17.572367994466642,23.640433321141906,0.0,4.2,2.9403108663265782,5.0,8.160012941764341,11.851929401349485
3400,10.916112275652385,0.13153325136007826,0.03677461279456367,7.514246430546073,2.4420245849524425,1.9770751098958665,18.487242825839854,23.469130538673642,0.0,4.2,3.174583391425962,5.0,8.33020441653084,11.663844685321724
3500,11.466226523681263,0.2516823079479772,0.03792448290466165,7.891743735388901,2.414391464338306,2.223641043477568,20.09769404445858,23.683316412172548,0.0,4.2,3.1422062407076092,5.0,8.17573737938237,11.950937561681387
3600,11.807492071919013,0.11110366218173087,0.020520630713015166,7.490842938972642,2.4525936700437967,1.962361918303438,21.164112335518844,25.040077057353756,0.0,4.2,3.2289166734188828,5.0,8.345042027470955,11.689184987226646
3700,11.534917906469126,0.16375452335832474,0.00788932824909936,7.367763079020748,2.4085475128306904,2.259946760984522,20.512451660693173,24.147710035886206,0.0,4.2,3.193838088885222,5.0,8.052216132971424,11.929030500257857
3800,12.276567946037929,0.28312412628956624,0.0345642516162761,5.578677040351895,2.354965655812946,1.8565774316889092,21.515238353052407,24.38374117315965,0.0,4.2,3.351345677403873,5.0,8.16911760678754,11.738332388705818
3900,12.058212556359017,0.26235459808000083,0.036458980493124585,6.747746564277165,2.4148767207803488,1.881848201359058,23.260876556216235,25.175596808339645,0.0,4.2,3.2148184866104006,5.0,8.113561137779996,11.681693526344608
4000,12.2122517126154,0.2957141391416073,0.028116621315982634,5.8659513410209065,2.3831151290402084,1.8739742156607138,23.461121565701717,25.564895102642435,0.0,4.2,3.321229360162022,5.0,8.127708390009547,11.919994053240869
4100,12.96927257169018,0.04699716085588185,0.03525751039245448,6.004961409330692,2.381178987588006,1.898722892050794,23.842079803395507,25.335354122238318,0.0,4.2,3.432186392643889,5.0,8.055002306959086,11.735121564903098
4200,13.208621069955685,0.1577204543466864,0.059148771145542234,5.950350479911962,2.3718732312778013,2.06632070029267,25.501061179344177,24.997588319293683,0.0,4.2,3.3936278634445256,5.0,8.08128613784087,11.892615112591944
4300,13.252781506931745,0.20600950480566188,0.06248630456408001,5.667542708266514,2.2854356080495077,2.138953391630033,25.207916308511056,24.787779323108914,0.0,4.2,3.3909115912845675,5.0,8.070896510060615,11.6573966179461
4400,13.36904413876156,0.03948898101926929,0.009655150428358614,5.843831419824817,2.272676098977041,2.2854302828846085,26.345785804424,25.553151420846184,0.0,4.2,3.4020277883402246,5.0,8.288630352693533,11.833565300845803
4500,13.348811647989747,0.18005899927326174,0.022404510437239383,4.772300698644658,2.261565527006615,2.00203171084216,27.052398177120466,25.17260105919821,0.0,4.2,3.397638873855087,5.0,8.251492656714397,11.873056654194475
4600,13.336420506440842,0.22677729981655925,0.01569181112144442,5.097616490233496,2.2707420229998276,2.2778903883883865,26.716530300686536,25.786595247923117,0.0,4.2,3.524000802599527,5.0,8.164580058456755,11.7657280584766
4700,13.800012547436763,0.2037361941793335,0.04200199636841511,4.790254660960961,2.2784829597747294,2.3476968841774983,27.72260201318731,25.127342921958963,0.0,4.2,3.4410760376896636,5.0,8.17940219903003,11.861383743237997
4800,13.670388362562976,0.2478124968218986,0.053292620336087414,6.093514920596534,2.268539385117649,2.302708639744435,29.7555614433363,25.07966906826515,0.0,4.2,3.445946286564174,5.0,8.129066241540517,11.704671530060661
4900,14.213773222808841,0.30331604283894753,0.04825333802398718,5.15689740661047,2.2102375426415564,2.451613808581359,30.12796240948199,26.491733998839727,0.0,4.2,3.601744861104575,5.0,8.323230198494409,11.862432800368916
5000,14.737614517499987,0.16466315341405938,0.0282607139452744,5.39384228020826,2.2351199416871474,2.5407877112435377,29.513047749381883,25.663428543022498,0.0,4.2,3.5244214326925056,5.0,8.170615176287898,11.809163488277997
