milliseconds,a,b
0,50.00310978073592,0.01128491493449974
100,49.99005936589441,0.02836003113844316
200,50.00690199896541,0.012300843097678319
300,49.99248400871628,0.05162806592340166
400,49.9846464625775,0.054497468240259174
500,50.005645330556725,0.05597940660720563
600,49.99872759635714,0.0621905694546646
700,49.97830017118159,0.06751145723652219
800,49.98586321807579,0.09800429057336227
900,49.99231248686857,0.12422420115523361
1000,49.96827562160844,0.10886551538606562
1100,49.9738630215423,0.13917098426267632
1200,49.96393384221232,0.158134067954496
1300,49.9633933785586,0.16348695496561924
1400,49.956015968365236,0.1692592205625887
1500,49.94710960422869,0.1804243996808292
1600,49.95424027600939,0.19927277946430214
1700,49.95424790811983,0.21517931948851532
1800,49.92466990565638,0.2044261962669733
1900,49.9330598206154,0.21219481281703978
2000,49.91349857829273,0.2359427037342466
2100,49.9067194727687,0.2323963228040138
2200,49.8970952833112,0.2663315405213765
2300,49.88980202201803,0.2691521849732851
2400,49.88066666744309,0.2907467319520923
2500,49.88039209505263,0.30216616003875685
2600,49.86845936264495,0.29394619564484004
2700,49.83621472180883,0.32536479653432865
2800,49.82953847399904,0.34378392513140144
2900,49.839588384756695,0.3302876907283612
3000,49.82007255517908,0.3726182945978052
3100,49.794886140026016,0.3735631001070138
3200,49.782826304135135,0.3674599422376023
3300,49.783078292031256,0.3756622269669138
3400,49.746073599051655,0.40018722145987967
3500,49.755077968238155,0.43067250490056536
3600,49.730037270468316,0.42657584046528096
3700,49.72337577707582,0.4417012423661803
3800,49.68556422787621,0.46399661093003264
3900,49.67224461765644,0.47667139343816795
4000,49.68394415670083,0.47036136235652787
4100,49.652539312579094,0.4733565790163535
4200,49.63435091685314,0.49013926852603934
4300,49.60792309119798,0.4945073996439934
4400,49.61416394152546,0.5349326872188169
4500,49.58437026222247,0.5449324671397863
4600,49.57484876480035,0.5437884000851659
4700,49.55877628941828,0.5705559813147421
4800,49.52985642886567,0.5787284461697776
4900,49.49732558067597,0.592293589236364
5000,49.481990543746946,0.595677684140071
