miliseconds,ROS,alpha_syn
0,0.9999942076895044,1.0000150672814963
100,1.002859719242746,1.0000524140744194
200,1.0028926080137093,1.0001143664107677
300,1.0028925231571806,1.000125522156334
400,1.0028873447005455,1.0001703852029198
500,1.0028880057170544,1.0002522892245258
600,1.002869639795329,1.0002918691369465
700,1.00285836695687,1.0002973510312987
800,1.0028902489299751,1.0003404914525371
900,1.0028777299399156,1.000382961197844
1000,1.0028702952374582,1.0004540859166775
1100,1.0028625655889463,1.0004915838591937
1200,1.0028744710397992,1.0005336440047161
1300,1.0028661777095262,1.0005672406777777
1400,1.0028901848822371,1.0006051829532243
1500,1.002897223544232,1.000659436559861
1600,1.0028669131799135,1.000655483020555
1700,1.0029009347680409,1.0006990971756455
1800,1.002888875707893,1.0007469213169995
1900,1.002871712652998,1.0007834805864886
2000,1.0028708995528621,1.000833591757759
2100,1.0028945621144658,1.0008650901852947
2200,1.0028945500533089,1.0008926403609903
2300,1.0028636540153955,1.0009469442016408
2400,1.0028961927661408,1.0009428121492732
2500,1.0028808655437822,1.0009754081091364
2600,1.0028664022316562,1.0010011052996717
2700,1.0028921031417626,1.0010519021114734
2800,1.0028983586290847,1.0011042372912111
2900,1.0028810936825614,1.0011107693244568
3000,1.0028839530600433,1.0011502364571236
3100,1.0028674384947867,1.0011785446146333
3200,1.00288482078238,1.001205458423495
3300,1.0028709903843225,1.0012433828969909
3400,1.0028882086080417,1.0012402015018094
3500,1.0028998220706997,1.0012792545492104
3600,1.0028697821039503,1.0013046540813968
3700,1.002882897585083,1.0013361337411748
3800,1.002885506752342,1.0013778997503766
3900,1.0028836352957509,1.0013968834237845
4000,1.0028705934619644,1.001434639793308
4100,1.0028892932366986,1.0014151434675858
4200,1.0028892264233673,1.0014718488455752
4300,1.0028830058912706,1.0014729223152465
4400,1.0028742655756397,1.0014928197943047
4500,1.002882495805203,1.001510016131469
4600,1.0028984638038219,1.0015588914734246
4700,1.002884286050705,1.0015759854856483
4800,1.0028795079643522,1.0016214129820196
4900,1.0028760896759459,1.0016036981478207
5000,1.0028798779402792,1.0016275586539118
