milliseconds,cG,cG_m,cL,cL_m,cLm,cNI,cNI_m,cP,cP7,cP7_m,cP9,cP9_m,cT,cT_m,cTm,cY,cY_m,cZG,cZTL
0,0.023957310376431333,0.11743642415773327,0.4096587429831986,1.0242823813113295,0.05026307250289393,0.04049226343182498,-0.008241645940863962,0.805708292756167,0.02912570134919061,0.08482742292114322,0.06658269999608275,0.3447113152327819,0.39198143775106503,0.2543785187148794,0.24302164800006343,0.10181879868476383,0.09291819840727096,0.0798132075730549,0.32288271071316066
100,0.017438137502970196,0.15150460500867652,0.44077330354095023,0.987092715828985,0.05512137858441872,0.04532066610057303,0.005210980601807568,0.7600354135109861,0.02655143129467673,0.10461163182738333,0.06811011732233364,0.44809878771982736,0.38775103134930167,0.24912745795391328,0.2398910061585198,0.10259940980847126,0.10784403439585222,0.08220028363545409,0.3201762048755647
200,0.012980305522807383,0.17889990983429147,0.4637951964425401,1.0034748498142851,0.061865049733461366,0.04396737622155801,0.0023899600359622193,0.7257524345446957,0.02516087542031799,0.10982427029101459,0.08720556543795482,0.521732038895824,0.3829086071916565,0.23571885457948652,0.2350790485369926,0.10304297620831267,0.12272248778505512,0.09306389433910504,0.31860361211690535
300,0.010376353023362551,0.21858324033529195,0.4814873520423157,1.0043978697100986,0.0645861010204647,0.04125694394790031,-0.005409332915525416,0.6860776484722848,0.045443684378496677,0.1238380197961112,0.10909077995690014,0.6223226211485319,0.38062014686593576,0.23170983939890757,0.2312062696339536,0.1074901132505349,0.14163236117790787,0.10180020423981596,0.3189086229208276
400,0.009015048960919168,0.2473998326499195,0.4938136003067482,0.9531271359582404,0.0680113563501921,0.03596363234560329,0.0035263985486650388,0.6420903510101307,0.03942371717381602,0.09416299730113104,0.1522733588531878,0.7087208007533434,0.3786904514912371,0.22818482571973597,0.23460592530652113,0.10856634235542484,0.1609307066198432,0.10565593633795071,0.3189033097755681
500,0.008218398739139297,0.2782383170719972,0.5142799554157851,0.9387191143960855,0.07854276177365697,0.035867471406965105,0.005345498712681488,0.5914040561305279,0.03170691748952528,0.11852319991162197,0.1998302953600136,0.8152696017627763,0.38046133549876027,0.22560128611172353,0.23135345708607677,0.11299490445691086,0.1733337241316445,0.10998779842046168,0.3194386549829075
600,0.008276928333104647,0.305512654851738,0.5313770055692087,0.8824533492724521,0.0873579677772083,0.033024932493283796,0.020885526735676438,0.5349237940371502,0.0140351008767441,0.13187112839128784,0.2719073651214053,0.8848486086883055,0.3782881977982277,0.2181801128269015,0.22363012918176178,0.11800624814724389,0.18024275999421113,0.11108654872438659,0.31936149954841836
700,0.008135384997036966,0.3247399136207773,0.5581535297168291,0.8430900658106665,0.09397803780205255,0.03645824398463129,0.010134986296417105,0.5118682170401769,0.0226229801922769,0.1692471677065629,0.3257426866020187,0.905288503781267,0.3765647743377726,0.2096353216101116,0.22289078441721769,0.12240737515903706,0.19367805657476336,0.11802771441018786,0.3192572404153702
800,0.008515928056730685,0.34008955333849755,0.5711761740076685,0.8099195614203074,0.08951925358380058,0.03223310414576587,0.007678240385851072,0.4472383454725086,0.041216729674225225,0.1699842470817011,0.348691579170827,0.9384023100936484,0.36829964194230314,0.2122003083975204,0.2199601745879464,0.12851218769274225,0.19654510181577983,0.12445079231596111,0.31816454229426905
900,0.008670112031440328,0.3583894375176316,0.5769200519017472,0.7943722527255069,0.10330035876543266,0.03117188307452226,-0.005754064655062953,0.39756587731194987,0.03659966858828421,0.20887159425515597,0.4161523689991926,0.9695487082134195,0.36638552871941565,0.20173238752407588,0.2168960190264187,0.13351074015899395,0.20092460929442715,0.11923356838983608,0.3173760196846802
