milliseconds,cpep,cglcex,cg6p,cpyr,cf6p,cg1p,cpg,cfdp,csed7p,cgap,ce4p,cxyl5p,crib5p,cdhap,cpgp,cpg3,cpg2,cribu5p,accoa,malcoa,fer,fer_ext,fercoa,ferdicoa,cur,cur_ext
0,2.7069963517055737,55.503136757446036,3.449101699709317,2.586142622193048,0.5942771783820934,0.6548420432416101,0.8088789664681897,0.23397299545208217,0.27321600163411314,0.21266691233381355,0.09940076037204179,0.13752244625911544,0.4000364373516399,0.16363997523133583,0.0080038623784215,2.1355957236598826,0.3984026646407894,0.11063868721694552,1.142672000185817,1.0100155816462242,-2.2807760780821926,272.45685792214766,-64.85122426484139,0.0006277809786275164,-0.0001507813730209393,8.591037657837548e-05
100,1.9100803439619334,55.47643382955576,4.5048319566718975,3.9265267228478202,0.7693176361440782,0.6538696727736669,0.8101392487392891,0.26736378775257685,0.28977722921936055,0.2236666226690753,0.1027155985051942,0.14837500956769645,0.39482863039527494,0.18293369979847762,0.0063830160798237735,1.7392832305396866,0.3118669581698943,0.11279124344445116,1.109606786265062,0.8890535627904805,268.4615782189418,267.6634199243401,186.24901372170797,0.026639495452606316,0.002669213138585981,0.0016149533970289962
200,1.7252345976394916,55.473705598835814,4.759413247814142,4.4431737157985705,0.8181462603903925,0.6554248458690386,0.8143490858214382,0.38890330564656034,0.30550221638323743,0.242786202525898,0.10775053615749594,0.16372451843821198,0.401811192932995,0.19406152260367096,0.005441889294077697,1.4150585784067926,0.25841978472858695,0.11727779615827058,1.084726029193966,0.7351996549385077,265.3044008552935,263.2455897923066,113.35051017589676,0.027391554580410878,0.005062402937940652,0.0032060108008559653
300,1.5287301765937737,55.46868030880398,4.883012940305785,4.719625574829159,0.8251108075401993,0.6592154424897128,0.8183125377329281,0.6180400637789912,0.30863051817706355,0.2920908099994823,0.11823988882605856,0.18236346824283378,0.4064182620372869,0.24163090395219777,0.004830457367912225,1.3333523450515254,0.23334912953212297,0.12382895048822289,1.1075990615889941,0.6127819524265443,264.7703910108003,262.08852468977733,421.7704772960664,0.02810561921704633,0.006559356135662102,0.005712316138708413
400,1.4344052037506019,55.456620292743835,4.874565960645579,4.819750393724671,0.8135457952523225,0.6574369789334962,0.8220769048890586,0.913570133518421,0.31106313222064413,0.3317779957073097,0.13173100956427491,0.19446178246890272,0.41884350996220865,0.28374658276640163,0.0044528835936651,1.2175342177757262,0.20901217245616108,0.1311645151911356,1.2761946250183906,0.4595893778303617,260.7521654068375,261.2142113131852,366.9724712586649,0.028276869205155014,0.008664686331643391,0.007851979941807315
500,1.2841401019644696,55.458948266216915,4.838286652029006,5.067285411611417,0.8159935980593345,0.6609993726447787,0.8255425441960217,1.117698593605049,0.30346111433307954,0.37521209284819357,0.1417705814712279,0.20480023280107854,0.43742546865827303,0.3261407879563714,0.0042586351466095615,1.0705223510488453,0.20272951963736538,0.13682681480255338,1.4114981068001313,0.34530093847598464,258.4433771946414,262.2591038850427,478.15999174753614,0.027458641061829825,0.010563045060188613,0.009372125710036946
600,1.1259952140807816,55.4532042667287,4.756323744384955,5.11567432670485,0.8006242017074939,0.6592232121990945,0.8293537483360044,1.2970195489627132,0.29554147055794455,0.4143217724950695,0.15132758865282514,0.21178864160012006,0.4541288915951413,0.3648393713226782,0.00392863868037294,0.9777271742400118,0.17991016232602305,0.143895619228218,1.6740352326405725,0.23482744692832677,257.2369380492253,257.63894926657554,610.4555730231248,0.02726864450770287,0.012634415295010797,0.011752242537931128
700,1.0279878179951276,55.443453735415254,4.684305154635456,5.295743564635337,0.7826103279582083,0.663714613882428,0.8327491112737133,1.6338145940575377,0.2848602836079384,0.44740873247348784,0.16010472009152762,0.21363830614008175,0.46883256847760274,0.3964370531133162,0.003532656385462206,0.8986452125419565,0.16149505239023676,0.14812244941410946,1.722784669003119,0.07628617381280123,260.6627136584727,255.62005802691672,803.9896258490121,0.024925846074144296,0.0149354795501612,0.013416174515619427
800,0.9451676314386868,55.44468715462212,4.528158271110991,5.434910382939788,0.764533150448489,0.6645590677244215,0.8353369929059375,1.7736912483794218,0.2758667992626989,0.4698281408469077,0.16905667699391275,0.215740178703797,0.48778205975763517,0.4316175800922404,0.003201649934512178,0.8511927822400792,0.15805489732663056,0.15046377203950984,1.6330965185095032,0.011012063036530718,255.54663560088343,256.87201984730825,812.8646451128723,0.007530312902463949,0.016124461711882247,0.014877811421408132
900,0.8764995773837635,55.44218739149769,4.4321541081574996,5.422735328503198,0.7569762634755334,0.6607335020782068,0.8371922381091244,2.01250758176683,0.26706961815527985,0.49976593120591034,0.17064974670048788,0.21631077384960112,0.5024042741084365,0.45555130182307507,0.0031175226451459663,0.7652444673791853,0.13989303209756565,0.1538425749444072,2.0333510421700463,-0.016237475612984584,254.12204763001267,255.94344891142907,866.9850922291234,0.000396762626799409,0.015593400778380414,0.015308239614731033
