milliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,8.302693915813631e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000830269391581363
100,-0.00015943408750139696,-2.1286212459712362e-07,0.0002002737717054132,1.1437417086432516e-05,1.1385188836820182e-06,5.183916935840336e-06,-5.814667563103322e-07,-6.444340541356508e-07,-9.510447651983473e-09,-2.641185923351076e-07,2.2840393214261703e-10,1.6789433073147792e-07,7.262866063869918e-07,1.1437506800039112e-10,-2.0569974732492056e-06,4.461516150675772e-13,3.0833371342535894e-09,1.444601227785707e-07,6.97471767281456e-08,-0.00014517221779665587,0.0009066710392477808
200,-0.0001230718890191971,-2.2531878466308777e-07,0.00016536494259683236,9.98853340612853e-06,9.352226195900481e-07,4.114877472162324e-06,-3.8709618709556157e-07,-6.515746385787297e-07,-4.7816771719474516e-09,-1.929352208370376e-07,5.6533057125256785e-11,1.610249005706863e-07,6.668933610960806e-07,2.502361064958521e-11,-3.880433708935326e-06,1.7218734455964826e-13,3.0642029939133345e-09,1.420650698068232e-07,-3.533784848022914e-08,-0.0002771437170968841,0.0010279767218908636
300,-8.670969053699717e-05,-2.377754447290519e-07,0.00013045611348825155,8.539649725824544e-06,7.319263554980783e-07,3.0458380084843135e-06,-1.9272561788079093e-07,-6.587152230218086e-07,-5.2906691911430035e-11,-1.2175184933896763e-07,-1.1533781789210343e-10,1.5415547040989473e-07,6.075001158051692e-07,-6.432784670122066e-11,-5.703869944621446e-06,-1.0177692594828067e-13,3.04506885357308e-09,1.3967001683507566e-07,-1.4042287368860383e-07,-0.0004091152163971123,0.0011492824045339467
400,-8.853646761399082e-05,-3.7031393070436327e-07,0.00014130065075173298,9.999890741835878e-06,7.129613059687103e-07,3.3061969417780083e-06,-6.871251283419466e-08,-8.837619821501625e-07,6.3503187914797416e-09,-6.912389870429308e-08,-3.4051107753640436e-10,1.8591305274616388e-07,7.400322476480357e-07,-1.0634264000290517e-10,-5.8895149248892444e-06,-4.091418068383752e-13,3.6726380239321347e-09,1.708712397370281e-07,-3.4249551177183104e-08,-0.0004229093979955116,-0.0006786715489082824
500,-0.00022229568505707732,-9.177022026154069e-07,0.0003102105247266827,2.1510359995031383e-05,1.3308100650526067e-06,8.159262858252804e-06,-1.8776515673100547e-07,-1.8616148319396056e-06,1.8538327229664618e-08,-8.059983985202732e-08,-7.498294622643499e-10,3.5111637297318824e-07,1.535613937712042e-06,1.5177762791730282e-11,-4.170401474626921e-07,-8.318966392239004e-13,6.534389827473911e-09,3.1813838476247685e-07,8.017634424502571e-07,-2.843334736015455e-05,-0.009240783120620046
600,-0.0003560549025001638,-1.4650904745264466e-06,0.0004791203987016314,3.302082924822695e-05,1.9486588241365034e-06,1.3012328774727632e-05,-3.0681780062781627e-07,-2.839467681729049e-06,3.072633566784944e-08,-9.207578099976157e-08,-1.1591478469922973e-09,5.163196932002135e-07,2.331195627776048e-06,1.3669816558636618e-10,5.05543462996383e-06,-1.2546514716094256e-12,9.396141631015687e-09,4.6540552978792653e-07,1.6377764360777012e-06,0.0003660427032752025,-0.017802894692331806
700,-0.0004898141199432503,-2.0124787464374904e-06,0.0006480302726765811,4.453129850142246e-05,2.5665075832204035e-06,1.786539469120243e-05,-4.2587044452462707e-07,-3.8173205315184925e-06,4.291434410603431e-08,-1.0355172214749582e-07,-1.5684662317202447e-09,6.815230134272379e-07,3.126777317840058e-06,2.5821856838100163e-10,1.0527909407390383e-05,-1.6774063039949509e-12,1.2257893434557462e-08,6.126726748133762e-07,2.4737894297051414e-06,0.0007605187539105615,-0.02636500626404357
800,-0.0006235733373863364,-2.559867018348528e-06,0.0008169401466515299,5.6041767754617965e-05,3.1843563423042964e-06,2.2718460607677225e-05,-5.449230884214374e-07,-4.795173381307931e-06,5.510235254421913e-08,-1.1502766329523e-07,-1.9777846164481903e-09,8.467263336542614e-07,3.92235900790406e-06,3.797389711756371e-10,1.6000384184816907e-05,-2.1001611363804745e-12,1.5119645238099223e-08,7.599398198388249e-07,3.3098024233325816e-06,0.0011549948045459165,-0.0349271178357553
900,-0.0007573325548294224,-3.107255290259568e-06,0.0009858500206264787,6.75522370078134e-05,3.8022051013881926e-06,2.7571526524152024e-05,-6.639757323182477e-07,-5.773026231097371e-06,6.729036098240395e-08,-1.265036044429642e-07,-2.3871030011761357e-09,1.0119296538812858e-06,4.717940697968066e-06,5.012593739702721e-10,2.147285896224343e-05,-2.5229159687659998e-12,1.7981397041641e-08,9.072069648642736e-07,4.145815416960021e-06,0.0015494708551812737,-0.04348922940746704
