milliseconds,R,O,I1,S,A,I2
0,1.0071863896654254,4.780765336227327e-05,-9.57883983431266e-05,-4.1727295381202657e-08,-0.0028287233508903866,0.0070419744110655335
100,0.24060082570129826,0.004509710720414935,0.015476877236832257,2.1280963793882955e-05,0.6843086915340534,0.0645499475910632
200,0.05737844836478045,0.0011966465411715835,0.017647762250688,6.477789949869368e-06,0.7370472959218629,0.20480563338170035
300,0.026443218696243637,0.0004335373962852292,0.017219244328071728,1.990746411042242e-06,0.6674906068363845,0.30158244605027246
400,-0.008333638028378648,0.00014006399649398266,0.016278802321692827,8.467912067554395e-07,0.5945499340899741,0.3752942630019161
500,-0.0072860071370659755,0.00013094313530011392,0.014575929077119,5.680202683192197e-07,0.5330426661737458,0.4350224131614091
600,0.006697823954748442,0.00012535109650244948,0.013138915708029478,6.642174047103507e-08,0.49751206132809855,0.5010152909574521
700,-0.002997931409934326,5.312848253627297e-05,0.012407415424045248,2.5551065031375383e-08,0.45292572752499355,0.5351801049538378
800,-0.009191366952436449,0.00013162039827832958,0.011855229813307472,1.61885487318485e-08,0.41856085369907936,0.5554981397814006
900,0.009027950384196144,8.639291527659518e-05,0.010274063882191832,-1.5199819452220259e-09,0.3934409351982342,0.5816852887866086
1000,-0.005308008277040612,2.697419367591455e-05,0.009894810791766013,5.99364490897801e-08,0.3833889571247353,0.5939802015859373
1100,0.01436916562525898,8.756233285791481e-05,0.0092975189015568,1.8275521860670587e-07,0.35963947716735345,0.6249215392728994
1200,-0.0018567797937395249,3.844157423688597e-05,0.008530746737108427,2.0308816186517756e-07,0.3638977286941527,0.6241814741666105
1300,0.0014136100763499798,7.459010621340011e-05,0.007787747573989514,4.801669425670703e-07,0.34210104869039715,0.6335162310097608
1400,-0.0032711069370541922,3.750526726442652e-05,0.007343794627352909,2.0568496143113696e-07,0.3515249134017333,0.6341970948726923
1500,0.004113410288547877,9.711165912494073e-06,0.006473974654686606,5.266753036243605e-07,0.33316614893230445,0.6423774267157686
1600,-0.004586534108255576,7.817590786914736e-05,0.005867410730233,4.950173928207413e-07,0.3362195684529698,0.6526111343522085
1700,0.006576784732780965,3.2721292584128374e-05,0.005125014188350266,-4.493156752211999e-08,0.32986220579827574,0.6471431738544369
1800,0.006393032180469438,0.00011472770449171507,0.004547305822051202,3.924248582967461e-08,0.3298920618843812,0.6647912653717496
1900,0.009948282576313909,6.378861706902887e-05,0.004743015376851613,7.468400673962017e-08,0.3321757219600995,0.6730767506502522
2000,3.1592655755051976e-05,4.845443534193813e-05,0.004725285128261532,2.035048579130213e-08,0.31954439349645414,0.6648775211073263
2100,0.010077927740048466,1.8024364850366996e-05,0.003945192437310969,-6.838085246534646e-08,0.33657893546717743,0.66197641057985
2200,0.014068198061955537,3.7263873991422094e-07,0.004055020524405144,4.3083555586423384e-07,0.32199027102461997,0.6731952092359712
2300,0.0006239545001056254,2.855867547825139e-05,0.0038357443015938166,3.572076821078141e-07,0.33121309492651907,0.6745130602453294
2400,0.0009313680009832375,9.842733213427757e-05,0.003175032261402204,-8.537326532687154e-08,0.3361220967153781,0.6688150186312081
2500,-0.0029105886766311413,8.47289367359383e-05,0.002545263303490688,1.4472411422146387e-07,0.31816370779529296,0.67581741255904
2600,0.014162100508991424,1.0374487931998434e-05,0.0025569078395557827,2.526000245187149e-07,0.33253235622726,0.683524136182252
2700,0.005045011088730914,6.837034681967207e-05,0.002004854887385097,2.1526111445906234e-07,0.31451588795480273,0.6645531876099581
2800,0.013661788516348194,8.469712760719524e-05,0.001965552153312619,4.0297913874952206e-07,0.3164497518218984,0.6646103165027639
2900,0.009522397023539868,0.00011999496596027453,0.001608994771345179,-1.104597003372796e-07,0.32324150549978153,0.6858179160095075
3000,-0.003802978899310949,3.634803430345176e-05,0.0018652823867164432,-3.225345426387085e-08,0.31296362123593063,0.6769875265028281
3100,0.003503697926461238,2.2930279187478934e-05,0.0017069313416531902,4.859184622280016e-07,0.32235836441178994,0.6777447385996859
3200,-0.01312407857808314,0.00010112700968922523,0.0017759569320220934,-1.0106651457115765e-07,0.3162781314955309,0.6865310410738668
3300,-0.005913952625246412,4.253134451873025e-05,0.0018996508806741698,4.3775161866403106e-07,0.31281900191458134,0.6835402037189503
3400,0.005598305287198616,8.052935028190587e-05,0.0013465994323730854,8.104569021648218e-08,0.3226384362908264,0.6636102954554556
3500,-0.007813261108938221,8.893866066906333e-06,0.001760636528574184,3.346864210097682e-07,0.32539581128569184,0.6683729890984283
3600,0.008752562247021638,4.337920262636253e-05,0.0010494342648721612,3.2319352240327243e-07,0.33400876501242144,0.66563306577217
3700,0.005039052993341151,5.535856845202995e-05,0.0014804416686325247,2.5506323557780256e-07,0.32268591726865875,0.6902741933622594
3800,0.008373670389490842,3.234353799728771e-05,0.0013697118696074028,2.0152703400445838e-07,0.3267182319527461,0.6867886916291479
3900,0.012535390358142155,0.00012054655077834036,0.0005121951844295617,4.464363682359212e-07,0.3277859022368574,0.6818556411271194
4000,0.005401341766918638,1.083667504768354e-05,0.0006383957591478097,3.749430459278211e-08,0.3163239497205405,0.681824585608332
4100,0.006135960886278506,6.898603961487783e-05,0.0003936197338688376,8.33957959060597e-08,0.31237474742709503,0.6887354964743461
4200,-0.0027726750504601535,0.00011694356009430996,0.00032970683407849337,2.4734997509827553e-07,0.32491950139934034,0.6905704017717065
4300,-0.010818568805928928,0.00012311148901251486,0.0007092115322241541,3.615633296672921e-07,0.3230319580105962,0.6878519520775199
4400,-0.011703174775730478,0.00012182318621271768,0.00034336221903995175,-9.250092451731145e-08,0.33353549000357446,0.6743380435921492
4500,-0.01359984654648644,1.537713965347942e-05,8.364758085077715e-05,-7.383457443092964e-09,0.32203799438743597,0.6782088198162793
4600,-0.0024722971175121494,9.875300679355694e-05,0.0007604398027908629,4.2002311154864254e-07,0.32066845383210113,0.6902834912159177
4700,-0.012026576279075838,9.672829951878998e-05,2.5867331284098083e-05,3.0694277272103554e-07,0.31767488183477655,0.6787867757950667
4800,-0.006754417510153623,2.599758915187929e-06,0.0008378167212085867,1.425347348909351e-09,0.32677477826923956,0.6910502361105115
4900,-0.0025832291212035162,4.684167360795456e-05,7.23050043303038e-05,3.6261531686289767e-07,0.32936281563797043,0.6698844024667373
5000,0.0027703806367937057,1.253974011608054e-05,0.00085776221606279,2.0359976641818593e-08,0.3252684691445513,0.6832820186384992
