milliseconds,IPTG,ia1_ActiveTF,ia1_InactiveTF,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,ter1,ter2,ter3,ter4,ter5,ter6
0,10001.383171022764,101.36695299105297,101.2858293676872,10.0,10.0,10.0,10.0,10.0,10.0,-0.03924699458504174,-0.010276184186300932,0.02366663091253625,-0.08714072305451517,0.05965802737370669,-0.058353105335285704,10.0,10.0,10.0,10.0,10.0,10.0
100,9898.709355448867,0.5824612201502608,199.6069104728883,10.0,10.0,10.0,10.0,10.0,10.0,0.4967904064740828,0.5532423836923941,0.5179332773774601,0.05602051993440206,0.6354849586541121,0.4851822418391695,10.0,10.0,10.0,10.0,10.0,10.0
200,9901.022142200278,-1.2156082972111564,198.7148233643127,10.0,10.0,10.0,10.0,10.0,10.0,0.7242206562869282,0.8163201699579996,0.9973454629587203,0.30348099730990463,1.1145196725348494,0.9431899982593664,10.0,10.0,10.0,10.0,10.0,10.0
300,9899.698769206423,-0.11886904690814704,199.06962601849906,10.0,10.0,10.0,10.0,10.0,10.0,1.1395551553720262,1.1419103202409793,1.1680963458245306,0.24870257980366223,1.4285508710507777,1.3245918185161296,10.0,10.0,10.0,10.0,10.0,10.0
400,9900.776597341966,1.280335873248744,200.03101751133894,10.0,10.0,10.0,10.0,10.0,10.0,1.5551667081871878,1.3843073568962707,1.4136429501391692,0.43725686486614534,1.6814233114447672,1.544601266811815,10.0,10.0,10.0,10.0,10.0,10.0
500,9900.664881984992,0.6497309078484861,201.0360429929127,10.0,10.0,10.0,10.0,10.0,10.0,1.8365649554325831,1.4419435065236068,1.5412225214201851,0.4385990248626737,1.9057152372415926,1.7992436379287553,10.0,10.0,10.0,10.0,10.0,10.0
600,9899.472321795802,0.876605387158065,199.71516578188997,10.0,10.0,10.0,10.0,10.0,10.0,2.1457987773455725,1.6283211303689116,1.6589514901833198,0.6670326778631566,2.0286940790267685,1.9181725897207618,10.0,10.0,10.0,10.0,10.0,10.0
700,9899.759656697832,-0.7318304339259936,199.06632014477933,10.0,10.0,10.0,10.0,10.0,10.0,2.353296453755943,1.7478623920231864,1.9330581413005736,0.7931978440672124,2.0353588402163516,2.0957309920641056,10.0,10.0,10.0,10.0,10.0,10.0
800,9899.505111430342,1.3571243185414843,199.11550485709952,10.0,10.0,10.0,10.0,10.0,10.0,2.736834801223312,1.8648160332193322,1.975639543191632,0.6629797354991307,2.1253463753200927,2.1127163231241317,10.0,10.0,10.0,10.0,10.0,10.0
900,9899.0687456031,-1.036117866055673,201.28656080539608,10.0,10.0,10.0,10.0,10.0,10.0,2.9421571715314454,1.9582541866676886,2.0888198700469207,0.9050292664083768,2.2169112941777063,2.281921267040713,10.0,10.0,10.0,10.0,10.0,10.0
1000,9899.448356986153,0.09491841373478148,199.36863420328754,10.0,10.0,10.0,10.0,10.0,10.0,3.0792352728224466,2.0220986816278095,2.192366938548762,1.0108977763570126,2.2360394965308417,2.3985450517965603,10.0,10.0,10.0,10.0,10.0,10.0
1100,9899.468817172345,-0.9927207400530317,198.74779929534716,10.0,10.0,10.0,10.0,10.0,10.0,3.130376620831417,2.2097614512954076,2.3105030823698747,0.952823310099429,2.3706560725905823,2.4043023433510826,10.0,10.0,10.0,10.0,10.0,10.0
1200,9901.091904528477,0.37538154911641725,201.19250939066734,10.0,10.0,10.0,10.0,10.0,10.0,3.3231962435889297,2.174308023919059,2.3939418667587273,1.1486793391850243,2.327923937278668,2.5432161768387553,10.0,10.0,10.0,10.0,10.0,10.0
1300,9899.244551389973,0.5256943058902309,200.5362511602632,10.0,10.0,10.0,10.0,10.0,10.0,3.412419239069824,2.284953736661485,2.421642481877089,1.359360955079198,2.465999643574339,2.609460892343725,10.0,10.0,10.0,10.0,10.0,10.0
1400,9901.067036715336,-0.5199928965830788,201.04989485993713,10.0,10.0,10.0,10.0,10.0,10.0,3.6749051925809755,2.3346451351500304,2.380697538304464,1.4164124582881996,2.4477027583390556,2.795989328591046,10.0,10.0,10.0,10.0,10.0,10.0
1500,9900.340193648943,-1.322393735146086,199.11121580949847,10.0,10.0,10.0,10.0,10.0,10.0,3.773287546674143,2.516489202422687,2.5470541895375844,1.5032302596892533,2.4761778410051307,2.7124892162624423,10.0,10.0,10.0,10.0,10.0,10.0
1600,9899.986441573797,0.1962042535374821,199.07854706056875,10.0,10.0,10.0,10.0,10.0,10.0,3.8903493108181095,2.45626389233575,2.4875751309111784,1.592752076566439,2.577748794423015,2.8380486394874525,10.0,10.0,10.0,10.0,10.0,10.0
1700,9899.51809633497,0.9029615093202784,199.85507778635406,10.0,10.0,10.0,10.0,10.0,10.0,3.781656511776981,2.5896621452234942,2.590446682663221,1.5707504166025352,2.5084318337281903,2.8416463956364852,10.0,10.0,10.0,10.0,10.0,10.0
1800,9900.636638188125,1.1520749577158105,201.0023877187481,10.0,10.0,10.0,10.0,10.0,10.0,3.9741781070338207,2.5774895544365473,2.7404769732160887,1.6916919074673638,2.572877631770365,2.91683626725143,10.0,10.0,10.0,10.0,10.0,10.0
1900,9899.74875452219,-0.14415566661687315,200.90375923969967,10.0,10.0,10.0,10.0,10.0,10.0,4.03757360909892,2.603213312693164,2.793392186736271,1.7509673562360129,2.5512702886737575,3.0967769107543726,10.0,10.0,10.0,10.0,10.0,10.0
2000,9899.13221372085,-1.2071608215751737,200.17969842477567,10.0,10.0,10.0,10.0,10.0,10.0,4.132772353560167,2.7777504759709464,2.835715441126002,1.8370282584275972,2.607692281557063,3.0992502016506234,10.0,10.0,10.0,10.0,10.0,10.0
2100,9901.03811683284,0.22628374376613544,201.01081230379833,10.0,10.0,10.0,10.0,10.0,10.0,4.055160892605841,2.7282906484198204,2.883754299077491,2.0496141136697785,2.722576603432549,3.188945134383138,10.0,10.0,10.0,10.0,10.0,10.0
2200,9900.722070401414,-0.5286851863733013,200.45529130775265,10.0,10.0,10.0,10.0,10.0,10.0,4.1666630377513485,2.772244358184988,2.8777469311615254,2.0031539525751234,2.6468430871512854,3.2224244242858058,10.0,10.0,10.0,10.0,10.0,10.0
2300,9900.737214585786,1.1901642584937508,199.72193132102456,10.0,10.0,10.0,10.0,10.0,10.0,4.117473437239958,2.772423957775246,2.84337834501343,2.019542190500611,2.783577608515049,3.12175041688324,10.0,10.0,10.0,10.0,10.0,10.0
2400,9898.647377180641,0.2971118153109611,198.61742806800626,10.0,10.0,10.0,10.0,10.0,10.0,4.229248582445122,2.9541144849438585,2.9406224860015744,2.2541440527698833,2.7671827094471433,3.3236202975426283,10.0,10.0,10.0,10.0,10.0,10.0
2500,9899.167713258881,-0.2615529417938752,200.65126498239016,10.0,10.0,10.0,10.0,10.0,10.0,4.268770070770012,2.975318182512189,2.9555798265869657,2.4085553238148427,2.7463206453913265,3.330776902869925,10.0,10.0,10.0,10.0,10.0,10.0
2600,9899.702281905495,1.3209036268994394,199.4365131838141,10.0,10.0,10.0,10.0,10.0,10.0,4.311909490222952,3.0347663891296444,3.052752286420883,2.2826426016570704,2.8495620522791576,3.2456441170097827,10.0,10.0,10.0,10.0,10.0,10.0
2700,9899.663978236547,-1.1056093279552384,198.75336218948144,10.0,10.0,10.0,10.0,10.0,10.0,4.314060705252286,2.9280763537440193,3.139330787603076,2.5755076534130943,2.794335889774275,3.4424481807436895,10.0,10.0,10.0,10.0,10.0,10.0
2800,9899.006863616174,-1.3339104247713012,199.53170541046973,10.0,10.0,10.0,10.0,10.0,10.0,4.38953512502866,2.9602106002274096,3.1115391599115103,2.5063432489830944,2.8897575051197566,3.398735846473598,10.0,10.0,10.0,10.0,10.0,10.0
2900,9898.776424257148,0.6341644224168601,199.54614703399426,10.0,10.0,10.0,10.0,10.0,10.0,4.275537036010665,3.010232049038772,3.1720387998781714,2.673307412638657,2.8346886282282555,3.3918527224385997,10.0,10.0,10.0,10.0,10.0,10.0
3000,9900.542647561946,-0.9856547245632998,201.39471954742152,10.0,10.0,10.0,10.0,10.0,10.0,4.371466306946726,3.134881368019172,3.2666343078347713,2.778591244094447,2.9073916220494436,3.5224787874465138,10.0,10.0,10.0,10.0,10.0,10.0
3100,9901.033657877477,-1.087199549626625,200.88751394149966,10.0,10.0,10.0,10.0,10.0,10.0,4.292189415004111,3.1346935631062154,3.145728086744006,2.889864163795965,2.959266746247398,3.45079051633907,10.0,10.0,10.0,10.0,10.0,10.0
3200,9898.972588659606,1.0819708865161686,200.17224567302569,10.0,10.0,10.0,10.0,10.0,10.0,4.21791716433292,3.1738849778553906,3.1831672232570027,2.9705297478051427,2.9550464241633208,3.530482672752413,10.0,10.0,10.0,10.0,10.0,10.0
3300,9899.270524952826,-1.3982464247192448,201.1602647829323,10.0,10.0,10.0,10.0,10.0,10.0,4.3770115559755025,3.171054406920086,3.309820502358357,2.836283803240923,2.924329533958594,3.6242994668986577,10.0,10.0,10.0,10.0,10.0,10.0
3400,9899.136352413216,1.3773930117285744,198.73880025071114,10.0,10.0,10.0,10.0,10.0,10.0,4.407455680136461,3.136444452229024,3.366625374210782,3.1260478217173655,2.9484847853392275,3.5573806029819233,10.0,10.0,10.0,10.0,10.0,10.0
3500,9899.726559293931,-0.09010372004486614,199.72367321780231,10.0,10.0,10.0,10.0,10.0,10.0,4.270043095401677,3.164138632724388,3.361418520886849,3.016653113460394,2.965891540925664,3.663481703580207,10.0,10.0,10.0,10.0,10.0,10.0
