milliseconds,glycerol_i,cin,glucose_i,G6P,trehalose,F16DP,F26DP,trioseP,Gpd1,pyruvate,acetate_i,ethanol_i,Hog1,Hog1PP,Pfk2627a,Pfk2627i,AOG,gpd1mRNA,stl1mRNA,Stl1,AOGi,Fps1r,biomass,cellvol,glycerol_e,glucose_e,acetate_e,ethanol_e,trehalose_e
0,0.0963983338631291,0.5619566305496617,2.6504000372750602,2.4508000255532387,0.005168204537291741,0.15021724137872128,1.37848e-06,0.10162747635720601,0.04703198001506811,0.014130857726282236,0.5380210965980411,7.179938774718204,0.44610138540916405,0.008855803960873578,0.0,0.0,0.0007092738564074603,0.006346496928440305,0.0009391881153234792,0.00010296246572225625,0.006035318708095978,1.6783013108628546,14.924472307267136,0.00023996692197273336,0.002362982908842148,0.12132387443182366,0.002381443212251827,0.0121813317530339,0.000167325996459531
100,0.09639977130384846,0.5618649621591231,2.6496653107949126,2.4508615721379154,0.005167483580570053,0.15032531008188044,1.37848e-06,0.10062162105036429,0.04702858578199445,0.014041247932629473,0.5380084646645057,7.178716784954709,0.44565695678644324,0.009079818523652512,0.0,0.0,0.0007092605058610913,0.006342774175345397,0.0009403291332871201,0.00010294214689133992,0.006035307302023644,1.294259765172057,14.924588255403775,0.0002400480647241436,0.0023629842543004143,0.12132398643950437,0.0023814619500130024,0.012182003218983035,0.00016732600095321993
200,0.0963745475960455,0.5617977308771064,2.6497950468353806,2.450437819802903,0.005166448805228166,0.15037004755470118,1.37848e-06,0.10047248232016448,0.04702841630443708,0.013897249519295664,0.5379319841308385,7.1767124836628895,0.44523787449121527,0.00988735812971066,0.0,0.0,0.0007092708039576688,0.006341524057121713,0.0009394481661172946,0.00010306218080021288,0.006035322599898047,1.0879555851710483,14.925045415342572,0.00024009170849048666,0.00236299457266937,0.12132383911904394,0.0023814786671749713,0.012182483003389857,0.00016732601424774936
300,0.09637994581341418,0.5617757878190781,2.649245617392175,2.449513262984523,0.0051645044101899995,0.15068482463857108,1.37848e-06,0.09998070688708262,0.0470254786432788,0.013764267817071754,0.537878781768533,7.174876258390666,0.44477635656336495,0.01011927417310769,0.0,0.0,0.0007092586897969812,0.006341392015012317,0.0009416600617697827,0.00010325508132177616,0.006035320262865471,0.9984070460017278,14.924918097759285,0.00024011193386505573,0.0023630018513421027,0.12132349074792889,0.0023815131548708323,0.012182173710017022,0.0001673260204560216
400,0.09636807581490953,0.5617201706720812,2.648495915030076,2.4498778826986047,0.0051651555116170545,0.15094815888996854,1.37848e-06,0.10032743831464422,0.047022235089968244,0.01364606691527924,0.537745927847744,7.174834536695199,0.4443577478780598,0.010434987918150281,0.0,0.0,0.0007092460575966924,0.006338218861579633,0.0009427005064264837,0.00010338993233843663,0.006035336954806186,0.9723157471181441,14.925296304843181,0.00024014092124683304,0.0023629993400580336,0.12132337769987812,0.0023815008716443465,0.012182790221866456,0.00016732602597679068
500,0.09635766677981088,0.5616739896728072,2.648465335642575,2.4486984035870245,0.005163079877304396,0.15078973761973463,1.37848e-06,0.09954752085788762,0.047019723993308296,0.013599132150579629,0.5376221131210777,7.174174329921428,0.44380714973301416,0.011112157854533945,0.0,0.0,0.0007092336544012813,0.006336507987688806,0.000943774395423953,0.00010359007078478259,0.006035342508378981,0.95027316287714,14.925356505826603,0.00024016755038465794,0.0023630008732286587,0.12132331172796186,0.0023815254231860086,0.012184355822196829,0.0001673260307163163
600,0.09634353081146181,0.5614862236328092,2.6483523178844686,2.448718936460257,0.005163545534213626,0.15100942114447455,1.37848e-06,0.09976910868862517,0.0470172655501071,0.013523878551198045,0.5376393027402191,7.171259382949879,0.4436856892451839,0.01146290302223911,0.0,0.0,0.0007092373913430949,0.0063350054665234565,0.0009436635405394982,0.00010364961167765297,0.006035358735693843,0.916129697935221,14.925375093964854,0.00024020671352914673,0.0023630124606044004,0.12132294435644897,0.002381551699863266,0.012183898055861554,0.0001673260449439395
700,0.09632081373984831,0.561473364401391,2.647577795328296,2.448192858481107,0.005162846682729899,0.15146517003922785,1.37848e-06,0.09926739395515669,0.0470164145768154,0.013514899525631511,0.5375006412766435,7.169224752879714,0.4431979222272946,0.011788212758099522,0.0,0.0,0.0007092279907118756,0.006334771596629708,0.0009431395903261857,0.0001037996038728685,0.00603535388677116,0.9183972565921704,14.92570965145826,0.0002402143533724909,0.002363011262753401,0.12132270073625852,0.0023815350714558314,0.012185257129188519,0.00016732604437633158
800,0.09631426252609193,0.561467205131189,2.647630996187362,2.4479789877188933,0.005161213167459472,0.1514561220029703,1.37848e-06,0.09863325529757604,0.04701501272862612,0.013324866969041478,0.5374432254232319,7.167555503685476,0.4428466249908408,0.012078307827079821,0.0,0.0,0.0007092248859796907,0.0063332176694204795,0.0009462001055048679,0.00010384950978083112,0.0060353576707114515,0.8943115720289875,14.925681217702943,0.00024025375473040448,0.0023630138782733323,0.12132263197433285,0.0023815654161938376,0.01218603372543019,0.00016732605000288367
900,0.0963209098613753,0.5613405787028898,2.647106443663428,2.447481769740913,0.005161491333133637,0.15180364080122924,1.37848e-06,0.09842989449219217,0.04701185427003236,0.013292615069418593,0.5374343821037958,7.169018543427472,0.4423368376918862,0.012310502667077488,0.0,0.0,0.0007092239877125302,0.006329161046496754,0.0009468915604887339,0.00010392441271116707,0.006035365818392234,0.8864455540803475,14.925946166081895,0.0002402732470389445,0.0023630187609751576,0.12132257766693891,0.0023815984749935583,0.012186733738856726,0.00016732605522579782
