miliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,1.3374748294645314e-14,6.462295322681135e-15,-4.13274453226333e-18,1.336851177758743e-13,-1.0410596066686622e-15
100,-9.141821121435335e-15,6.905907261518822e-15,4.9047537728022066e-17,8.601758653366583e-14,2.2004484707406875e-15
200,-3.463189129453354e-14,7.753475512684393e-15,1.0660379080741064e-16,4.3684073342993296e-14,2.903669660484749e-15
300,-5.85657672662826e-14,9.13776894717699e-15,1.6826540654085233e-16,3.964574826145553e-15,4.221120151952185e-15
400,-7.306191875957666e-14,1.0547031883781177e-14,1.6766918475731483e-16,-9.77787657943062e-15,5.478552488593259e-15
500,-9.160565078388092e-14,1.1914109716507426e-14,1.4960182001198916e-16,-2.483701414282689e-14,6.8409233463087906e-15
600,-1.0614371273771665e-13,1.3935989049260947e-14,1.3146242930347854e-16,-3.952351215743417e-14,6.306001633145598e-15
700,-1.2124434113033337e-13,1.5431092633468572e-14,1.1837750874767924e-16,-5.18344782693405e-14,5.678460846530585e-15
800,-1.35005248846718e-13,1.6028427638917012e-14,1.025058659423711e-16,-6.458718588185018e-14,7.871426424070006e-15
900,-1.48874783768371e-13,1.816492710537165e-14,9.382200978321455e-17,-8.249050837514398e-14,6.969343818849533e-15
1000,-1.6133872233379342e-13,1.947252006885357e-14,7.222941657638317e-17,-9.117987902756993e-14,8.50167118493008e-15
1100,-1.764130969757237e-13,1.9999003748945225e-14,6.245241771441435e-17,-1.056653476354522e-13,8.130639399464685e-15
1200,-1.9462855025781496e-13,2.1445049476638747e-14,4.5289673610654336e-17,-1.1908928591128578e-13,7.690316790376717e-15
1300,-2.1039909391492252e-13,2.2867025298190524e-14,2.8888455314228715e-17,-1.3457682166852489e-13,7.39297034249407e-15
1400,-2.130960224583045e-13,2.4200809813952538e-14,3.0980910981087655e-17,-1.4374543378244874e-13,9.419085978355203e-15
1500,-2.1673148933475302e-13,2.496794056466572e-14,5.584418835574085e-17,-1.4351986626757426e-13,1.39234030512072e-14
1600,-2.164815960662405e-13,2.666455429493267e-14,6.896839061013734e-17,-1.393228811841873e-13,1.653333315573274e-14
1700,-2.1806467314979011e-13,2.750689677913225e-14,8.91435798717963e-17,-1.4082088491426244e-13,2.149375439501551e-14
1800,-2.1831876944531593e-13,2.8678096918679806e-14,1.0673320808814683e-16,-1.4166553613385247e-13,2.5257061613213897e-14
1900,-2.1787713681102074e-13,2.92946105295685e-14,1.2414745691676638e-16,-1.4093317757872072e-13,2.7390194939059104e-14
2000,-2.186106961996709e-13,3.0647462205285024e-14,1.4328444038021365e-16,-1.408245563067769e-13,3.147759781989632e-14
2100,-2.217901071795513e-13,3.1548055147368196e-14,1.614273527267881e-16,-1.4611789015308655e-13,3.407536177976614e-14
2200,-2.1901553626001303e-13,3.3511985837563e-14,1.7848241300917395e-16,-1.4404882523506354e-13,3.711770327105859e-14
2300,-2.2327820545950638e-13,3.4413929351921965e-14,1.9393726299390204e-16,-1.4659790401054633e-13,4.038728212047e-14
2400,-2.197746873425081e-13,3.5514134571203856e-14,2.0744207679034847e-16,-1.413660884425952e-13,4.422536365598366e-14
2500,-2.2162254769901598e-13,3.670247330608299e-14,2.264090516861462e-16,-1.4312476852159276e-13,4.748560382665008e-14
2600,-2.2551695693251727e-13,3.744631256695587e-14,2.486087354588599e-16,-1.4630300722861142e-13,5.288432011908801e-14
2700,-2.2392500286721218e-13,3.852579280549099e-14,2.6091779929220117e-16,-1.4206367109406565e-13,5.4377786495564067e-14
2800,-2.2699258238567723e-13,3.987142256293551e-14,2.7896351728562513e-16,-1.4837021752126056e-13,5.933616816473944e-14
2900,-2.2770916130186894e-13,4.120271320301464e-14,3.0053004135230665e-16,-1.444888966148621e-13,6.184784731117285e-14
3000,-2.2421111467027166e-13,4.162941447923829e-14,3.1267184238548444e-16,-1.457816032983252e-13,6.617241567067708e-14
3100,-2.2401487346961685e-13,4.156180420571939e-14,3.0533691653715075e-16,-1.4477569964825539e-13,6.673311043523499e-14
3200,-2.2260711303378832e-13,4.0624382972725735e-14,2.9127741585555534e-16,-1.4622675909722614e-13,6.566388765858937e-14
3300,-2.211221298937284e-13,4.0001330515273285e-14,2.778253055060528e-16,-1.432934098465695e-13,6.462053439443789e-14
3400,-2.221354952603781e-13,3.9496648410089556e-14,2.64104295880069e-16,-1.4371641149920856e-13,6.412350071958951e-14
3500,-2.1862899716065888e-13,3.869114035062225e-14,2.4633166141503823e-16,-1.399308604555731e-13,6.472974130935973e-14
3600,-2.1845552809757163e-13,3.8466347183184446e-14,2.3355267936227856e-16,-1.376927220207059e-13,6.429486704183241e-14
3700,-2.1202063044675446e-13,3.7128630766977206e-14,2.2074689651602387e-16,-1.3816229417085202e-13,6.243999828794898e-14
3800,-2.1312688157037061e-13,3.692552779957836e-14,2.021130358163569e-16,-1.3819195451906636e-13,6.179126559417392e-14
3900,-2.1366208876926285e-13,3.5912656846400656e-14,1.908910683707115e-16,-1.3551728090028802e-13,6.099132166063622e-14
4000,-2.1197469967589605e-13,3.5230092422993176e-14,1.7178012709790971e-16,-1.3688345755655366e-13,6.241595586973162e-14
4100,-2.0701759449326395e-13,3.5518725610438326e-14,1.611036107616237e-16,-1.3438839240975246e-13,6.036968248803963e-14
4200,-2.0610356788768632e-13,3.4392010690608194e-14,1.4401011876653936e-16,-1.343295302521784e-13,6.058010009338951e-14
4300,-2.0186344067010538e-13,3.399193648757393e-14,1.3361293970021952e-16,-1.298524180764161e-13,6.045644144356417e-14
