milliseconds,f
0,-2.192941019747904e-08
100,1.324460371131674e-07
200,1.6846029208667541e-07
300,4.821897272406748e-07
400,1.4393168850220348e-06
500,1.1172949267227039e-06
600,1.9465032364237844e-06
700,2.354024474177689e-06
800,2.4422337986385257e-06
900,2.4904392005554425e-06
1000,2.4059928325445106e-06
1100,2.976763209809982e-06
1200,3.182125478620061e-06
1300,3.909333258383957e-06
1400,4.247083447619003e-06
1500,4.351507278370216e-06
1600,4.869077873006728e-06
1700,5.0411479733184956e-06
1800,4.924287228319949e-06
1900,4.937223354822031e-06
2000,5.3737757990903844e-06
2100,6.023401835182817e-06
2200,6.151850326550869e-06
2300,6.412094593437999e-06
2400,6.9961703553032515e-06
2500,6.889910735178395e-06
2600,7.370670637886485e-06
2700,7.501066610084375e-06
2800,7.500042345807361e-06
2900,8.263492830078208e-06
3000,8.461358101256777e-06
3100,8.54031466897581e-06
3200,8.892064999212703e-06
3300,9.459735337660585e-06
3400,9.845457607226861e-06
3500,9.44554594452722e-06
3600,1.014338317092889e-05
3700,1.0014075890917056e-05
3800,1.092972102282596e-05
3900,1.073115506902539e-05
4000,1.1118680246531576e-05
4100,1.1526532824034786e-05
4200,1.2003918739108093e-05
4300,1.2330017791071937e-05
4400,1.2044118219434701e-05
4500,1.2282681447303688e-05
4600,1.3068021092729022e-05
4700,1.308378410277771e-05
4800,1.332548048055379e-05
4900,1.328777624639279e-05
5000,1.3858409011962466e-05
