milliseconds,n,c,a,m
0,0.0,0.0,0.0,0.0
100,4.0709984867210515e-07,1.6225432858844378e-05,8.04430133366784e-10,4.078358710269057e-07
200,6.34854539172991e-06,0.00012589653091628228,2.478306958477645e-08,6.371594161467175e-06
300,3.12461106638436e-05,0.00041053281141580116,1.8096385648644542e-07,3.141717513313739e-05
400,9.576222745334355e-05,0.0009365047099825705,7.320134755458684e-07,9.646553349668286e-05
500,0.0002261227595487785,0.0017531655830198933,2.1405368295126076e-06,0.00022821301047341267
600,0.00045230015593974245,0.0028915879694514698,5.094292005137511e-06,0.00045735623027030154
700,0.0008061216030545712,0.004363962250633251,1.051128844242999e-05,0.0008167252111976952
800,0.001319370401488216,0.006163686104677676,1.9526350778924386e-05,0.0013393926182178786
900,0.002021949976406826,0.00826615149289968,3.346107630121297e-05,0.0020568287286248923
1000,0.0029401783251719743,0.01063019939325179,5.3779797597834826e-05,0.0029971708988968974
1100,0.004095276311569262,0.01320019275105352,8.203436580832567e-05,0.004183672344115914
1200,0.005502099696599241,0.015908618252832855,0.00011980108429109724,0.005633382388693052
1300,0.007168172989594107,0.018679143528036443,0.00016861274419122376,0.007356118115142644
1400,0.009093051348068877,0.021429986432154602,0.0002298896566651314,0.009353757094726432
1500,0.0112680316424672,0.02407747033433245,0.000304872891424323,0.01161987526555608
1600,0.013676227539275299,0.026539637266901783,0.0003945627764096832,0.014139747770930928
1700,0.016292998274155503,0.028739765851795683,0.0004996657503478085,0.01689070593254791
1800,0.019086713212126735,0.030609660491547466,0.0006205519743431425,0.019842835438986656
1900,0.022019819293986387,0.03209258042655732,0.0007572257533954645,0.02295998575673465
2000,0.025050166273749036,0.033145692301742045,0.0009093102236553015,0.0262010481981504
2100,0.02813253506434026,0.033741949628618116,0.0010760471342892842,0.02952145001722471
2200,0.031220306076437204,0.03387132434571692,0.0012563119281193496,0.03287480296387175
2300,0.034267199096195564,0.03354134226904066,0.0014486436655846483,0.03621463877805903
2400,0.03722901346328262,0.03277690196446576,0.0016512887185170968,0.03949616069630383
2500,0.04006529336924804,0.03161937072594096,0.001862256780285033,0.0426779357738687
2600,0.042740861995669094,0.030125051498531907,0.002079386182670968,0.0457234695507766
2700,0.045227160733729635,0.028363039158113897,0.0023004167950984814,0.048602598753211004
2800,0.047503309979390736,0.026412473660646595,0.002523068606216261,0.05129261822605087
2900,0.049556885466990365,0.024359461590975757,0.002745120556326186,0.05377913003641693
3000,0.05138436511231209,0.0222937212868677,0.002964487492902201,0.05605656832501969
3100,0.05299122313272842,0.020305056702491556,0.0031792926811930263,0.058128374293410445
3200,0.05439162250851471,0.018476468507599396,0.003387933020476339,0.06000676898325359
3300,0.05560553025980054,0.01683397125095316,0.0035891250457829285,0.06170993728906288
3400,0.05665251943085271,0.01536122492587635,0.003781898937182046,0.06325585280740492
3500,0.05755034252330267,0.014042194756039914,0.0039655547484605475,0.06466083808235513
3600,0.058315031510586576,0.01286209228092995,0.004139618292626878,0.06593964784290679
3700,0.05896105845308639,0.01180755841121719,0.004303806797617086,0.06710561581305516
3800,0.05950147316137645,0.01086638958123744,0.004457996883655013,0.06817077903772505
3900,0.059948041841541455,0.010027395333048882,0.00460219274062483,0.06914600263191131
4000,0.06031134882036066,0.009280374524172514,0.004736504514666979,0.07004107130124483
4100,0.06060090420477264,0.008616047208293063,0.004861127284827407,0.07086478661031452
4200,0.06082524424405768,0.00802596782971717,0.00497632301319252,0.0716250578900832
4300,0.0609920154760635,0.0075024577115058,0.005082406173030878,0.07232897843067551
4400,0.06110806092923406,0.007038541662510418,0.005179729920899172,0.0729829035774543
4500,0.06117950240872525,0.006627887851378411,0.00526867425223138,0.07359252541830237
4600,0.061211792581378356,0.006264767914420173,0.005349639161951251,0.07416292014263741
4700,0.06120978004814673,0.005944006812495839,0.005423036508229783,0.07469860725216329
4800,0.06117777841499307,0.005660929084518085,0.005489282030888195,0.07520361247804547
4900,0.06111962089611338,0.005411314675658006,0.005548789928884263,0.0756815176143076
5000,0.06103870781829194,0.005191361256904117,0.005601968817740821,0.07613550395102842
