milliseconds,v
0,2.079271648740292
100,2.9701367922790896
200,9.694076076857534
300,11.263161090165399
400,13.593041521702085
500,17.9801594288355
600,21.72264223800505
700,25.08459466594758
800,26.587549807003562
900,32.74058191311942
1000,33.312777841558606
1100,37.69387480563123
1200,41.162034787172516
1300,44.54597006199737
1400,46.441658145035504
1500,50.919872108196245
1600,54.99554640504327
1700,58.05195669178322
1800,61.25027841448163
1900,63.234105044890654
2000,65.94211090210253
2100,70.2402185552071
2200,74.56100685859144
2300,74.14854029889011
2400,79.16736230498452
2500,82.47366360426392
2600,85.44938009641402
2700,91.73246975729776
2800,93.38167972989807
2900,94.32186733697768
3000,99.34674064821866
3100,104.06816008534666
3200,104.34104576437777
3300,110.1509469070468
3400,110.54179034718472
3500,114.85530478729126
3600,121.01390407298501
3700,123.4741283001385
3800,126.19411278316022
3900,130.2860268168401
4000,130.00303129672233
4100,135.8082387390827
4200,137.58003795592998
4300,140.33373754159422
4400,147.6385475975039
4500,150.32634095274463
4600,153.2727023471517
4700,154.83752748510545
4800,160.27472674017275
4900,161.26747362215076
5000,164.89683877507574
