milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,IR,ROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,AbetaDimer,AbetaPlaque_GliaA,GliaI,GliaM1,GliaM2,GliaA,antiAb,Abeta_antiAb,AbetaDimer_antiAb,degAbetaGlia,disaggPlaque1,disaggPlaque2
0,5.000284965229864,4.995565512138555,94.99820048234803,9.999663423728553,9.999999999968054,-5.332448083152786e-17,200.0,1.2106486859795847e-20,3.328454044552473e-16,0.0,4.084693347757507e-11,-1.776047484283861e-15,101.87830315360388,100.54009421240247,-1.0567309733984482,-0.32212585020862355,499.9999997436973,4002.7544219669717,200.0,200.0,200.0,0.003442896903883772,0.0011543760072000929,-0.00017765692781255784,5.084725198813976e-06,1.067918090011373e-05,5.984601748939473e-06,1.1485922266529202e-06,1.3611313039558002e-07,-1.2109539122373422e-08,7.539810443442873e-21,5.228341068269501e-22,1.7250018015694195e-23,-1.0519231516575684e-24,-3.882780783461714e-09,-2.9903631559391523e-12,-4.217622175065746e-28,499.9996884997669,-0.00031238730457085954,-2.4073266958423307e-23,-3.923282494165659e-07,6.115589988999945e-16,-1.581169766360937e-12,0.0005684210177042237,6.402649256034317e-05,-3.596697172423356e-06,100.00104866640882,-1.1475155230488868e-11,-2.6790593830384357e-15,2.2831652965799198e-07,50.0,6.873800398929708e-15,-5.514429771171357e-12,0.0,100.0,1.3185075393630784e-17,1.2590045338544335e-33,0.0,0.0,0.0,0.0,0.0,-1.3548792742424782e-16,0.0
100,5.000295814643478,4.99956793328993,95.0017437468301,9.999488480662048,9.999999999986027,-3.487220131115509e-18,200.0,-1.93454194516802e-20,2.552532941737535e-16,0.0,7.022323205956625e-11,1.417091523117899e-15,97.00881537017155,100.73513495878746,4.59451347001252,-0.6244185968932288,499.99999982391955,3993.3045528442426,200.0,200.0,200.0,-0.001327871341460428,0.0004317944558248328,-6.425562213098795e-05,1.227133406584149e-06,-8.648788760284755e-08,1.961270886475666e-05,-3.31514739497134e-06,1.0096301780257019e-07,-1.2368501029140477e-08,2.783431658320992e-20,1.8677890391365514e-21,9.130270408707748e-23,2.405963597093152e-24,2.8102590798246388e-09,-4.898232285577784e-12,-5.381324588857351e-28,499.99916150780103,0.0009320410950364533,-1.7994823351377626e-23,2.929780639544682e-06,9.339274546388796e-16,-1.0283058745554697e-12,0.0015517361856090361,-8.552818571571932e-05,6.25511240857863e-06,99.99856565841856,2.975187331311712e-11,-1.1135873862684015e-15,1.7171396274966687e-07,50.0,-4.538298328537377e-15,-5.812189009935683e-12,0.0,100.0,-1.0038729083297912e-16,9.632731162022504e-34,0.0,0.0,0.0,0.0,0.0,3.523621096393684e-16,0.0
200,4.998462874339409,5.010774197925121,95.00148562736278,9.99986007128392,9.999999999976346,-3.78173569806196e-18,200.0,-1.2435017979476098e-20,-2.04995268929661e-16,0.0,5.1223871860242366e-11,1.2297651675592886e-15,91.4918042263506,99.3456936443064,11.432917019258435,0.8264803626095885,500.0000002298485,3987.3656858172594,200.0,200.0,200.0,-0.00042233076688193974,-0.0010810454406008575,2.9697400076897796e-05,-1.0821096843404695e-05,-4.3734503525579466e-07,1.419327060501171e-05,2.2242478216925426e-06,8.817270316289431e-08,-7.879010816850475e-09,1.6168409692994155e-20,3.30061441100188e-22,-6.405998286955598e-23,2.233545537865292e-24,6.615813325667466e-09,-1.7650468567521136e-12,-3.4494396696853976e-28,499.9986608852088,0.0007427222997555659,-8.140694441310339e-24,5.953307948753802e-06,6.994961837151837e-16,1.5630206235278028e-12,0.0026701879613773667,-8.75134451274272e-06,-6.121074746623002e-06,99.9979825638525,-1.8805835414491058e-11,2.3617692403497745e-15,1.809429237695173e-07,50.0,-4.362490808299428e-14,1.3154587264030122e-11,0.0,100.0,1.0641584066715001e-17,-2.8129256624690056e-33,0.0,0.0,0.0,0.0,0.0,4.85049910889853e-16,0.0
300,4.993794426729562,5.012742531359268,95.0066112734542,9.999291599487531,9.999999999951775,2.7982221680340166e-17,200.0,-4.4639255758584455e-21,2.3901850867560895e-18,0.0,-3.797167190464247e-11,1.9264037243283236e-15,85.0320905762474,100.52786075438244,14.237615856808437,0.7893927028921432,499.9999998011716,3984.8422287871585,200.0,200.0,200.0,0.0056559035289186245,0.0009652702244118956,-5.5961775052067856e-05,2.467193048616704e-06,-9.457016722476832e-06,2.764961889707337e-05,1.5255935910898378e-06,1.640219681234396e-07,8.440410320349971e-09,2.4186391176080674e-20,4.96037707446574e-22,-6.831411191355783e-23,2.210667695208192e-24,1.445866425861331e-09,-3.333637890160144e-12,1.0419846578235244e-27,499.9990845732508,0.0014095771503598695,1.849374677218278e-23,7.315716031797926e-06,-3.6410322005080033e-16,-1.6930323771808844e-12,0.002230527108779634,-3.8240796628182135e-05,-1.3081762238666695e-05,99.99679002587092,-3.951404940389164e-11,-6.269101635103426e-16,2.4913214654281354e-08,50.0,4.070464455686172e-14,-3.3310605796868733e-12,0.0,100.0,-3.2903175822267855e-17,-5.12482499416478e-34,0.0,0.0,0.0,0.0,0.0,-1.4706398931619324e-16,0.0
400,4.992194013018997,5.012816014401142,95.01139821054713,9.998654316720224,9.999999999959423,-1.254799959728052e-17,200.0,-3.726026701252781e-20,2.631457179203783e-16,0.0,-1.138734482011566e-10,1.9010955307390365e-15,81.26558251362002,98.98544859424894,16.685436241289036,0.5901205865009883,499.99999974051605,3981.950002780568,200.0,200.0,200.0,-0.0016095046931816422,-0.0007518016640162721,7.255474544528857e-05,-3.5370375199452164e-06,1.4658254542245011e-05,-2.9677537240537265e-06,1.36682608260235e-06,1.8091981963091076e-07,3.776063168628848e-09,-2.7770011128175684e-21,-1.4768778339060348e-21,-8.806386303628777e-24,-5.484750639180146e-25,-2.957570311075883e-09,-4.976411837844333e-12,1.9019278350235706e-28,499.998402452699,0.0017272009774323487,1.3956558245534008e-24,7.563989100278616e-06,-1.0400201386267045e-15,4.3342134103063233e-13,0.003999933068561119,-4.2330103575714774e-05,-4.640624733604992e-06,99.99676418810661,-2.9056821856075296e-11,-2.0650748987547346e-16,3.169891555975979e-07,50.0,-4.627574529822141e-14,-2.582075571749705e-12,0.0,100.0,1.1907754425167344e-17,-4.304502475762376e-34,0.0,0.0,0.0,0.0,0.0,-2.27833003980232e-16,0.0
500,4.988852264260987,5.021754006013692,95.01519434482782,9.999110899450706,10.000000000000668,-5.1717462066466797e-17,200.0,7.759244976385564e-21,9.216758457421631e-17,0.0,-3.939997605975465e-11,-1.3772232581809445e-15,79.35879028130239,99.60896005863856,22.19924733466258,0.5817774347859375,500.0000001248633,3974.5821789360966,200.0,200.0,200.0,0.0020909002115559803,-0.0010375703342437848,-5.8308401041518684e-05,4.163890026200735e-06,-6.774661747805876e-06,1.185090912880317e-05,1.5416109435158737e-06,-1.216691299826213e-07,3.618004915377392e-09,2.203705971721334e-20,1.992092547401418e-21,-3.464542628472357e-23,-3.0813173477953357e-24,-3.538941506916397e-09,3.997668080106004e-12,-5.0331508397661537e-29,499.9973603912728,0.001955428747879341,8.002952969244036e-24,1.0059775657861589e-05,-1.0372211239048793e-15,2.140678613315163e-12,0.004335676251984197,8.209164734739064e-05,9.023333821533997e-06,99.99518480083368,6.674109436736246e-12,4.279643350653347e-16,-1.321546052788458e-07,50.0,5.544142136738267e-14,-2.4256688819896906e-12,0.0,100.0,9.489602936833347e-17,2.2089269839015347e-33,0.0,0.0,0.0,0.0,0.0,-2.1190738230511626e-16,0.0
600,4.988133686752893,5.019349308671361,95.0199081078686,9.998163120485643,9.999999999974339,3.363561457691023e-17,200.0,3.0937856881162297e-20,1.3212082484482814e-16,0.0,-6.487687304566352e-11,1.9157367236013698e-15,75.30567860692372,99.54393372940872,25.129292554617066,0.6181310625619894,499.9999997024879,3970.73515343623,200.0,200.0,200.0,-0.004367504285952758,-0.0006889963094499685,-0.0001399641224727884,1.1265745929394558e-05,-7.878193999345317e-06,1.3719232936799171e-05,-5.23885543696076e-07,2.3154752985212855e-07,-1.0355338469691998e-08,1.916623541145339e-20,-7.000966894384777e-22,5.048225027349169e-23,2.023337823440722e-24,1.092026987164315e-09,5.7128619534971054e-12,4.818300796455977e-28,499.9965986143734,0.002608155031005087,4.0776035212316514e-24,1.3412037449653938e-05,7.154537283164514e-16,-1.1429041695245168e-12,0.005551977348080589,0.00011398581615878719,5.911211496127065e-06,99.99514185185497,-3.5721783490866336e-11,1.7365789716018048e-15,-1.1632507160508505e-07,50.0,2.3315225174750064e-14,4.680067820066859e-12,0.0,100.0,5.724931281631637e-17,2.194472259763527e-33,0.0,0.0,0.0,0.0,0.0,3.875875053195983e-16,0.0
700,4.982147486084058,5.023230087318595,95.01474316225934,9.998113383539934,10.000000000060622,2.381242535972386e-17,200.0,-1.6147225976304676e-20,1.056407582948597e-16,0.0,6.178430819106802e-11,-6.599476183812093e-16,68.37295186493658,99.63943643933099,29.62086040351785,0.5095073256298515,499.9999997322876,3968.7382546843887,200.0,200.0,200.0,0.00017921969215981318,-0.0004012506166824305,-4.1995244733207346e-05,-1.1162060875822447e-05,1.0327786580473257e-05,2.1928865336203823e-05,2.702960215020626e-06,-1.1736442725932068e-07,9.509159445149715e-09,-2.702930687278824e-20,8.026088491060545e-22,5.9996530713306e-23,3.119167880524894e-24,2.625303962250181e-10,4.5804945460559865e-12,-1.077727568961327e-27,499.9960057026767,0.0039667956049516655,8.874346654960202e-24,1.3720039034306583e-05,-8.989749451115653e-17,3.4807779400209693e-13,0.007332378199333436,0.0001414697005815824,1.7848206750500488e-05,99.99406053483493,-3.359306878534301e-11,1.0482032279987762e-16,3.5817303790041205e-08,50.0,-3.017338328639044e-14,-1.704168361775091e-11,0.0,100.0,8.0980867261282e-17,-9.349744279038833e-34,0.0,0.0,0.0,0.0,0.0,-3.1521737808448366e-16,0.0
800,4.982179063212687,5.028558991657498,95.01905720628142,9.99796470528887,10.00000000006897,-4.4795987445639654e-17,200.0,-1.2436086607137926e-20,3.6503651187862983e-17,0.0,1.6714131512388616e-10,8.25794163386523e-16,66.86436222703378,98.34237559139237,31.257182780628902,1.4796713954083602,499.9999996037011,3962.2337888478432,200.0,200.0,200.0,0.00674323442556965,0.0013428861690616958,0.00010357485351103845,-4.187856380817056e-06,7.80531066898501e-06,-1.8742298466155448e-05,2.4086507022929544e-06,7.850993849888252e-08,-1.3891723953086717e-08,1.2337766750983537e-20,-1.0879858726124141e-21,2.646237330962387e-23,1.58141389946869e-24,-3.84794479901576e-09,-3.833455678683443e-12,-6.56817847114408e-28,499.99524050302307,0.004579754124236155,-1.0348393435644112e-24,1.629320216117412e-05,-8.664516122755048e-16,-1.0838545232666813e-12,0.007451946377152032,0.00034593643847950507,1.820058842545121e-05,99.99169267480868,-5.848954485581191e-11,-1.0867214994144656e-16,1.165540679226426e-07,50.0,4.300137548924959e-14,-2.0202902714646368e-11,0.0,100.0,-1.9383476440022417e-18,2.589408048889184e-33,0.0,0.0,0.0,0.0,0.0,4.729249186447149e-16,0.0
900,4.981146554364839,5.037761480658304,95.02191138150827,9.997955230689149,10.000000000117645,1.1175148346919748e-17,200.0,-1.956805629347491e-20,2.9880588176590434e-17,0.0,2.2303873568514412e-10,1.6192480777792749e-15,62.05834558625732,97.51496366549526,36.52890179064542,1.3202738467410766,499.99999973364146,3960.028345648264,200.0,200.0,200.0,0.0043109612051182335,0.0007694942351292579,5.3489911664686365e-06,3.077491478866421e-06,-9.41509293926922e-06,2.8666069404913545e-05,-8.477455513567227e-07,1.5693117573062231e-07,-1.363849706567644e-08,9.940222776747673e-21,-1.672247422105245e-21,-4.206713186174453e-24,-7.827007122638153e-25,1.9760294843224914e-10,5.967645251280162e-12,6.857162550722769e-29,499.9953132778263,0.004715501810920675,1.8268002467247403e-23,1.9464507415066563e-05,8.606533856797583e-16,2.458418427151548e-12,0.00899670141924847,0.00037115647884021345,2.337155731353918e-05,99.99060090523892,-9.365442556103258e-12,-2.137693117016097e-15,3.127263305837491e-07,50.0,-1.419117356255453e-14,-1.5777389956209732e-11,0.0,100.0,3.352185571161025e-17,-1.9228403206808848e-33,0.0,0.0,0.0,0.0,0.0,-2.2174243713370956e-16,0.0
