miliseconds,IR_beta,IR_beta_pY1146,IR_beta_refractory,IRS,IRS_p,IRS_pS636,AMPK,AMPK_pT172,Akt,Akt_pT308,Akt_pS473,Akt_pT308_pS473,TSC1_TSC2,TSC1_TSC2_pT1462,TSC1_TSC2_pS1387,mTORC1,mTORC1_pS2448,mTORC2,mTORC2_pS2481,p70_S6K,p70_S6K_pT229,p70_S6K_pT389,p70_S6K_pT229_pT389,PRAS40,PRAS40_pT246,PRAS40_pS183,PRAS40_pT246_pS183,PI3K_variant,PI3K_variant_p,PI3K_PDK1,PI3K_p_PDK1
0,50.0,0.0,0.0,149.74387234583745,-0.22277552342148108,-0.0008711699229825512,49.9593193784517,0.01075362793577343,299.9294653461138,-0.0760595599896763,-0.03148669089876004,0.0008824256735557906,50.013760895337526,-0.00038162185016309195,0.015624862678264522,99.96262113982205,0.003910626254221538,100.00393113536117,-0.00327731714812333,300.011971766116,-0.008196355699983088,-0.016128472027792645,0.002095244148061995,19.922026640549767,-0.022423299807695526,-0.010703797753062393,0.002339138585075876,50.0,0.0,49.998463587549026,-0.0003647806758099276
100,50.0,0.0,0.0,149.57203351945472,0.7941146969895709,0.0008745024248835414,45.12135347200498,4.843931392237169,299.8344606867233,0.10376769623783218,0.0050734325505068685,-0.0017210456754614425,50.007029058221,-0.05829997375727426,0.04068985268783706,99.88842816306361,0.1392149748704813,99.77000262265152,0.23164894796141683,299.92537185904587,0.009967173782751497,-0.022750065499364865,0.003445545904205218,20.02586234212182,0.01789601611959736,0.061169241871266086,0.0021059468078701233,50.0,0.0,50.00152176067865,0.005452991085733762
200,50.0,0.0,0.0,149.03789252158458,0.9371868443070069,-0.003378025932086723,45.11073130529663,4.933281581088214,300.08619176764756,0.015253109638542307,0.013621382775063012,0.0003308459930815827,49.8358232468046,-0.052512094696570595,0.09588326974537828,99.7196009321861,0.2753126283758546,99.51631492266446,0.48162716563626895,299.9864813543014,0.0014656775112500133,0.024326765524219605,0.002339662940663636,19.82287108006408,-0.03844825903567868,0.04012713900942126,-0.0057975475002593,50.0,0.0,50.0035257525442,-0.0041243737765861935
300,50.0,0.0,0.0,148.2432844616089,1.5352638823265576,0.0013274106956196712,44.97897249111976,5.00788166593245,299.7715334178634,0.1750453153292112,0.015943654251416254,-0.0011278962851840367,49.87021840197422,-0.014332770243757901,0.13771407528236107,99.59860593330917,0.4842176404706269,99.36279861496,0.6432524132294651,299.987412453909,0.03450848784936365,0.049455664205288366,0.0023736518339522315,19.812740364270603,0.04667558859171769,0.20348372582018187,-0.004056717496759132,50.0,0.0,49.99520612946957,0.005995519342931901
400,50.0,0.0,0.0,147.75797423819463,1.8492070418365547,0.0009197094994076624,44.92876702920019,5.080968216234743,300.0455692496489,0.000471377619491245,0.03347302639073521,0.0001156923742354088,49.74907841091252,0.08820271289339757,0.17608910130218947,99.43065894950993,0.5398362497582101,99.16932725942266,0.8123826963940868,299.86368378117135,0.01749482402032575,0.07104688469153443,-0.002499383511288585,19.598742295336972,0.06268916608831282,0.2704898732786961,0.006570316932919442,50.0,0.0,49.991623838689826,0.006422694639678107
500,50.0,0.0,0.0,147.6214812071331,2.472420422352437,0.0005816587119520087,44.88450685950576,5.081891785959005,299.96116256193085,0.12633522261099933,0.05106058096137016,0.001474628463445359,49.69034399351053,0.1339736876423222,0.2113665799496216,99.25842904859225,0.7223303271800601,99.04458291947196,0.9529462325478558,299.84111746781696,-0.0018351305852352708,0.13593288782520427,-0.0053849413279559825,19.53917636513801,0.041593442570912305,0.46457290364318266,0.0019714615444520653,50.0,0.0,49.99046673635996,0.005380990045862102
600,50.0,0.0,0.0,146.7562457598062,2.7897546673092326,-0.0008711208055137129,44.82812979686646,5.212081361625653,299.9548240901243,0.24130594065171576,0.026313379008652944,-0.0007971058353683231,49.71256095250161,0.0437612993667928,0.2617501079318334,99.15933893496077,0.7835777386354553,98.90788984574823,1.0577500419636972,299.77079009649793,0.01734721179159259,0.18175795487795418,-0.004507814814164351,19.432842703271874,0.10315501560763268,0.5378767050935678,0.011324642365238578,50.0,0.0,49.99107828420653,0.010473259552727085
700,50.0,0.0,0.0,146.46434762257203,3.664116377224053,0.0032987465464713256,44.75552758652042,5.175350363952541,299.88984807109034,0.17435754743275328,0.0074246225641212546,0.0021844884554451634,49.6337809729976,0.09662765461358669,0.27275904222579545,99.08937026859742,0.9421208251079486,98.80543665204387,1.1893293934688929,299.75765304989744,0.007581175720076975,0.24024633487102925,-0.00375432826908284,19.224261741920735,0.09635555511143881,0.6822126601791021,0.004360743188430119,50.0,0.0,49.98932703304485,0.01380527471249586
800,50.0,0.0,0.0,146.02223562120932,4.139337962092855,0.003474259506603321,44.7244257260216,5.289046685003524,299.6453203132498,0.4770001098207389,-0.005334358379916346,0.0003964017185263274,49.56550196515902,0.14105588953166376,0.3198088661484711,98.95958094955422,1.0684040136162576,98.73285532806321,1.2727887352708642,299.7820272073027,0.008166039024970036,0.2831194278606718,0.005754853640638049,18.937643190893933,0.11956716217396776,0.8759507973596562,-0.0036531053404671244,50.0,0.0,49.98211789636904,0.011139426909323309
900,50.0,0.0,0.0,145.71625232316174,4.615037151674585,-0.0018331290401746025,44.672472574256616,5.385343369921564,299.70273673468864,0.5772566298439551,-0.01802312804515796,0.001232741230299341,49.507051573212316,0.17505764747919747,0.35422148156025535,98.84356944939307,1.1835593834185134,98.64822062454284,1.36910357451788,299.5857603559021,0.054385895678009416,0.3154394987249582,0.0029107394773474388,18.88022127190062,0.15664532895435798,1.0002735899369222,0.0070256199635799306,50.0,0.0,49.98531905879663,0.01878375624213132
1000,50.0,0.0,0.0,145.19786867202401,5.03608793110675,0.004390921949388946,44.61660251260192,5.432172830833423,299.6230681980882,0.6680843765076646,0.050042400669614004,-0.0003960544272226072,49.27711545764787,0.33819454754766576,0.38788009633599574,98.73379395645036,1.3036347314757513,98.57427272102034,1.4166420420955996,299.6245328186451,0.026541020100164778,0.3819267271001259,0.0018560689105925532,18.700662926194568,0.15343054386621358,1.191802172907787,0.002348113963531068,50.0,0.0,49.973098330906055,0.02362367460044989
1100,50.0,0.0,0.0,144.65020190562072,5.457558936453381,0.002605115210804311,44.502029936655234,5.437992856242976,299.1857274374722,0.573119034819101,0.07623274515086909,0.0029020426702372,49.281661666585734,0.2910657388051129,0.4135182650526991,98.61762193658637,1.3589090619952062,98.50516066659839,1.4755132679614495,299.47344397757337,0.026891791655561856,0.42627967432320263,-0.0005364624883716269,18.38278992651815,0.2151229633558862,1.364196765653481,0.018210971242175824,50.0,0.0,49.97448488088522,0.02952461528187064
1200,50.0,0.0,0.0,144.43766282572594,6.054736866111973,0.0009956883479702596,44.49122274919318,5.4477665283255154,299.23879754539075,0.7594920987753119,0.08390816712596628,0.003743251324140038,49.236170743951035,0.35386513278302156,0.4521045790531061,98.50135970966238,1.4254265808419349,98.4671317181391,1.5116404452445575,299.50635469442983,0.030591908604101846,0.49366803893293676,0.0054051010028365,18.181404476252457,0.26657354810404926,1.5160961073195465,0.012703339609257647,50.0,0.0,49.96419431830083,0.0354657681667153
1300,50.0,0.0,0.0,143.45837145108814,6.0708291166431865,-0.0023930993382200363,44.423260479521154,5.51923111866961,299.17795896625864,0.9526262810756957,0.030323351012404853,0.004133590952358706,49.001095874834704,0.4782329329110717,0.5025193400253025,98.4631837026557,1.531297045408582,98.4157834823184,1.550782617520372,299.33558703079075,0.061147591600054715,0.5634860545019874,0.004692267340286691,18.008178114493223,0.3507127900450054,1.5753356310774098,0.03208032633016393,50.0,0.0,49.95861647855658,0.03134237227416996
1400,50.0,0.0,0.0,143.03153271254226,6.757420221794151,0.0015422891066281777,44.41723908185542,5.621880468485803,298.7470213830209,1.076268615338379,0.1398493713707854,0.004370396115183018,48.98375461978157,0.5649934918869927,0.5466821345533226,98.36751421879431,1.6564708101758485,98.37868442245502,1.6087310570767934,299.2960306373278,0.10966011832277951,0.6192638489438584,0.005413921646495923,17.751522558398808,0.3687878102561974,1.7202888117740167,0.03520456878381915,50.0,0.0,49.95853843670156,0.03544239458418096
1500,50.0,0.0,0.0,142.41354794644886,7.410320207544219,-0.0014415475815328853,44.363404431453795,5.670358749789271,298.90615808562177,1.2744379884970045,0.12726942058133386,0.003861346495924734,48.90477844551875,0.606563633793357,0.5672006778512914,98.2540345781453,1.7566035572242482,98.38057833599527,1.6378202451342128,299.2644628944422,0.09651808324350446,0.6687345200875943,0.009182174000137464,17.736543397788854,0.46341601583183917,1.8710518765837745,0.03349560849959946,50.0,0.0,49.95130608482413,0.046173208987400724
1600,50.0,0.0,0.0,142.45326480960748,7.724734669214856,0.0025640053044500193,44.251115906531226,5.686609069273509,298.3739762408346,1.429428976250611,0.1364786628019618,0.004201658908122482,48.74240663413552,0.6831318902427101,0.6129386485960218,98.21325266342336,1.8185690337719504,98.33565010223573,1.6547533633620566,299.21371089797486,0.09353388296401174,0.7439607228579839,-0.0007580687673768979,17.50885679810811,0.4988070392065989,1.9488323243835717,0.047524966911964665,50.0,0.0,49.94190686345867,0.05489699423708528
1700,50.0,0.0,0.0,141.61519963910138,7.999797308952633,0.006489211574675592,44.27463791990222,5.788055264112684,298.19405490522405,1.4722536971903466,0.14108360510701676,0.006864572456836772,48.57426704606425,0.797075632659451,0.6427939910211927,98.0985553900006,1.8560679030266696,98.2948549672882,1.706687956183864,299.0818034371425,0.1459449770575487,0.802461863221727,0.012335325622626233,17.22411331055014,0.5501014308017904,2.0481979447562226,0.05816223329762632,50.0,0.0,49.93749893143365,0.05421863378644647
1800,50.0,0.0,0.0,141.0391553532,8.88963867078229,0.003523760681352881,44.20154125393689,5.842890895048309,297.9539846823645,1.6402581302940358,0.23949057669683088,0.0061697588096524545,48.450008492142366,0.8716622383667403,0.6874896598512603,98.03344537045382,1.9057410071083225,98.28589009148315,1.7221386260348888,298.92961077436763,0.1625036414973459,0.8371215145661963,0.007613517397498182,17.184958190024595,0.6572728270436212,2.2294710663346105,0.06887116300652575,50.0,0.0,49.93198714116764,0.06110806014010826
1900,50.0,0.0,0.0,141.0367045788815,9.060731261696423,0.0030019474372337597,44.15207677563788,5.840610393563007,297.92541919572545,1.7967135081139747,0.3020778338769368,0.005652855318825492,48.39887313611462,0.9163289505064951,0.6897405944933359,97.9577473863298,2.011240950096306,98.27625897841797,1.7270549420130052,298.9182833889014,0.16313006836161578,0.9429238602998453,0.006473575432997544,17.01024392690536,0.6482874464890701,2.280102746715533,0.07869202402279629,50.0,0.0,49.92312534540648,0.07155543605520238
2000,50.0,0.0,0.0,140.12373797758013,9.914294618702483,0.011664743702363228,44.02538168999554,5.904308586676295,297.6043034114343,2.1293899689002553,0.2627292779888016,0.007155016946239499,48.22977904813453,0.9521955502033098,0.7445521293123096,97.90856560960148,2.116472282206248,98.27084204416983,1.7358036471891571,298.7849870924375,0.1726282277336929,0.9907295134044586,0.010865590815599667,16.809993112018038,0.7821188150680431,2.4014410234938683,0.08683584055955983,50.0,0.0,49.913824811728034,0.08201406513224514
2100,50.0,0.0,0.0,139.84941661130244,10.222555299206645,0.008363646633660314,44.054958439155136,5.992622928225341,297.4101908977825,2.2298561095688605,0.35261585457097727,0.009562717006791647,48.18388080972655,1.1355389632337294,0.766444555278683,97.83924789633066,2.1306333472775782,98.22293495656777,1.7704677947880305,298.6623768451778,0.23862776945899594,0.9930649314179629,0.022460256174027027,16.72520694313059,0.8128780278941102,2.4255117297454696,0.09972218022804202,50.0,0.0,49.909996523904695,0.0835106634720227
2200,50.0,0.0,0.0,139.6060763686002,10.604436323414257,0.015747122380535848,43.921110462551624,6.069494280878246,297.34156068097684,2.456195050038524,0.37340102597524377,0.009295715126433804,47.956347153368476,1.1987847827785112,0.8184528817276111,97.8014707292095,2.1942399664421273,98.2304263345934,1.7663873961193113,298.62241874613267,0.2340865691724389,1.0778773717906895,0.018378752070594518,16.5058500760503,0.877807013987266,2.528486804848376,0.11834327533990627,50.0,0.0,49.899164197114814,0.09252357425694505
2300,50.0,0.0,0.0,139.08604692613238,10.932496587186115,0.011253377192442956,43.94271422339867,6.087941516628498,296.80212947073716,2.4889155589357284,0.41111983040094224,0.0132876352558333,47.97271257012731,1.276309417088778,0.8155095977774461,97.69325931553328,2.300610891796868,98.22017488579058,1.7686057890328837,298.5619583588672,0.29752038640443723,1.1019772182407483,0.02966931653310796,16.377392781067545,0.9440568025623604,2.632232266993517,0.12885023454833067,50.0,0.0,49.8944565288219,0.10905385493669814
2400,50.0,0.0,0.0,138.50037529726953,11.161811970868278,0.02115937670649391,43.88356420810045,6.200376687594327,296.53180822123613,2.6877136706246945,0.5070873169143926,0.014743558336238265,47.81564343305662,1.3607664048648396,0.8706465544307787,97.7147121417683,2.3153966338429215,98.21911637503332,1.8028540481275293,298.51802728831655,0.37101433910119486,1.180817484355947,0.02899728601032726,16.23819079637939,1.0010832775047624,2.659025881389813,0.15208403581533259,50.0,0.0,49.89111285680735,0.11453078432265326
2500,50.0,0.0,0.0,138.20191098493595,12.078674350716021,0.01821161486552386,43.855299587129984,6.23759504113098,296.6171018958025,3.0777286058837774,0.5772615929843466,0.015179338669641896,47.6830237386205,1.4865747336054873,0.8959764854929879,97.61385389615704,2.371012691504721,98.20221860970298,1.8208675506896885,298.3374256566465,0.3511089300281155,1.262415605849375,0.03673161992413661,16.08927386836837,1.1074818239594169,2.698925756976691,0.16066333325696797,50.0,0.0,49.884789215143435,0.12617624705924008
2600,50.0,0.0,0.0,137.73283176004162,12.391922599761076,0.020576437482053483,43.74095117490081,6.221174855927267,296.33184949003106,3.317729720005664,0.6543555952694345,0.015985689571685103,47.57127778831954,1.6251961523072302,0.9119191340535343,97.58490721549418,2.4642845744425914,98.1850744725739,1.7879245484902806,298.32352886972313,0.4017058033423967,1.308235683827186,0.03853667171794402,15.857846150624242,1.185523665889929,2.7683813880192654,0.18562822048900623,50.0,0.0,49.87563095739924,0.12608249032835978
2700,50.0,0.0,0.0,137.45925569352227,12.551498433430675,0.03301618344528164,43.73884956529503,6.272769290316391,295.75761698315364,3.4720735030325764,0.6990559897496884,0.01825144468625403,47.33862343612088,1.690530475771476,0.9332373245414547,97.55533793461842,2.4649688907784406,98.17842661933572,1.7933101473504527,298.10126367891115,0.4727327626252632,1.3264133720529347,0.043998603491577755,15.715325379307043,1.2273450724999324,2.902905356278747,0.20440965529920652,50.0,0.0,49.86531909366896,0.14450286214585387
2800,50.0,0.0,0.0,136.77469180435847,13.261962214598084,0.03281617703212958,43.67434290912899,6.33637649597203,295.45891035172707,3.544896258006964,0.7289205088059396,0.020476167665374873,47.292580430275564,1.811041917817375,0.9776312422419585,97.515674805798,2.5227370948085044,98.16567837403528,1.8204205081495084,298.1069182649369,0.5467893412232273,1.3585057759895738,0.05681266703322463,15.675721159733397,1.2904975674696795,2.8731904245452626,0.2162835448245574,50.0,0.0,49.852841116569394,0.14453900173239065
2900,50.0,0.0,0.0,136.2255796436738,13.469107161543908,0.03637569902198577,43.592072108450964,6.446236840275982,295.18296187267083,3.759657500250917,0.8806341866082239,0.02380708095327234,47.13238370298977,1.8333238900754965,1.0122918281119309,97.38897792574743,2.5941299483943285,98.15982468761166,1.805869233185894,297.92519651075287,0.605947271241706,1.4186706187169296,0.0627838416017818,15.477893320234534,1.362265178956078,2.9016936313740014,0.23925721632225766,50.0,0.0,49.846972203656144,0.15398498482454284
3000,50.0,0.0,0.0,135.67837615912518,13.832232174616315,0.04565456631586181,43.51278199183302,6.408300728808295,295.06770768108083,4.130049401134201,0.9403776190616353,0.025959648044597963,46.96586907830234,2.0507502471130894,1.0497158598012926,97.39887326745236,2.5789651004149925,98.18613647356536,1.8113484271183737,297.8905088400688,0.6487216031079897,1.4473169796769607,0.07396095416079862,15.34139453675975,1.4188633264616026,2.962724818296113,0.259072914071617,50.0,0.0,49.82930925577994,0.16599477800830273
3100,50.0,0.0,0.0,135.51649174219543,14.286653233779209,0.0475027256810118,43.554545941761965,6.536976326616665,294.6523834743451,4.38708694539259,0.9985784704065057,0.026986775319057868,46.81969599049331,2.129133548062708,1.0584682943647485,97.31164831736527,2.643139432137793,98.19221863080259,1.8455122766760157,297.7802983960614,0.6960493437052496,1.4927346505899028,0.07857329680364158,15.127528340504758,1.5464337689982357,3.0582062424489975,0.2857206868106607,50.0,0.0,49.82787401935972,0.17263850541928633
