milliseconds,M,B,A,L,P,I1,I2,I3
0,0.0006356511308769873,-4.267934824427602e-07,0.03768583715986437,0.3729539740319645,0.015184797848219241,-2.815264951876436e-09,2.2911417246673937e-08,2.847657122872651e-05
100,0.0005986161279456539,-3.488934002687751e-07,0.037239074261248506,0.5470997910056441,0.01419477565077016,2.6423860644142674e-07,1.027831743282374e-06,0.00043072078972108036
200,0.0005670200016766731,2.2859962837707884e-08,0.03237339678265565,0.5976194959414777,0.012928427141295266,3.983256565758005e-07,1.8848355073413063e-06,0.0009491722968233857
300,0.0005508169924756553,4.61238363681741e-07,0.03252242686151553,0.6090067183726029,0.012283704335648469,4.1834672629232607e-07,2.451216753739996e-06,0.001613618751433519
400,0.0005358414430224449,6.310423015817321e-07,0.033167351797493055,0.614974803759571,0.011545267569309639,4.76236884224692e-07,3.381153525386762e-06,0.0021359919144228255
500,0.0005151019316394965,2.8997927505941616e-07,0.03171189500953171,0.6223056886774365,0.010623539837027383,2.8474300173012067e-07,4.07630589340338e-06,0.0024242051790447313
600,0.0004843262962741874,5.762566066298325e-07,0.026052914317432337,0.6215939952500248,0.010054231012794148,2.7200761035064546e-07,4.343882027887517e-06,0.002824910937135088
700,0.0004715146974580649,1.2466685139204503e-06,0.02604356053508416,0.6169668581940165,0.009953836055283587,3.957579432097075e-07,4.9281385223076086e-06,0.0030259233967230227
800,0.00044465237100378783,1.3434801234228352e-06,0.02528008906666232,0.6175609717443017,0.00922721076528448,2.689071902514831e-07,5.651453444577874e-06,0.0035213340403985873
900,0.00042266891974830964,1.3170531119058635e-06,0.027818496996905938,0.6196612212015381,0.008515284915209118,2.1876450138233106e-07,5.972028804909934e-06,0.0037491672011958255
1000,0.00041879673570752,1.9761569278042776e-06,0.02512819159259348,0.6216350568859034,0.008167054943780434,2.8275988269506636e-07,6.195389435517475e-06,0.003994842656861237
1100,0.0003831654541113031,2.3555073111791446e-06,0.026444245573039992,0.616424802761211,0.007572614591622876,3.0010539620168885e-07,6.615088356866472e-06,0.004078485543265155
1200,0.00036990984447688065,2.390202013652401e-06,0.02355876857530163,0.6192123125912078,0.00731217094482342,2.7650134933168846e-07,6.962616169624032e-06,0.0044493986544835865
1300,0.00034731497039168605,3.03511558018671e-06,0.025930417761940817,0.6197099952710218,0.0072160164257812475,1.8094839537310757e-07,7.251640740000578e-06,0.004468228245420551
1400,0.0003582019928076746,2.711288238257543e-06,0.02491907018987412,0.6181076320050081,0.007058059241206244,1.726789734264621e-07,7.418101443031926e-06,0.004778367770751438
1500,0.0003247181701067839,3.309102484575246e-06,0.029113413572376623,0.6146671074451704,0.006276478691843015,2.258626346884589e-07,7.487847855429834e-06,0.004783353956126764
1600,0.00031599071883687055,4.166151569316094e-06,0.02870021168485064,0.6127947810736589,0.006023641760945322,3.02772699323238e-07,7.657146213043095e-06,0.004929182035722414
1700,0.00029816407241161096,4.652873080942195e-06,0.030615121420232403,0.6176931670570117,0.006206573848392525,3.318125698956499e-07,7.636720818300618e-06,0.005102926606886973
1800,0.0003022779864904126,4.2216100951741e-06,0.03285994243814608,0.6107191319103037,0.0057214501105568305,3.4610853062677387e-07,7.739525499570979e-06,0.005118137453707864
1900,0.0002833994857118473,5.357910208429823e-06,0.03367696397425154,0.6160394874691979,0.005358937508024123,4.0650468491299844e-07,7.791892510057419e-06,0.005418361012055604
2000,0.0002744005101172112,5.614318361911706e-06,0.033260512833730944,0.6098396219389453,0.005319165162970051,3.5534752719001754e-07,7.76988732978392e-06,0.005403534192973641
2100,0.0002566598650551442,5.79010348408022e-06,0.03638627080262778,0.6136784255939961,0.005393738059400467,3.260250515193154e-07,7.84704918971454e-06,0.005565651442999396
2200,0.0002526530233064874,5.676054963556885e-06,0.038746587798574206,0.6115063157790013,0.004834941882329821,4.39539054874788e-07,8.05234441285732e-06,0.005604840690044533
2300,0.00024094845708877988,6.406629574195311e-06,0.04052917985849557,0.6101882409822864,0.004738944782091214,4.645541953739095e-07,7.83619447114561e-06,0.005495558717999594
2400,0.00021419913937350047,7.0987084941693625e-06,0.039275531019573456,0.6071805411538084,0.004667100273892749,4.624433294691165e-07,7.763108622628768e-06,0.005631961003130556
2500,0.0002151151177412829,7.627454109921103e-06,0.04337733016332082,0.6056310916954001,0.00469484740588081,6.319955681843596e-07,8.002481357549022e-06,0.005619053877614439
2600,0.00022160714174096786,7.294928136326202e-06,0.04456104028784111,0.6054857135994771,0.004736896706096993,6.911063241722275e-07,7.629785817618793e-06,0.005676403945418604
2700,0.0002115316522444417,8.015802284522239e-06,0.04835980914233728,0.6052015673312048,0.004428565533684078,7.464581940574366e-07,7.551948539190098e-06,0.005461675778410797
2800,0.00019280962149496433,8.100287159515925e-06,0.05148545799430761,0.6052654212251221,0.004380399900683414,7.980369313236994e-07,7.4643804706953875e-06,0.005551687684495154
2900,0.00019061433691225035,9.145125863939743e-06,0.05214174825516881,0.6027486313581167,0.004215981046106974,7.911908141700161e-07,7.532963811121052e-06,0.005585601148350023
3000,0.00017275129108579247,9.5084175239198e-06,0.05437108286926974,0.6055662281432863,0.0040582787986588615,1.0164372501781653e-06,7.584368931239834e-06,0.005558207119450112
3100,0.0001787533445069008,9.757478551083633e-06,0.05858383177915705,0.5986732429999888,0.004211251707836237,1.0923150169516728e-06,7.521962844430746e-06,0.005499476818820504
3200,0.0001802631986891901,1.0095322666295468e-05,0.06258155257451146,0.6006246825495882,0.004322392879344036,1.0803307271073773e-06,7.302975775709771e-06,0.005416927444354105
3300,0.00017070798888188009,1.0467834565798428e-05,0.06415282586222311,0.5973819348832992,0.003874249481287876,1.2493907399085326e-06,7.2648442852253005e-06,0.005312936644114372
3400,0.0001691213460233208,1.0797834888162106e-05,0.06493785684364943,0.5974172710478228,0.0036406094750873644,1.3030557663279594e-06,6.954501728935383e-06,0.005432668907410455
3500,0.0001573242354749381,1.1136628648437542e-05,0.06819641621511068,0.5983949263818373,0.0039640960907202415,1.4597477937887035e-06,6.816880242861421e-06,0.0053213764716465006
3600,0.00014912761627845552,1.065685834699306e-05,0.07123034188383967,0.5938209887490897,0.0036066647205266196,1.645841175825429e-06,6.839255655096781e-06,0.005193717425306799
3700,0.00014295379215236023,1.1421222139143185e-05,0.07423242980436864,0.5966699478913714,0.003606621986317047,1.8473171409606863e-06,6.910992235162897e-06,0.0053242747742219
3800,0.0001456590065792291,1.1302855635355792e-05,0.07928521118452825,0.5946167620012056,0.0038087309819046563,1.8524867442075428e-06,6.613647759594219e-06,0.005041291385022204
3900,0.00012353692474206107,1.1838220392994776e-05,0.08150683880377291,0.5966174506296165,0.003325920268273426,1.9798288482486996e-06,6.633799477191351e-06,0.00517711775348017
4000,0.0001284621992985235,1.2326588333881025e-05,0.08155200748230232,0.59459392151658,0.0033178360386126233,2.2820130905330905e-06,6.487043343632554e-06,0.005055243113667418
4100,0.00013381967565941796,1.2817889735649661e-05,0.08765445556524325,0.5925400769779741,0.00329647145319384,2.354147712522677e-06,6.228327136952588e-06,0.005079204852971046
4200,0.00013397231077303922,1.2882941841183353e-05,0.0897913924528143,0.5912636669130611,0.003263434477692105,2.5775150377112626e-06,6.191150424515889e-06,0.004865941841161556
4300,0.00011230115404404886,1.3195785755087433e-05,0.08872103805689685,0.5889636030785462,0.0035981039143958217,2.7156533585018947e-06,6.119917334108932e-06,0.0048531748080025555
4400,0.00013226510242678616,1.3763135748790057e-05,0.09246560097263365,0.5885527343024225,0.0035651713236956877,2.684685630398521e-06,5.8510254230000635e-06,0.004857097087826059
4500,0.00010440938603903435,1.3338098974046149e-05,0.09789781347980814,0.5872719101426809,0.003112342400311519,3.009063651230592e-06,5.689021417306612e-06,0.0047489625684193895
4600,0.0001295299152893607,1.4434640714027577e-05,0.09719260839925775,0.5891149461524268,0.0030115277307459615,3.0519296949680798e-06,5.83357143103227e-06,0.004582499273544517
4700,0.00011890252915622433,1.465109083291521e-05,0.10009563320349568,0.5878924787479209,0.0032863124947924535,3.304148278951969e-06,5.7312398492237e-06,0.004692106548797965
4800,0.00011940023942649683,1.4107557261462121e-05,0.10373601918422,0.5838396922480241,0.0032960054647511164,3.3263380030251676e-06,5.444436965606298e-06,0.004467247975438959
4900,0.0001202623482410631,1.5043303173328325e-05,0.10505556725354978,0.5859782132697109,0.002951196603469966,3.630045350067693e-06,5.328844943233626e-06,0.004537449943197004
5000,9.582649256738736e-05,1.5418316574586363e-05,0.10537493484362127,0.5833382778086147,0.0031059940497592847,3.6790954733600932e-06,5.375161915102069e-06,0.004383323764986563
