milliseconds,APC,APCAxin,APCAxinGSK3B,APCBCatenin,Akt,Axin,BCatenin,BRaf,C3G,Dsha,Dshi,EGF,ERK,GSK3B,MEK,P90Rsk,PI3K,PIP2,PIP3,PKCD,PP2A,PTEN,RKIP,Raf1,RafPPtase,Rap1,Rap1Gap,Ras,RasGap,SOS,TCF,TCFBCatenin,X,bEGFR,fEGFR,pAPCpAxinGSK3B,pAPCpAxinGSK3BBCatenin,pAPCpAxinGSK3BpBCatenin,pAkt,pBCatenin,pBRaf,pC3G,pERK,pGSK3B,pMEK,pP90Rsk,pPI3K,pRKIP,pRaf1,pRap1,pRas,pSOS,null
0,96.60200637740373,0.0015001008966205533,0.007600004468358353,3.4391986652748328,200.00000031677143,0.0007997440198455932,42.721986997511145,199.99999501578415,500.0031000226764,0.0,100.0,600.590430987637,260.00000000011204,49.13509525193909,680.0000004239588,60.0,99.99886452754762,699.9999999886177,3.419092503803139e-07,-3.3161193852280423e-06,240.0,270.0,20.900761733121445,99.99999988074833,60.0,199.99609651519336,12.0,100.00520871964146,100.0,100.0002387441187,6.187903680975393,8.812087489264993,10.262999993728469,-0.09988443579618861,292.3008230138469,0.015300138671258507,0.001999951899522337,0.001999997554621844,-1.3505609950833423e-07,0.9880993989664966,1.2984420145240679e-05,0.005794168521184685,1.748215653424704e-10,0.8558516822077745,1.2186933850282856e-07,-6.193187978146943e-16,-0.00653556922098493,0.8684757607410747,-2.922009369931599e-07,0.0038689315671755512,-3.479938925036264e-05,-0.0002269176487553872,0.9229083022548689
100,96.60146218108353,0.0015033345395161707,0.00759977909758851,3.43973303884928,199.99999991028628,0.0007967699357053162,42.72137953672664,199.99998589167294,500.00974014576263,0.0,100.0,598.9042235591656,259.9999999985917,49.136718162284566,680.0000001472237,60.0,100.00609679112833,700.0000006451731,-1.5047721046084934e-06,-3.6301734511965624e-06,240.0,270.0,21.18052983569281,99.99999973532378,60.0,200.00378769239106,12.0,100.00816712827957,100.0,99.9992386602146,6.187836753230622,8.812162634601517,10.263000028938569,-0.13238573515095203,302.53584893303383,0.015297319867757961,0.0020022033895219834,0.002000473604297822,-7.049859125798286e-08,0.988101225074604,-1.4529423865153584e-05,0.005099346706034933,2.3211416277155633e-10,0.8552696858032238,1.5092032398441323e-07,-1.403486592505801e-15,0.005466086934080856,0.5729759822395784,1.1701491770600188e-07,0.0020577688709470443,0.00012987346655905942,0.0006577148896538732,0.9338439589305959
200,96.6013938758644,0.001506308204109592,0.00759913113843957,3.4397937552167273,199.99999980296542,0.0007938365812886937,42.721255268875304,199.9999830259257,500.00415089951343,0.0,100.0,599.9451653670644,259.9999999991775,49.141264629453545,680.0000004299827,60.0,100.00012971549793,700.0000015815046,7.632943366010598e-07,3.427247095123932e-05,240.0,270.0,21.381229068550212,100.00000000898973,60.0,199.9965692618703,12.0,100.00596672710192,100.0,99.99968376862078,6.187761391402617,8.812241207747283,10.263000002060469,0.3007578849259347,318.3977650513383,0.015295536997701763,0.002003488084721379,0.0020010314471712335,-2.2133040176268232e-07,0.9880985672178277,-1.4198068312748625e-05,-0.0026207852744825027,1.405620076484332e-10,0.8532191183270814,-4.951812285377784e-07,1.3382267959186643e-15,-0.004003878565960474,0.3748156688929157,-1.0554978942312457e-07,-0.0008625262571240193,-0.00012932295513609765,0.0005027354594301151,1.47267544652721
300,96.60139397598716,0.001508637073325365,0.00759930162929364,3.439790034177973,200.00000038882544,0.0007917955771450496,42.721215324705284,199.99997887771616,499.9796324863844,0.0,100.0,599.1909203658687,259.9999999997246,49.14089121087019,679.9999995125744,60.0,100.0016200462359,700.000000602696,-1.4819597998149346e-06,6.474252735173027e-05,240.0,270.0,21.502334553089707,99.9999997311575,60.0,199.99592515422668,12.0,100.03138403336229,100.0,99.99958143381424,6.187721216921932,8.812298479421994,10.263000019052287,1.0090654539076644,336.33031214343976,0.015294220078893483,0.002004022091936025,0.0020018177210092696,-1.6161829414310025e-07,0.9880996512689302,1.795283973333516e-05,0.009191561618860266,-8.431638691798287e-10,0.8521073184764997,2.5997842874102623e-08,-1.5254778967727393e-16,-0.006697498247905977,0.24401985678981203,2.1893977768324604e-07,0.0003470592224340623,4.1674709875031324e-05,0.0009372928239901468,1.4681741015893965
400,96.60139952326986,0.0015106085940279764,0.007598896867161239,3.439796517508365,200.00000002496736,0.0007901344938813615,42.72114970359564,199.99998405142065,499.9890026320236,0.0,100.0,598.9835319987202,259.9999999994397,49.14152795532146,680.0000004569752,60.0,100.00552159209596,700.0000009757863,1.4384204030837058e-06,3.853457959811162e-05,240.0,270.0,21.56990093274038,99.99999992636945,60.0,199.99701886011255,12.0,100.02038995706721,100.0,99.99850516859998,6.187657545811199,8.812351122294029,10.263000030513803,1.1976303024856536,324.79507178237156,0.015293230152816549,0.002004353977892069,0.0020025944398777483,-2.3151758174937398e-07,0.9881013034630869,2.4531193885042377e-06,0.014681381332376326,3.6598303627941823e-10,0.8516535106830709,-3.0419496001257533e-07,-1.465703360797268e-15,-0.0019223633900755405,0.16911268807353155,1.381888036539755e-07,0.003507831929541265,-9.017994565823677e-05,0.001110121989019114,1.0943223277787437
500,96.60140557801991,0.0015118414046482182,0.0075984886172284485,3.439796671981417,200.00000029072078,0.0007889552569630491,42.721123229383295,199.99998831104995,499.98277023823465,0.0,100.0,598.2495694653616,259.99999999973517,49.14342042501754,679.9999995705922,60.0,99.98878986511788,700.0000010259607,1.1311002942210937e-06,7.505988779097637e-05,240.0,270.0,21.635092360244165,99.99999983735198,60.0,199.99943521573056,12.0,100.03658146985235,100.0,99.99955006909971,6.187606552025244,8.812388677796585,10.263000053894848,1.7405649510092986,357.1582395273321,0.015292311548305666,0.002004449974975041,0.0020030162690758977,3.6574378134472774e-07,0.9881019020310071,-7.606081858079263e-06,0.028646513499167026,-9.298101419726028e-10,0.8507383573530487,1.1426399336513896e-07,-3.06735676088793e-16,0.009703544864370682,0.11101989307116646,-7.977311375080799e-08,0.0029064373201928575,4.948442479169674e-05,0.001257226961740841,0.9581027204526689
600,96.60140832740738,0.0015138674078118857,0.007598587421245242,3.439794033533619,199.9999997133562,0.0007880567809955361,42.72107922604161,199.99997893190604,499.970474635057,0.0,100.0,596.70034564487,260.00000000105655,49.146550719846644,679.9999997213193,60.0,99.99664853766389,700.0000002041269,1.8452057080405192e-08,7.138299616773566e-05,240.0,270.0,21.67739886208684,99.99999986020583,60.0,200.00061165753294,12.0,100.03781076372024,100.0,99.99881808471365,6.187574528842587,8.812428156074942,10.263000037251794,2.5792642148125533,369.5255119897171,0.01529209764792917,0.0020043892881376224,0.00200350899853951,3.40087844552962e-07,0.9881025521326056,2.023947415291028e-05,0.01764880827087778,2.1935675630278695e-10,0.8479489392072348,-4.001085374228337e-07,-9.002901769731753e-16,-0.00040571458190735623,0.088890437747574,-1.594133990310804e-07,-0.0035180128080922516,-8.198551242003419e-05,0.001224989593473728,1.7052410468875872
700,96.60139880050305,0.0015144387367708788,0.0075982107763157445,3.4397827467050113,200.00000016937193,0.0007874606220804974,42.72104410326063,200.0000188431869,499.96665940372174,0.0,100.0,596.2365495222152,259.9999999993778,49.148417337932834,679.9999994796734,60.0,99.99405169587381,700.0000004134084,-7.727838725722605e-08,0.00011437323342339205,240.0,270.0,21.688800949650112,100.00000016585165,60.0,200.00254791202343,12.0,100.05915681341015,100.0,99.99745664775341,6.187547328286317,8.812437055880507,10.263000031911782,2.5015831665473915,370.69821115725586,0.015291636369113308,0.0020044584815175777,0.002003822588304903,-2.4311905909023664e-07,0.988103260990075,-2.061657616031183e-06,0.04146703327584658,2.7388742562749697e-10,0.8456515940522631,-2.2895816972550906e-07,1.3050440463196052e-15,0.006564754820815042,0.04094997488612981,1.3310382912142425e-07,-0.0005517198320151404,0.00011941331446676386,0.0025963458945373343,1.4451619575522134
800,96.6014069867971,0.0015153450054510335,0.0075979528872467455,3.439789565326778,199.99999966737764,0.0007869177361441943,42.72101057343529,199.999982627077,499.9519818532465,0.0,100.0,597.3306428119129,260.0000000002209,49.15121928758521,679.9999994604448,60.0,99.98960274261027,699.9999977500454,1.0943273310844432e-06,9.669357782823588e-05,240.0,270.0,21.692948227723818,99.99999973246133,60.0,199.99818400459668,12.0,100.06172218999156,100.0,99.99706398094703,6.187510188999276,8.812483073759102,10.26300010345104,2.931595261991933,362.59619563372127,0.015291510379493077,0.0020044507767586982,0.002004061268443051,5.755552131242135e-08,0.9881049192233584,1.59052898450108e-05,0.03050371464416971,-3.0740109898384577e-10,0.8467998861696371,-4.260029232647751e-07,8.239694928899039e-16,0.0036454389766665198,0.025585287416774797,-1.415065344085175e-07,0.002371380972679419,0.00015040723161271,0.003209978740358183,1.5655919584726194
900,96.60140047895968,0.0015159706980554678,0.007597687391201706,3.4397803989860245,200.00000008944667,0.0007864448012613757,42.721022116705576,199.9999990448406,499.9547269731625,0.0,100.0,595.6264174797158,260.0000000010745,49.150121435376654,679.9999999796819,60.0,99.99030627934357,699.9999979334822,3.1434890581222213e-06,0.00014660687172231358,240.0,270.0,21.696738781892087,99.99999974385186,60.0,199.99591892823764,12.0,100.05439024650123,100.0,99.9967451644357,6.187500450183317,8.812495561920523,10.263000097286731,3.839316726425691,391.5946718551928,0.015291301112537172,0.0020043973222149815,0.00200408897320209,-1.0773832803979626e-08,0.9881062527735898,-9.114015624691002e-06,0.05164341031856716,-1.4335140730740994e-09,0.8424769237696657,-4.041233556773757e-07,-1.2141241516641367e-15,0.017515170453879833,0.023772832334324458,3.7413083796990686e-08,0.0002511092764212702,0.00019336190325855781,0.0026284105137647225,1.5653172760793106
