miliseconds,APC,APCAxin,APCAxinGSK3B,APCBCatenin,Akt,Axin,BCatenin,BRaf,C3G,Dsha,Dshi,EGF,ERK,GSK3B,MEK,P90Rsk,PI3K,PIP2,PIP3,PKCD,PP2A,PTEN,RKIP,Raf1,RafPPtase,Rap1,Rap1Gap,Ras,RasGap,SOS,TCF,TCFBCatenin,X,bEGFR,fEGFR,pAPCpAxinGSK3B,pAPCpAxinGSK3BBCatenin,pAPCpAxinGSK3BpBCatenin,pAkt,pBCatenin,pBRaf,pC3G,pERK,pGSK3B,pMEK,pP90Rsk,pPI3K,pRKIP,pRaf1,pRap1,pRas,pSOS,null
0,96.60199698050482,0.0015001425355652982,0.007600128165626097,3.439202945309456,200.0000000576311,0.0008000260745126984,42.72199362094416,199.99999076913164,500.0002886295125,0.0,100.0,600.0981200709582,260.00000000023294,49.136329192554385,679.9999999125291,60.0,99.9969981226762,700.0000004014436,-4.161060287644266e-08,6.912330874108225e-06,240.0,270.0,20.91423004156691,100.00000012988389,60.0,200.00188496674994,12.0,99.99964717858161,100.0,99.99967747538703,6.187895653333562,8.812093976203087,10.263000012902385,-0.08517608974426343,301.9751912449307,0.015299997370317658,0.001999970849353479,0.0019999961157806992,5.814630882168588e-08,0.9881006598460524,1.1186030786161713e-06,0.0017188522613613417,-5.33240500676896e-11,0.8559126628620661,2.0033134739897153e-07,-9.060854909834953e-17,-0.004061782224273146,0.8614612416551555,5.548254360154632e-08,-0.0006339029814492456,2.6185895574270377e-05,2.5387080585648973e-05,0.846727986912281
100,96.60145547372184,0.0015036930138567972,0.007599584138098028,3.4397403418053463,200.00000014625712,0.0007965546811392179,42.721392425388395,200.00000077667153,500.00287134098573,0.0,100.0,599.3778737482108,260.0000000004813,49.13826384873019,680.0000002904886,60.0,100.00360852520663,699.9999995132699,5.483707291769249e-07,1.2030585818725682e-05,240.0,270.0,21.185421824167253,99.99999993741977,60.0,199.99795025238217,12.0,100.01090425741181,100.0,100.00002593738472,6.187828700876586,8.812176404085776,10.263000013526096,0.5700286033278673,309.162830360891,0.015297293120456534,0.002002233227073648,0.0020004152986951595,-5.7158770569393436e-08,0.988099912547415,2.2605861261765126e-06,-0.004683836454195936,-1.0059514858797872e-10,0.8538886140472237,2.6034519548824214e-07,-6.073003377208697e-16,0.0002790813377898153,0.5777856516301281,4.490391456659962e-08,0.0014179248780892674,-2.5829214968094208e-05,-0.0002621623372192927,0.9702444036840805
200,96.60139923369093,0.0015066562418170864,0.00759926652524806,3.4397920181954187,199.99999984530987,0.0007939407610050576,42.72126356894781,200.00000412163593,500.0002291127201,0.0,100.0,598.7874048103233,259.9999999999005,49.1410679970132,679.9999997911908,60.0,100.00159293683332,700.0000001566215,-2.403771383052563e-07,2.1386071473677893e-05,240.0,270.0,21.372666530974595,99.99999996826442,60.0,200.00173400769287,12.0,100.01715102365993,100.0,99.99942875421507,6.187757900027624,8.81222942306228,10.263000018705243,0.5072465695774926,320.9445686110363,0.015295388835035173,0.0020033910206127404,0.0020010887021492236,-7.740372057685033e-08,0.9880997204090163,2.618972979440186e-06,-0.0010849813966085503,-2.174711808792677e-10,0.8522266789811274,2.64348577997789e-07,8.799230045526896e-16,-0.0022995390769223033,0.3812863787547542,9.450925703331002e-08,-0.0023161503563655173,4.134920397735091e-05,0.0005370390928499534,1.2698180888162307
300,96.60139846624672,0.0015090263560447975,0.007599012457311589,3.4397959710189907,199.99999989202732,0.0007920762125237557,42.72120523100376,200.00000762007727,499.9980405678491,0.0,100.0,598.3758581270262,260.0000000000528,49.141933994767214,680.0000000215363,60.0,99.99547395059325,699.9999992084256,1.086971840637226e-06,3.450485643336736e-05,240.0,270.0,21.4963696794564,100.00000008220228,60.0,199.9988648446017,12.0,100.01855112826486,100.0,99.99949489591005,6.187709168180886,8.81228354742939,10.263000015102183,1.1951383733018652,335.5049287645844,0.015294112584451297,0.0020040248100859363,0.0020019156347703703,1.66465976951423e-07,0.9880997304224427,9.88943488762046e-07,0.012701520240474998,-3.9978507875512846e-10,0.8520601478665413,3.678104803914708e-08,-5.527602903323728e-16,0.0022871546615365053,0.2649801346359027,-6.682266474954908e-09,0.0007977374867280055,-2.109933016709685e-05,0.0006916137141300255,1.0108755097625963
400,96.60140129820508,0.0015106722500935628,0.007598835066815215,3.439795532554119,200.00000004041175,0.0007903119967268365,42.72116127025057,200.00000475816188,499.9898276445656,0.0,100.0,598.5101014158421,259.9999999999097,49.14273901122775,680.0000001594785,60.0,99.9950111353829,699.9999990500085,-2.1674651887992827e-07,6.902317116467223e-05,240.0,270.0,21.575363693165308,99.99999989648933,60.0,199.99744686510869,12.0,100.02426525219879,100.0,99.99909194252928,6.187657091242298,8.812344783921578,10.263000014219875,1.6501824912421896,331.8189427813431,0.015293138965787628,0.0020043225025606327,0.002002550177490779,-7.555042699063224e-08,0.988101485525725,5.500083905866454e-06,0.008530582427183705,2.9579447405567066e-10,0.8507201519038015,2.8482055554969887e-08,-4.803746849734583e-16,0.00033943472841587016,0.18090484811575538,1.4745877912997285e-07,0.0015089166193410204,-4.958907373516605e-05,0.0006483991231183558,1.2055098829839515
500,96.60139821263245,0.0015122252112014737,0.00759849897216342,3.4397870668059736,199.9999997914916,0.000789073179173809,42.721112116052886,199.99999296079778,499.9783271200154,0.0,100.0,598.2394925147747,259.9999999995763,49.14527872445468,680.0000000098823,60.0,100.00105757644559,699.9999999651047,7.49711950344008e-08,8.29399353484654e-05,240.0,270.0,21.62984164410682,99.99999997461819,60.0,200.0000965870995,12.0,100.04065280373972,100.0,99.99891090373863,6.187613554299903,8.812376530572369,10.263000033375137,1.7459135966552977,341.6159853848965,0.015292412137432737,0.0020044266987161107,0.002003122484999725,-4.182110660039723e-10,0.9881011423597376,5.108440286299892e-06,0.015258137779447251,-4.911791608891976e-10,0.8487038008433255,1.225950488190832e-07,-1.9254934400309737e-17,0.001138958620214981,0.12366584655736457,-5.800581128419103e-08,0.0005250911393960005,8.154733418039206e-05,0.001257472626579697,1.1668209835167038
600,96.60139874109,0.0015133332185933949,0.007598244794937786,3.4397843853654204,199.99999987345046,0.0007882962322658744,42.72108486083758,199.99999174004878,499.9686102386102,0.0,100.0,597.7759715547941,259.99999999995384,49.147561364488446,680.0000001486364,60.0,99.99701716000034,699.9999984363392,1.1929146775891322e-06,8.455486975399353e-05,240.0,270.0,21.67236140255875,99.99999985743726,60.0,199.9991023729005,12.0,100.04234907190188,100.0,99.99805099229548,6.1875845575426105,8.81242299593121,10.263000041877174,2.2512950493914694,358.51888160933004,0.015291950062812278,0.00200443755364597,0.002003491324454578,3.931288448333119e-09,0.988102190728368,6.344169617729036e-06,0.032072386767603336,-6.341161453659406e-11,0.8483698517083519,-1.0544062116357467e-07,8.927680842363226e-16,0.002191483096140097,0.07275808243151012,-1.0061758913121123e-07,0.0029932890302484926,1.708353851935257e-05,0.001818477351866514,1.2249107387561635
700,96.60140704740576,0.0015143572856483717,0.007598167289111874,3.4397850510870924,200.00000005842165,0.0007874005644529418,42.721050689653545,200.00000521716993,499.97095699405133,0.0,100.0,596.9910230771385,259.99999999941195,49.14892614234943,680.0000001859008,60.0,99.99036931383694,699.9999982569553,1.574274251574804e-06,0.00010077618076602873,240.0,270.0,21.687253051057226,99.99999989744235,60.0,199.99945712703592,12.0,100.05277350524489,100.0,99.99769122155928,6.1875459029785445,8.81245325099486,10.263000063855094,2.9589146703969944,371.3804717781553,0.015291677456058016,0.0020044754709424187,0.0020037427919500053,1.4431541938826586e-07,0.9881037428594824,3.5581424269807373e-06,0.03587648875704464,-2.692885225017861e-10,0.8467942539084645,2.1773839476694168e-07,-2.856426884638935e-16,0.0074025493997304705,0.0572264332492547,-5.3801195858098274e-08,-0.0008031811796972812,9.213773695497296e-05,0.0021738242604389547,1.344108498842344
800,96.60140922417105,0.0015151250081320733,0.007597809095308337,3.439778050218958,199.99999972584084,0.0007871073174819007,42.72102526799525,199.9999929270352,499.95354929907995,0.0,100.0,596.6087717069424,259.9999999996556,49.149424646007816,680.0000002151577,60.0,99.99592719198164,699.9999982484791,1.9538345540606688e-06,0.00012696684297019896,240.0,270.0,21.697529186499846,100.00000009919597,60.0,199.99709414930356,12.0,100.0564233037494,100.0,99.99744632530792,6.187516358586822,8.81247336935006,10.263000089866718,3.3115698000892992,377.8716694479344,0.015291453161547884,0.0020044189929400284,0.0020039514134923392,1.2721614512647543e-07,0.9881051685896975,-8.451271198738845e-06,0.0443156535964887,6.541716812914708e-10,0.8447764783344218,-1.2922406084128882e-07,-5.426300920998503e-17,0.01137647961122848,0.028909036930967545,-1.215760211341882e-07,0.0043201577200213245,9.114171306971959e-05,0.002616863327526574,1.5936589681522773
900,96.60140950872236,0.0015160118236226276,0.0075976607559736,3.439783477502233,200.00000007632372,0.0007866107847000846,42.72099488571055,200.00000412427335,499.95041573450897,0.0,100.0,596.3908766121762,259.9999999992799,49.15165246027292,680.0000000695579,60.0,99.99337910727237,699.9999974003124,1.5693913456056616e-06,0.00013294659599078003,240.0,270.0,21.715581965632605,99.999999910538,60.0,199.99569613044056,12.0,100.065719263943,100.0,99.99682931194985,6.1874923695766855,8.812505391214296,10.263000096368277,3.709390731418448,386.97174641852627,0.015291427151239293,0.0020044382479529914,0.0020040797140125173,3.0074104090386176e-07,0.9881068222684324,1.7296465201354062e-06,0.05149920265477506,4.849717174944473e-10,0.8431246483387866,-2.9619585463808084e-07,5.311836002259369e-16,0.0067927412061590635,0.03116852056478877,-2.5033884074109706e-08,0.0018731519776947392,6.178763714226437e-05,0.0030654350617951766,1.7996396831428008
