milliseconds,EGF,EGFR,EGF_EGFR,_EGF_EGFR_2,_EGF_EGFR__2,EGFRi,_EGF_EGFR__2_GAP_Grb2_Prot,_EGF_EGFRi__2,Proti,EGF_EGFRi,_EGF_EGFRi_2,Prot,EGFideg,GAP,_EGF_EGFR__2_GAP,EGFi,_EGF_EGFRi__2_GAP,_EGF_EGFRi__2_GAP_Grb2,_EGF_EGFRi__2_GAP_Grb2_Sos,_EGF_EGFRi__2_GAP_Grb2_Sos_Ras_GDP,_EGF_EGFRi__2_GAP_Grb2_Sos_Ras_GTP,Grb2,_EGF_EGFR__2_GAP_Grb2,Sos,_EGF_EGFR__2_GAP_Grb2_Sos,Ras_GDP,_EGF_EGFR__2_GAP_Grb2_Sos_Ras_GDP,Ras_GTP,_EGF_EGFR__2_GAP_Grb2_Sos_Ras_GTP,Grb2_Sos,Shc,_EGF_EGFR__2_GAP_SHC,_EGF_EGFR__2_GAP_SHC_0,_EGF_EGFR__2_GAP_SHC__Grb2,_EGF_EGFR__2_GAP_SHC__Grb2_Sos,_EGF_EGFR__2_GAP_SHC__Grb2_Sos_Ras_GDP,_EGF_EGFR__2_GAP_SHC__Grb2_Sos_Ras_GTP,Shc__Grb2_Sos,Shc__Grb2,Shc_0,Raf,Raf_Ras_GTP,Ras_GTP_,Phosphatase1,Raf_0,Raf__phosphatase1,MEK,MEK_Raf,MEK_P,MEK_P_Raf,MEK_PP,MEK_PP_phosphatase2,phosphatse2,MEK_P_phosphatase2,ERK,ERK_MEK_PP,ERK_P,ERK_P_MEKPP,ERK_PP,phosphatase3,ERK_PP_phosphatase3,ERK_P_phosphatase3,_EGF_EGFRi__2_GAP_SHC,_EGF_EGFRi__2_GAP_SHC_0,_EGF_EGFRi__2_GAP_SHC__Grb2,_EGF_EGFRi__2_GAP_SHC__Grb2_Sos,_EGF_EGFRi__2_GAP_SHC__Grb2_Sos_Ras_GDP,_EGF_EGFRi__2_GAP_SHC__Grb2_Sos_Ras_GTP,Ras_GTPi,Raf_Ras_GTPi,Ras_GTPi_0,Rafi,Rafi__phosphatase1,MEK_Rafi,MEKi_P,MEK_P_Rafi,MEKi_PP,MEKi_PP_phosphatase2,MEKi_P_phosphatase2,ERKi_P,ERKi_P_MEKi_PP,ERKi_PP,ERKi_PP_phosphatase3,ERKi_P_phosphatase3,EGFRidag,_EGF_EGFRi___2deg,_EGF_EGFR__2_GAP_Grb2_Sos_Prot,_EGF_EGFR__2_GAP_Grb2_Sos_Ras_GDP_Prot,_EGF_EGFR__2_GAP_Grb2_Sos_Ras_GTP_Prot,_EGF_EGFR__2_GAP_Grb2_Sos_ERK_PP,_EGF_EGFRi__2_GAP_Grb2_Sos_ERKi_PP,_EGF_EGFR__2_GAP_SHC__Grb2_Sos_ERK_PP,_EGF_EGFRi__2_GAP_SHC__Grb2_Sos_ERKi_PP,_EGF_EGFR__2_GAP_Grb2_Sos_deg,_EGF_EGFRi__2_GAP_Grb2_Sos_deg,Sos_ERK_PP,Sos_ERKi_PP,Sosi,ERKi_MEKi_PP_0,_EGF_EGFR__2_GAP_SHC__Grb2_Prot_0,_EGF_EGFR__2_GAP_SHC__Grb2_Sos_Prot_0,_EGF_EGFR__2_GAP_SHC__Grb2_Sos_Ras_GDP_Prot_0,_EGF_EGFR__2_GAP_SHC__Grb2_Sos_Ras_GTP_Prot_0
0,4.999999999999393e-08,49733.95521223191,-252.78467253642623,-65.35134911367271,333.76608618849247,0.042668499140938114,-0.004669387224561099,0.6597039135464139,-4.103785048097625e-07,7.526490142580831e-05,-0.00011026566686931444,81000.14967328636,1.10919611251929e-09,12025.990460658024,0.3813151430779179,-2.9769861523648148e-06,0.002642419229863267,0.00012951460122912137,-0.0015780674216758928,-0.0007420792072243711,-2.5600004295975253e-05,10826.659694628048,0.24014029409987672,26163.024087138045,0.7706285675874911,72008.97912010446,-0.531324940222339,1.17250012393449,-0.020621159567968176,39918.97030417999,101013.19387094576,0.3613635717654353,3.8650194615055327,0.04836764499132934,-0.25259972034789485,0.810427158620812,0.09965006489644339,0.6177276956408974,0.09785246014369507,-0.6314971395831364,40000.214876821236,0.077425666067942,0.03945496272324971,40000.00169336752,0.0007271540898127416,0.0014853511037427097,21000000.014914308,0.05357081865659392,-0.1427733674714649,-1.4208800639473834e-08,1.731986069980328e-10,2.751698803438944e-11,39999.99873990862,0.0013634835098415455,22100000.233085673,1.561464706553635e-09,-3.67564495962655e-09,-2.7014889817887815e-23,-1.4025835023109147e-24,9999999.394115934,2.3587129118949756e-22,-8.610541765487849e-08,-0.0022959972876454996,-0.0058302045786088,-0.0004394141390322352,0.016656920357816563,-0.006627784180303129,0.0007218687032737963,0.007747989603677125,0.0002892525355804626,-0.00035910810994982075,8.562268715569112e-07,4.499148014211227e-06,-8.779309882569347e-05,0.0002667310668960989,2.2746897056153316e-13,-9.793390361477355e-05,9.761059313451695e-05,9.036234499138184e-06,0.00289222959565497,6.819145171925218e-10,6.198434395064034e-11,1.7095910095918124e-08,-0.6547531611001858,0.004558667369558037,-0.004150315111219563,0.019485962092802803,-0.008863990746585695,0.00035252049776112707,-7.412752603478394e-31,-8.5012926500736e-21,-2.0400066654004942e-29,-1.9928103148551548e-19,-5.38138431802649e-34,6.010451374635786e-23,1.2704647693454332e-27,-1.3980205067029566e-13,-3.3274453540815574e-17,1.000224842422602,0.9989554449217906,0.8729461558583342,0.9922922280889923,0.9995613319234684
100,4.999999999999381e-08,42426.322870401986,7500.490141804303,-61.82233229256968,304.6626927579051,2.1227940747820324,-0.0016068994485752758,0.22486241225479328,5.440896308885573e-06,0.0005205092486997395,-0.00234177326131048,80999.85899783387,-1.5666101449002894e-10,12003.073657568448,-1.8533863212298292,-9.065038761431693e-07,0.0016420135736937662,-0.00023336231979116122,-0.0012266445857958069,0.0012396376903778298,-6.429648273517868e-05,10712.299429439521,-0.16206793093098748,26238.408597151883,-1.0084005087988224,72005.18015679333,0.1560586836392617,-1.118923963478923,-0.0015030846950800226,40360.233200357674,100976.96978935586,1.7900839529285693,0.1821884074239743,-0.15975840211036194,3.106445206402081,3.919365773889939,-0.10720302707577449,0.6708552015546709,-0.14147120764551815,0.6408050392876552,39999.949001416855,0.09890546685312372,0.14987608106411404,40000.000045652734,-0.0009537876411473455,0.0008220092372988886,20999999.97479376,-0.046834080279726006,-0.14737272129571877,-6.004737936463334e-09,-1.0376211177563131e-10,2.305558136091042e-11,39999.99995820165,0.0005953946925740582,22099997.34064765,-5.592872480178607e-09,1.5587505282202728e-09,2.7326649732912536e-22,-3.484717393476791e-24,9999999.890925352,-1.0518764161756175e-22,8.595796116767047e-08,0.002487632359766269,-0.004865391029006642,0.0014719604643538664,0.017406421418245648,0.005772179774773921,0.0008609570357702351,0.0011642553189958828,-5.194530973453362e-06,-0.0012736715137868727,1.4250688531095532e-06,5.635572059177657e-06,0.0001027038058489674,0.0002224559429583205,-1.0463606539018949e-13,0.00798726058190524,0.0005753205608629535,4.556552044032972e-06,0.19385096850444322,9.594310933646559e-09,1.705960254062815e-10,9.242405738971302e-09,0.23573360011433908,0.009090051975192814,-0.0021142158311347027,-0.0035911100518490266,0.005812434882788267,-6.714152829241364e-05,4.67320979956438e-30,-1.302944499452334e-19,-3.2061936543220905e-29,2.8775935601274636e-18,4.585695771437915e-34,-3.1252927835037754e-22,1.5195387987742294e-27,1.1722249575966832e-13,3.715788108592907e-17,0.9909874597613043,0.9935933997744071,1.116562207462728,1.0306850904395137,0.9983039685975652
200,4.999999999999383e-08,37946.644865359944,12271.529954355326,214.6476236524039,-261.2435124038234,4.072006004947793,0.0003842533888518763,-0.4671290347784032,5.5724443824536815e-06,0.00043956212901692464,-0.00011777019943169953,80999.91309067507,-2.000127721826956e-09,11989.711990248094,-1.2034398376642983,-1.156090886655136e-06,-0.002231026583825319,-0.0005925075501069622,0.0016560954561757903,0.0005190043704655786,5.426534925038417e-05,10682.715242766344,0.21399644806772739,25907.05308614345,0.6373454612422786,71991.33308010253,-0.08221207855334242,3.171337700698853,-0.03190931194340024,40265.73006956366,101010.29846316959,0.8966513367672736,-0.3043731550824488,0.15724398097397707,8.363577972183228,-5.187773384520929,-0.08695963030945157,-0.5957165429982529,0.020590697947235722,0.46561398328634185,40000.1826008543,-0.09905459221998686,0.06768438144322424,39999.999389202865,-0.00013210058158707606,-0.0014024144912275945,20999999.754073154,0.020546182792991977,0.017577628299563657,9.860622858527097e-09,7.961872016180326e-11,4.3326871845679516e-11,39999.99843827591,-0.0009903858983192756,22099997.853753548,1.092633082425552e-09,-8.26388455108383e-10,-6.013024638264435e-23,6.686715665338677e-24,9999998.042033324,2.0699597414217718e-22,4.4616539759953755e-08,0.0014293879343898954,-0.0029283871992065516,0.002011274236413795,-0.004644210453206258,-0.005942340610054172,0.002015322169125148,0.004614741584965399,-0.0002672186256973695,8.387173018492436e-05,1.5325624987241868e-06,4.922799854834908e-06,-8.02815592463563e-05,0.0007409303156043337,2.715036075644438e-13,0.008016659369773992,0.0014288532546908855,-3.774641959410062e-06,0.2029485651917059,1.5635949203780208e-08,3.601691491748788e-10,4.69693949676107e-10,3.1399743293590556,0.013906387423073993,-0.00141589315092501,-0.0073306473303944636,-0.01754614023600346,-0.00030090599797503277,2.583946512155226e-30,7.474188552384375e-20,1.72400928036659e-29,-3.0998700436088313e-18,-8.087537832023717e-35,-1.7179763835236042e-22,8.787242284219773e-28,2.503048841644498e-14,3.1781154708403073e-17,0.9904495910000471,0.9989524443584656,0.9930016282193191,0.9884367899874786,0.9974731123195483
300,4.99999999999939e-08,32375.691716458525,17177.96720735011,468.72836353878216,267.1958008711459,6.19180498041207,-0.0009588701558117848,-0.14096564119022134,6.00739296395339e-06,-0.0007309867869026629,-0.000250545309204735,80999.91533040119,-1.1161874444851294e-09,12009.74430580145,-0.4183197531246169,9.951439452245388e-07,0.0010555421771552512,0.0005589407662656106,-0.001948698797353561,-0.0005697102390755374,3.4163922172950575e-05,10415.010811368904,-0.31721325521369115,25704.442326112472,-0.8315363945299608,71998.50177312683,-0.5680297703124731,-1.8824997871758717,0.020659480474409117,40478.90542330463,100988.4242178093,2.025157025679476,3.2146696734813984,0.21701946706670927,4.759584675211507,2.495347236015526,0.06865305074947688,-0.6897789041110646,0.13394424948032402,0.6643391145160543,40000.12945664781,0.11585318453831045,-0.10127825241295767,39999.998508809076,4.545054837456678e-05,0.001458337481718449,21000000.091668434,0.07202006881975816,-0.19717374913495228,2.3206400051046895e-08,-1.3848527521028226e-10,1.728328050415395e-11,39999.99837698718,-0.0008503635162831727,22099996.741042428,6.547352581646659e-09,4.00032075618237e-09,2.849279826942043e-22,-5.920326940833226e-24,9999996.12875847,1.7320642271634615e-22,-8.204097997374001e-08,0.0005225590276004696,-0.001124901948882285,0.003080567395825833,0.01157993914889576,-0.00024278601320483224,0.0030459526035827534,-0.005194144624758701,0.00012689047473872996,-0.001123216484665158,-1.0655722556326416e-06,4.4545265519055415e-06,-0.00024105550537134978,-0.0005835314699353021,-2.985570560196651e-13,0.008151257394335433,0.0020378352179971056,8.364396013531776e-06,0.222818997733389,2.0700214706492366e-08,5.478338705772887e-10,2.6829350545313013e-08,4.884549667327895,0.016119365445558944,-0.001227451726661879,-0.02521957665014091,0.0013511441311419797,0.00045794520951907615,-5.159606805393672e-30,-2.1462300723978327e-19,6.136523841906041e-30,7.761009892299629e-19,-3.0595334703037085e-34,-1.3182884882460258e-22,2.5741182552602247e-27,4.731726997126877e-13,2.1659608436111124e-17,0.9896490852670721,0.9928212753661052,0.996267059828913,1.0820113346746347,0.994485768362906
400,4.9999999999993916e-08,26846.781678906784,19911.69915948856,1091.9302963782739,333.4160824959706,7.30472225321211,0.007193933904684697,0.16770151497432692,5.662406757163936e-06,-0.000757547120344297,0.0019896143885264296,80999.79865117272,2.9826091432178225e-09,11994.487743623871,-1.6169118338906612,7.081569342984519e-07,-0.0026632441399275387,0.0003320636021008291,0.0015127417328767582,-0.0019132047033527026,2.691689005852368e-05,10059.146111686308,0.23036462446255657,25574.99902163682,0.545288170804615,72006.37194501134,-0.2380155734875147,-0.1276212519332309,0.004387187608654316,40897.13652337136,100991.85090140377,1.9476803308336033,0.5958314880663721,0.22600317017630991,7.919018934264389,-2.472276893446606,0.11525074188929603,1.5594559760469424,0.015374306873354414,-0.03869024401497469,40000.152475453964,-0.016097739970186646,0.05736554027244618,39999.99837339422,-0.0003649191263943036,0.0019292813525190983,21000000.010002147,0.007948796160550364,0.06975662470065226,3.9338207877434546e-09,2.433794405013284e-12,-1.326341132210931e-12,39999.99659246264,-0.00022057073183436924,22099992.82503205,-1.6072610286725006e-08,-5.609504417534349e-10,2.430320365875047e-22,-4.9907881813371816e-24,9999993.245103521,-1.377532145683869e-22,7.227819012229314e-08,0.0008386597540129132,0.0013679988280618394,0.00510416795432226,-0.002531174928326444,0.007384478169609741,0.004719008593689484,-0.0067257235131321395,-0.00026352508894607405,0.002078680625428166,-1.837486609275169e-07,4.3547904419832136e-06,0.00012539520098322568,-0.0002798276050686312,-2.334529347722475e-13,0.00805451732246155,0.002806461303656374,-2.402793778925353e-06,0.23063727696613545,2.3588377857169156e-08,5.687594623837175e-10,2.7991846615834402e-08,4.944779659479492,0.014056003785658647,-0.0019666806568688936,0.0020873120218940075,0.004275345427647214,-0.00018633738596459556,-3.6823924379493484e-30,3.330435933169034e-19,2.74076686373672e-29,-1.0550192542233674e-18,2.4735933615143605e-34,3.251780894547978e-22,1.8932517445064265e-27,5.453683315217092e-13,6.668345247262175e-19,0.9896024927259656,0.9988123491072466,1.058091793369778,1.0028011688770613,0.9922789080025358
500,4.9999999999993976e-08,24323.810121885574,22468.221163531194,1714.3624989706054,893.2028975062333,8.580375110982402,-0.0013294220972408623,0.01729908120402409,5.812833108535423e-06,0.0006285847003237989,-0.003692801735383055,80999.73587389963,-1.3972294097102715e-09,11996.803048251204,3.087313890281308,5.7266026526991616e-06,0.0039711548084367995,0.0006899606723023515,-0.0006250097327909323,0.0007818320355808727,6.791124987122668e-06,10079.750917775345,0.07800743140282324,25149.186809862487,0.11588923654678306,71992.43937674303,-0.8929438845841157,1.4609613705523958,-0.032526119601696074,40958.67647629095,101011.64981023812,-1.8680716941656703,-3.3162463603724137,0.2834636283241467,-3.3143593770749664,2.4624822193988,-0.14313139352452367,-1.1298360594799015,-0.07717988018502228,-0.5119283043382956,40000.01366743724,0.03372806896894574,0.14699440289564952,40000.0016626687,-0.0007337981869601454,-0.0011085105013036896,20999999.929551117,-0.07864976754299491,0.09106219166476445,1.072911500731045e-08,7.364216451051128e-11,1.645908777965498e-11,39999.99665351112,0.0009530729901031002,22099992.530392256,4.791572101554073e-09,-1.837309188274743e-09,6.673101030047669e-23,-6.028087880278046e-24,9999993.116953691,1.6436850841930948e-22,-5.560553890120222e-08,7.729363436308418e-05,-0.003295809075333098,0.005624554575211243,-0.007674349222791647,0.0012022075401563592,0.005799669044629508,0.0029451602236033126,-0.00011992697572013497,0.001981756735229177,2.6616558158398816e-06,-1.422310780168873e-06,-0.00014472304126437734,-0.00037079254818106835,2.595578570548932e-13,0.008023866701204219,0.0031829420457747636,-2.622128147524531e-06,0.23077184943488252,2.6933574114738638e-08,7.070588203632015e-10,6.349602164182685e-08,7.613076396110301,0.0054521844381342326,0.001686374113824108,-0.021555708761626585,-0.00522770027986905,-0.0004478913956247626,-4.454861154352862e-30,-3.5475935856554e-19,9.840547648091499e-30,2.275415276830455e-19,-5.673957406683605e-34,3.603097467946511e-23,-2.0866910199892742e-27,6.25567288974313e-13,3.073684074573762e-17,0.9885791548591387,0.9927982775315624,0.8660514937692269,1.0168453554582964,0.9919986663227008
600,4.999999999999398e-08,20516.26796404258,23706.86757213853,2183.3514125990696,249.28704588797837,9.852993880521133,-0.0009953700173156023,0.05295762183643557,5.855843844436494e-06,0.0005944808499235421,-0.004136321574091134,80999.80494691973,2.251617584412625e-09,12013.031473074841,3.2745446056141545,-1.6046113545652086e-07,1.562148470085048e-05,4.5655988084357954e-05,-0.002191520877288053,0.0009155195330538312,3.2291463181720185e-05,9924.190407346701,0.25406290055781694,25138.787039831397,1.0444500119996902,71988.7768794802,-0.019220545740023295,-0.5276676548207175,0.013098797930531474,41053.683008673426,101023.72622231535,0.9431365837319536,0.981538533528075,-0.22869377306971034,4.742981438445288,-5.298156533864083,0.05469271760436225,1.9979698535640937,0.1551116502581056,0.1596791783302482,39999.7841807256,-0.08352299740344313,0.11045319943892978,39999.999860961194,-0.0007627109274283053,0.0010474297207729664,20999999.948775154,-0.026312752873887582,-0.17770398355710643,-1.2587120187551159e-08,-1.5781621180438659e-10,-4.468681051117661e-11,39999.997173944874,-0.0014604315525905737,22099990.499269526,-1.515989022258878e-08,1.56124512146912e-09,-1.587627020093387e-22,7.255647939187189e-24,9999990.860375889,2.3698615843780504e-22,-4.0585762538822765e-08,0.0009828686493262796,0.004008610192344374,0.0055921140167516665,-0.004034836681147982,0.01180483851038153,0.007490944577992461,0.0026062591041736034,-1.6243049666594317e-05,0.0012049660468509218,-2.2264654973651892e-06,1.896911151828621e-06,-0.00022946795144459533,0.0004288891063888555,3.1731374277387193e-13,0.008050606526936293,0.0036502455827081863,6.643307146484976e-06,0.23636305926772905,2.869839520846494e-08,8.921460492528467e-10,3.768976285163408e-08,8.805991593389512,0.016277146230056005,0.005178715119951156,0.02106301975363459,0.005496914219227401,1.6533207115436878e-05,1.8454343927809557e-31,4.0208730474058897e-19,2.3112055915178462e-29,1.041337491718364e-18,1.3047974902169511e-34,3.3058864724823156e-22,2.11089997930556e-27,8.324801779515528e-13,5.759689902706882e-17,0.9886360067227666,0.9858241730187925,1.0877925588189956,0.9854673826445352,0.9901194946411045
700,4.9999999999993896e-08,17966.840592745186,25568.169159837053,3155.1493759851664,866.948383926817,10.898248123304857,0.004577634206648713,-0.09444044867842238,5.8378851531569225e-06,-0.0002585251299588417,0.0009736263099509625,81000.09474718175,-2.225265280180947e-09,12015.288679082718,2.1094992900332765,-5.99968460912023e-06,9.240571543919611e-05,0.000644380986295013,-0.00225331019837647,0.0012288139259550286,-2.7052633642947533e-06,9696.250681724387,-0.06844459956945166,24987.641277163224,-1.1092281172949614,71992.82984939063,-0.2246177234139408,-2.580829095688463,0.029911951500244463,41257.30781293844,100996.08755661448,-0.7131752220311465,-4.090071431313449,0.15904464776240387,1.1230298652444626,5.390551117246839,-0.12759168658065997,-2.128309828525129,0.09621572509804896,0.4259682547333298,40000.04354751468,-0.04428536538643997,-0.14585891556715516,40000.00063459544,-0.000520219430960265,0.0017918406889730187,20999999.7362581,-0.015308694920448607,0.1859181135805205,-1.3170082916075732e-08,1.1126907823412628e-10,-4.335271101295155e-11,39999.99512795402,0.00048026717779427533,22099990.40870249,-1.421167473489836e-08,-1.2722114757167968e-09,1.9785966522019977e-22,3.812336347153777e-24,9999989.199017975,-4.845725987060777e-25,-6.58674028083872e-08,0.002783786424906886,0.004577043884104296,0.007627824655998004,0.01076862352138487,0.020503885922010565,0.008655392955890994,-0.003673225150112964,0.00018203232555044947,0.0017841559213914674,2.023292135737105e-06,4.798297300163336e-06,-4.464560794086364e-05,-0.0003479226343980821,-1.0995655487395333e-13,0.008083775669212645,0.00384787843078469,1.3350248231478323e-06,0.2553099052510138,2.864741471893474e-08,9.602686873174342e-10,7.499444087295296e-08,10.792674183590922,0.017583580272403317,-0.0034554103513558558,-0.016086626046767395,-0.009384338198014418,-0.0004491735732142847,5.046343723422153e-30,4.1549851874766723e-19,-2.534611784006178e-30,2.83427356414602e-18,-8.717022770925677e-35,2.0124843228264814e-22,1.8810472547972838e-27,9.671209669071123e-13,2.7941202324654676e-17,0.9880688228164768,0.9840039163942832,1.065316289707857,0.9951379640308484,0.9885471948742399
800,4.999999999999412e-08,14457.525083288981,25780.34165446369,3901.6226197948013,1060.3407535393899,11.908957643196219,0.008316589703856006,-0.27614406672000813,5.87687330887703e-06,0.0008149776283076421,0.0027254986448318353,80999.95878031303,-5.243841485067984e-10,11991.652226177295,5.371423404337595,1.372084287456611e-06,-0.002339854772698689,0.00022828219755480228,0.0009007537189667305,0.0008000382636921968,-3.687182308908481e-05,9408.626299112502,-0.1497209180636962,24681.436239104423,-1.0118632554045393,72011.77615757924,0.3935754765920491,-2.1724146341168353,-0.01603132461089952,41484.435340752185,101018.71110742309,2.3435179645812827,3.745200582218469,-0.25278246685605915,-3.855706337816533,-5.512853141862484,-0.12397377214328302,1.8893687671867028,-0.10210588193899316,0.5501127437173274,39999.88507692024,-0.08707661630321517,0.17011125403919314,39999.99875031711,2.8853272747478136e-05,0.0007813384222309709,20999999.748906955,-0.01888759923757449,0.006799894267303376,-1.033805659582492e-08,2.6143559250738213e-12,2.294904185965878e-11,39999.995892308754,0.0008279191923996354,22099989.000017885,1.7353698770626765e-08,-2.4261070141463095e-09,-1.083341111093623e-23,-6.146593590165578e-24,9999987.465167087,8.189876553549806e-23,4.2824934367139384e-08,-0.0004909047220757519,0.002752445770382082,0.00665463322550104,0.009438376248363647,0.01820384736161542,0.010314930081653446,-0.0019729318917014902,-3.6599108636459346e-05,0.000682251822613606,2.3544114227633258e-06,4.4840213672584745e-06,0.00021303153498914776,-0.00012343598616266853,-2.9563031232999853e-13,0.008113811182830622,0.0044131658049676,-3.686145265121745e-06,0.26388029421020215,2.927037299144763e-08,1.039691749240315e-09,6.875073163702239e-08,10.003968273613623,0.030977353143636244,0.003975081152954703,0.013602720626598131,-0.011869128476582298,9.000025308023379e-05,-4.474042576040512e-30,3.351410615531437e-19,-3.667101164043773e-29,-1.9621589086064307e-18,1.0043404428026135e-34,-5.164885025499467e-23,-1.179924605401588e-27,1.1853965320999044e-12,3.9158983700252967e-19,0.9875807920736741,0.9888080445602361,1.0753189027345338,0.9237733182986492,0.9861290894273593
900,4.9999999999994055e-08,13931.706748408906,24798.741911074503,4469.71560131157,1519.5056915755451,12.139300404743201,0.004087948396366662,0.009858684779106591,5.799523747884537e-06,-0.0007939638575375996,0.0002816632220662633,81000.01930438615,-4.640599225493375e-10,11974.84012247724,4.215556342090561,4.0039022191884085e-06,-0.0026466881257115014,0.0003364141676237807,-0.00045170185441735706,0.0006076002098085087,-2.7696876359470642e-05,9428.419094815788,0.3025676762011265,24594.52087874751,-0.33326039609807334,71989.58223854016,0.6978854190180878,3.8585997987276817,0.022513558263349113,41591.6972176708,100972.94859523694,0.1261325022594726,1.6469466438730669,0.03184113572580234,6.2651927164166645,4.1651853482155,-0.13607944961126492,-1.6342227358604882,-0.08978396013686804,-0.0841516307552909,39999.807625875605,0.0756513228631479,-0.02320992640151036,40000.00099537148,0.00034903107852638887,0.00019773791449426563,21000000.18049667,0.0760256133276513,0.11905298916824927,1.2589853738758744e-08,-8.890992455938102e-11,1.7584761467814042e-11,39999.99454495956,-0.0014320303440214473,22099987.666700628,-1.0687999795546007e-08,4.3191988592485395e-09,6.678264791301997e-23,-3.0291115809945747e-24,9999988.103833036,2.0039519658532546e-22,-8.33527353584052e-08,0.001278594210714845,-0.0035058354785120253,0.007810526215089587,0.0007994572755770819,0.004560607292958549,0.011137788934536982,0.003278332469634236,2.6620862105664186e-07,0.0031482103693202985,2.264732321143596e-06,-3.636279197510744e-06,6.711321870831732e-05,0.0006855589614602853,-2.167192999514124e-14,0.008000329213608982,0.004604914468234985,7.379819357132054e-06,0.25597466560227344,3.0782308502851316e-08,1.0201766808776012e-09,1.2283225315941077e-07,13.424107947749151,0.045365638089521744,0.004935095196640118,0.004788180526907659,0.005189105464495656,-9.017546818894407e-05,3.898283082437242e-30,3.695372223501261e-19,-2.2252754220918848e-29,2.2556554525557485e-18,-1.9368452534040737e-34,1.7722208232629197e-22,1.359535135226015e-27,1.3913765332412431e-12,2.6213429624150294e-17,0.9873544222964434,0.9904988813839125,0.8578194477504104,0.9575996614917683,0.9863920923584828
