milliseconds,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,z_i
0,0.5522948455307005,-0.0092161399485297,1.4925288231879724e-05,0.0008649609009446374,0.9790043817674063,17.923914261721126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26668581130320324
100,2.9457028001644145,0.0230803296358755,2.2618473579216938e-05,0.11218253307697282,0.9121714977627453,13.054760318871097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1825269842616705
200,2.3488391333672327,0.024431154349636434,-1.5154069756500016e-05,0.19653780299376697,0.8226654030480534,15.017703000915235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1794052216389298
300,4.0212133169823066,0.06483330207546711,0.00010762232802503648,0.31891489920230365,0.7564046866376918,-26.58353220987002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3236818503054919
400,5.329688942191226,0.09443627541559453,0.0001206786684933409,0.4378027143581035,0.6605780862182824,-4.200182374894697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5891333114920558
500,5.536276412019662,0.12071596889292191,0.0002168849256906857,0.5441629533166152,0.6143020441192418,-16.48583974887082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4265262087956156
600,5.251696471255492,0.1572335436641609,0.0003733982947033913,0.7454263174465852,0.56834676469891,-22.88878743119796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22746767853261549
700,6.146795111885162,0.19260525956396066,0.0005266415458636978,0.8323218961877177,0.5208687915321905,29.20093663763018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14754341341554708
800,6.815613999060899,0.22017429642053063,0.0007005956755840277,0.9377890184135836,0.45391041361409695,-6.275981276483829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5415405483242091
900,7.205795900664067,0.2713403109945745,0.0008777908060953375,1.218644331683615,0.4073597141444504,19.152596798978866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2585435072896133
1000,8.573151307527755,0.29052060313500433,0.0011419823356182178,1.3473883179069566,0.3835357543341665,17.96613331936934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12836084924794983
1100,9.336019533310278,0.3135961991039314,0.0013197522881092892,1.4002237172831236,0.32775907781163105,-6.067858788642056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31551533761265266
1200,9.608571179780075,0.3305399298816318,0.0015009964975843204,1.595662666638351,0.2968082082931511,26.467358080343477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4352027859234346
1300,10.28848957410179,0.3434503197716211,0.0016250544409021027,1.7033447147276586,0.2844410247570175,50.647978829414086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0848463057334268
1400,12.479193994132691,0.3273891581898565,0.00168428306149401,1.8453780985838752,0.2557312959039579,50.06990356732287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9091064550077854
1500,11.852821251134266,0.2863929421443863,0.0015499896287374955,1.9177665509340602,0.2413619804027098,63.818534046526494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52129923793679
1600,13.452033605113598,0.2366971135030865,0.001231091787008669,1.9465935733504598,0.20544683164363992,135.21536023326328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6380547338066975
1700,13.8725266663559,0.18563398783479418,0.0009123330862177077,2.0610494608938006,0.1674491534348845,154.07909423072343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9124813980646005
1800,15.545406283319275,0.13351386614763683,0.0006077557519732991,2.1599242048325378,0.18152587720396296,216.06769248738806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.565200802048261
1900,15.594781371074848,0.09889216972835849,0.00039749486599128305,2.253197147928159,0.16633381543521608,261.6014551217422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.004546660136902
2000,15.754711448377323,0.06692226900451345,0.00025080989054393103,2.235437445344272,0.11422972918027774,286.80008371524167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.497389140804401
2100,17.22813459488354,0.06303846462351581,0.00017841405629453571,2.395240559954059,0.1088284320991712,274.3593115175104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.038671630633726
2200,16.50499281064264,0.048789872549344526,0.00010310398038071796,2.443949574188935,0.11837307599166452,337.2950727558657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.907446697331203
2300,18.622947189949677,0.04152961968901785,9.434766681086694e-05,2.4785609290472084,0.10309667469754338,367.7994458260268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.321054193148074
2400,18.80263354966316,0.045316425104508264,7.021089474270738e-05,2.4989772789341735,0.11512916765709753,377.5449146963313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60948560622273
2500,20.285291162202135,0.047035163696869796,8.047187897716762e-05,2.5929652179617975,0.10589931920611603,380.76868320836047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.408687629633272
2600,21.013066734634304,0.04167077371003371,3.3985787099478836e-05,2.548730430950398,0.08615619538232254,429.99873158302347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.30279775077466
2700,21.335559860268823,0.04154920241287621,9.267361128882347e-06,2.5269613984052715,0.09078719254223658,423.78919202682624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.562829340126797
2800,21.63083499457709,0.02653017061979221,8.049598866522538e-05,2.6337051287613558,0.07702165888350358,481.9154846760271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.091533077294828
2900,22.252195733879635,0.041666311986951254,3.473717167270664e-05,2.616557243348379,0.03827961864854318,460.6738947077504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.211142779124945
