milliseconds,S1__Cell_1_,S1__Cell_2_,S2__Cell_1_,S2__Cell_2_,S3__Cell_1_,S3__Cell_2_,S4__Cell_1_,S4__Cell_2_,N2__Cell_1_,N2__Cell_2_,A3__Cell_1_,A3__Cell_2_,S4_ex
0,5.863862899289203,2.8703264014549044,0.8857942654979125,0.4784282800884884,0.18015552173088878,0.10138460802293743,0.18684899989628104,0.09728969635406923,0.09690825970383005,0.04576344469157108,3.213610049401189,0.28737062369859745,0.09909496455681135
100,5.90805589987785,2.689133631416173,0.6565149628477227,1.0532274389231455,0.26989276541823193,0.07385582508514618,0.1699550472119368,0.2125759600258647,0.14114205116325979,0.14304800067048862,3.140905981607324,-0.076696419786411,0.09829507503812238
200,6.1960525173582734,2.3815060543949116,0.4351301987262621,1.2474444016179587,0.23933909824997032,0.10073628058262252,0.18784358281155847,0.24836738084571225,0.12087541101553897,0.1567539708054478,3.214160553150576,0.0858651887682653,0.09542161987094208
300,6.18207175723645,1.9425319031307997,0.47278749324098546,1.744597736380756,0.17703453301659333,0.12146544460344795,0.17847631548030204,0.29164578008144426,0.11617067039107005,0.16666427852507784,3.0870642812637397,-0.043682085347670374,0.09810333224591587
400,6.480541859799637,1.3603716912126793,0.5431921937141696,2.182150360813346,0.19758608730705796,0.15975118857401058,0.17694087411899925,0.36273581739413163,0.10789876866609537,0.172305647439469,2.910476437883844,0.11203171813721076,0.10117805722743829
500,6.383529091558418,0.6112418033343575,0.6514946810972262,2.566775901844257,0.13005124849283406,0.2065464593261358,0.18584597564553765,0.4367247301363621,0.1141801602022786,0.17485044877679468,2.6738380971848725,0.2743407005362394,0.11198727309097606
600,6.668072166895303,0.33315318668403626,0.6341730916686728,2.0839283823795696,0.13444326544182367,0.24196455610434472,0.19395492317061114,0.4417810921087428,0.1278475476227246,0.1525969137972388,2.657385895297282,1.2845877966067354,0.12039735805007594
700,6.580884179659804,0.5870615385704345,0.8465621079779212,1.1321707474281855,0.1223507870968035,0.24869828134608846,0.20747999971411504,0.32780959105934854,0.1324229188273012,0.1256673412907648,2.2548644545766474,2.4858501328045435,0.12445487130214526
800,6.496132116799309,0.7686459881976242,1.09819625554171,0.5719700993050679,0.15726717961758488,0.2404436365839532,0.2195269138364343,0.2515654630067244,0.1404558135659629,0.11103426764201148,2.1109019555105983,3.093907371290095,0.12061063518738893
900,6.013707065850355,1.1400640343185058,1.4618598493143853,0.29655327355018446,0.19884679063663832,0.19415070270014467,0.2705851996943136,0.19592631519791553,0.15905001668068014,0.09094013520446552,1.8281651583444067,3.2458422634962902,0.12011043364349192
1000,5.556728901020223,1.4118889535297225,1.8428507591356345,0.15646935212175103,0.2509610133276342,0.13274765944040096,0.33061137921225936,0.1777117791028084,0.1675319454828433,0.0732092793582478,1.5394318751135934,3.268578030718052,0.11511044356395846
1100,3.8784012701674504,1.5441093995354942,4.086169753496019,0.21549561474734671,0.25563081678578525,0.08905187656249484,0.5491547215912376,0.1647900491496142,0.18362982760000615,0.054693898887001574,0.14374794403740626,2.9242376436321256,0.12050759410470925
1200,2.046710475449797,1.8263339159057848,4.89381351739705,0.19919710478470237,0.3570412042876777,0.05021405151627781,0.7650386855999977,0.1558224627890937,0.17917995446260399,0.0542814465618664,0.1764225438977731,2.7500345471765018,0.13834169964705925
1300,0.5302844100662107,2.0331849466230225,5.022205328276889,0.2183792577412298,0.4877278843430934,0.054888481063974315,0.859166820425331,0.16499191920949008,0.17010039497091395,0.0601134713066574,1.3677335008535032,2.4839051428191388,0.16222249052672347
1400,0.7722086544786005,2.2569981289007304,2.5457915557678996,0.3103356098657196,0.9830060582371117,0.06084789080262006,0.44565877656187647,0.17564408657429426,0.1617507789845667,0.07111707104411956,3.6222375747709004,2.164389197084958,0.1708597025479642
1500,1.160883249410723,2.437797499919137,1.127378456975634,0.3528590468147177,1.4571000445937445,0.06746920876692984,0.2062175102653521,0.19238305096035455,0.17879958886957148,0.08661577860625203,3.9179677134166613,2.053691089421678,0.15569974440497658
1600,1.3589924251573473,2.3491471749272854,0.5811564393528407,0.5987069570463782,1.5815763714479363,0.08182039391078595,0.1677975150319697,0.21006598824714406,0.1545777684988771,0.11575940722096845,4.000236589210764,1.5717386185874391,0.1373290900417283
1700,1.5011120594009697,2.18389966104469,0.40217983673799157,0.9857233321161787,1.6063241047732864,0.11852616288817486,0.1687462069912409,0.2309477035480382,0.1140824077800061,0.1405763626636356,3.9622404764135912,1.266686328120309,0.12317025215282355
1800,2.0157739030132213,1.1880400996761893,0.1773867109955806,2.6024124458382896,1.4416004252960668,0.18690227659133857,0.19752257952517605,0.3754954526285179,0.0698830053144229,0.1839075125556704,3.846547915081316,0.13869146922727513,0.12251450327394793
1900,2.1006381622939707,0.3547647483648627,0.2014503947910582,2.789312663842894,1.3092440623793846,0.24820354610659237,0.2171329174124929,0.4906189626911409,0.04573859581600553,0.17069687210580659,3.796615810341293,0.4504485350391503,0.12777617320305923
2000,2.327458835473149,0.3703701195728215,0.0771961990814671,1.614847076716624,1.092134694924082,0.27131308989046593,0.2467480296588283,0.4284287135088865,0.029927851859315707,0.13767574269983826,3.9619520039857408,2.119228141525629,0.13873163632951685
2100,2.5739159792901805,0.7094788114851605,0.1219863167394297,0.8909254948892658,0.9309562851969448,0.2866443053584635,0.2971976274421498,0.2922284575969762,0.02435538281853719,0.11625802176023786,3.7515202048403817,3.0206914399861033,0.14107212263727575
2200,2.814887973973957,0.998430002512357,0.08754540205134584,0.4888385335387341,0.7509886494298809,0.27223021057353275,0.2888972329596963,0.23185269747891066,0.020214697192322294,0.0952527887126487,3.824738952654826,3.2307268921004,0.1357100398081754
2300,3.031150247747337,1.1797160092669794,0.09733564983361488,0.2877468699183905,0.5528184587585322,0.21328932780816534,0.2898199734250489,0.2099436613360309,0.029972362846111062,0.07786139955346294,3.6656109476749,3.368510674724699,0.13101089989273448
2400,3.364745959140536,1.496223947370358,0.09244121408188383,0.27608535677694324,0.40287999691393234,0.14191728964912415,0.26030896042763096,0.1929523742461246,0.023320191613742422,0.05697632235030168,3.6448393863879134,3.3663254088260355,0.12692260884544862
2500,3.6609208307612513,1.7413791178473308,0.039537663866797315,0.11729116676409432,0.2595735348462619,0.08190462484549306,0.232504587989131,0.16810007050003925,0.030966912281446483,0.052790086130775196,3.56426258376586,2.973746224647131,0.12066463539673986
2600,4.120741446132413,2.011450951174478,0.10514299626670741,0.09424577948892057,0.14633160810398338,0.0605652392875886,0.20368617469722988,0.14859630842158073,0.044828159244137064,0.046901615460150356,3.4042413447550843,2.8486756743376174,0.11375248599563773
2700,4.184847855007953,2.2418851676220943,0.2433886771621995,0.23843827156697883,0.10310640812876071,0.04921445426203196,0.18043030443179597,0.14721589681273328,0.05126590800208402,0.06536719845442529,3.097972231624699,2.4473556984455827,0.10209530827463148
2800,4.389457747835344,2.3692436267452734,0.34457160710918566,0.30665606380363947,0.06051560471360849,0.06253725516579882,0.1616951056855272,0.13869131363736356,0.07803526120872445,0.08587653640299053,2.910463776746466,2.2730785359398253,0.0969576571794634
2900,4.458733447774553,2.443231648645517,0.3680812238823432,0.4128877563803774,0.12837911681363473,0.06022607496004147,0.15848862795849353,0.14144921450699555,0.0973566241327803,0.10766654445403306,2.6275268658812,1.8623403684823503,0.08783041943250665
3000,4.528676995706129,2.461954682663144,0.5844792902655467,0.7094743155966938,0.1356537116600572,0.09052451494636546,0.1614092332081597,0.1571971402830369,0.12182874644372904,0.14046310068627876,2.137432214739864,1.7088753547809739,0.08110619633048925
3100,4.336067084085635,2.1275427524729547,0.7598854743676229,1.2572727357038347,0.11614304304555469,0.12361209488319444,0.17836104435365743,0.20050949948445962,0.14564795858535293,0.1686253906573875,1.9606886292979708,1.1413039889891932,0.08193345577804355
3200,4.163525447622715,1.0056016060886457,1.5136864070209655,2.6505644436796825,0.1636901459181542,0.1961731458112237,0.21980709448145125,0.3815378626545779,0.17531819214232594,0.18394000634523588,1.2803661705294818,0.19208867887809045,0.08872272824527118
3300,2.532643643602064,0.2773060967028907,3.2356532654469388,2.7858642874453654,0.2590151972982818,0.24191185697593243,0.45537642514209703,0.48677871203496664,0.18387877492154073,0.16853361765511016,0.15995858335770408,0.7129288521357876,0.1131716537043507
3400,1.2551482719106302,0.5101038749205008,4.047314563344412,1.5006064731342101,0.3017096673595237,0.2893504254921035,0.6169271971301398,0.39091241189958714,0.17564841026199648,0.13553523761122338,0.23716112394104982,2.4293925420057825,0.14289628323901057
3500,0.28738719217630715,0.7506506094228582,3.2350350690966345,0.7900371743402536,0.3688881991923607,0.2866423419702554,0.6488230863760599,0.28774647150483296,0.1612928944560463,0.11169785657246394,1.71763069742388,3.12168004474267,0.16424438443518108
3600,0.6968167822528415,0.9910213941669275,1.7750338512245583,0.44643570884249756,0.5743525666823837,0.27120210337775974,0.4112054320157446,0.23841646121658105,0.14920578524488298,0.09109773112210216,3.268070925910048,3.3450569710761284,0.16970792966189666
3700,1.0629099901308854,1.290668110909105,0.7927292449426718,0.27734534570107794,0.8187382618577875,0.2090814137269142,0.2365923390701343,0.21999864501712457,0.13603255169491826,0.06697370172506101,3.846036444699604,3.3326613618386935,0.15901763220042014
3800,1.3854775413730527,1.4825141601544256,0.5381820040598331,0.10290017711472746,0.8512732209535538,0.14483067393421034,0.19377201096528002,0.20432914899304025,0.1156451346548597,0.05304135090595774,3.7887778136107437,3.2380751550711526,0.1444927774296997
3900,1.3341271450612027,1.830383949070353,0.15098900730128673,0.12235413329029914,0.8040914065837106,0.08652530876337033,0.20617968092102537,0.17407093296212398,0.07745890521317625,0.04425245499347706,3.869286021484652,3.0589596903744996,0.1313802084813895
4000,1.8262027634909839,2.1098768406786435,0.2763388252053367,0.1096984596044148,0.6438857494366236,0.05202153795822829,0.20764624197861725,0.1705186410459539,0.048764629174796396,0.04962425826148993,3.746122334103957,2.7289479819373446,0.12011113109665635
4100,2.1924072081150734,2.2708688564273865,0.031908689297110535,0.1826898223300521,0.49345510970360706,0.056656413943534836,0.2065518931035803,0.14408941580105003,0.03473609091806604,0.06293417779314395,3.7749437199422284,2.4111087991165356,0.11091302376023303
4200,2.1857318732219215,2.3718235255622115,0.06349315117574732,0.24637871936761555,0.3264690200907445,0.06085703243316276,0.22267703217652934,0.13781317067529242,0.030659892548947916,0.08619164782156181,3.6194928355427853,2.2282016356396364,0.10304485439491552
4300,2.6495695256397114,2.554947837743557,0.06873444591320291,0.4396876983984124,0.19197129161666976,0.06525907993577051,0.21963726158580338,0.14532713285123114,0.03276505340852663,0.11011343789429792,3.4847558587640735,1.897611261706213,0.09837002908474839
4400,2.714404397805309,2.5938674145557736,0.07826425817495228,0.6861417645071769,0.1268400161384192,0.08689101507159394,0.18344302715694794,0.17356427165646945,0.03817077516192681,0.13723753884097042,3.3222405241477984,1.759723017459078,0.09526728982023094
4500,3.127446624692992,2.2672926606675743,0.14978716686804508,1.3253741897093168,0.09044561453540867,0.1310852400672812,0.14533654431000165,0.21957509518791046,0.05135886444494162,0.16687448777362002,2.982382759187444,1.0179158262371233,0.09099865437651726
4600,3.2981618196009124,0.9834315964125239,0.15421877934017192,2.6536655932477653,0.061432388826006615,0.19707291378649497,0.1266134968058475,0.40326941745580164,0.07235224797604176,0.18946009004060757,2.7749536585511985,0.1397273438610696,0.09527147418850303
4700,3.253816644852073,0.20672412087733852,0.32977695728026274,2.7628104481680786,0.10941832940176333,0.24548167032153334,0.13611441207412572,0.4904121170595649,0.09459020950678047,0.17269056952592224,2.357724571357465,0.6778270940544265,0.10594044730672766
4800,3.675424605421707,0.484697588770429,0.39805888863936373,1.5774446551131895,0.04804018828215815,0.28269993338051863,0.1622282673097501,0.3872240468832382,0.11789252240363483,0.1428098735150331,2.022774663504364,2.4284665946925252,0.11275719442820817
4900,3.5556065426874377,0.7726030684254538,0.6438694157421854,0.7544353529891212,0.07373834440204335,0.3032129410278559,0.1931612834706397,0.25747622594044445,0.1315219880836748,0.12401529855602364,1.7871863326403636,3.020365383418466,0.11118937639101736
5000,3.2454971180803094,1.0242593708848449,1.3349332132826834,0.41513985962364697,0.16195414760773658,0.2673707759110661,0.2204489981781216,0.20153794272992812,0.167912309591875,0.10236312813520637,1.304038994787861,3.339255139772729,0.10818993426195156
