milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,7.65654989197712e-05,0.00016516634879331222,2.4313658226582612e-08,1.7877329530814974e-10,-1.430570164864675e-14,6.108441968357759e-08,8.620743684022112e-09,8.344875444819255e-05,1.8012219414579756e-05,-2.9428863723855088e-08,5.604719385795309e-06,-8.220580892721038e-08,-2.3044627553770387e-08,3.396874655647087e-07,5.123660862445192e-06,2.42571732670136e-09,-2.880921191645899e-06,2.0052700326462393e-09,-1.3766961001674651e-08,3.6838008004224126e-11,-4.257475755222342e-14,7.065483627941113e-10,-7.705059477119105e-10,1.4762262771825935e-15
100,6.550812952847122e-05,0.00016970584642959628,1.9211983322414527e-08,1.8281713287602415e-10,1.6591916690415858e-14,5.606581785807925e-08,6.773913134243239e-09,2.7252678653273746e-06,0.00012263559055076406,-1.512873561900106e-07,-4.7806501211753075e-06,3.9385617890484434e-07,1.9376036005805867e-07,7.951513092855886e-06,4.915825426148405e-06,3.381388196779701e-08,-1.4521975761351942e-05,-6.7276079905741296e-09,-1.591010089504229e-09,2.700904991066682e-11,-2.905221485843133e-15,-8.677105262189626e-10,-3.2960783558794555e-11,-1.1670044619865888e-15
200,5.672868074066604e-05,0.00016017310365074903,1.9005546731788807e-08,-9.025342098725925e-11,5.3938728959754106e-14,5.042111007079956e-08,7.53736704404698e-09,2.4680337262537286e-07,9.319564380764376e-05,4.861065584572373e-08,3.7091305316838975e-06,6.635867589383748e-07,2.956885120175913e-07,1.442302548898657e-05,4.796903684865591e-06,4.377730518842035e-08,7.231043841722317e-06,3.069862988253357e-08,1.0474766989014391e-08,6.652494541370126e-11,3.7421906797870294e-14,1.8558778562066612e-10,4.204855216419153e-10,7.630804739868165e-16
300,9.563520278143776e-05,0.00014986057340883374,2.5071572984105156e-09,4.2540750797171235e-10,-4.6421501634079814e-14,3.262342281739276e-08,7.269245275643566e-09,3.029300526129762e-07,7.393401511457523e-05,3.626600507264665e-07,1.5245846256672367e-05,1.084772163376906e-06,3.9214529257016344e-07,1.7631426792208943e-05,5.031974177007311e-06,5.704270217899204e-08,1.549021072974438e-05,1.2026188509480615e-08,4.657633514524652e-09,1.490075314497815e-10,7.71038745274647e-15,1.1443743458974766e-09,-5.48150902793391e-10,-1.1965422963970012e-15
400,8.716705357993232e-05,0.00014740444989691122,1.6384081770452757e-08,5.1903883418709154e-11,-6.185765192824533e-15,2.7825592542710493e-08,6.513991645180984e-09,-1.3941099782144763e-06,4.843398379828997e-07,9.711227659262263e-09,5.763941473042603e-07,1.947616436326808e-07,4.54778274689687e-07,1.7183423192676623e-05,4.78500480414663e-06,7.10294201792701e-08,1.7149246437337362e-05,7.2578763387233055e-09,1.7733003578088196e-08,1.5135530693737834e-10,4.4611305013687056e-14,1.1257599084344133e-09,-5.155657005467627e-10,-1.3833780971058158e-15
500,7.020036207276906e-05,0.00017172615442860012,1.2732619633097786e-08,7.402033068193922e-11,-5.855199272608079e-15,2.5066195413707647e-08,6.691223767268967e-09,6.624044634939079e-07,2.164779613481409e-05,2.8649465370599705e-07,1.763243342823518e-05,8.703155712518702e-07,3.875457978019826e-07,1.8323563691399365e-05,5.0669569459746325e-06,7.095758066757654e-08,1.9101807410535422e-05,3.8873137121170565e-08,-2.0501096300083908e-09,2.0677082721662254e-10,2.1478146564974165e-14,1.8407019529208619e-09,7.417256302216412e-12,3.4772614939880896e-15
600,9.847541162096769e-05,0.00017400938553567547,5.816252886755766e-09,6.944774416638799e-10,-4.461742119331083e-15,3.89176909119918e-08,6.004038710161534e-09,-5.556053409863585e-07,-7.262704336441634e-06,5.306270647525752e-07,-2.0373952016359507e-06,3.988978869830179e-07,3.8384000427918115e-07,1.9132511490995465e-05,4.693615860817711e-06,6.612011559619733e-08,2.5698213000401015e-05,1.4389867225217407e-08,1.4029818768424603e-09,1.679856751484703e-10,8.347085775198137e-14,1.4140484968856212e-09,8.880412067509973e-10,3.1151296655366513e-15
700,8.299697231518479e-05,0.0001570357235226097,-1.445431323200085e-08,6.583897431562957e-10,-2.6246956266780497e-14,3.18921591456583e-08,5.831210221242455e-09,-2.944270227111266e-07,2.477699548755021e-05,5.692018189804681e-07,1.0056549460399671e-05,6.152894953889524e-07,3.8322997086474416e-07,2.1934303394751312e-05,4.678776072056734e-06,6.539551101061768e-08,6.730308784738353e-05,3.60069358780646e-08,2.6079832222926424e-08,2.6019607800242944e-10,6.64006086086684e-14,3.0705013114704963e-09,7.328302617324398e-10,3.4361521187933667e-15
800,0.00010571705353194897,0.00016820558416492346,-1.2402559689121386e-08,8.861607119517064e-11,5.984619828962516e-14,4.2991750298250755e-08,6.005336630532681e-09,-1.36677935505329e-07,6.277779651816288e-05,2.883056465861584e-07,-1.0916186748423837e-05,9.50171212114404e-07,3.91389650280226e-07,2.3358027865924058e-05,4.3475994033870375e-06,6.479073509330935e-08,6.173045176129566e-05,2.1269913079725408e-09,8.676749020938418e-09,1.6510968265404617e-10,1.407486830131636e-13,3.291454309688622e-09,7.326610058660681e-11,2.5991657147217313e-15
900,7.691554062731591e-05,0.00017566891280897324,-1.7592189468301282e-09,9.177336110519767e-10,2.937580587699796e-14,3.0781912163029976e-08,3.9290320201440055e-09,-1.2412350486130987e-06,-4.044367725366883e-05,8.058319282706142e-07,5.12775504902192e-06,8.257861419033145e-07,3.601739813826817e-07,2.899471778509065e-05,4.671569991263412e-06,6.408093832345655e-08,4.8055780355089954e-05,2.6330506760808534e-08,2.5723423753435906e-08,2.354962533580271e-10,6.186193417214108e-14,4.967801664089795e-09,2.626359429380125e-10,2.4421891724801212e-15
