miliseconds,U,A6,b,Btot,A4,c,C,g,G,Ep,x
0,0.9869434636295582,1.001061183784997,1.0000013904588148,1.0000000002961076,0.9998410401440244,0.9999999963607344,0.9999998669247095,0.9999996083283045,0.9999986501247831,0.9989237806710176,0.9980906025402899
100,1.1498517302107147,0.9990500245906149,1.000000101064877,1.0000000002216005,1.0001673560951034,1.000000075594177,0.9999998880444608,0.9999995249695935,0.9999965228689477,0.9995151877532124,0.9972013818783223
200,1.3521371790266996,1.001272883648592,1.0000003689742614,1.0000000001082665,1.0001425304352891,0.9999999712427202,0.9999996704744077,1.0000001350134982,1.000003688317042,1.0000142608814853,1.0005314931652065
300,1.411661712717794,0.9994042529900692,1.0000006618927946,0.9999999998508466,1.0002264594906716,0.9999999486882084,0.9999998915024501,1.0000008392465605,1.000003269995378,1.0020454098806495,1.003769413293121
400,1.5469426726300848,1.0005353502309475,1.0000016235932603,0.9999999996577653,1.0001297127058901,0.9999999578565717,0.9999999521259729,1.0000006291302754,1.0000019510387197,0.9989851692735571,0.9989140521125979
500,1.7006861562582676,0.9999085543036839,0.9999997384095838,1.000000000217669,0.9999591188169232,1.0000000164507374,0.9999998786192729,1.000000616102154,1.0000035067633108,1.0007136027788879,1.0052528841038253
600,1.8939369868603964,1.000333308135395,0.999999822776584,1.0000000001433533,1.0004643274531242,1.000000015038458,1.0000001479374419,0.9999992620211022,0.9999963617590684,1.0022104494742357,1.0065437614449233
700,1.951306783850562,1.00061671883609,0.9999998339163536,0.9999999996758057,1.0002142277891373,0.9999999766929941,0.9999999154849812,1.0000009559319265,1.0000043634303462,1.0025824458217714,1.0035927248126444
800,2.153745832631701,1.0011912337360949,0.9999991408816936,1.0000000003542031,1.0004477458713794,1.0000000027730578,0.9999998240190779,0.9999998709494414,0.9999990996332465,1.0044326212021875,1.0023502086422593
900,2.220783111867416,1.0016788059246176,0.9999995840796639,0.9999999995714908,1.000757626882999,1.0000000569605647,1.0000003612346875,1.000000970166888,0.9999987358077678,1.0029495629850973,1.008817731919884
1000,2.388941720291514,1.0019000216670428,1.0000014381466453,1.000000000133958,1.0008178405261758,0.9999999681814034,0.9999998577691331,0.9999997688208846,1.0000049425109852,1.0050267805092423,1.010307506819203
1100,2.4097613763946653,1.0038308494279398,0.9999994223150892,0.9999999997516458,1.0007531730176886,1.0000000099854132,1.0000003197591085,1.000001027488067,1.0000048788033589,1.0073952314085286,1.012364186488347
1200,2.588174723836528,1.0040352476909085,1.0000020223108894,1.0000000003123621,1.001050422113417,0.9999999372493683,1.0000002221383624,1.0000009790618885,1.000003357215404,1.0077039590029928,1.01279824456178
1300,2.703546936982677,1.004109177455681,1.0000002234414198,1.0000000002542941,1.0009605932873418,1.0000000669965368,1.0000006612554435,1.0000014025244506,1.0000021346954782,1.0067512654789288,1.0183831606108575
1400,2.8495726759699487,1.0045809595571384,1.0000020477122014,0.9999999996938533,1.0011905919592161,0.999999946558691,1.0000002318988799,1.000001231262565,1.0000066982521012,1.0115026839402947,1.0149798247563036
1500,2.931615504118169,1.0048788610124526,1.0000025840731694,1.0000000006740037,1.0013969545440011,0.9999999879396133,1.000000456211762,1.000001827854666,1.00000706188285,1.01210603388575,1.0251714817132567
1600,3.1023639174693236,1.006680275623956,1.0000020396441505,1.0000000003459137,1.001806999707672,0.9999999929972664,1.0000006911315142,1.000002110364662,1.0000152412828491,1.013141426038805,1.0284286119888488
1700,3.177234089174041,1.006877190770369,1.0000051296103338,1.000000000349661,1.0019770511190491,1.000000094437619,1.0000010803835475,1.00000225382289,1.000008955203575,1.0156934173134569,1.0267700022748203
1800,3.2399132059101263,1.007376022843298,1.0000054133677505,1.0000000000562328,1.0021180077165988,0.9999999973143304,1.0000010835837525,1.0000024507000171,1.0000133648602447,1.0180310730182263,1.030389927152372
1900,3.323557401064942,1.0079431535987666,1.000006584559722,1.0000000003820875,1.002337045481019,1.000000014088199,1.0000012700364558,1.0000043389719873,1.0000153589693268,1.0176336435983258,1.0342761040472936
2000,3.5118782607455175,1.0106089003869627,1.0000053833968683,1.000000000297252,1.002457492018489,1.000000049025653,1.0000015994001774,1.0000051350590757,1.0000227868197797,1.0223495300864645,1.0409490121768576
2100,3.563450604400851,1.01157562674527,1.000007922428811,1.0000000007226453,1.0028770053638674,1.0000001113049377,1.0000015770430293,1.000004149533865,1.000022213059794,1.022866128969191,1.0405513898989263
2200,3.7008460809733514,1.0138399076073963,1.0000075361460312,1.000000001133194,1.0032441127859355,1.0000001445076279,1.0000021752947552,1.000005266990985,1.0000307441387355,1.028295658612157,1.0447720539309209
2300,3.726829843067234,1.0142131056764438,1.0000092083904504,1.0000000011236547,1.0034111753203763,1.0000002067825664,1.000002321992589,1.0000061616367009,1.0000314097128342,1.0281131486213833,1.0528367458109438
2400,3.827690008539995,1.0147062332982193,1.0000129586625213,1.0000000013454171,1.0037529273806172,1.0000001875335627,1.000002467988642,1.0000078760051607,1.000036209751139,1.030429590920799,1.0554733415468711
2500,3.9586048769744595,1.0183548411462935,1.0000137974329066,1.0000000018892357,1.004088678973884,1.0000002725071622,1.0000026986573058,1.0000076027178637,1.000039593336652,1.0325524568547302,1.0637128022134705
2600,4.087605934287803,1.0191924235994545,1.0000131475621539,1.0000000020974877,1.0042907913372205,1.000000242570399,1.000002806832626,1.0000102150701884,1.0000423236389056,1.0384593626733452,1.0727604372718416
2700,4.174786615029237,1.0196332652853506,1.0000175056954337,1.0000000030466067,1.0045561910772545,1.0000003137559788,1.0000033176713143,1.0000109757901423,1.0000504753438908,1.0422611293679638,1.0751746875256436
2800,4.212137924004894,1.0215971124467975,1.0000196219401596,1.0000000028853544,1.0050200887190557,1.000000358071753,1.0000036406555646,1.0000124334244984,1.000061119891765,1.044213934300118,1.078723001457147
2900,4.300959466780403,1.0253348601952468,1.0000195779918837,1.0000000033051852,1.0055818354098627,1.0000004059729632,1.0000046387616601,1.000012940964602,1.00006337766548,1.0483399351494345,1.0849551361515122
3000,4.3898698431155285,1.0259442425037955,1.0000217013882617,1.0000000036866146,1.005870448515721,1.000000505399172,1.000005165377991,1.000014254178891,1.0000705470842197,1.0494259198412683,1.0960915455567493
3100,4.447905969621127,1.0289972901323843,1.0000244888874723,1.0000000047880362,1.006071618056838,1.0000005914309908,1.0000056127498944,1.0000163500143964,1.00008289762979,1.053360414931772,1.0965876143412396
3200,4.513449060945154,1.0296809607174884,1.0000299806499322,1.0000000053834643,1.0065062087780405,1.0000006194383213,1.0000060926291305,1.0000179188482547,1.000084974760575,1.056264516630112,1.1058890812702207
3300,4.676845432574945,1.031450560205622,1.0000312504419078,1.0000000064952765,1.0069187500534469,1.000000734350024,1.00000670522379,1.0000183095065955,1.000097761553504,1.0616719247696116,1.1128992064583216
3400,4.692599128163356,1.033981437991699,1.0000348182958028,1.0000000068393449,1.0074123063187141,1.0000009755431623,1.0000070960564063,1.0000194713714017,1.000104631908613,1.0632776777112167,1.121907413485411
3500,4.827760654425534,1.0374589278717659,1.0000363765944547,1.0000000082581266,1.0078060294227422,1.0000010916548898,1.0000074394791192,1.0000227567564848,1.0001150853101954,1.0687479240963529,1.1310632853859242
3600,4.823469624986748,1.038037082300325,1.0000408247402333,1.000000008733381,1.0080527691634085,1.000001263983829,1.0000084627399757,1.0000230917712332,1.0001257644809964,1.0723812259861651,1.1328205295325942
3700,4.949705627550353,1.0413913795069294,1.0000437441065486,1.0000000103619178,1.0084572879297624,1.000001377289679,1.0000089917045685,1.0000267509935261,1.0001378494169402,1.0742830206491267,1.1454151568008624
3800,4.923555100524226,1.0434285512999948,1.0000497276835234,1.0000000108804483,1.008899972833478,1.000001578855178,1.0000099591107756,1.0000286729974546,1.0001531418431862,1.0792597028650757,1.1520540395703405
3900,5.055961857940792,1.0462346611709439,1.0000538136692985,1.0000000120567005,1.009233710494638,1.0000017345979222,1.0000105886281978,1.000030940733361,1.0001631061060277,1.084824321219391,1.157496136069566
4000,5.116154237325688,1.0483059336692326,1.0000590116033925,1.0000000139421306,1.0095706223586185,1.0000019770600679,1.0000115750517977,1.0000327634182633,1.0001786509129043,1.0867874167584795,1.1648394067443852
4100,5.071147328402691,1.0520768454705784,1.0000615447907322,1.000000015841429,1.010295491841093,1.0000022606423933,1.000012243776951,1.0000353976394771,1.0001858040849314,1.0931387044873362,1.1719109157212035
4200,5.254755987780083,1.0543013067862645,1.0000669717952386,1.0000000166445,1.0105892087043025,1.0000025124028507,1.0000137144537333,1.0000370876012574,1.0002024200641633,1.096637342219471,1.1853383511185507
4300,5.293978756147704,1.0575559050169956,1.0000730259922561,1.0000000182783555,1.0109087119387838,1.0000028339410354,1.0000142121916695,1.0000400326862833,1.000216818986295,1.0985678378520223,1.19210431577499
