milliseconds,P,Nstar,D,C_A
0,0.9953976754247987,0.0018511819999929493,0.002944898344218548,0.12618450346888216
100,1.0083303974299014,0.0027485821594689964,-0.00912745718130241,0.12340853223313947
200,1.0079892580847092,0.006524560620920301,-0.0012597577809143432,0.1250408351976408
300,1.0126361690571684,0.010975664620645352,-0.011677553400612889,0.12503906795559985
400,1.0087314339313749,0.013872539203547309,0.005469114325550303,0.12351679476199981
500,1.00662840923421,0.016849372020990627,0.002519268262009152,0.12654020243290975
600,1.007648908905059,0.018410419603083726,0.005710873455234294,0.1259360686895221
700,1.0155770316082338,0.02098946064502585,-0.00441125259661989,0.1256318460683236
800,1.0154886690319973,0.024032468788695083,0.010951606835325194,0.12586181676217165
900,1.0142197980241856,0.02711700303421757,0.0004918334218641121,0.12671448104186261
1000,1.0169089989544884,0.03279663891517154,0.009653840728671377,0.12560020137880884
1100,1.0067572857828668,0.03470309168011323,0.000527063884812351,0.12462873397633754
1200,1.0092226746489639,0.03708397188106143,-0.0071399278415165204,0.12606555457343702
1300,1.007162102489286,0.04069288777969131,0.012117205049081092,0.12528128990314708
1400,1.002466771427204,0.045523312534425216,0.002830440265881627,0.1254592844049889
1500,1.0059796663975364,0.047640511243338915,-0.0008404738204404617,0.12846100354740225
1600,0.9982445615300033,0.05139255853448963,0.0009933681978556291,0.13006850036839457
1700,0.9966313924662025,0.052511073037106795,0.0038284326049542843,0.12953680391090877
1800,0.9927801661934244,0.058006640080574795,0.02688260444322147,0.13002123642936578
1900,0.9823638023192849,0.05836740187166137,0.028055277095021564,0.13213737488416002
2000,0.9777178131018869,0.06320405379882832,0.030345712230874605,0.13560812793803353
2100,0.9741872448077703,0.06548850637656359,0.03684509899696354,0.1387187756358491
2200,0.9597147874175733,0.06934168547204958,0.06441968577206368,0.1396101806783614
2300,0.9582796516454838,0.07143520118445995,0.08099415978133451,0.14251660753539538
2400,0.9525302474507396,0.07537724485942225,0.0915732360628577,0.14708555239542598
2500,0.9392947350927082,0.0776467306195917,0.10909178650423472,0.14720972544219282
2600,0.9348298188939597,0.07950200428434229,0.12576628747260113,0.15173722319035077
2700,0.9208078382893389,0.08027197245065004,0.13931260547374757,0.15560080453459102
2800,0.9223147993665816,0.08544130099757631,0.1618897546330377,0.15625843716002719
2900,0.9069947532937632,0.08573384371863248,0.17241053958993555,0.16164143254719354
3000,0.9010046556061864,0.08926195911579785,0.19722294428572174,0.16472199776898044
3100,0.8856408003401753,0.09222175104254221,0.2260758668551891,0.16737964360376517
3200,0.8802642692158059,0.09630766336453897,0.24488993665351458,0.17174268847422622
3300,0.8673432213743528,0.09841653072174533,0.2697667517612342,0.1741790608426438
3400,0.8550120028283902,0.09859312340480623,0.3040345823239685,0.17595308129016277
3500,0.8516496089429654,0.1007345076490572,0.32190740392999617,0.18094621331112154
3600,0.8306379900553451,0.10564682342236231,0.33939393317166894,0.18264012441684435
3700,0.8189924120081933,0.10584909355941778,0.37058009827062455,0.18516723762565315
3800,0.8117336877582565,0.10867258897565671,0.39640717813621895,0.19047818653302379
3900,0.8053137499418657,0.10936261113255091,0.4295544884255241,0.19075606537830142
4000,0.794544941917361,0.11218495857020948,0.46593232564523335,0.19470505594351573
4100,0.777746685107219,0.11355007493133944,0.4865962251849124,0.19705859625468128
4200,0.7603661215567596,0.11764666168602851,0.5183680880907575,0.20152599590310688
4300,0.7554593206411699,0.11809925899204529,0.5482530459380137,0.20247468993150702
4400,0.7444795379704794,0.11990378997385606,0.5750840711579686,0.20714020928239962
4500,0.7276722097394708,0.1239587614966292,0.5860577321976681,0.21130709440102746
4600,0.7124125194735578,0.12535167328783198,0.6214458344435884,0.21321525296737487
4700,0.698263544304074,0.12816192205171226,0.6607324787701605,0.21703337482346616
4800,0.6846090623262899,0.12928146259036236,0.6673068236349106,0.2193834491812539
4900,0.6727310103265695,0.13018911019836915,0.6996246128534683,0.2210734183656284
5000,0.6600510516407867,0.13263158634213756,0.7441023457905189,0.22309449486970576
