milliseconds,CtrA,GcrA,DnaA,Fts,Zring,DivK,DivK_P,I,CcrM,hcori,hctrA,hccrM,hfts,Ini,Elong,DNA
0,0.11028383537729602,0.7805424114162084,0.5996369301365542,0.2903743932838428,0.9999993526560396,0.658877910618112,0.34127206844080926,0.11025751669039914,0.5024923182210849,1.000046513413356,0.0,0.0,0.0,1.716425786057869e-07,0.05015411164152174,1.0507098231189798
100,0.10899928907901439,0.7807016954995124,0.5997982635088819,0.28881503131409375,0.99987033140762,0.6620899265192532,0.3391599764715326,0.10977930678324585,0.4960317875813212,0.9986214349501108,0.0,0.0,0.0,1.8862901064010294e-06,0.050244164582922884,1.051187840940306
200,0.10875027621559591,0.7811256424274116,0.5994741160291998,0.28681112678899007,0.9998702420253988,0.6613621598788905,0.33881573003197496,0.10863712419102925,0.49431601035028966,0.9952493607819121,0.0,0.0,0.0,6.392767969215838e-06,0.05070692516884444,1.0501710634376311
300,0.10842794670789928,0.7811317269837761,0.5989831393121363,0.2876412862816005,0.9998722403745516,0.661877923644358,0.3369831100767308,0.10869354131318101,0.49097875969645904,0.9915627001489984,0.0,0.0,0.0,3.0272702117709625e-06,0.05089216880892094,1.0512696712642988
400,0.1076917028758545,0.7818234511805425,0.5989596483516159,0.2864820578944869,0.9998726617557786,0.6642968127246129,0.33575465672557225,0.10781382179535,0.4887430556678304,0.9877614925261825,0.0,0.0,0.0,6.612427785323494e-06,0.05232372663654646,1.052841301680528
500,0.10802021857605877,0.7816056090036301,0.5978477562519184,0.285481632137217,0.9998769382969506,0.665497362152732,0.3332118224486207,0.10737761714894627,0.48676340000285945,0.9862514919687563,0.0,0.0,0.0,6.5708705593385265e-06,0.05305369064659216,1.0539122886737604
600,0.10729568483117057,0.7817096251146766,0.5972920838728986,0.28476252611543257,0.9998767925837201,0.6665071439903381,0.3318962040251326,0.10733737943685115,0.48367533155445597,0.9852956307944277,0.0,0.0,0.0,1.36098297622385e-05,0.05462263281034674,1.0525986197118002
700,0.10650479897269842,0.7822335056612951,0.5972099039342635,0.28338637705650693,0.9998807607107544,0.6654487240424731,0.3317359407201846,0.10709636295736535,0.48107353269467046,0.9814395644677433,0.0,0.0,0.0,1.299752097674435e-05,0.05536964928162493,1.053650615623529
800,0.10687784048395367,0.7831959536835416,0.5966932296070431,0.2826478068454883,0.9998820337518843,0.6678726614518993,0.3317458961721525,0.1067353968671036,0.4761550878137889,0.9778040034576991,0.0,0.0,0.0,1.2052959713541714e-05,0.0556093926832531,1.0539150844310516
900,0.10558421114232029,0.7834900676833846,0.5970707301628554,0.28050210810851506,0.9998807080922377,0.6671370854038738,0.3306850447174554,0.10659716548507653,0.4736431057014418,0.9757635507121725,0.0,0.0,0.0,1.4572020325834039e-05,0.055667027753123814,1.054623505426705
1000,0.10558274255635196,0.7836519838214225,0.596904415496993,0.27958281394626605,0.9998851429958494,0.6684393481252476,0.32812458857155524,0.10597686792241796,0.4758978509721337,0.9726802163795303,0.0,0.0,0.0,1.6578644586800263e-05,0.05684848247342022,1.0558021081439237
1100,0.1045397266159481,0.7845551987034293,0.5962204363627683,0.27845875926418184,0.9998862911485107,0.6703935743784009,0.32654250898401443,0.10559966422592469,0.4714395989130353,0.9704442163811996,0.0,0.0,0.0,2.046232562436901e-05,0.058375298764054645,1.0577528182025338
1200,0.10454655903783353,0.7842463530772619,0.5961556106808271,0.2782651602266169,0.9998856380592621,0.6712961671044034,0.3260250721711374,0.10481655287872843,0.47102927123487015,0.9720238764643443,0.0,0.0,0.0,2.2522992145372642e-05,0.05698412728690401,1.0577308021843597
1300,0.10446330752345136,0.7853038334116943,0.5950989636473208,0.27666280866680515,0.9998881786822423,0.6726928017051584,0.32710466481552464,0.10422848537526885,0.46510504133953023,0.969353962383126,0.0,0.0,0.0,2.4167912739054538e-05,0.059120529026788625,1.0594996808771433
1400,0.10425037069406928,0.7848157193555186,0.5950273030759817,0.2752851560746282,0.9998889493106672,0.6729030303389099,0.32410964546591925,0.10343984632042688,0.4615577617458128,0.967248397823585,0.0,0.0,0.0,2.5014304500207605e-05,0.05926578596512529,1.0600125097908242
1500,0.10331048279097153,0.7853742415168996,0.5944777842831264,0.2756251613779485,0.9998915403978034,0.6733817375652819,0.32430182680800623,0.10388082400300486,0.46189678618396746,0.9630180332780612,0.0,0.0,0.0,2.967417835122152e-05,0.06140381080452423,1.0616533064231584
1600,0.10315547813743457,0.7855403947612306,0.5940805365277694,0.27401564407643825,0.9998951877299964,0.6736280584932625,0.3224291457983869,0.10351921747123698,0.456965594850131,0.9616043458211693,0.0,0.0,0.0,3.152375516428315e-05,0.06052700218689194,1.0621065460499493
1700,0.10248239454067659,0.7862885872126741,0.5943244391166935,0.27458802203029214,0.9998966470739448,0.674418289105701,0.32022723302279055,0.1030442978527005,0.4577889092065456,0.9592775589181041,0.0,0.0,0.0,3.090108888751118e-05,0.060958473010725565,1.0624006880564456
1800,0.10190107416868642,0.7872110796238927,0.5932219882280025,0.2726923721817869,0.9998974528517941,0.6763550358811319,0.3203678801908251,0.10293067344710037,0.45712901808270173,0.9574227083043816,0.0,0.0,0.0,3.355232197659886e-05,0.06257523493569561,1.06301239844637
1900,0.10203007014073416,0.7867031881551177,0.5935947270546028,0.2707839468736124,0.9998978382234098,0.6757525878587868,0.3200172799179245,0.10226279281564328,0.45389109977933007,0.9583437293908169,0.0,0.0,0.0,3.7218749619154966e-05,0.06324029918497283,1.0628758030174608
2000,0.10090361230997348,0.7871862004398407,0.5925768562414991,0.2708951800930915,0.9998998652075037,0.6772156898859152,0.3180254768073348,0.1010210158389384,0.44756789761168264,0.9523168242425267,0.0,0.0,0.0,3.7163608786181355e-05,0.0640184633438668,1.0640849650713449
2100,0.10097579792201195,0.7881428065680232,0.5927208332434051,0.27051309603508045,0.999900589247832,0.6783867045612532,0.317651707999175,0.10080036166520971,0.44599551252397746,0.9504564073927869,0.0,0.0,0.0,3.9078252262075365e-05,0.06617271569692895,1.0649916751733264
2200,0.10078592638436541,0.7878307303292436,0.5925392370953088,0.2696683812412215,0.9999007162957703,0.6787856346124588,0.31741020788309077,0.10057406420929076,0.4422770819204589,0.9512093560030545,0.0,0.0,0.0,3.8211616545361644e-05,0.06604410058488366,1.0655031719030883
