milliseconds,C,M,X
0,0.004771531021483197,-7.565454743112179e-05,9.31372760936359e-06
100,0.0026317780328967166,-0.0001487248227780347,-4.874937929782477e-06
200,0.017105529597625985,0.0008318534029592281,9.608123636689418e-06
300,0.017948916240419166,0.0007944465221433809,2.5893396859333157e-06
400,0.01719550018789256,0.0005754339197860693,9.696765313289685e-06
500,0.02306136293419144,0.0010443041301313996,8.88893641108604e-06
600,0.02837063435563748,0.0017111851005476046,1.797556436750825e-05
700,0.04165637720536401,0.0015016771870443105,2.755606952535874e-05
800,0.03554545556385854,0.0013217324368161004,4.175457871478204e-05
900,0.048493849597256666,0.0016363920181075037,2.7591284448004322e-05
1000,0.054042154036490694,0.0017273268457854846,5.019855977395794e-05
1100,0.05914636504383089,0.002926945011717644,5.0597191009923146e-05
1200,0.05258832477052726,0.0026816806008322265,6.081227172228317e-05
1300,0.07085303482314095,0.002741404169426075,6.0361695004936225e-05
1400,0.07077698414945428,0.0034901051267729475,5.3825536770073614e-05
1500,0.07506141953377313,0.0037573710670864876,5.718995261789483e-05
1600,0.07399562477303746,0.004146333708752098,6.56626735994902e-05
1700,0.08252171665744551,0.003541716262404777,8.18108292166034e-05
1800,0.08927865354333658,0.0037500316987321204,8.836056751924087e-05
1900,0.09330355624181752,0.004248797469962804,8.708418531989182e-05
2000,0.09201727698395754,0.004441063119061445,8.862069030325857e-05
2100,0.10733886768482521,0.005521649635061308,0.00011059944041708586
2200,0.103362137662543,0.005440299432186423,0.00011122535484877288
2300,0.10818380610647464,0.0061593512186094105,0.00012406139387959538
2400,0.1217217455953059,0.00556156136888846,0.00011782983909694564
2500,0.12802371826465125,0.005991183645095325,0.0001168711052299983
2600,0.12674603430028544,0.00717924244055598,0.00012582750379798544
2700,0.13406255902509515,0.007080162250689902,0.00014641843031958183
2800,0.14445468247509058,0.006903568513979911,0.00014991055639295773
2900,0.14811174059291043,0.007971328277513123,0.00015935966024277652
3000,0.14782080073150214,0.008225915997028373,0.00016710845331756105
3100,0.14533940003710807,0.008642852590420773,0.0001604530099437899
3200,0.15647295734887884,0.009265029615914319,0.00017142661555192526
3300,0.16295140913258138,0.00908858363502228,0.00019121323054732383
3400,0.16128283459765635,0.0096721631638007,0.00020149414299448144
3500,0.17803377945719892,0.009866379678667516,0.00020589314015277138
3600,0.16994809025362628,0.010547277271558943,0.00020336844710997312
3700,0.17834608343271574,0.01145699282367454,0.00021125954725717967
3800,0.18389561878100558,0.011256818664371442,0.0002398335490324649
3900,0.1841237482588069,0.012135384951984253,0.0002405849399362346
4000,0.20292598151312796,0.012117218346062435,0.0002401087448607917
4100,0.19922382912590958,0.013236764458675374,0.0002636472364079207
4200,0.20967882093785764,0.013318211847771827,0.00027596191474329665
4300,0.21412939766784028,0.01370833771116104,0.0002838482405429188
4400,0.2169943445565094,0.014320177285259679,0.0002945231391691191
4500,0.21281357631208014,0.015461887637377679,0.0003138182740754733
4600,0.21871723589587594,0.01611251814030468,0.00031497850045095443
4700,0.23084190353603784,0.016045986030414735,0.0003288276345647261
4800,0.24098168160951006,0.01691774911060412,0.00033332794765462216
4900,0.23399633533064768,0.01756682205842883,0.0003501124624119701
5000,0.23957057943756563,0.017606935029957187,0.0003680320083618616
