milliseconds,Tumor,IL2,Immune_cells
0,0.9949906437898911,1.6441754140658143e-06,0.0005649846001353684
100,1.0057429036775627,5.793418089879709e-07,0.00569505351368811
200,1.0163185862881363,-1.3282477432083442e-06,0.009937604634697058
300,1.041352193333242,1.1902682979257828e-06,0.008091676424180924
400,1.0643865736090377,9.332990839028218e-06,0.012794898950218543
500,1.0936941236545967,1.2359533342825768e-05,0.022000120651784826
600,1.1200226700392002,1.2930962125046195e-05,0.02505192218511914
700,1.140163849721833,1.0239251025644252e-05,0.02367740443241512
800,1.1641707301309474,1.4578804173493558e-05,0.02734645671498869
900,1.1850790156337514,1.4147841665225537e-05,0.036169650347942575
1000,1.1832157154617404,1.8195664195580952e-05,0.03869080984900191
1100,1.2158596943880002,2.2136192491942077e-05,0.040006346645390274
1200,1.2222326076589272,2.2398689113541073e-05,0.04865483331951448
1300,1.2455986536644732,2.612162200676075e-05,0.04846397045726128
1400,1.3011772644764925,3.392080299339766e-05,0.052805820097015815
1500,1.3032534840762404,3.869823963799899e-05,0.05616635439960613
1600,1.337304833633167,3.416865228062068e-05,0.06669094000412068
1700,1.349820618922108,4.308267344824729e-05,0.06515285462106218
1800,1.3756715445751824,4.8804723799507955e-05,0.074055899770309
1900,1.4162390602864736,4.61332207533726e-05,0.07700122776463655
2000,1.4421608496247333,5.48691009664587e-05,0.08148739394761989
2100,1.4564485483924865,6.173116619771296e-05,0.08531253903559724
2200,1.5000344951200184,6.667216991118518e-05,0.08882301387676211
2300,1.499675487821761,6.60927223289136e-05,0.09483349744715057
2400,1.5555059007771053,7.520087165498566e-05,0.10231889908650814
2500,1.5867278877438284,7.545770858132618e-05,0.10490097814279828
2600,1.6104389374689652,8.284671033012881e-05,0.11255302048499088
2700,1.60461927195209,8.785057163737115e-05,0.1195202767266175
2800,1.633817979698935,9.573853431461647e-05,0.1220389888310456
2900,1.6670058647941253,9.84154322679524e-05,0.12887255176995369
3000,1.7035433177079895,0.0001036262104719513,0.13462317430360243
3100,1.758143589121962,0.00011619656919818885,0.13683805708692484
3200,1.7583021924699287,0.00012155398749440202,0.14901127342745052
3300,1.8217576516695226,0.00012987533736975984,0.15039520034970735
3400,1.8315794043182967,0.00013769517447555357,0.15795351904814667
3500,1.8604242518076668,0.0001399993855493302,0.16629978097543074
3600,1.926947774319421,0.0001569945752634862,0.1662410033128008
3700,1.9499990601255253,0.00016349456889432797,0.17846212772713824
3800,1.9648505309719824,0.0001726750650346286,0.1794155939967555
3900,2.0142869142638293,0.00017832664921150525,0.18803793699891588
4000,2.0403015579608414,0.00018784796928600803,0.19680935962918167
4100,2.0847280881582977,0.00020231025490072673,0.19999244561635185
4200,2.1315498566366093,0.000209657040686076,0.20724451035840571
4300,2.1853143144728864,0.00022446780653656567,0.211249350190432
4400,2.193890967166579,0.00023493007532624017,0.22295347103876187
4500,2.2574993095428235,0.00024492592354678685,0.22950982199015543
4600,2.267369528617972,0.0002591541898565108,0.23853769743174846
4700,2.3322090163254687,0.000273848011563755,0.24682430368740435
4800,2.3822061353218227,0.0002866574497189746,0.24780191356162348
4900,2.432793636224332,0.00029848689253595415,0.25525265332685537
5000,2.470917556987323,0.0003083824693346743,0.2678521886416692
