milliseconds,FeDuo,FeRBC,FeSpleen,FeLiver,Tf,Hepcidin,Fe2Tf,Fe1Tf,NTBI,FeRest,FeBM
0,0.011943216739039532,0.03797465975434093,0.0038863440853354318,0.0020038903203743255,1.585302977604422e-05,2.312544341302888e-08,1.3510758960971653e-05,9.34329480787133e-06,3.312731465741931e-08,0.0002864225866674548,0.003027409285193312
100,0.011342449775665455,0.03799560883568731,0.00394665603524223,0.001992312468776326,1.545932230660627e-05,2.2120047110775777e-08,1.39809005583021e-05,9.325324409567238e-06,3.4839218836236025e-08,0.0002866355796887908,0.003041793690710727
200,0.011055465314204344,0.03797388206809043,0.0038911743617359665,0.002002988572718054,1.502884020889621e-05,2.108945781121512e-08,1.4490826050490732e-05,9.233801088116284e-06,3.6665118937297684e-08,0.0002871678758507648,0.003044559617055313
300,0.010847089261365447,0.037965745966083965,0.0037409374801727724,0.002000781320778403,1.4585716908290148e-05,2.0904453452711425e-08,1.497884146883568e-05,9.134846383238712e-06,3.815380949468102e-08,0.00028669386209982325,0.003078033058778022
400,0.009950445800895557,0.037989118714949456,0.003753769390437724,0.002002243577740991,1.4343556107704585e-05,1.9729314449263077e-08,1.529905963698217e-05,9.033148302145234e-06,3.9541326674215536e-08,0.0002870942600069942,0.003101485860904886
500,0.010012774150282037,0.03797652913254117,0.003646072772556333,0.0019953654053743836,1.408099124143707e-05,1.9448982645887674e-08,1.571635699692902e-05,8.96019108130309e-06,4.0612303219715364e-08,0.0002865936809840684,0.003115628702494047
600,0.009530849174463974,0.037978036356124296,0.003464944652283149,0.001990641967517759,1.3833331846005759e-05,1.8567063601936047e-08,1.600455778908954e-05,8.895311873666781e-06,4.1668593928766386e-08,0.00028686909004898696,0.0031423503615343015
700,0.008840255336295275,0.0379833688877799,0.003335572441836697,0.001999938421836233,1.3679344637711524e-05,1.8197586990913718e-08,1.6132758855731783e-05,8.859843562136233e-06,4.214459499009782e-08,0.00028678284664678254,0.0031890262270789396
800,0.008335136189349343,0.03799869470880855,0.0033297514806021468,0.0019895927195107263,1.3479417230604713e-05,1.7704292934626174e-08,1.6340050061219496e-05,8.81664503278785e-06,4.279707137809272e-08,0.0002868773935786495,0.0032133121008775392
900,0.00796374818013361,0.03799481737197736,0.0032149732569707744,0.0019958821258682794,1.3475224801604849e-05,1.7479601649759785e-08,1.652214434353487e-05,8.766507686498127e-06,4.363541480277098e-08,0.00028657224179652374,0.0032501714064568873
1000,0.0081360804944466,0.03799236604425222,0.003013972093887667,0.0019951865100635677,1.3359011852027533e-05,1.673829016453219e-08,1.663136277712159e-05,8.768354001736162e-06,4.375936474155243e-08,0.0002869085642112515,0.003271772464103859
1100,0.007149147924077681,0.03800807817867363,0.002902308006222409,0.0019837811176125425,1.33058844814558e-05,1.6147517783728102e-08,1.6645584246734045e-05,8.736865378033519e-06,4.404761788792028e-08,0.00028690963812274677,0.0032912607849882986
