milliseconds,NT,NI,BT,BI
0,1.0003616830740736,-0.019381931124441663,-164.4677710561516,75.95587186041271
100,1.0001974777027127,0.23947498069466794,669.9275183529799,1702.864601669688
200,1.0010959378013564,0.45506186769402057,1005.4222405949304,3084.085392093587
300,1.0015503908753591,0.6284195505842305,1174.7891818730702,4305.327205769556
400,1.002210810781643,0.7868217009761473,1814.8677508372912,5235.780913126788
500,1.0032939234962812,0.9360520206984456,2193.102628372438,5922.0031437731905
600,1.0033498191857808,1.1223847755865548,2444.1329097593643,6663.453098249694
700,1.0040603665465584,1.32192015068343,3146.003376524874,7067.6055740898155
800,1.0043534754081653,1.4432054738443105,3391.8887139594094,7443.495085523546
900,1.004963524860325,1.5497090691807014,3872.2673703152536,7840.914212763423
1000,1.0058431311944986,1.7517020794348648,4349.832841870712,8052.771120184763
1100,1.006112770787316,1.9149119072260503,4699.2209454774165,8325.012409466412
1200,1.007222574017581,1.9360239762098526,4971.490973873831,8445.134123864107
1300,1.00771098451101,2.065122116959972,5704.732435046762,8641.465698888082
1400,1.0084268463791042,2.2513419111997464,5981.058672020088,8638.197922888794
1500,1.00873062467554,2.4186689101015313,6260.456689921326,8762.295650727643
1600,1.0094596585613005,2.4604605421517087,6543.511519246167,8858.391087476506
1700,1.0094554363165962,2.5686584260994314,6974.061492609911,8798.482038211301
1800,1.0101864025458476,2.7414801789979775,7397.043538069499,9026.216893436846
1900,1.0111911882320708,2.7535904197911956,8004.223637596941,8883.1469886384
2000,1.0116098976118184,2.8768070103494177,8117.769627788396,9104.048056299198
2100,1.0122064145339849,3.024993598255761,8356.993418542612,8968.663416620311
2200,1.0127866529452916,3.112132657501847,9140.598010271124,8977.684346074986
2300,1.0132279935314992,3.162427465250278,9354.748883257322,9057.240034716835
2400,1.0142875910740825,3.2856109867402066,9831.342505216508,9134.895595855429
2500,1.0144160585565454,3.30688356329785,9719.399205677904,9167.178952522398
2600,1.014991137241122,3.369218587765447,10056.916405350115,9130.493586129835
2700,1.0161249337703093,3.482050456994636,10882.39081773916,9032.877571529203
2800,1.0160145262294151,3.5158195595094037,10962.674369642302,9174.682935875268
2900,1.0171337456229628,3.6125546468940986,11548.65860420274,9153.710991180518
3000,1.0178852077028928,3.638407460047596,11625.593322821564,9128.607167184553
3100,1.018006179946191,3.7793109528753472,11877.095541858409,9200.802349253207
3200,1.0189940111118367,3.833637966430693,12290.53063601965,9101.090109770965
3300,1.018954546310639,3.8192139733051502,12693.827356280346,9186.556761369407
3400,1.0196104794063425,3.922665187710181,13101.590428238685,9037.314919963423
3500,1.0205789505365395,3.9190528041135213,13161.573372231924,9070.65881232307
3600,1.021418931114338,4.076695681053331,13473.790815369572,9205.114488953837
3700,1.021559499520277,4.069880330305365,13735.451248696963,9046.257736658368
3800,1.021845719621754,4.106700859457794,14219.146100213356,9080.379198361794
3900,1.0224229045957816,4.144755171749418,14480.739396249723,9132.439466813541
4000,1.0237854913387414,4.1450299525671435,14987.404453062958,9205.436108765522
4100,1.0236848083451555,4.223788162876015,15295.566389140868,9057.049452232519
4200,1.0247871965469793,4.301621137188397,15481.234126101952,9122.683696568918
4300,1.025131167250414,4.306260300690055,15860.904372417304,9152.613795684267
4400,1.0260094519150824,4.331281640383662,15673.909445003868,9038.041286297717
4500,1.0259541898926692,4.473864586452449,16209.486408356435,9049.473946849752
4600,1.0273074984078037,4.485110384158235,16625.926702446355,9115.271813570023
4700,1.0276819575492644,4.422955715026814,16806.51547331533,9189.368779942271
4800,1.0277853309276122,4.481705545295134,17103.21972471831,9096.099382533332
4900,1.0287916428382486,4.569695987530715,17531.12125430105,9145.863932465249
5000,1.0294888024234718,4.603711643608147,17574.423440006893,9039.32717168099
