miliseconds,x,y,z,w,v
0,1000358739.9225432,5598958.66534365,190130007.98369935,88840706.15078105,78257230.42172922
100,901555849.0400473,5592267.338799992,189601211.27482706,281864538.7980721,72394689.98531467
200,859699256.4086974,5584230.353195415,189195599.78766087,370232875.8648233,229381794.71416712
300,836056553.2370995,5578398.041380703,188655306.4015455,528091206.08237803,480501369.80862796
400,814512857.2015654,5572289.569019806,188474135.50437963,687687258.8782376,585344784.1521072
500,803953141.1082709,5565784.761022308,188215708.80666056,850130835.9200236,750835829.1180451
600,787207316.2937601,5562199.589346494,187939035.0956081,1070033959.420522,798265621.3567814
700,778720476.5191596,5552549.082070376,187182810.73889905,1152043520.1529412,930488749.5415733
800,769582922.8305002,5549876.324108757,187188659.4849387,1432349947.46277,1140726100.8685045
900,763272717.1804966,5544113.168355387,186482000.12830424,1552217186.7165716,1267480975.5800943
1000,754518603.4140986,5539676.625652934,186321514.2630662,1759859165.6603034,1435924294.5282993
1100,749095791.9765221,5531819.162375934,185783444.87171924,1936511169.6657257,1398785443.3943055
1200,746017675.5957338,5527063.845655176,185537066.24564782,2047054367.0993125,1621539220.5712783
1300,739845313.1531068,5523247.404321734,185043672.98174873,2099764945.6722362,1680090129.7072878
1400,738425705.5524542,5517114.543316793,184764355.8202517,2362283238.966717,1896466940.8169172
1500,734264439.5692122,5512806.439152708,184295522.38872835,2512420559.394303,1938037123.8502874
1600,732944632.4042741,5507754.4397440385,184284002.9530828,2652349823.115215,2163158689.147556
1700,724928930.564659,5506006.155164683,183458358.13546968,2861185175.2730618,2335559403.5339613
1800,723249829.1268033,5502322.8406776395,183394971.01849973,2924544340.3377786,2351411538.8862877
1900,721737790.9854181,5496671.983145986,182755383.8315309,3180851355.82857,2504746373.0497475
2000,720154069.8242947,5496289.856050684,182435722.08286914,3352587662.5067368,2624063811.327144
2100,718075252.4070493,5492364.777867256,182100959.38166776,3482690497.4558744,2753731854.3551364
2200,712901917.9502784,5488020.9448550185,181913513.6418103,3484173470.5704217,2797067516.30446
2300,710786896.922802,5485082.135251041,181561517.2944853,3614289334.593101,3068418463.5680737
2400,711112062.6074991,5481663.204069763,181111864.13105965,3947369076.19403,3086413800.5401835
2500,708105328.4769862,5480099.564915099,180673610.72282386,4062262687.4579453,3258670202.455551
2600,707764394.6513062,5476186.270135375,180618518.8395205,4028076901.059931,3416862608.57232
2700,706586712.2996093,5473459.5964697,179836409.02737823,4317340212.9344635,3546198381.583817
2800,705599211.4245826,5474249.191762171,179405211.6936558,4423976635.106884,3513156413.7295103
2900,702375882.3760387,5472045.174576789,179256341.00056735,4620852244.460728,3650582503.1083155
3000,705324485.1641097,5468678.165883499,179107392.541814,4752836121.0355015,3846528703.20751
3100,702787941.6960832,5464425.27127589,178786331.53974214,4905736058.178765,3961258199.861143
3200,700711003.1214569,5466355.987617775,178065519.7074612,5008003160.321048,4134775764.460169
3300,698408578.4583405,5461880.578198263,177846153.53768352,5046091047.1701975,4187647145.4428344
3400,701152561.6153789,5460067.798487634,177780173.38810855,5318278231.058058,4251191092.575143
3500,695902656.4314129,5460832.152590359,177012427.17126265,5383403240.254589,4431346127.213199
3600,699894799.1131088,5461028.411212952,177016181.35272035,5553840896.202768,4527177996.189963
3700,698094788.9275241,5460250.596363376,176542346.00889412,5676424314.220595,4703639433.668485
3800,693511690.6488346,5456708.703841694,175955581.9448971,5832406241.632751,4782967997.608841
3900,696390199.4495457,5458244.5120853875,175840284.2203099,5969339492.427036,4802657158.295836
4000,693939328.8115532,5457781.757315073,175282948.07530308,6018320778.829023,4998090782.825203
4100,695112074.8370526,5453863.999341976,175286310.4229227,6110024027.470903,5087962261.491137
4200,691881684.4267428,5454012.207088236,174599592.47031683,6301105549.162042,5114892026.789319
4300,694179551.0622326,5455503.506003026,174241464.75680265,6426098237.901966,5222819397.26734
4400,690465013.110685,5456439.153016618,174252314.30884895,6500971640.466329,5328091358.619522
4500,694860199.7873005,5455803.7991442345,173616386.530983,6675858214.7676525,5522280821.030888
4600,692606758.2803396,5454074.64187853,173391416.09635696,6789328202.973332,5621976673.696217
4700,692581363.3672891,5456936.016198054,172916801.90369,6987177783.238439,5668939436.108835
4800,693063881.104635,5455750.073064953,172529913.4260681,7093553707.472687,5889344165.883471
4900,688345539.3796815,5457693.613688135,172299702.16915667,7250448368.78352,5889210377.828428
5000,690311934.1686915,5455218.819244483,171814910.7796045,7307727454.382323,6099646303.874925
