milliseconds,x,y,z,w,v
0,993992015.3683642,5596226.400472364,189515691.04661578,-203283058.01201206,-82681010.63898434
100,905077594.7376668,5591626.9829585785,189816083.96502697,333862029.7027149,263910716.5999872
200,864206077.6905506,5584397.425081473,189042648.6127995,357750551.63460475,218764961.28292838
300,841190523.953228,5582294.375605992,188832059.40112722,534378658.5280219,296782433.39702743
400,816476090.5351331,5571723.860307612,188379689.33588,730185467.7392287,666835432.6928775
500,803967064.3463149,5569119.067279478,188033960.51631796,850776085.6957271,615715192.03622
600,789157202.3921189,5563603.706423454,187822059.67020917,1116400727.203672,905927065.5597477
700,782559200.2846973,5558401.662196915,187537184.4949101,1256720062.6715991,1129471754.1290436
800,771406246.1553115,5548073.356231188,187294703.83184516,1585692417.6917067,1062990011.4159566
900,767899710.536608,5540582.040068771,186651612.99286908,1433613312.6844132,1308559946.6250312
1000,759721225.334484,5537615.079129557,186775705.99866262,1542750050.7739365,1307759815.4868352
1100,755001864.1966271,5536353.127916999,185696887.79474112,1701179056.5710785,1424236025.954518
1200,751158251.0090126,5529453.621306345,185108156.9742721,1827825209.6326897,1775690530.0065596
1300,745135574.8825771,5522321.971819468,185014439.7155966,2344279378.0235863,1777338368.9229553
1400,738250928.7143171,5515340.436460221,184549996.88023037,2534893182.1672573,1721226177.0079877
1500,733606228.8581026,5512350.24642108,184149366.684725,2566562810.5524025,1867666389.253299
1600,726547565.082534,5506571.413310368,184550141.60882643,2528941939.77614,2150033751.3349957
1700,725449000.9742514,5501407.183967031,183827739.97810763,2776655894.476899,2405508471.759317
1800,728498385.4208068,5498079.987654307,183642751.81069195,3158319617.495044,2290877157.843473
1900,725273411.3821555,5498889.063133118,182631495.6282759,3114373712.173814,2367194906.7798967
2000,725270221.917535,5493648.388202998,182700961.87564963,3073001734.2550554,2517247156.9079475
2100,716208541.82329,5492144.030604346,181938449.9994526,3295659522.9940586,2664931857.007832
2200,721203490.2394625,5485282.434095675,182339118.71014294,3623944583.351851,2855737222.9017663
2300,708397892.3992808,5481521.903811895,181657815.13563684,3655212249.6010323,2963626385.0974126
2400,713454279.9154893,5479771.091935431,181529222.4117865,3831950795.010364,3285684768.4498906
2500,711096513.2125521,5477090.180073087,180556598.1237464,3950910717.388662,3339732353.7762814
2600,714049390.4210728,5477946.250371592,180274276.6446537,4183640653.925252,3391123806.7119937
2700,700873964.9542124,5474107.744003764,179556002.3229603,4318173069.981493,3443351739.509959
2800,711048277.0729561,5473652.210926941,179846328.47698718,4604023388.323972,3519543294.6878805
2900,706147156.90924,5470115.350710877,178901662.98164585,4746552544.416688,3728104050.760142
3000,696858848.1876198,5465173.573997165,178470559.3916823,4620251941.059579,3896156906.135728
3100,700888914.9630531,5466170.52475968,178577716.2559615,4752211365.403163,3816186887.0550838
3200,699983442.7745177,5465659.27330087,178617771.30049306,4901141826.757818,3969745142.001982
3300,695147499.8405961,5459183.344459325,178229665.00616246,5139802816.321099,4314516511.29726
3400,701341856.2691518,5457422.731036127,177865061.4292886,5445060281.828209,4374176719.875816
3500,693224285.3741486,5459480.3373270305,177015878.21571466,5279093893.301429,4403459059.068532
3600,698093687.9726133,5460085.213121836,177077923.8350909,5428314189.989508,4602940174.827702
3700,692348217.5463216,5461677.3209801,176753053.2396758,5636499481.892533,4622705692.410888
3800,690776047.167355,5460648.30750696,175688461.82271922,5586040680.207383,4667766755.288213
3900,699247207.2386856,5458760.822649217,175967266.09228784,5800439284.012868,4818950897.305326
4000,695658483.2844479,5458300.300579779,175772082.42064705,6247375635.980809,4979739559.521516
4100,699857083.1956086,5455358.133269537,175042538.23181835,6072994673.365383,4948059902.658849
4200,698783496.8947345,5452075.438428221,174446855.1290824,6481211475.811236,5307400818.430326
4300,689090973.2028545,5453676.406916389,174364387.5575468,6354712092.241116,5352774413.804811
4400,687094445.4757631,5450828.366845898,174369694.56608745,6801481029.468901,5271542863.489187
4500,692971907.5687321,5455400.141807036,174002340.77708027,6905029588.964062,5390514815.0429125
4600,688808479.6923902,5452888.641960473,173216816.52608496,6778672692.095059,5670941089.317867
4700,686336001.1346729,5451596.43861153,173356085.23689926,7079658747.3832855,5872597086.37471
4800,692633281.1137261,5457017.942395271,173131382.8932837,7147300699.157419,5790390713.137671
4900,693785646.3209505,5457244.137299158,172350142.01608008,7183545026.287886,6116442903.444368
5000,686209202.6153274,5458150.11184311,171924503.46513316,7221297810.833636,6027806731.088124
