milliseconds,C,I
0,1.0087105824820852,100.0007166393774
100,1.0396495630340965,100.0050425439118
200,0.9940354315208311,100.00270097817149
300,1.0385353172510232,100.00441663542583
400,1.0671885986415823,100.00923689073312
500,1.1168454677691577,100.00712388047386
600,1.153240715615294,100.01383784586749
700,1.145076397421486,100.01564401205093
800,1.1854054555641358,100.01819985298138
900,1.2113537165377484,100.01920290266412
1000,1.178431601735058,100.02238486038718
1100,1.2736623399774096,100.0224080312779
1200,1.2480399305261491,100.02117654181421
1300,1.276016919915295,100.0280782442234
1400,1.2683817622217808,100.02929031531724
1500,1.3023809607349552,100.03095738162217
1600,1.310069225682458,100.03069181975665
1700,1.3703563388443112,100.0344060225577
1800,1.4339893267874746,100.03873571375587
1900,1.4291766139264352,100.03923438480848
2000,1.4663937095671415,100.0425787052529
2100,1.4840619369869945,100.04010297652489
2200,1.529035303038225,100.04497353884923
2300,1.5673801860080425,100.04872107342894
2400,1.5488140079379733,100.04610008080077
2500,1.5794076069657579,100.05245594808085
2600,1.6462165804445439,100.05136328566424
2700,1.6241669698887045,100.05527164097427
2800,1.71561794909757,100.05508961613553
2900,1.70811861219723,100.05817144658091
3000,1.777009233401264,100.06562782481521
3100,1.7592382246050828,100.0647046592215
3200,1.84761039087916,100.06619727255196
3300,1.856694887190066,100.06814277362082
3400,1.9259762395294804,100.07324133874735
3500,1.960163346527548,100.07697023478644
3600,1.9544328581316681,100.07747420252315
3700,1.9956330019630442,100.07701416426995
3800,2.092470115507903,100.08357190009673
3900,2.1219300911303782,100.0817772663589
4000,2.0894299213784495,100.0838729667256
4100,2.203331783808354,100.08657585038475
4200,2.2240913036599257,100.0934287306059
4300,2.270857236838723,100.09477372107433
4400,2.2984924671827405,100.09990262648247
4500,2.379128014736679,100.10124035661468
4600,2.4129645984970454,100.1056530952656
4700,2.401896852301275,100.1030463151765
4800,2.4726625932626236,100.11119963230016
4900,2.5124456322699467,100.11007558824643
5000,2.5944633354737396,100.1131134092141
