miliseconds,E,T
0,320592.1279173355,5025262.704793005
100,320680.96977709833,5014417.627116416
200,321641.25856858573,5131478.517765776
300,322212.25102208566,5165138.171981975
400,322372.7590829796,5335518.610998296
500,323963.9978830237,5422289.011530673
600,323802.5344174667,5511746.957024481
700,325784.243652087,5553224.833249651
800,325439.63414268976,5533605.726501762
900,326611.03699257027,5641668.584505846
1000,327970.6561212531,5740988.77820388
1100,328827.1825547511,5785289.370490876
1200,329545.3709831418,5995393.185250079
1300,330294.13333924446,6088734.0066118995
1400,331020.5166623259,6173468.371512467
1500,331543.2152189369,6148510.097629218
1600,331892.173363464,6217741.474936075
1700,333903.90677964245,6352928.319054052
1800,334380.2034200809,6399995.697154193
1900,334660.9506169167,6549963.045942774
2000,335753.69623811403,6620211.142201739
2100,336180.8454130029,6697088.100347156
2200,337773.84015792585,6807893.551505643
2300,338040.3858248952,6917128.164396986
2400,339238.8240458603,7031552.438467859
2500,340473.99455218756,7094512.5053134
2600,341028.61432778556,7286200.183445551
2700,342292.5061184938,7261694.947039542
2800,343414.5025781047,7469576.542682725
2900,343639.777692302,7546295.798915709
3000,345144.38981624565,7701512.810511956
3100,346387.56309337297,7798675.69748191
3200,347310.3072113617,7857179.603702036
3300,348443.9065207463,7891420.090603144
3400,349074.25790134456,8123891.670182487
3500,349712.3883811348,8254657.528729084
3600,351092.8877970866,8350711.702170034
3700,352671.6768355095,8367415.20133697
3800,353193.9469256781,8564477.012517016
3900,354769.2010882177,8638658.313826088
4000,355592.14755667787,8732356.790141847
4100,355864.38727925246,8871989.135456488
4200,357152.0493944148,9091231.024614844
4300,358324.06325766986,9075049.165362213
4400,359703.4754441574,9331733.232639253
4500,360729.7952416096,9369512.30715694
4600,362529.33647910866,9555665.715778615
4700,362780.1473680458,9644290.879758595
4800,364527.1907715478,9859932.788139708
4900,365302.242339194,9921685.375238208
5000,366126.2718618048,9997363.592091216
