milliseconds,S,N
0,0.09868544388669111,0.2001466861199886
100,0.10123153173822157,0.1998717491674296
200,0.10288948346424068,0.19957339377735367
300,0.10534494126198445,0.19943535268874876
400,0.10576914292223308,0.19867360309639812
500,0.1052318297732136,0.19858733689750988
600,0.10939138556093705,0.19822807533128708
700,0.10896591665029057,0.19839410432842433
800,0.11076754650646783,0.19794557927083375
900,0.11110644567931893,0.19776031105328037
1000,0.11511193806405973,0.19743549810032496
1100,0.11456929638865813,0.19727171248279393
1200,0.11676115707000721,0.19696500048837284
1300,0.1179286753690308,0.19654349241281835
1400,0.11750116693191782,0.1963841083894023
1500,0.11972981359836238,0.19654964376266962
1600,0.12207787274433696,0.19605441253244574
1700,0.12322109313975214,0.19595879605927394
1800,0.12262512399200726,0.19569396633945452
1900,0.12454297218503135,0.19572172144803537
2000,0.1262495106687321,0.1955528405558619
2100,0.12628546779107555,0.19516155254574358
2200,0.12968995504754322,0.19517885321639525
2300,0.12949402134152252,0.19476013359017327
2400,0.13216768098029008,0.19470248425850312
2500,0.1321858636744225,0.1943097759047072
2600,0.13569020942559135,0.19399643570732167
2700,0.1357000224085218,0.19398714443544296
2800,0.13751465458501888,0.19394443555668628
2900,0.13907750917987322,0.19395972927235047
3000,0.13736503468479108,0.19359059881639917
3100,0.13996418634969696,0.19348550463176634
3200,0.1403225941437567,0.19346094341082373
3300,0.14348001562389762,0.1929944429051844
3400,0.14376660765329413,0.19320436342738173
3500,0.14551149678204456,0.19276018824724298
3600,0.1445555740069726,0.19281277134762323
3700,0.14826265445292364,0.19240304002217873
3800,0.14794329182546978,0.19235855733813917
3900,0.1498795983649816,0.19231839879029827
4000,0.15034124795221457,0.19229190830681317
4100,0.15144267802120157,0.1923880721671969
4200,0.15308786533242674,0.1918740696616682
4300,0.15279003607030184,0.19216940842585312
4400,0.15634084850754462,0.19186709084806722
4500,0.156756980085231,0.19190574304925906
4600,0.15685515728110713,0.19188463686178484
4700,0.15622800482789465,0.19177932466511638
4800,0.1573623016160877,0.191419645364792
4900,0.15830590593076474,0.19151742394248872
5000,0.16193485568611046,0.19106748650608815
