milliseconds,T,B,E,R,V
0,3.024520023602661,-0.0012697648123346382,98.84609764820645,1.0520374197603926,0.0
100,3.016952508851427,0.0021405105279098105,114.22732235942783,1.0231326681387325,0.0
200,3.18688852497441,0.0009028828863253858,124.35570439313243,1.1263674825518901,0.0
300,3.1726418449131932,0.001432307114271086,133.42949855195494,1.227940775850968,0.0
400,3.195232458059593,0.0025829623869096006,139.77852939677274,1.4808156808721236,0.0
500,3.3487099692902818,0.0040135878893228,144.672281278694,1.6063757336549402,0.0
600,3.346202921609825,0.004507419177529287,148.79968329471683,1.7730204554132971,0.0
700,3.422663034925174,0.006458198029395866,152.2097982395268,1.8304378161955552,0.0
800,3.556194865660125,0.008839331337140674,156.02223974325148,2.2052404490601702,0.0
900,3.566643522786911,0.010397230586796528,160.11742545197657,2.2936112468143266,0.0
1000,3.6518180160064846,0.00979648705233004,162.69975191903697,2.3380912369534963,0.0
1100,3.6824910337285406,0.01090290826063492,166.55499993693547,2.6229183639505735,0.0
1200,3.728304751461394,0.013145349005614412,168.68196129886584,2.621214968377174,0.0
1300,3.855872841104568,0.015421700211495578,169.41250473527603,2.9487786964350047,0.0
1400,3.9064402145078336,0.017690564113805495,172.09318099026902,3.045791967111504,0.0
1500,4.051831199792599,0.016529684521220365,174.3442891239065,3.199519205392573,0.0
1600,4.123639654651822,0.020653049729813203,175.10364645884167,3.558253907532898,0.0
1700,4.147904766666573,0.020945876574191127,176.27092537747868,3.6136585962436913,0.0
1800,4.229152386041459,0.023308927918356422,178.00313101171088,3.8400428386269034,0.0
1900,4.267947349202642,0.023585937397095285,181.22128328560316,3.9700957710827462,0.0
2000,4.4621988366260625,0.027185668465910445,181.21057878696004,4.191478923443363,0.0
2100,4.43216510427279,0.027947072973560666,182.96993264718685,4.399434865010862,0.0
2200,4.554984247126429,0.030699308124278128,182.8533450374665,4.560729671443594,0.0
2300,4.60141772042113,0.033004261986017684,184.62696697116823,4.772023061062388,0.0
2400,4.77660252569698,0.032184082407031384,186.5325358669871,5.002809337319308,0.0
2500,4.899771907891271,0.03500747757664411,186.38015163312937,5.065298323179229,0.0
2600,4.946379713806231,0.03798744738494727,188.0830360619001,5.246104663776257,0.0
2700,5.0725330515401295,0.041036067150400264,189.30415095815692,5.445780300597381,0.0
2800,5.0936117883478,0.04293320899690761,188.12516996292626,5.513065418214352,0.0
2900,5.1869968355158855,0.04496928115472209,188.60714953482952,5.898680642133349,0.0
3000,5.373467790281815,0.046842563448034835,191.14003082844624,5.879012445742205,0.0
3100,5.50166188504278,0.05001922182123663,190.30313875251736,6.24775145876889,0.0
3200,5.565927409702755,0.05132855998126393,191.74770137918364,6.4082091325076584,0.0
3300,5.5815298599467695,0.056111977189755,191.6604306540777,6.491232337427917,0.0
3400,5.823639783837501,0.06042795273516524,193.30178391177625,6.756101143976763,0.0
3500,5.83933773459387,0.06270953328000702,193.45817062608802,6.972828372157573,0.0
3600,5.954000362048826,0.06541400976523465,192.90831739922774,7.078055256136166,0.0
3700,6.026831154179367,0.06694278821637066,194.59068651446336,7.2456413852148085,0.0
3800,6.17767266108234,0.07153628805919444,194.87484796748814,7.412848277530265,0.0
3900,6.34865417204941,0.07516851615844115,193.51923448469532,7.733402365226808,0.0
4000,6.478096174020705,0.08043155028981154,193.8506672619101,7.926288766300323,0.0
4100,6.612165183839911,0.08195886325856971,194.45533746640612,8.186610367643809,0.0
4200,6.766302983663175,0.08707252908732858,194.75292883969286,8.278151050442737,0.0
4300,6.90896142848923,0.09059226699631101,195.49578559951885,8.612765805797304,0.0
4400,6.9464188480004925,0.09472645186261186,196.8517781532295,8.71203846653546,0.0
4500,7.136631362927274,0.0975163179312294,195.0796912523223,8.83182855862805,0.0
4600,7.2611118429644,0.10122990846184485,197.37810523404207,9.204533549509804,0.0
4700,7.393723666696744,0.10691047858668157,195.60833527611402,9.336966299998998,0.0
4800,7.524972644121284,0.11137731414438704,197.7116496125879,9.550325639865205,0.0
4900,7.638080166153059,0.1179876420774082,196.81080248184307,9.726180129338136,0.0
5000,7.76963690859816,0.12295872253341773,196.0469899852674,9.940626298854252,0.0
