milliseconds,H,T
0,0.5989528035122716,0.00010229995478832779
100,0.5994782652731104,0.00010061082138731565
200,0.5976171861532679,0.0001043007193255607
300,0.5956605953614651,0.00010102876202076299
400,0.5942669386010427,0.00010184665990861771
500,0.5952847790313635,0.00010657933252547394
600,0.5936617448815503,0.00010486594717920278
700,0.5917868064254574,0.00010903422198033868
800,0.5902144780007857,0.00010864537432104284
900,0.5886977471223225,0.00011135818546795326
1000,0.5876504567585416,0.00011310530247223097
1100,0.5870410065379638,0.00011471925342048345
1200,0.5865120732274285,0.00011162025405572155
1300,0.5848766522207234,0.00011521215195917753
1400,0.5838862027612539,0.00011636490748112104
1500,0.5840386391386304,0.00011510633539493165
1600,0.5818163778890822,0.0001183956799014054
1700,0.5806556288334127,0.00011824101935105066
1800,0.5816914552700195,0.00012022779034361722
1900,0.5795758515246062,0.00012447928628992673
2000,0.5797104280230987,0.0001238103521285298
2100,0.5769911545889507,0.00012589054154629736
2200,0.5764585531094213,0.000125687599737516
2300,0.5772506593022011,0.0001292824357505195
2400,0.5746890313220278,0.00013262689670987313
2500,0.5757196254983631,0.00013169691589618365
2600,0.5726885217691965,0.0001367728446093789
2700,0.5716541986014759,0.0001370832212969531
2800,0.5709112944459998,0.00013794538968436442
2900,0.5708635136416218,0.00013967855610549015
3000,0.5713481283248767,0.0001414783387380549
3100,0.5690613815226931,0.0001446834697076872
3200,0.5683563354837141,0.00014722718246368928
3300,0.5680475369923601,0.0001485339474335574
3400,0.5680731210972263,0.00015046396596528466
3500,0.5666346682515131,0.00015185722290349713
3600,0.5648651860621235,0.00015534791959020999
3700,0.5663022628563767,0.0001561494155560273
3800,0.5646431335404535,0.00015887148330317509
3900,0.5640146602024242,0.0001596313681492348
4000,0.5630054023362021,0.00016054630541894685
4100,0.5624521993802737,0.00016236571159817568
4200,0.5621370415838879,0.00016705029595502304
4300,0.5614407988202328,0.00017103333226364857
4400,0.5591645108860449,0.0001715369564448402
4500,0.5605925649426198,0.00017349443575477862
4600,0.5576065356984895,0.00017681364319295373
4700,0.5573709233493067,0.00017907449589023343
4800,0.557924541657043,0.00017899593379957747
4900,0.5558631067310099,0.00018138077181021174
5000,0.5558657156931344,0.00018495626106174352
