milliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,66777.04213759258,1000604.869892846,99914.08829273339,999999982.2000233
100,71683.53573408768,1002087.5863104312,154325.34105845215,999999935.2467152
200,71157.32713516928,1004021.5119006977,156806.11405230002,999999002.5359278
300,70530.00564670224,1004633.3033498962,157043.88798529707,999999161.0201354
400,73268.2552000068,1006228.4839354315,157411.97744272335,999998265.1188864
500,76728.81069000061,1009089.4568521765,158419.97250429032,999997837.0505822
600,79032.82515777042,1010855.3762053108,158262.29988892536,999997697.0420785
700,76732.29782002086,1013655.4390343224,159178.59174084573,999997016.4859273
800,82111.90820334168,1015581.2246450813,158958.35304680117,999996858.2464571
900,80635.59908589933,1019299.4868204402,159980.27018155158,999996722.7396094
1000,84459.39015444636,1020026.4179835276,160526.70594764428,999996159.7167581
1100,87286.41974982043,1021883.8795945488,160932.63913813926,999995559.9449666
1200,86376.1487554951,1025601.6456285942,160351.47652857137,999995147.6770335
1300,88818.80315504206,1027312.0926901476,160775.2235389934,999994721.2457589
1400,90622.4175959947,1028780.0193762836,161746.98563033776,999994437.6039287
1500,97676.56559830857,1030302.2011003861,162291.91359887595,999994290.5306379
1600,95889.47938908254,1032080.7773181086,162625.8169016142,999993846.3355019
1700,101262.52784932965,1036228.8864547816,162703.7229099572,999993531.7077136
1800,103042.6823416372,1035883.0893342922,163058.9914586906,999993198.1560485
1900,106029.40181107051,1038839.4208289352,163723.961904898,999992771.0777086
2000,109941.28180120638,1040946.2229187724,164124.07861166153,999992168.0656388
2100,110857.12454951035,1042917.0024963195,164565.8763459337,999991869.4368088
2200,111394.32847920475,1044047.6311366431,164830.68422962885,999991206.1921972
2300,115607.17937935119,1047229.7507679301,164542.7175430323,999991155.6494385
2400,117980.53717981449,1049218.8432278954,165604.58532683432,999990817.1593053
2500,120907.1997793725,1049837.9106058246,165735.98056791374,999989924.4415692
2600,124228.44211434062,1052938.9181594225,166012.9815704886,999989992.0516206
2700,128672.52494420928,1053644.8106661956,165838.09690461282,999989046.2926118
2800,129487.33910981847,1057395.9769367804,166027.83307525367,999988615.9321823
2900,137189.90468333146,1058220.4728197448,167248.0120703718,999988557.9447438
3000,139324.27864723722,1059181.2720724936,166673.00400707146,999987599.6676701
3100,142791.06736333822,1062906.4571463417,167251.54580936732,999987633.9130319
3200,147882.12496510334,1064704.1869803097,167963.8958211737,999986767.3513287
3300,149300.62181071262,1064181.361522275,168294.3155101787,999986608.1746619
3400,152537.57675429832,1066306.5239907475,168155.06244523384,999986138.196391
3500,158685.98046993816,1068347.837242589,168898.23076680035,999985733.6113576
3600,163411.39982767045,1070418.0403144883,169032.5694781364,999985141.9537848
3700,167433.04409183312,1070489.1191351751,169365.50169162077,999984643.1992742
3800,175106.81718391346,1072080.7337053013,169123.22403004946,999983548.9261298
3900,179485.84063248776,1074502.2108645663,169315.34579694737,999983536.8547881
4000,180498.49768909047,1074926.2903121375,170016.52712741063,999982856.5278983
4100,188445.42402794457,1077815.5636714466,169979.03511149075,999982314.0302331
4200,192116.0218066254,1080067.1842498747,170382.4954914503,999981470.8801991
4300,196674.01070589974,1081260.8380611313,170733.0261847558,999981123.8083583
4400,207293.11287890768,1082004.5917719314,171050.01017799746,999980467.8588716
4500,210540.2476550847,1083370.071146304,170655.88451254476,999980021.4657513
4600,219697.33389468925,1084783.0450760562,171163.33314206474,999979059.4459417
4700,221560.5645911808,1085809.1028068839,171543.30896533962,999978125.3340732
4800,233182.22339056773,1085537.0465641168,171541.12075464812,999977387.0150515
4900,239969.16503527452,1087663.1917473665,172176.98193449358,999977257.9284271
5000,245758.58284894552,1086671.3186777926,172336.0053591013,999976283.2785772
