milliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.9999999899915688,9.996027726096463e-09,-1.403080564858174e-17
100,0.9999999899955878,9.994645084059274e-09,8.804729065845112e-18
200,0.9999999900159604,9.992943536223203e-09,2.4054649552578203e-17
300,0.9999999900208002,9.98652421513783e-09,2.666844967055897e-17
400,0.999999990039755,9.97433832702668e-09,5.235174730321918e-17
500,0.9999999900575809,9.977122903499728e-09,5.838415360558707e-17
600,0.9999999900721162,9.964339045304152e-09,6.294869049762579e-17
700,0.9999999900607716,9.962357768712017e-09,7.957596619754478e-17
800,0.9999999900809324,9.9557158905455e-09,7.629523510339109e-17
900,0.9999999900776738,9.952448473900646e-09,9.989740171461933e-17
1000,0.9999999901019945,9.95234373768151e-09,1.0918180884037655e-16
1100,0.999999990104129,9.950155034833048e-09,1.1477218796716095e-16
1200,0.9999999901324571,9.936588800624364e-09,1.0952256166942627e-16
1300,0.9999999901265482,9.929386187706274e-09,1.3733816918409745e-16
1400,0.9999999901454837,9.930019238142064e-09,1.332583955061567e-16
1500,0.9999999901613121,9.927332359555861e-09,1.6064048085566209e-16
1600,0.9999999901550495,9.916223708620507e-09,1.4943662827339327e-16
1700,0.9999999901603863,9.921665711179178e-09,1.5676915274687423e-16
1800,0.9999999901857751,9.908823234329247e-09,1.8499544334193826e-16
1900,0.9999999902018106,9.900382856618348e-09,1.9549386878415254e-16
2000,0.9999999901948998,9.904462618095455e-09,1.9675584621263225e-16
2100,0.999999990195364,9.891678828638078e-09,2.2014662944094863e-16
2200,0.9999999902265186,9.893840204407643e-09,2.2156467805657844e-16
2300,0.9999999902213146,9.884338881819721e-09,2.313114730240632e-16
2400,0.9999999902346253,9.885089514552216e-09,2.2688319873773855e-16
2500,0.9999999902326183,9.875447246429386e-09,2.401240357717153e-16
2600,0.9999999902557039,9.870800757142794e-09,2.598049674470226e-16
2700,0.9999999902517246,9.871384567995842e-09,2.7270603253039626e-16
2800,0.9999999902888971,9.864499752532425e-09,2.6997807996045835e-16
2900,0.9999999902833698,9.855754122041733e-09,2.908179976075041e-16
3000,0.9999999903055328,9.857364269525578e-09,2.9755450703026646e-16
3100,0.9999999902942505,9.843224390914923e-09,2.9556128619657013e-16
3200,0.999999990301664,9.843465401650219e-09,3.241263356581915e-16
3300,0.9999999903378584,9.831701362744628e-09,3.137163662973333e-16
3400,0.9999999903321748,9.83593867938628e-09,3.389680381018433e-16
3500,0.9999999903496088,9.828810537882e-09,3.363101603906048e-16
3600,0.9999999903405526,9.814504848144147e-09,3.4305918460389834e-16
3700,0.9999999903613253,9.82383495759318e-09,3.5131947100056164e-16
3800,0.9999999903754118,9.804589650000572e-09,3.6587818191059057e-16
3900,0.9999999903753669,9.811457754928807e-09,3.9060994308804454e-16
4000,0.999999990393161,9.799932209170492e-09,3.780665291417811e-16
4100,0.9999999904096243,9.794517982955814e-09,4.074807572772551e-16
4200,0.99999999039763,9.79741837926028e-09,4.2020327029564585e-16
4300,0.999999990417988,9.7882596500866e-09,4.282319423914145e-16
4400,0.9999999904412771,9.779250647588094e-09,4.2823462066794614e-16
4500,0.9999999904253641,9.770976808681235e-09,4.31578962036913e-16
4600,0.999999990462335,9.774650360510852e-09,4.510973601640045e-16
4700,0.9999999904701516,9.764428034397215e-09,4.695305104816765e-16
4800,0.999999990476339,9.764291827970066e-09,4.556182751296983e-16
4900,0.9999999904798966,9.763931257165675e-09,4.74871841640929e-16
5000,0.9999999904836846,9.749818644620087e-09,4.824878949987222e-16
