milliseconds,GTPgS_C,KCNQsites_M,PIP2_M,GGDPbS_M,ATP_C,oxoM_EX,GDPbS_C,GGTPMg_M,GDP_C,GGDPAlF4Mg_M,ip3_C,AlF4_C,G_M,GGTP_M,GGDPAlF4_M,GGTPgS_M,PI_M,PIP_M,PIP2xKCNQ_M,GGTPgSMg_M,GGDP_M
0,0.0,6.709125665478403,4969.342269030884,0.0,2999.9945200256234,-0.11794947856535361,0.0,0.5659093999206455,0.001230471685778265,0.0,0.45521829058833707,0.0,0.04443217118894835,0.15807893139633486,0.0,0.0,200000.9853059546,1151.3277745384821,33.275512013413014,0.0,200.52793196849424
100,0.0,6.698773960309476,5024.411040517047,0.0,2999.9965232173313,-0.04301262900973949,0.0,0.4148921346600681,0.001545390975869296,0.0,0.46470705242785426,0.0,0.002367277311833554,0.2379479274561634,0.0,0.0,199998.21741000132,1148.8613199433287,33.283786893715074,0.0,200.18190976938774
200,0.0,6.684523919226574,4997.511993366676,0.0,2999.9885424279555,-0.09042788140675753,0.0,0.06964439052605392,0.0004847312789294717,0.0,0.45523375422136675,0.0,0.010459966078156427,-0.017223628189355113,0.0,0.0,199996.38748210287,1144.3862716154222,33.32837170054684,0.0,200.60297085527753
300,0.0,6.705563232636634,5007.559891824391,0.0,2999.9741070933333,-0.15299151951233678,0.0,0.13939522439248103,0.0014526683950449384,0.0,0.4241918394947865,0.0,0.018048072621734496,0.03916918342249525,0.0,0.0,199996.08596502722,1143.8373486579171,33.30176339845455,0.0,200.5564351274878
400,0.0,6.6737590383936585,5038.241816974095,0.0,2999.969015875628,0.013296692063010335,0.0,0.10031516739306579,-0.0006905832014591074,0.0,0.41879880712808637,0.0,-0.022187797923206527,-0.05370413891443847,0.0,0.0,199994.4785411811,1141.297617465226,33.32456512583416,0.0,200.717645930209
500,0.0,6.7032960826215175,5037.035575331631,0.0,2999.9611986864784,-0.04116762546994759,0.0,-0.21357664206402405,0.0008629564318691946,0.0,0.3996169892464737,0.0,-0.0036717600847455296,0.06873011551343326,0.0,0.0,199992.30667138647,1138.7411201480652,33.31213529013222,0.0,199.85005290585363
600,0.0,6.693571405851589,5008.998175193913,0.0,2999.9534996086986,0.008136518254745333,0.0,-0.3227790464898761,-0.0005560069886081204,0.0,0.39626205844523155,0.0,0.0323142827752206,0.027063162370603324,0.0,0.0,199990.42564388362,1136.4068103642012,33.30666501829152,0.0,200.43481077593376
700,0.0,6.656861315111563,4989.732824500354,0.0,2999.9413594786824,0.026422662336211912,0.0,0.42720306004158703,-0.0009486816956218646,0.0,0.41980956100006006,0.0,0.012680504905721146,0.13107380520264844,0.0,0.0,199989.23735933405,1133.7356691092125,33.35591846083364,0.0,199.4032850653092
800,0.0,6.700289921673822,4967.809887849681,0.0,2999.9356490952487,0.2038740434655457,0.0,-0.12052466687648616,-0.0006173335124555194,0.0,0.3916637073156442,0.0,0.029361812894434042,0.06073585241172151,0.0,0.0,199988.6318022723,1132.2674441323977,33.29351475685126,0.0,200.6371047663746
900,0.0,6.677890143168531,4958.865809819262,0.0,2999.9356240788024,0.11522789892229636,0.0,-0.27811637400049716,0.00024218291633682865,0.0,0.3655478945122021,0.0,-0.0037060253096759454,0.03158913230166406,0.0,0.0,199987.139454501,1129.4284092490057,33.34295530172929,0.0,199.358242125337
1000,0.0,6.660148620086003,4995.299174934658,0.0,2999.9226179050056,0.07507566611970688,0.0,-0.02303879729353764,0.000895428905504422,0.0,0.36632222818819626,0.0,0.021177288506593454,0.03834437843488462,0.0,0.0,199984.59352678407,1127.5880273721307,33.356828966488706,0.0,199.59672153065202
1100,0.0,6.689364195759684,4980.641983393646,0.0,2999.9182104370366,-0.1680037354087248,0.0,0.10434971804058679,0.0011968427807433747,0.0,0.4016132849300789,0.0,-0.014510674584489515,-0.0777307861394764,0.0,0.0,199983.216504559,1125.2709190622284,33.298656983200274,0.0,200.58844044468006
1200,0.0,6.651712228543335,4989.432797954565,0.0,2999.911179963197,-0.20597672815928145,0.0,0.46964792650709347,0.0011382146376771427,0.0,0.3486132273308276,0.0,0.01654049482563823,-0.06106996551395907,0.0,0.0,199982.40948685104,1122.8063985824108,33.295936060866794,0.0,200.4192289590423
1300,0.0,6.692718057089809,4959.695791500949,0.0,2999.903746247654,0.14876604249786662,0.0,0.39041443724493446,-0.000765302508481481,0.0,0.37248409375038216,0.0,0.009567736862179842,0.047750130936026085,0.0,0.0,199980.85244360522,1120.8257536223193,33.2999898441806,0.0,200.15682891270382
1400,0.0,6.6644936437539,5005.5512119348,0.0,2999.8967829853254,0.038624000890729655,0.0,0.4613628888481171,-0.00023004001225239006,0.0,0.3660426907939704,0.0,0.008811876593364982,0.01979910635622901,0.0,0.0,199978.202490406,1119.7018568157762,33.36022703456182,0.0,199.76259353232163
1500,0.0,6.648689238900453,5005.902554276623,0.0,2999.881588471879,0.21739931531339712,0.0,0.042902764972446356,-0.001047218474114841,0.0,0.3436539584151331,0.0,-0.02095940221647976,0.0019008349928153478,0.0,0.0,199976.66777587924,1116.7497649206837,33.36293887533683,0.0,199.9743136160963
1600,0.0,6.639574853440873,5019.640612150147,0.0,2999.8780351230157,0.23759251091592784,0.0,-0.37442872525882254,0.0008327753969032068,0.0,0.31863595494909014,0.0,0.002016515100744333,0.02679156425291714,0.0,0.0,199976.57590460824,1114.1550579390469,33.34087913135008,0.0,199.9785138752661
1700,0.0,6.693636037701308,4975.474789188071,0.0,2999.8656699927337,-0.112156623938894,0.0,-0.36075030470374614,-0.0010876135350751273,0.0,0.3005601206391707,0.0,0.02539214970908519,0.1935269934955789,0.0,0.0,199975.63423139034,1113.2019500146757,33.34617026469322,0.0,200.3505049284771
1800,0.0,6.648491722062913,5007.079371707577,0.0,2999.863612686772,0.03774313442587268,0.0,0.45568239036459635,-0.000790253616426315,0.0,0.3125348672930367,0.0,0.026761023531793535,0.14220332355108728,0.0,0.0,199973.96164182734,1111.2622906810811,33.30873445185572,0.0,200.0369647301781
1900,0.0,6.663208143361201,5044.968443550425,0.0,2999.8544573370323,0.1861670711828171,0.0,-0.14710731714509873,-0.0005474566568980536,0.0,0.34079404579710015,0.0,0.011902472547322258,-0.09605155748769267,0.0,0.0,199971.40529492538,1108.3995731837988,33.322519838747105,0.0,200.72869868154592
2000,0.0,6.642588519128453,4998.870744611738,0.0,2999.8497664469696,-0.15585779032840422,0.0,0.5000098861511358,-0.000993816796589051,0.0,0.3126088979750524,0.0,0.024176249388199365,-0.12175078499202562,0.0,0.0,199969.17128903104,1107.5479469297088,33.32518859737077,0.0,199.9207502258518
2100,0.0,6.688102436406255,4993.915942219741,0.0,2999.8385748232263,0.194552754860719,0.0,-0.06397031111371755,0.001927286239281675,0.0,0.2974861286416758,0.0,0.002029969564909528,-0.0636259090254707,0.0,0.0,199969.61142939876,1104.3662147939606,33.32556937884437,0.0,199.58468079800303
2200,0.0,6.639589322728244,5029.936950640075,0.0,2999.839104827668,0.00273346032385855,0.0,-0.1620452089968435,-0.0003388980233285447,0.0,0.3281391489371573,0.0,0.026617182302513396,0.17062612271328445,0.0,0.0,199966.19468884627,1102.7810109893164,33.31270934939945,0.0,199.9394602706865
2300,0.0,6.632885289640529,4995.684769465282,0.0,2999.8288020573887,-0.06851472967999396,0.0,0.6019538594085004,0.0011382900755721663,0.0,0.2750367671796659,0.0,0.02286636235132434,0.048018007107873045,0.0,0.0,199965.1340461904,1102.7033951819071,33.3671698576123,0.0,200.26714596273345
2400,0.0,6.662128315520231,5005.179540110513,0.0,2999.8216307980047,-0.02422455093871743,0.0,-0.3403550564538052,0.001405533910894037,0.0,0.30150973645242246,0.0,0.022536780752464174,-0.1363306491850267,0.0,0.0,199964.08885847783,1099.212192122258,33.3567459739138,0.0,200.10336368316985
2500,0.0,6.642268410179869,5017.479531976809,0.0,2999.8089259317485,-0.19634202037005533,0.0,-0.3565033901694329,0.000521892739977561,0.0,0.2871542371128087,0.0,-0.01835392005682867,0.183574869653573,0.0,0.0,199961.78755646458,1097.0814271970444,33.36901985148302,0.0,200.2083667149345
2600,0.0,6.6835757249019325,5019.651507259317,0.0,2999.798890165094,-0.07272438882461742,0.0,0.5653683586310176,0.0020243931808422238,0.0,0.2897584205552596,0.0,0.026818576076478272,0.1803651679897149,0.0,0.0,199962.27715621973,1095.1996738007942,33.319808168360645,0.0,200.54476952291546
2700,0.0,6.662492620485832,5038.16451504058,0.0,2999.796319521043,-0.026115079741540283,0.0,0.4690456171304741,0.0019452177203284464,0.0,0.2967610004210184,0.0,-0.005354939396080216,0.19914197827781216,0.0,0.0,199959.98982855398,1092.9328811879498,33.344933937545775,0.0,200.34799792122175
2800,0.0,6.673606526131456,5028.455318682202,0.0,2999.7911671061793,-0.10372578018685542,0.0,0.3036407056097937,0.0010409003252606834,0.0,0.2604712459358688,0.0,0.0038541042012324228,-0.13552712675090953,0.0,0.0,199957.90128276977,1090.1096579151242,33.35214685245775,0.0,199.60785297668014
2900,0.0,6.654366444590167,4997.481426795073,0.0,2999.778278668889,-0.16295644086851185,0.0,-0.012509334492714186,-0.0005375888658163343,0.0,0.2774591685818842,0.0,0.032655337890381296,0.1699172849989256,0.0,0.0,199957.29507426693,1089.1057734427013,33.356321683097825,0.0,199.49853124841258
3000,0.0,6.636155556398167,4971.399781447064,0.0,2999.775613809529,9.890392275730237,0.0,-0.36735193062408705,-0.0007880199909408085,0.0,0.2903089922882316,0.0,0.01893589822899367,0.04255330857532265,0.0,0.0,199956.0965962234,1088.0062536564337,33.35080342474134,0.0,200.71774360416768
3100,0.0,6.6697225851068715,4975.046083164435,0.0,2999.7660181612077,10.050819153708403,0.0,1.2015960862374295,0.004725560685582391,0.0,0.28238672868949427,0.0,1.2452491543460735,3.4607836549595206,0.0,0.0,199953.79451348304,1086.8710523424502,33.34848232352238,0.0,195.2421661728451
3200,0.0,6.686667277990404,4987.532166271199,0.0,2999.764858882221,10.150117214558927,0.0,3.8516837595170488,0.012448789881938142,0.0,0.29963745190056673,0.0,1.2185424767951352,5.710960929834715,0.0,0.0,199951.59114514006,1083.1635532834105,33.323071721238506,0.0,189.9799209969925
3300,0.0,6.667482904423977,4907.361393335231,0.0,2999.755629125351,10.222326954169592,0.0,6.4977342186157285,0.01567031249015248,0.0,0.30508033074513136,0.0,1.2249562074954743,6.944253184694472,0.0,0.0,199950.52812175234,1082.8880267481288,33.35585703078325,0.0,185.6686586686712
3400,0.0,6.679397182762908,4862.681672941528,0.0,2999.743492133226,9.787774649750236,0.0,9.590635752187,0.0201906869603046,0.0,0.3906316876264156,0.0,1.2053378355428603,7.388271987215925,0.0,0.0,199949.39447645395,1080.2095611002362,33.31801519756752,0.0,181.3800915799941
