miliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,1000577447.0291122,5600580.766876477,874336924.7329959,481537978.62169504,2118419686.4130764,158674291.3185775
100,1001170143.7357894,5626109.736824582,870972099.104075,480903174.84879434,2115285864.617275,158622820.65535223
200,1002289071.5932924,5663541.044976021,868566870.7056776,480828354.9143056,2112693107.9062092,158366571.24822947
300,1002462059.2693977,5740277.562587367,863804966.7506566,479951460.15753525,2107911850.2111142,158210148.01891798
400,1004658652.8059744,5879463.518093784,860617767.8398981,479889904.37218565,2105600671.9139898,158005326.24160033
500,1004655044.1391661,5875444.134000531,860173625.1699293,479327401.48824227,2102343316.190857,157769285.17287153
600,1007147317.635642,5968238.926268103,855607003.5022684,478451955.42796904,2099866794.2245097,157395199.42463744
700,1008347002.23672,6047949.074802176,852922292.1530055,478257817.83647305,2099627630.1275551,157334548.69321153
800,1009462110.8584366,6131302.0431105895,852206253.8251435,477826887.5409746,2097692877.122323,156859082.96880943
900,1009951540.3771697,6133870.458467271,849036143.9520458,476900053.7714504,2094748039.0483015,156910948.21761814
1000,1011108828.2817184,6241976.789106537,846715551.7805222,476489987.16868436,2090445728.4031134,156697495.30038843
1100,1012772495.1349022,6250109.101700555,843856858.7665008,475799038.6246783,2088265933.907661,156250873.4842146
1200,1012646632.5535858,6380080.926319629,839924737.3111368,475662118.83005893,2084792421.523021,156019401.2226038
1300,1013801032.1105589,6383908.187251874,839958269.4414996,475123164.95888245,2083138798.8807533,155804237.53389204
1400,1014880209.1760802,6487220.137638416,835713881.5906988,474518706.406652,2080035678.9918962,155526588.72476098
1500,1016634128.4195938,6507424.310165798,834107591.2496986,474275002.3462067,2079076434.2535703,155431438.1212332
1600,1016962173.9395943,6609662.067969293,828942667.5618126,473527896.6793842,2073733407.3858197,155224028.3359641
1700,1018480472.2656018,6676745.431572106,826798386.7241454,473312634.756733,2074065449.6243188,155077570.79505494
1800,1020375326.8770887,6752870.900718051,825237970.3097606,472410526.76997966,2070409981.0668733,154735592.7089297
1900,1021071394.5084405,6832996.390268087,822442641.8650014,472363581.8509955,2066243147.2679384,154498381.05643314
2000,1021960230.8476648,6874481.87253054,820978236.6183777,471700890.9297667,2066496647.8328755,154318818.80118644
2100,1022613186.8376738,6971449.437661007,818499207.8019876,471495955.2914458,2063888508.6112924,154247812.10536483
2200,1024035463.9330552,7088708.0167462025,813578068.698343,470692518.9293,2059164259.6579928,154063869.4739406
2300,1025323601.4028674,7112513.687010379,813608730.7500963,470142141.47456187,2059456203.1912415,153777844.92973462
2400,1025834047.420113,7133185.655325927,810961354.8637325,469659033.04131913,2057252720.738248,153529475.73536175
2500,1027929934.0925057,7221021.646025241,808722159.2205021,469035209.05313754,2054107594.2973223,153410188.40177822
2600,1028646983.9261184,7385336.707913167,805236135.2962198,468903218.8742787,2050821588.174214,153032395.80794558
2700,1029732054.4812152,7401650.33210604,802027647.4367741,467837950.53292835,2049092412.2577043,152732164.59818143
2800,1031732037.8091515,7484882.595181646,797585547.4691795,467475271.1923192,2046333223.4427576,152818995.70664656
2900,1031877198.4765432,7530666.450384552,795878792.7836887,467047017.80212295,2043745882.66196,152327916.5059467
3000,1034187829.7777818,7627788.133466717,795135338.877483,466775564.29087156,2039628902.0876904,152207676.5966482
3100,1034650866.7526276,7756066.757833624,792999840.4994594,466053524.5476204,2039920234.8747694,152016480.37284085
3200,1035385004.1680332,7793619.55916242,788635297.3153641,465967669.4049139,2034077629.75367,151804466.99345246
3300,1036698259.8514118,7876520.099257276,787240817.1385431,465250664.52202934,2034072528.2238204,151756342.11982292
3400,1038864698.8688412,7997279.238586414,783767869.2056649,465034662.64597034,2029831600.5418966,151254727.8075319
3500,1039621129.813906,8112472.425998142,781573570.072473,463957013.2976056,2029164958.5144165,151061542.92629758
3600,1039700447.9639044,8174460.648590307,778737101.863223,463408936.1437891,2025201400.008776,150866116.1709405
3700,1040783074.6084322,8226719.152127806,776245351.2152163,463539370.51095885,2025524506.8892102,150904711.09742343
3800,1043085053.8025712,8273284.883708829,774875155.1798705,462669590.61089534,2023056635.1989062,150704165.4667007
3900,1043185024.4529775,8454332.761268929,770563930.2930605,462133439.26535445,2018780767.0901434,150268333.47017485
4000,1044418385.7744989,8478435.455514017,768226571.836365,462174144.6633834,2016074544.2047467,150115245.20991284
4100,1046885016.1782254,8555681.444084117,768191683.4843878,461072865.84792656,2015589209.9853516,149877793.17407575
4200,1047409117.6388677,8627212.071379531,763390914.6497307,460976076.05381674,2013244131.1242135,149880438.41462559
4300,1048595791.1050005,8707665.340704748,762405884.1856952,460576591.0863007,2009257250.4792233,149527127.91164562
4400,1050331689.4228355,8854090.163294774,761581386.7137659,459958585.77031285,2008221842.023772,149311687.53261852
4500,1050980881.7075061,8887217.919570798,758945564.0780817,459551256.69491976,2003657036.8591013,149053972.58795142
4600,1052091796.8857325,9048453.150974292,755796028.8669019,458550158.3876919,2003372753.2175298,148820816.60836166
4700,1053250303.3953696,9182523.484172283,753864249.20526,458110511.9086599,1999335261.0962613,148713946.25188535
4800,1054922406.3663675,9237221.59008309,750922258.9108951,458051416.8336657,1998767408.9022183,148507276.9960757
4900,1056085240.1368508,9348781.160598153,750243698.8992001,457181281.5561559,1995265341.0716805,148331223.60877395
5000,1056945121.6107095,9463240.966302216,747748390.1393144,457132610.47637814,1994196336.3856144,148173004.85569045
