milliseconds,Mb,Bc,Bcp,Bn,Cc,Mc,Ccp,Mp,Pc,Pcp,PCc,PCcp,PCn,Bnp,PCnp,In,Mr,Rc,Rn
0,-0.09916513933127696,-0.013976029385181698,0.0009998453633331564,0.0022029581026345346,0.007390755913329327,-0.00030038929630371906,-0.0008370104002379912,0.00320618314383322,-3.829681298481375e-05,0.0002906607034645077,-1.1682293667503668e-05,2.421321409846109e-06,6.89450553858245e-06,0.00026751777294798247,6.562947673776471e-07,3.2036559549768835e-07,0.002769768756032017,-0.00045899701395118374,1.189749610429335e-05
100,0.12551778857413798,-0.002003121149271129,0.0012768282697385193,-0.0028747428362771482,0.0068988866967089795,-0.0029942421100803535,0.0009157720451180993,0.004164922196663642,2.5699748936907933e-06,4.207059638529499e-06,1.254048527324814e-06,-1.2248133265249703e-05,6.522370768775276e-06,0.00044781957259266167,1.3343960002701878e-07,-1.1658929219406069e-07,-0.00033048951844397335,4.154959865621496e-05,-5.284768124113807e-05
200,0.3709690052335387,-0.014525730403429126,0.0006214765788935341,0.012269486515370452,-0.0020217157762589906,-0.0033780959704360026,-0.001348075340229477,-0.0027714812485279522,-0.00016139427212093972,0.0003644136761654851,4.151496576133047e-05,8.545834510168771e-06,5.002189582378544e-06,-0.0006969160777249687,-5.59431064465588e-07,2.2524068547330837e-07,0.0018892013321967405,-1.7497608892665795e-05,-8.730315923230398e-05
300,0.42793085473507975,0.02102882996590421,0.0009814222387536276,-0.00038873629913350766,6.835223339654249e-05,-0.0030101524991348653,0.0006037160854125652,-0.004882515833744124,-0.0007965468374952529,0.00032950293976663,2.586377317637936e-05,5.044684666240724e-06,5.543685257641091e-06,8.263425654727013e-08,9.954174483773778e-07,2.040826023148476e-07,-0.0014704391652480048,-0.0001870673748166884,-2.0526045351633405e-05
400,0.5436358606235111,0.010261129496852314,0.0016058300095750954,0.00085515454348353,0.005321574013230782,-0.0007232293114494688,0.0011259008485924313,-0.000543037270004199,6.972939227192143e-05,0.00014191975824056545,-3.401486220268461e-05,-7.024264592195203e-06,-7.696014162829992e-06,-6.0529700188748564e-05,-2.016127571255449e-06,3.412060143045993e-08,0.003550302499596071,-0.00034174106399349194,6.368177167929554e-05
500,0.6052138187304255,0.06299751300699394,0.00358806148184775,-0.007358320643931068,0.008777685832246352,-0.004334546493557924,-0.001174366492770051,0.00023707275901048712,0.0002598526045949587,-0.000385139910618259,3.6183013590983464e-05,-8.711683650522913e-06,6.272066971232273e-06,0.0001989650471548346,-4.6595232984869397e-07,-3.7743499212706295e-07,-0.00037082695466941865,-3.452417996312579e-05,-9.212836997640952e-05
600,0.8143247882860782,0.06649798574017153,0.004673897775016875,0.014597008792162448,-0.002948563327136303,0.002491499221247153,0.0012689562982385531,0.004403798157724327,4.5593434796272305e-05,-0.00010022898769530981,3.069257723056991e-05,-1.386758966612572e-06,-5.6097839551771396e-06,0.0004980118204853529,2.000117390432812e-06,3.7182103749359316e-07,9.936712471984426e-05,0.00031407691378893145,-2.3888732030527506e-05
700,0.7261123861432991,0.04718767410015144,0.006503448498699759,0.0206494314883498,-0.002108096142837694,0.004005295880032972,-0.0007900677264329824,0.004827790038079306,-0.00027070646622266714,-7.679701481922647e-05,2.941147037846613e-05,3.4310156398080994e-06,-3.886660989108421e-06,0.001627530026590455,-1.6242568967025092e-06,-2.6291268941931586e-07,-0.00229710915121927,-0.00037412940564465763,7.073992859649554e-05
800,0.8386319606480266,0.09368874906853576,0.006474802266344563,0.02014835155488766,-0.009990289956219676,-0.001339095718442801,-0.00032454770853448044,-0.004956906273298777,0.0002088658704600318,0.00036499186693079446,3.2737587999611026e-05,-8.590003807976843e-06,1.2479250466404356e-06,0.0012800506991478906,-1.812775038783186e-06,2.1228936500205268e-07,-0.002797289453797529,-9.378299116370679e-05,-2.993252394164581e-05
900,0.9945079957422173,0.10654861875513542,0.009411786149280961,0.010390314948245688,0.006400469832900794,-0.0011858003952089256,-1.881154080065822e-05,0.00021617426173354163,-0.0008167216244545236,0.0004927731245867774,-2.6694667171643007e-05,2.8763241696546326e-06,8.452128098663443e-06,0.002215601842056299,8.806978673519237e-07,2.1038965846216547e-07,-0.0020045166709696674,0.0003524164817433354,1.0918188537082813e-05
1000,1.1029068274759237,0.13016282752854857,0.009419885437186555,0.031203824617323114,0.008619231162002342,-0.0030596860921031413,0.001501473862469806,0.005298321221190448,0.000685111503010065,0.0002952823325558394,1.3625515999697239e-05,2.679039690798601e-06,-5.5198522119361745e-06,0.001084122277840893,1.6695002312562022e-06,3.294254272218662e-07,0.0027058127715557717,8.790372462070086e-05,-7.934636343653511e-05
1100,1.2520108457345764,0.10198700518656648,0.013513024670135746,0.03532929952757207,-0.0005373548216740069,0.003078324157627062,0.0007931678724386473,0.005663875242521449,3.553987704714322e-05,-0.00023548560568898233,2.5663687353869722e-05,1.7241945691555066e-06,5.957396507605711e-06,0.003135740086607496,-1.869633893903758e-06,-2.756153195756992e-07,0.00043150146812057907,0.00036592262865381913,-2.133319934850803e-05
1200,1.2703777405933512,0.14450317256334408,0.015080421891997499,0.032707836878805824,0.003628920339503407,0.0010700816929491456,-0.00015408213268271813,5.3863449004453324e-05,0.0004187891976914309,-0.00021790564798610443,3.703160505937194e-05,1.2432928681616114e-05,-8.349287493307854e-06,0.0033466443369454682,-2.8913105758974814e-07,4.123862945885831e-07,0.0029911239204888944,0.0005311455147104289,-1.6223492951451743e-05
1300,1.3840526710693866,0.1568996679521632,0.016257507974395694,0.037534940469996135,-0.006291269376278379,0.0050504748304005765,0.0008222705463160852,-0.0032159363513016353,6.663240807988273e-05,-0.0004160933997870909,3.2906227376196504e-05,-3.081573907643576e-06,4.056934092946555e-06,0.003886073581573662,-5.657545353063346e-09,6.467766766496822e-08,-0.0004568783507221659,7.293682508903192e-05,-4.59330746097976e-06
1400,1.381380391339291,0.1881513398189776,0.01554561662816259,0.05195334701345436,0.003417261259142607,0.0036677841650349886,0.000801797614851802,-0.0025289949291827617,-0.0002318319701880706,0.0002534285101960862,-8.775312616461463e-06,-7.941013745345176e-06,4.773918131431716e-07,0.004499164007376558,1.915339629781724e-06,3.7925101907749086e-07,0.00455330355914247,0.0005989840818830101,-7.80716232157708e-05
1500,1.460604208497199,0.16651082783571466,0.01998154945119393,0.052674961445269466,-0.004142169907811324,-0.0024843125701911875,0.0013141606317846081,-0.0005917510684795759,0.0010383319746065246,-0.00021708085984876218,-4.5169924179135307e-05,4.408597043503288e-06,-4.780867894527665e-06,0.0037966580768604465,1.1074919578270185e-06,2.8483410349055e-07,-0.0016897048476480201,0.00010449136760449815,0.00010392895237622106
1600,1.6341013941561067,0.18722408197980278,0.01781634826931505,0.07181888467104222,-0.0029124535679068008,0.004245704571619503,0.0001447037730482061,0.000871242208860418,0.00012729240294853222,0.00038909208475452226,-7.52377739604346e-06,-4.926389692310615e-06,-8.47780588825342e-06,0.004618911024141124,7.970851979735366e-07,3.936297609877084e-07,0.0003266328224430879,-3.579483588699077e-05,-1.6320419341362415e-05
1700,1.559331013325524,0.1954499519817031,0.021850283496913387,0.07215374514232346,0.011553798099055856,0.0032316391757199222,7.379854118188075e-05,2.325667225379531e-05,0.00018827665577185747,0.0006990839898252947,-1.978268447484064e-05,5.256023772225772e-06,-6.206028970827979e-06,0.0061424590232834276,-2.199499572188736e-06,1.9696296093698435e-07,0.0011876865719242249,0.0007496953293614531,8.07972894058901e-05
1800,1.743978409545398,0.2428812055172197,0.021612925759836987,0.08294221675487054,-0.0015425945490228996,0.009376621008885939,0.0012821115546314658,0.005066449616498402,4.310784585506873e-05,6.902808984145004e-05,2.665397129026258e-05,1.2224640929946766e-05,8.471281855617244e-06,0.006806960405474151,1.9588472761169797e-06,-3.83798867458648e-09,0.008214217938010242,0.0008489144321119658,7.692221303038433e-05
1900,1.7752990092232752,0.2544275235518905,0.0234597087128098,0.07768470494619309,0.0030262257326258567,0.0028654567988059885,-0.0002493897459937709,0.00956147881148362,0.00085882453874963,0.0006007538758191998,1.9001665215188153e-05,4.4177823205222234e-06,-1.0071759082765043e-06,0.007528767092216207,-4.203949528764902e-08,-8.829792086265933e-08,0.004077962532311016,0.0005043561445872326,0.00010788657386421693
2000,1.8707597312310238,0.27786656614892125,0.024185689023256806,0.08666726910322056,-0.002491962580950204,0.007791546642841506,0.0005248481503427287,0.012411619304660806,0.000965388564787236,0.0008726986382648771,-3.2262733064549103e-05,1.4050920133412796e-06,-1.9488198990066934e-06,0.007879153920182173,4.5582422622114065e-07,4.3803806213188545e-07,0.0032259428808513644,0.0001630134604220111,9.443026633730551e-05
2100,1.9775561919328104,0.259148237792534,0.02490885618188215,0.10332024720869783,0.002361280713057183,0.01251017452396105,0.0026625210174373694,0.009521819868548297,0.0014953127467927899,0.0005244168474908298,-4.217233779970009e-06,4.9077942128027065e-06,-8.255026732510528e-06,0.009179529581999071,-1.4261194022147858e-06,3.488946228450473e-07,0.005730128007488469,0.0009162363405387779,6.138901750936667e-05
2200,2.0625708239770764,0.28329678228726185,0.02973115554995253,0.1036374821477337,0.016068615454456935,0.009740408657909145,0.0007412506771541915,0.010207232956930563,0.0013599696558673074,0.0012161073416054298,-1.0703360279496689e-05,2.5031566912958232e-08,1.3598573117736628e-07,0.009797455648270996,4.0831758184702687e-07,-3.238006734974773e-07,0.01295327619313753,0.0006034671071548629,8.49039623328799e-05
2300,1.964078483728344,0.31049761426555744,0.03136368023512626,0.1297087998221524,0.004494137879016058,0.013647128922577969,0.0014766701706174644,0.010408672828094507,0.0022979397250181785,0.000546346591987739,4.1055496751301645e-05,-5.794242589889711e-06,-5.569439081377008e-06,0.011340538449718099,4.130013946068227e-07,-2.3885759555005776e-07,0.013293093140990267,0.0010184284025465443,0.00014094491562951627
2400,2.0497235388351647,0.34635424570796425,0.030276954818977818,0.138968344616922,0.00876432425987654,0.017410673414656033,0.0019377860424304731,0.018816760259748887,0.001707213810337373,0.0008310808088441801,4.359268410477839e-06,3.9329080328896035e-06,8.498454562088175e-06,0.010711713836729577,-6.827399246756077e-07,2.8525678688249053e-07,0.011493815738742202,0.0015850196965121483,0.00018081493856975412
2500,2.201235222123154,0.34508766435858357,0.03155466161226869,0.1350176264732693,0.017335520354267667,0.012924224830527957,0.001864275615215758,0.02178861994944203,0.0019100518971788293,0.0016089021388233037,1.514433895206103e-05,4.9345078764465246e-06,4.263207965206621e-06,0.012585006316128593,-4.139784493905794e-08,3.99312747654434e-07,0.010550597269395518,0.0017506150252546732,0.0002762139282760113
2600,2.231895178181403,0.378159150082951,0.03290401259786665,0.1387491679260616,0.024158305653827473,0.02255368456619968,0.0029482904348884505,0.017133893011710748,0.0026419669351471203,0.0011375450016935216,-3.475363521746761e-05,9.685165073873383e-06,-4.064142563591974e-06,0.013486685373338643,2.3850452751526045e-06,-1.0848495442899823e-07,0.01709254383320699,0.0013114280032531997,0.00020781331537163852
2700,2.310268479874098,0.38433728450450383,0.03505792234061773,0.1628254585131082,0.02162769569667956,0.026472736333660568,0.002715856551121224,0.023605336173286844,0.0031760738658211138,0.0014531617034778926,3.6399321677894637e-05,1.1225327339953519e-05,2.272070164787629e-06,0.012782060756687837,-1.6336912286757475e-06,3.005412741873641e-07,0.02120316020494957,0.0018187945602064037,0.00033409084129023094
2800,2.387094835981245,0.3702122136827613,0.036759667339031736,0.1680968261662222,0.03220410477961847,0.025130197369447826,0.0034982296925445953,0.02936887477459119,0.0034303481898865836,0.0017246822473864307,2.7846765347045895e-05,1.2086542881088678e-05,9.665376922126397e-06,0.015084768196987975,-1.2345793513177548e-06,-2.88206118250975e-07,0.021049894344456494,0.0022432121252185734,0.00048728004193851054
2900,2.5003203376472642,0.4201931752355048,0.03772297473341766,0.17331768249457394,0.035727332782004774,0.031069467741679645,0.005508506343479029,0.031129573960616615,0.004372919658957899,0.002667327128042049,-8.078162855900023e-07,-1.903575649580973e-08,1.0119989561203967e-05,0.014509036708508111,3.891828963782516e-07,4.4194159916773945e-07,0.021384102288948922,0.002539920918759831,0.0005068796415912092
3000,2.4008418886560494,0.402541240470367,0.040602322095481536,0.1915962428422963,0.052424716138898195,0.0349168596992685,0.006180739861195017,0.03196417803274403,0.0054331721346481945,0.002940840256486844,4.0938181187253406e-05,1.827593528812351e-05,2.6132821085745445e-06,0.01590516767898634,6.151738552007837e-07,1.9137859922331524e-07,0.02782600275845695,0.0027434417799781187,0.0005052550054268627
3100,2.451820006084838,0.44672594562095685,0.038764079011508155,0.19813278333413292,0.05231857735168662,0.03929020883891675,0.006745230069272987,0.03949167654220132,0.0056484760348643765,0.0034209181636644793,5.5056585619430224e-05,1.8651618171161498e-05,9.839291592593299e-06,0.017300685202066023,-2.6434298825380816e-07,3.7391077368474963e-07,0.03467117243655399,0.002920713142674713,0.0005334125845926391
