milliseconds,CaI_1,g_1,IP3_1,r_1,CaT_1,g_2,r_2,CaI_2,IP3_2,CaT_2,CaI_3,IP3_3,g_3,r_3,CaT_3,CaI_4,IP3_4,r_4,g_4,CaT_4,r_5,IP3_5,g_5,CaI_5,CaT_5,CaI_6,g_6,r_6,IP3_6,CaT_6,CaI_7,g_7,r_7,IP3_7,CaT_7,r_8,IP3_8,g_8,CaI_8,CaT_8,IP3_9,CaI_9,r_9,g_9,CaT_9,r_10,IP3_10,g_10,CaI_10,CaT_10,IP3_11,g_11,CaI_11,r_11,IP3_12,g_12,CaI_12,r_12,IP3_13,g_13,CaI_13,r_13,IP3_14,g_14,CaI_14,r_14,IP3_15,g_15,CaI_15,r_15,CaT_11,CaT_12,CaT_13,CaT_14,CaT_15
0,0.19998922952603224,0.2512561453286025,0.10095712583625557,0.5018567577033903,499.9998952470889,0.24959899123705917,0.4937430116263406,0.2002749619975224,0.10096413361332933,499.9997605068242,0.19980389006223478,0.09890637271466354,0.2496217216106984,0.4983326652278348,499.9996789840823,0.2003526569994989,0.09784951324037892,0.5028738131353414,0.25122458147563015,500.00014712224146,0.49305672621385094,0.1019001425349399,0.2491426433017141,0.19959976393679466,499.99964271273893,0.20012263683191495,0.2490034270672375,0.5008858218931469,0.10257846210683053,499.9996247804205,0.20038686461709204,0.24987533874534623,0.5023215936015855,0.10128309162597748,499.99996049231436,0.4986995134038664,0.10174894420255151,0.24963225832866065,0.19985294753510044,500.00010118802766,0.10213673940804534,0.20036724621413496,0.49829375156402955,0.2500432483503366,500.0003762639593,0.4940139718248561,0.10044650146543777,0.25027135036730774,0.2001422233898128,500.00017061931186,0.1023205043759578,0.24916600922130455,0.20030813551161986,0.5055194216266331,0.09835560261871774,0.24927016912892827,0.2003911815172898,0.5045685227187306,0.09772922956455295,0.24886682459159173,0.1995071042542315,0.4993790271269233,0.09793725393443561,0.24901485351489674,0.20002054834186264,0.49890339750807094,0.09873675678719902,0.2507675586576666,0.19982489227784053,0.4971615311254984,500.000045861822,499.99990003868174,500.00001112928874,500.00001744807736,500.0003151294109
100,0.2007310401212178,0.24826270102265338,0.08992381991121826,0.528006553079461,499.9995604951269,0.24879543887553068,0.5462244467268464,0.20037604410738197,0.0909254418431985,499.9995917874561,0.20120536711520454,0.08999934144840294,0.24844903241408298,0.5774266471662184,499.99924495074595,0.20073901324690197,0.09402585274634509,0.5516474391533601,0.24968239683315893,499.99918544161517,0.5734554821709588,0.09046490335093282,0.24911641196833026,0.20076967739438628,499.99956992794273,0.20042480287057363,0.25020012242860445,0.5625420241392667,0.09392472150825128,499.9987114899921,0.20071722153493846,0.24917280145160176,0.5502054016847469,0.09075659456971365,499.99936681359634,0.562708508378808,0.09074822801142528,0.2494661835225816,0.20039553665974263,499.9996425649623,0.09292372041887896,0.20130877804430952,0.537799355492331,0.24938214078867524,499.9997168508727,0.5529372229315759,0.09269656779374642,0.24980148852023917,0.20082967515985464,499.99948460035966,0.09350863619505184,0.2486582338109726,0.20086615133088825,0.5531605517323439,0.0924063865115137,0.2483060777087033,0.20091252370523904,0.5741848928966363,0.09449894833057185,0.24878740806375105,0.20066097635801045,0.5470614859150703,0.09268115933194297,0.24893888209720896,0.20108679631094187,0.5315205838018285,0.09447450186859999,0.24875887093899224,0.201285032454056,0.5460178313546384,499.99931725186093,499.9991501770145,499.9993806672411,499.9989722102794,499.9989480136089
200,0.20171095261479452,0.2491493058479553,0.0875363022943342,0.5545880455754041,499.9980385541186,0.2485971512814285,0.592708339253737,0.20161329083836751,0.08592760347066787,499.9982723824173,0.2019288484405822,0.08578269048629289,0.24936462525083727,0.6230214878977166,499.99876520703214,0.20121518065811114,0.08279917209778587,0.592964691163147,0.2492336165571888,499.9981691454626,0.6281084473966019,0.08411735285749085,0.24705205186307322,0.2019313866702636,499.9985749130795,0.20203149872736959,0.24751708209262388,0.6105094746098135,0.08599901223240282,499.9987389625603,0.20107280365250857,0.24733616264073066,0.5979934833287199,0.08317298315260385,499.998294313292,0.6055809465874507,0.08266464487695808,0.24888518200189444,0.2020062897555977,499.99802539758184,0.08308459986162214,0.20196546443443644,0.5646646607650418,0.24931010240011692,499.99887950904883,0.605071012215767,0.08676336766895132,0.24877633354234663,0.2017578799144057,499.9985860568176,0.08592232410243762,0.24854995651798018,0.20193435149151417,0.5977502811634657,0.08281349348563365,0.24793465560365768,0.2016269211456651,0.6327558755281512,0.08283775347047705,0.24867102183688752,0.201399692067713,0.5803811610385062,0.08650534197084726,0.2473688464658149,0.20101224879215293,0.5647022937821198,0.08558242279335439,0.2492677134425662,0.20150430777952652,0.5808392746557786,499.9987964840842,499.9982064834524,499.9984655561645,499.99797336607253,499.9985753338373
300,0.202328485805844,0.24618100264118342,0.0776391255486701,0.5866281233268523,499.9980600660822,0.2462653687011708,0.6401374100350387,0.20252206007135498,0.08120791785736976,499.99809740261645,0.20239333886235222,0.07708546246113242,0.24794970133036975,0.679162278688315,499.99835881147453,0.20192644269867527,0.0779717622653311,0.6179404632345309,0.24815891482654234,499.99812665471705,0.6660850527832702,0.07880716765380649,0.2461974507324312,0.2019404789692254,499.99739495697725,0.20189275103776896,0.24847440982505545,0.6605966326709777,0.07737616450040267,499.9975799447718,0.20254968983617597,0.24812934709340864,0.6424406865615976,0.07632023350178377,499.9974977166034,0.6500775337943082,0.07680969847401561,0.24736288102859344,0.2018860111759499,499.9976995536286,0.08028394085734743,0.20166719289520507,0.6009459777060193,0.24745237651522387,499.9974660753381,0.6421638214046967,0.08092805715159808,0.2466906232334025,0.202332869185256,499.9980814485797,0.07780333264266863,0.2474089137061223,0.20195983386082403,0.6278267204881266,0.08122519563483062,0.24658841402308088,0.20168246451592436,0.6728212051911514,0.0761653913950045,0.24792284492939262,0.20200514546785975,0.5985879577493098,0.08045801677328594,0.24642675341345344,0.202414172658246,0.5955929845815646,0.07788396890344665,0.24798621513279634,0.20165703892745104,0.6095561470307077,499.99766891087313,499.99822286238805,499.9973560085859,499.99758764454964,499.9979572315392
400,0.20279954494143562,0.24546766098945555,0.07314030698723561,0.5964768507002332,499.9977207689186,0.24772906184680563,0.6668611696673096,0.20302510249626252,0.0749606323940883,499.9975869376311,0.2022882160564231,0.07134666265496162,0.24617496488798365,0.7149371260613704,499.9976112023575,0.20256905605512243,0.07411546904650095,0.6427008066260531,0.24687299232707224,499.9973188355367,0.7028578183842387,0.07025668845162156,0.24605241784472368,0.20309943120680193,499.9971022506928,0.20267211343382197,0.24536540524204237,0.6961236202410286,0.07254813201622919,499.997695040511,0.20271763872215495,0.24768790615484956,0.6755519431388952,0.0708522770489759,499.9975312531689,0.6831877395662561,0.07408499567064782,0.2454755120705265,0.20271033934062316,499.9976702585565,0.07381064647249694,0.20279268232946518,0.6256483251241856,0.24670394152755268,499.9977668763983,0.6740487153039172,0.07396757188343443,0.24681781042515016,0.20213283961310025,499.99777706013566,0.07326936289423737,0.24577757125833558,0.2030172186613995,0.6508623805858318,0.0717976874770161,0.24734495077300545,0.20316555267442388,0.7119507186458912,0.07050282812647025,0.2476938930331172,0.20247842963193197,0.6306110849854965,0.07360868497937512,0.24616956626469186,0.20284026797185176,0.6082647302124606,0.07527073192810535,0.24586923161288843,0.20318739795168972,0.6449373230164683,499.9976964047051,499.99783324169584,499.9972019973661,499.99765616884406,499.9976455306992
500,0.20359038765312742,0.24627641906593134,0.06710041056131923,0.6214126140535666,499.99697157282844,0.24470194359367883,0.6912296185919539,0.20287643982543374,0.0672317640852115,499.9972591690356,0.20362707660896143,0.06916475214900378,0.24476614052289644,0.7411048610720911,499.9971787162575,0.20284360733382545,0.06746349138155532,0.6648985966536051,0.24459477731620952,499.996884339787,0.7259543792904818,0.06619824460944905,0.24685001025597433,0.20282012505785166,499.9963936447616,0.20348257290608363,0.24678304503582713,0.7170045351604664,0.06707699502431036,499.996492006909,0.20333885069613897,0.2459123622698485,0.6980538701596126,0.06694634101147676,499.9969340363032,0.7182075612608431,0.06592146282465862,0.24561089049405166,0.2030077999581254,499.99652313072517,0.06919295428959914,0.20286828240028976,0.6473670033633359,0.24648005591485697,499.99653717793103,0.7030502469261128,0.06591515284457374,0.2454827076895577,0.20350078086640172,499.99703753528996,0.06900921446409904,0.24518925639655584,0.2030391278908494,0.682793177349822,0.06677809477726887,0.24443069174387552,0.2032472471052498,0.7473193166493887,0.06627193508944826,0.24642411871334383,0.20355276800734767,0.6523794868827625,0.06629062641193383,0.24666909526938646,0.20278660617449756,0.6327168686410217,0.06539090407395451,0.2449154836081321,0.2031817841279219,0.6558327350637493,499.99632692650005,499.99671719998184,499.99722275292527,499.9973674277814,499.9966681434539
600,0.2031949110994749,0.24386453820744286,0.059326984505459514,0.637443881609689,499.996092322549,0.24490774551575153,0.7098407017568814,0.20319327535489995,0.0635782311553379,499.9962527349925,0.20339641942332207,0.06306237074698305,0.24399220667837812,0.7667930192743182,499.9958749433764,0.20345380963696583,0.0643176724830417,0.6847502885529384,0.24451064017994079,499.99633413160865,0.7559990561550469,0.05935336782227087,0.24553378347132884,0.20407635373482344,499.9965721650234,0.20334896400162683,0.24498940833205177,0.7455658301609106,0.05964950754092913,499.996538117031,0.203820729173834,0.2446016313868718,0.7248026315941068,0.059669692770105566,499.99650786060437,0.7434199211445802,0.06421861993003787,0.2437359516537822,0.2031451199706464,499.99648242469266,0.062392887443131845,0.20326294094876912,0.6545023097568479,0.2444510605767762,499.99675860509717,0.7219026235440804,0.060881523917495545,0.24363824168422074,0.20333095090254802,499.99587740204754,0.062304646053839216,0.2445719307488351,0.2040772244962165,0.7076533574032512,0.062241094283693094,0.2435251020735113,0.20368974552409538,0.7731841906781264,0.06159559112155372,0.2435710799603882,0.20307644866631824,0.6736242345197927,0.05975875135731507,0.2438306515974857,0.2031457181350138,0.6512873814703242,0.06444584597868247,0.24486640244059343,0.20320976185031556,0.6825892469800798,499.99620569961445,499.9967420380142,499.9968087105559,499.99609821629,499.9966865031528
700,0.2044626218129364,0.24448820242661662,0.058357216489261246,0.6447016378399036,499.99636505492293,0.24377233787676178,0.7251859421955611,0.20396377812371927,0.056188160847815076,499.99599944412864,0.20446637761846084,0.05794331059613973,0.244330538341217,0.7749230673756773,499.99582835874963,0.20392027272691474,0.05957126000071909,0.710936323575401,0.2450567064126651,499.99600832429786,0.7755037840457054,0.05741319841961703,0.24482086700748912,0.20423227986068362,499.99590527505086,0.20448085853720874,0.24350369708961678,0.7691695893807823,0.055471778352420634,499.995656735627,0.20420735021199726,0.24296976302768156,0.7346936138616875,0.05680879209859043,499.9961941731744,0.7521876660096449,0.05626051173917418,0.2439633427565657,0.20376537178423945,499.9958899336924,0.05679476079102162,0.20413420396730794,0.6788946984990221,0.24480833729270382,499.99560773718724,0.7494678293233688,0.0586122570137507,0.24459820521949713,0.20349844744382375,499.99548797344136,0.054977146131694604,0.24333940315681615,0.20436043738204038,0.7120103829100555,0.056414972208842486,0.2433077780983076,0.20383135894274942,0.7799990728091207,0.05653239663568825,0.24295816787176377,0.20430246048905265,0.6872544807062341,0.05553613834191755,0.24365008509987285,0.2041897646118419,0.6594906442113014,0.05466142021984285,0.24283619652820604,0.20383442397666637,0.7042283639725645,499.99632209697927,499.99642363566704,499.9954940422146,499.9955402971009,499.99571782624
800,0.2044171579741474,0.24406640800882443,0.0545126577079037,0.6582955273524889,499.99573543780076,0.244242509942343,0.7406537041691346,0.20489694527971822,0.05362775536264963,499.9953648599233,0.2041868507163049,0.05128414675391817,0.24258969846337025,0.8004243335390642,499.9951131242435,0.2041542054720635,0.05154668761298129,0.7167810999140666,0.24421118289606272,499.99581390691264,0.7921061003031106,0.05471687544773518,0.2424026897456179,0.20446988820022113,499.9955734318668,0.2043128086582109,0.2433766264819357,0.7762034300451044,0.054724179701698954,499.9957808270512,0.2043994456169951,0.24350273116638504,0.7552458227701533,0.05106318231079082,499.99579850163855,0.7717101084244131,0.05153042884798072,0.24313087508324455,0.20449419425214715,499.995144340331,0.05469526229546912,0.20438514326991813,0.685031355492408,0.24376202208659672,499.99578688531784,0.7678666365570681,0.05399503078721928,0.24360707132068157,0.20470731454874422,499.99577990711873,0.05176837967023736,0.24308227004271016,0.20407164301920114,0.7305752714992472,0.050869156162390926,0.2439426996367809,0.20452266422361678,0.7950849588590524,0.05280388958281572,0.24247068608873315,0.2039019859360125,0.699992959436597,0.0540713755372346,0.2442457229372493,0.20459207833737417,0.6723055045758743,0.05209987404484639,0.24280381481482047,0.20460141009700683,0.7082777741386101,499.99558117995497,499.9956664462758,499.995262138539,499.995863959953,499.9957435660902
900,0.20470412201927182,0.2424030996122454,0.04800406318513696,0.673147924197268,499.99540683933486,0.24285513461875924,0.7530734888931752,0.20487265303440916,0.048005712333988856,499.99505868392635,0.20530684413710243,0.05132122217805559,0.24276911571510962,0.8025123645873671,499.99525090136314,0.20481869639932987,0.04611908530360923,0.7369673538559465,0.24143787064577943,499.99552131959575,0.7922966514003849,0.049815041874989974,0.24331942442952048,0.20507951347796088,499.9952508357874,0.20474941812638967,0.2409789028797165,0.7881700620904845,0.0466911812910853,499.9949885053878,0.20513871855407542,0.24135585167270404,0.7693052589602294,0.04823291562424259,499.99487113483934,0.7874567472065295,0.04698141587857114,0.24288656340418835,0.20533328602044096,499.9946887745172,0.04890452951272734,0.20441714838634475,0.7017311590541874,0.2427652610300655,499.9950148420872,0.7702633713229423,0.047603313566508806,0.2419104493581031,0.20493829555296114,499.9947609897248,0.04857097482565338,0.2411604780578331,0.20532877620077292,0.7450701598627827,0.04884126380423888,0.24233453080924527,0.20433616403527022,0.8049823042194291,0.048070561556176776,0.24269268401480243,0.20472049022640437,0.7090747280750485,0.05079784233655608,0.24155472727798194,0.20478525738123843,0.6878182109116044,0.05062864429907849,0.2422700391925037,0.20505217502712966,0.7269153094980295,499.99573105229854,499.9956953598798,499.99495450853374,499.9951624912939,499.9948940106393
