milliseconds,S,C,V_C
0,830773874.6714272,14168.723865515667,33309816.627043266
100,829002578.4517837,15778.849357373878,32640100.839506965
200,827724891.3327408,21295.393661138252,32932106.83662428
300,826789346.8855491,31389.009378906485,32245208.25465568
400,825582539.560483,62460.8751979338,31720380.271076955
500,822358820.0476776,69765.71232964622,31483984.170292933
600,821225696.7701875,85370.57989375775,31316280.56098862
700,820788123.6900401,93720.80739280718,31478442.036396313
800,819306766.7554961,93558.10939550462,31041717.913392846
900,818946843.872029,118327.00127139421,30637319.00876232
1000,818546695.681353,126892.36029804366,30232392.46416915
1100,816925502.0777259,136744.32384990712,30000583.824310597
1200,814833410.7864511,166294.58424680217,29530089.36326955
1300,815045645.915472,166164.486724289,29556235.68216541
1400,813114092.1468773,180005.79973948767,29048691.711484242
1500,813519547.8557948,195753.20388245632,28892635.41659509
1600,812047173.077918,192292.5842316531,28997710.71688134
1700,811150701.7066176,217861.68482032244,28624068.68922688
1800,809723474.9325815,204794.64376292683,28490269.96830478
1900,810167283.5267613,216123.07241738337,27715602.951476157
2000,809193098.4191568,234950.75467712557,27937611.448250093
2100,808862408.9190087,249896.80740856958,27755720.960973307
2200,808075067.3894881,271259.00556907384,27501547.21281865
2300,806565037.4786932,266637.5679387503,26804335.125523925
2400,806983028.6118054,290098.04514548887,26920065.081506036
2500,804865140.1386306,302085.9273450447,26548050.734149896
2600,805315974.6821356,303796.71429675416,25969382.148677465
2700,804935801.1744425,305258.68960179546,26177808.935282726
2800,803711557.1543518,312499.0149213495,25932299.714786723
2900,803044342.7286768,341928.3687102482,25853290.376309462
3000,801570885.1424377,336904.8566015817,25054492.027070723
3100,801797826.1474481,359048.59478430595,24810466.325054012
3200,800606368.8441029,363855.91373812564,24677825.08488743
3300,800029517.7517177,373166.4173161911,24511657.68900328
3400,800411566.327356,373926.79960056697,24565121.782059554
3500,799229429.7493021,394346.57891649,24240594.222398475
3600,799952908.5017912,399683.04983930575,24203447.61468471
3700,798204630.0423872,411646.90391121106,24026842.607004263
3800,799005538.8235104,401737.3523971665,23565999.980436917
3900,797562495.9586886,428589.2531791807,23385590.5957486
4000,797399903.2250036,411790.0370640319,22892653.485525582
4100,796206142.2634513,437868.99978020164,23308990.058603857
4200,797420780.5815953,454929.7758848883,22612377.641396657
4300,796009148.2064176,436762.37358904385,22924396.591662228
4400,795790648.9244518,458212.8284537689,22231895.560468886
4500,796653221.4261346,461516.63648286206,22161083.63992038
4600,794328843.6700166,461891.7114903036,22127273.441922452
4700,795761968.9435256,476889.775181378,22001124.65189903
4800,795460324.2049129,477911.6300547412,21653997.273991723
4900,794031057.5907081,498425.19226672547,21074312.441596195
5000,794793132.1604451,491860.99806727737,21520694.589568164
