milliseconds,P,Pt,M,N
0,0.09922998804990625,2.0124694876622997,0.004767217685722574,0.10181755685423761
100,0.013131465548171892,1.9154368163423934,0.021858062768805156,0.11214407073144145
200,0.0022162236353580663,1.7163200254413147,0.03726488265313788,0.11938619576118334
300,0.0004149525835742562,1.6184867503269893,0.04604304645607525,0.13633841517838982
400,0.0012133368816597363,1.4327570853413811,0.06264887554967608,0.13672517435910395
500,0.000695168765797924,1.3323118496209005,0.0693277453689855,0.1430873511113696
600,-0.00010872879827531131,1.2658376368176223,0.09347140267148715,0.1501415421030372
700,0.0009689605753948373,1.1174805906280725,0.09922637024674767,0.15275208205075638
800,0.0008295010877041543,1.0591687464372288,0.11365116165627331,0.1454885408472645
900,0.0008998752719829487,0.9898596463366486,0.12462057594164769,0.14562972347323297
1000,-0.0011200003481811026,0.8704709741627324,0.13655646981968578,0.14261770228896106
1100,0.0006947266425683269,0.7930368379749984,0.13523433517637315,0.14472419777731027
1200,-8.334074905739144e-05,0.7567265771094985,0.15959921600396726,0.13456875706806537
1300,-0.0003045555286761512,0.7061252945311337,0.15669444312599604,0.13572730200377733
1400,0.0007114187241006406,0.5938018415253111,0.1697584358462623,0.12596530792486388
1500,0.000683918964608866,0.5927456176112855,0.18325059974293323,0.12637721883157688
1600,0.0009419731835100366,0.4831425935151003,0.1818431912484496,0.11543637255436785
1700,-0.0005153335288390164,0.4625332501315734,0.19897848132932047,0.10815453281392737
1800,-5.7525223498836384e-05,0.43013430225539795,0.20068492214180964,0.10280628844602945
1900,0.0006835595121667794,0.3922229887027139,0.199729051842285,0.09654619883724053
2000,0.0005250661666080276,0.40807733003085184,0.21627748763891902,0.08760102329595976
2100,-0.0005691741229649619,0.3478583003246472,0.2208562299296518,0.08705480386540887
2200,-0.000573392035345866,0.30772940690103157,0.21762773328458762,0.08078339901561671
2300,-0.0006770051545986854,0.2560199056329857,0.22339522707057047,0.07377608864118981
2400,0.0006353552602861039,0.2961305179663705,0.23123341858389576,0.06787061093258316
2500,-0.00025848105760964434,0.29946940905210473,0.23539555490446784,0.05796704954392874
2600,0.0004680910376525466,0.18938585143447206,0.23873364441514988,0.05188733202443742
2700,-0.0012340551985012384,0.2476606575173761,0.24322888385949387,0.052476446574335964
2800,-0.0013497822196408206,0.16333565807728692,0.25139898539556227,0.03994188692396812
2900,-0.001270798486598086,0.14266750927968092,0.25542136659276976,0.03771877127866197
3000,-0.0005158220743219652,0.17738813421749144,0.2615858180506072,0.033279105884976616
3100,0.0002974055420069956,0.17145751427017442,0.26179126250078993,0.03070953991804689
3200,-0.00022799127754175548,0.10231509027486548,0.2625886144910332,0.027372434320835415
3300,-0.0010530034471083413,0.08474085048541088,0.2680789720805631,0.027331911661914805
3400,-4.112211143392016e-05,0.10623955078953747,0.26902865841992496,0.019556715838069002
3500,-0.00045340210828151753,0.06619864891563651,0.2635497143041553,0.02315075834182947
3600,-0.0006989191007453657,0.10264112342309824,0.27115168547226526,0.017257340378701184
3700,-0.0008352843837514861,0.10479892381826601,0.26964730207464027,0.017445237271448998
3800,-0.0011271572449843108,0.11163340483908427,0.2684866887969527,0.012053536802847377
3900,-0.00023259021630857993,0.023532119390575174,0.2750566202365305,0.00920446965828212
4000,-0.0004938089111313049,0.053121974160118275,0.269752426133559,0.009708241639934107
4100,0.0004784685278497576,0.09021943190232176,0.2746875975818951,0.010882644187809338
4200,0.0006655521270211727,0.04114482520257235,0.27849102105026774,0.012871390978704463
4300,-0.00025927350338348824,0.08459404728297913,0.2650653791669905,0.013005298528619357
4400,-0.00044176880528443987,0.029009357841803578,0.2749385300960945,0.005779828426573427
4500,-0.0008943458586586021,0.013088378695964163,0.2676468552005646,0.006461210387981812
4600,-0.0007991506410503496,0.07807387039686495,0.26663780944568094,0.0006213863949456645
4700,0.0013752317485929426,0.06273748458796191,0.274974668432532,0.004331751615832136
4800,-0.00041164678933241014,0.02368622734815637,0.2668136925427017,2.6329156134622875e-05
4900,0.0009501947950232982,0.034099676083869386,0.26204544202738156,0.00022758140372137765
5000,-0.0012835443517942094,0.0747260782279393,0.2629698571803293,0.0016359522367473504
