milliseconds,P,Pt,M,N
0,0.1,2.0,0.0,0.1
100,0.01369846618984948,1.8703236261783591,0.01647385152642646,0.11401489329102638
200,0.0010756816638931945,1.7376089491554632,0.032135677241037004,0.12462286997276312
300,7.494329930624719e-05,1.6061039619535318,0.047024687066992664,0.13292461733044098
400,4.980764381115766e-06,1.4787397317183044,0.06117742850577132,0.13924262867657627
500,3.1998322381809515e-07,1.3575587736778523,0.07462853299684993,0.14376948195646902
600,2.0015096745029218e-08,1.2438814062853805,0.08741090531789814,0.1466745464080342
700,1.2270203192835015e-09,1.1384396779498693,0.09955582071009879,0.1481149037421337
800,7.470179863332905e-11,1.0415021346235374,0.11109301041854747,0.14823775389627758
900,6.044715236315182e-12,0.9529872354819199,0.12205074157160463,0.14718173253081496
1000,-1.3390335261898264e-15,0.8725622996917246,0.1324558905904123,0.14507772863010554
1100,2.039118833152345e-12,0.7997263479992379,0.14233400891912382,0.14204935990863618
1200,3.7841690624974534e-13,0.7338767983423408,0.1517093800415158,0.13821326212817908
1300,-1.3918880501838356e-13,0.6743610961517831,0.1606050669860666,0.1336793439185968
1400,6.780267541104463e-13,0.6205153285331501,0.16904294993229946,0.12855113282223732
1500,1.4292994561244995e-13,0.5716920019433782,0.17704375381297932,0.1229262963980599
1600,-1.8416702722976413e-13,0.5272794599798106,0.18462706612059124,0.11689739274273625
1700,-1.8721334874283088e-15,0.4867140970983105,0.19181134504336086,0.1105527498201706
1800,1.551833742929827e-14,0.4494888184519868,0.19861391964142264,0.1039775124356951
1900,-1.429682100909911e-14,0.4151580255780732,0.20505098350516213,0.09725463222883539
2000,1.028812852194887e-15,0.3833399802709296,0.2111375821945965,0.09046563646484876
2100,1.9200997774879466e-14,0.35371677234059845,0.21688759754004655,0.08369077577576908
2200,1.702959395315224e-14,0.32603278167034283,0.22231373532461912,0.07700850101415763
2300,9.15780195583923e-16,0.30009195193598787,0.22742751811825454,0.07049443269127827
2400,-1.6376694104057525e-15,0.2757497038738491,0.23223927598190797,0.06421834995860912
2500,6.687838970463937e-16,0.25290493451525736,0.23675815165008657,0.05824155981656819
2600,1.4262375049389482e-16,0.23148991457185286,0.24099212287581512,0.052614057895666824
2700,-2.9138742067619496e-16,0.21145934268472608,0.24494802582365588,0.047372273046960185
2800,1.3557308243249618e-17,0.19277920285861447,0.2486315862371516,0.0425378501629192
2900,7.14299713700632e-17,0.1754186787817813,0.25204745982212107,0.03811802907497167
3000,-2.1486771286401602e-17,0.1593436623171072,0.25519927391820163,0.034107331801392145
3100,-1.550538811640133e-17,0.14451358554169338,0.2580896655000227,0.03049000996850654
3200,8.837606786097512e-18,0.1308800869571237,0.2607203253226378,0.02724307320784735
3300,2.2992404276572814e-18,0.11838754272272059,0.26309203990575164,0.024338930987483638
3400,-2.8674220473966062e-18,0.10697451252711143,0.2652047436977185,0.021747923938414508
3500,-9.770448876305253e-20,0.09657549622643527,0.26705757451937095,0.01944003252126255
3600,6.687934188028983e-19,0.08712288682330865,0.2686489484007106,0.01738625961814089
3700,-2.601347410902272e-19,0.0785485373528669,0.26997664272453153,0.015559365790184625
3800,-1.8354342153858712e-19,0.0707852167243635,0.27103789939136724,0.013934359048522535
3900,8.09246748910568e-20,0.06376761294502341,0.27182955639429424,0.012488609227982615
4000,1.4581111404899872e-20,0.057433155557090866,0.27234819639229463,0.011201854950960042
4100,-3.588981438320927e-20,0.05172249479987113,0.27259030775284504,0.010056081899859287
4200,-3.8114049774900496e-21,0.04657985170013133,0.2725524857962975,0.009035333208036424
4300,2.8527734264115622e-21,0.041953161261350125,0.2722316307293034,0.008125513646232416
4400,-5.554755309213652e-21,0.03779411884410428,0.27162518796715607,0.007314169608254478
4500,-1.3826542965846252e-21,0.03405812979691724,0.27073135155120354,0.006590312316102501
4600,-1.7018167645801004e-20,0.030704206775509,0.2695492931849065,0.0059442278272695695
4700,-2.2144333345630748e-20,0.027694803719930647,0.2680793947727811,0.005367336530639012
4800,-3.549750822330094e-21,0.024995639040593095,0.26632345610617064,0.004852023857013708
4900,1.2026066559738983e-20,0.022575487427998284,0.2642848596982828,0.004391530097832099
5000,1.902257292358855e-20,0.020405985518913466,0.26196868870623136,0.003979846775279525
