miliseconds,sucr,EtrioseP,Ephe,N,starch,Enitrate,trioseP,Estarch
0,0.750338068153288,2.820815829494664,0.08283525570231177,4.99800065795065,5.842208676883302,18.742006041789764,-0.001958168066279732,6.017785804369778
100,1.0504373767141102,2.8347378338214937,-0.03566429504662395,4.997900215904481,6.126261598328147,18.742027229484627,0.3804602671258937,5.978897315664964
200,1.3595702958471183,2.8083550369550596,0.22943737049470006,4.997879387737857,5.788705050309236,18.742039633287717,0.41375800916568295,5.741735631894915
300,1.5559574123653388,2.771342637456747,0.7034216393777566,4.997877832571381,5.932373470646966,18.742049876655475,0.4224049698151187,5.421464266940259
400,1.6496942429898924,2.713648981079475,1.367748553508434,4.997885466680107,6.208644811775832,18.74207230952818,0.42384712053296575,4.6922371273407855
500,1.6693124188619042,2.651345387566941,2.017349980146308,4.997894017930411,6.209123761573219,18.74211529469482,0.4304773383714845,4.02511841094505
600,1.6405867175448148,2.5708851342804904,2.744853969926754,4.99789533536907,6.411093091777089,18.742138185867557,0.4404437018286006,3.3307426269609373
700,1.6002804600716083,2.510482398467588,3.1947465847804413,4.997898474561855,6.656343541651697,18.742143694630474,0.4444998377808851,2.688301493716239
800,1.5406790649076323,2.450539030841191,3.8992894023280624,4.997909374060526,7.198059004799427,18.742177914169567,0.45359077288136823,2.0628989471178287
900,1.4789384769408915,2.4001991699230536,4.4761744486401644,4.997913708645786,7.094675086892802,18.74219629165951,0.45264432476117133,1.556628813239373
1000,1.4033589358874714,2.3606312531698745,4.821134859249484,4.997917722545377,7.907211016701501,18.742201575553562,0.4614790897874656,1.178226465324413
1100,1.3364710864651217,2.327125663571378,5.244128820892484,4.997926751849673,8.391444409310846,18.742223073988978,0.46688376015688554,0.8309385069469093
1200,1.2638170514993543,2.3051877248691603,5.471529221047469,4.9979316999747425,8.237454125760035,18.742257703234,0.47207160871048937,0.4386241757910015
1300,1.216048295315561,2.2775288360742882,5.888944802849328,4.997932964063608,8.942151748153798,18.742278938447914,0.4739946626510412,0.24315165253763021
1400,1.1640938203962679,2.2595204215409432,5.912435663079228,4.997939239285262,9.287584452931384,18.742283176454457,0.47271905116608254,0.0390071586501835
1500,1.1266244794165108,2.2467137472594554,6.096602372669817,4.99794801114583,9.700372775794943,18.742299243335324,0.4770160246068302,-0.021858401798927674
1600,1.104598850549532,2.2218687246201467,6.3573708562926265,4.997954030109388,10.36071438402367,18.742330748064642,0.47368141465361885,-0.04881509778895428
1700,1.0764523773668024,2.215425940153767,6.313219618194701,4.997957505002507,10.581921875397956,18.74233957698684,0.478558480122892,-0.04068310143543029
1800,1.0816466081832805,2.2109814801035492,6.405759293175276,4.9979618915659145,11.489173869448836,18.74237278376867,0.4792173695113787,0.02208304227467305
1900,1.0761613006391832,2.2074150474929235,6.586597572247051,4.997968504252385,11.912763074957116,18.742406403091884,0.4800257786797547,-0.02268986017460448
2000,1.0722067333818048,2.1932213557668465,6.639410036976697,4.997976620046736,12.463104082123108,18.742411909730837,0.4794871329111295,0.006281761200632936
2100,1.0604706237798558,2.195917274918158,6.666124514424567,4.997977553119074,12.934849955693206,18.742434344872873,0.4793732010141875,0.05422825389573602
2200,1.0615921948924467,2.197384323055155,6.6911323046993845,4.9979811033499955,13.118210989216438,18.7424691869145,0.48344727399557713,0.060997635275525465
2300,1.0567411421663278,2.188183095471094,6.901659735504771,4.997988309587136,13.77639978653286,18.74246767857006,0.48263419282938963,0.03090141982443929
2400,1.0479736545566614,2.17498865072137,6.875923010742402,4.99799205977897,13.933437317578207,18.742493624218188,0.48017551788995627,-0.056148585703816964
2500,1.0596850279989944,2.1691035992197416,7.1015736200356985,4.997999240025619,14.80561341320558,18.742503853768692,0.4828940495434015,-0.02443123523887789
2600,1.0431167273113882,2.1646215614971935,7.183712447276737,4.998002296642149,15.324106512853291,18.742537320880757,0.4814747103308974,-0.01522352773459626
2700,1.045241493706511,2.1505200900301924,7.231307856002715,4.998014459195,15.994337572083392,18.74254724816787,0.48317614166518497,-0.046647641300161836
2800,1.0510703851761438,2.1508350340184093,7.120407112077087,4.998016255238468,15.989581960613306,18.742579579684307,0.4855390193474921,0.0672953895956409
2900,1.041244857713719,2.14953883944971,7.197974519433461,4.998021100999431,16.488759258888265,18.74259214289156,0.4844759823573917,-0.04225455046859714
3000,1.049721506439566,2.1435183048943633,7.417680558841369,4.998028405110292,16.913963724669408,18.74261737755631,0.48384578434078784,0.029137925750752965
3100,1.0490797547248936,2.141299517150037,7.406302627755731,4.9980291100311,17.525689182297516,18.742633389720968,0.488237616773173,-0.05705309739485763
3200,1.0367726072320322,2.143153660238512,7.33940192078437,4.9980392149246615,17.834927807283332,18.742650088843032,0.4852755071759878,0.08407484466969428
3300,1.0465870947173332,2.1226769583711262,7.412409042203229,4.998040020074266,18.39242881167796,18.742687070366642,0.48614385158570345,-0.08559267076968587
3400,1.0328942295920425,2.138411981837858,7.640318674025691,4.9980464689906166,18.83526811653349,18.74269847019769,0.487014341898216,0.0328056184209077
3500,1.0320871344036557,2.120259603115595,7.652344793096677,4.9980564102758285,19.367096192570738,18.74271166121413,0.4905574683547864,-0.011342311685433147
3600,1.0462343669798801,2.1301783183498815,7.582293956294578,4.998055966530786,19.969948255356446,18.742739639283446,0.48847021625833964,-0.025250390121186742
3700,1.0338628470050832,2.126184659658203,7.7373489242381694,4.998062773356506,20.718031774341075,18.742753421760884,0.4892608604790371,-0.05655361393470006
3800,1.028661579662388,2.1174381018475876,7.726882590811597,4.998070165648895,20.834427089056177,18.742762811208404,0.4893095456968881,-0.032882328952181385
3900,1.0445806137846378,2.105239938646303,7.72245448102197,4.99807284483054,21.655666419041157,18.74278782678616,0.4942532510298721,-0.08817483213733371
4000,1.0361953499515917,2.1094691486327237,7.959623319926777,4.998081376621946,22.287848738855036,18.742797649372648,0.4915715174590677,0.08925781955885828
4100,1.038941109650996,2.1103800513335957,7.964131309183985,4.998086819804846,22.327683155974093,18.742814551793096,0.4939016750274845,-0.07645435221095179
4200,1.041976931556629,2.1097197443714117,8.00866329388621,4.998091195145414,23.038433926892115,18.742860216277833,0.49577703032344267,0.0403078810902847
4300,1.022919740629154,2.0916232578182004,7.948491339365642,4.9980950323906965,23.695690251790626,18.742863400486552,0.4919522540032526,0.00867623849365706
4400,1.0311046995014297,2.0943356460531595,8.062895926097328,4.99809929494584,24.25405981374369,18.74289683647594,0.49121186210995355,0.06636329628418355
4500,1.0260678243327574,2.0913284803453274,8.188383493590917,4.998104083230819,24.562189248352695,18.742907228032855,0.4911561713794118,0.06954727988558565
4600,1.0342492197509134,2.0904287439008846,8.065363023875395,4.998108630726769,25.283388968872472,18.742936871133413,0.49621906367809904,0.038701053984357206
4700,1.033430627046225,2.0806885200569503,8.296598263889216,4.998116195918342,25.192568453445457,18.74295519698949,0.4918910420951935,0.08468491722172883
4800,1.038682388374782,2.0871592067181464,8.16034122175651,4.998120174846318,26.024320338806,18.742966278925294,0.49765451716125275,0.020794530680289816
4900,1.0310363896775736,2.0693441604266214,8.36900303349181,4.998125613482806,26.617238717035793,18.742987569126175,0.4933532345367421,-0.009013134708752535
5000,1.0349408477884663,2.084193806139387,8.416706263174897,4.998126568646454,26.688745627623348,18.74298588958068,0.4928166531169862,-0.052246663329841146
