milliseconds,sucr,EtrioseP,Ephe,N,starch,Enitrate,trioseP,Estarch
0,0.7501417592936439,2.825088143142682,-0.08581650707801777,4.997996475066794,6.122217123850703,18.742014496274088,-0.0022218738229942223,5.8901899005106815
100,1.035099883629856,2.847044993139251,-0.09163508052587388,4.9978970269183876,5.919094574107582,18.74202102207857,0.37831562389705387,6.039984292232245
200,1.375712567777687,2.818438378250543,0.18117420931047856,4.997884625245577,6.001176531988489,18.74204224988115,0.41821983957308884,5.901697089269946
300,1.5569398001797046,2.7782865578587024,0.7716094094023943,4.997880367516473,5.77156828530002,18.742065465115594,0.41896339704716007,5.264648864816039
400,1.6444316123549774,2.703943311826256,1.41843532240747,4.997884571885964,5.925171378632465,18.742093571784434,0.4276390795920778,4.75109882925081
500,1.6594147284025842,2.6362004899533367,2.0883929447248377,4.997894799973484,6.412923386485565,18.742115467673614,0.43232714835419406,4.024796055755943
600,1.6355246259717144,2.5691615650228425,2.606658814258127,4.99789993357936,6.3484154668918,18.74211425703497,0.43699814371024953,3.2774332618196618
700,1.6062700608350269,2.5161264995423696,3.320195852385803,4.9979025895910265,6.7781248177259465,18.742133061293725,0.4463548976710121,2.681129596009682
800,1.5425632797366864,2.4658911687380867,3.9915175909250964,4.9979102523506915,6.753226411869816,18.742181298404375,0.4483188735138417,2.1961673026220176
900,1.4725825318780936,2.418951528110909,4.457244862481362,4.9979126807590895,7.703878181178443,18.742185262110933,0.4584042436641621,1.6039377038092641
1000,1.4097056546698672,2.365017860813219,4.765548547896398,4.9979181849641,7.437905929485171,18.742207892427984,0.46024212637396295,1.1966245127965651
1100,1.3353333501343385,2.3242203086526207,5.252799122070195,4.997923309321296,8.27286885647416,18.742226233330726,0.4635410057205673,0.7712082296252861
1200,1.2750425067599853,2.2998492119740717,5.534425191489792,4.997927708266883,8.592421835872738,18.742248002833392,0.47002609850717436,0.4953816815656788
1300,1.212146645747141,2.269875266970813,5.882619964066339,4.997935973868712,9.10120314971018,18.742260234758017,0.46922407263752686,0.13175954682241875
1400,1.169039453440662,2.2520588680323645,6.033799095593191,4.997938923810733,9.473569604517225,18.742306591697318,0.4730858519975284,-0.07558171348230017
1500,1.1209752361176428,2.2470975882533017,6.067319011931912,4.997944599673368,9.921185015232593,18.742318785526994,0.4729452715257723,-0.01941426672581487
1600,1.1015485982196365,2.2347475040564677,6.3758457204487105,4.997954004500093,10.136525684768399,18.742322748029533,0.47719071903678645,0.022501671215307897
1700,1.0828018446043788,2.2127961149388833,6.279514602294738,4.9979575076319,10.642772983373794,18.74234944427442,0.4764032603905055,-0.01389442861084655
1800,1.0824943203541673,2.213433193900898,6.566498547403374,4.9979637476899885,11.643602890451138,18.74238789759594,0.48255976126787775,-0.04734080298104259
1900,1.0597195007646063,2.200805941621079,6.5193144144218715,4.997966212300396,11.561257821118987,18.74238726073122,0.4824900782403719,0.0035711064491969636
2000,1.0696103442719942,2.2027422478971337,6.727963905120808,4.997976592820113,12.433831298533002,18.742405927366732,0.4804146429902502,0.05387440162603655
2100,1.0671093967116123,2.1878568250480805,6.6750288821678865,4.997981666654641,12.687961130652216,18.742440147695195,0.4849392612435793,-0.03368578728583078
2200,1.063144199791209,2.1775528688609707,6.899345879035955,4.99798144175695,13.350067341042632,18.74246139827167,0.48309032305785315,0.04118849743389659
2300,1.046149440012457,2.1850449353698247,6.782129124835058,4.997992651529643,13.669649103298962,18.74246693958614,0.4837605938850181,-0.0733532162795325
2400,1.049246283301455,2.1782627424667638,7.031529880267128,4.997996067441481,14.505271144124476,18.74250771481048,0.48615425209359214,-0.001537172945932329
2500,1.0504313530744498,2.1775363412818636,6.940225544882888,4.9980021401408585,14.52077934541865,18.742515135828782,0.48260123806413496,-0.012340329770482219
2600,1.0568063610526521,2.1556898634427006,7.157016794828087,4.998005057395909,15.235487432760392,18.742531303543775,0.4852454471151548,-0.04609314726798771
2700,1.0456622254487213,2.1597802742031305,7.167527467482934,4.998013723239714,15.527064247886946,18.742553673495497,0.4856614154357094,0.04587637970929252
2800,1.0470690246550758,2.153273049143844,7.151061458673896,4.998015941486789,16.32911386215546,18.742565540952047,0.4878813483492364,0.004210024699657799
2900,1.0551827688586415,2.161295136121978,7.255030179664512,4.9980184443485545,16.673833312051975,18.742587357431375,0.4843724074340144,-0.05407746250240091
3000,1.0549124202092115,2.150044214353075,7.302413388016647,4.998024497927392,16.9749987990717,18.742606903527463,0.48810218585452203,-0.06286966492253224
3100,1.051163239120349,2.152120667194877,7.307007672011351,4.9980297034396,17.643327167216945,18.74264896892518,0.48492172055427474,-0.022926814288040966
3200,1.0485846320322116,2.146273522275614,7.496856195193316,4.998035523347289,18.330366166839983,18.742649641602227,0.4914119149872401,-0.030422840430490948
3300,1.032026805804089,2.132354333437971,7.575803024844422,4.9980406029037585,18.336477979608816,18.74267533581928,0.489275961335132,-0.07390614081057423
3400,1.0491144682756852,2.1249479008954673,7.4649204379459295,4.998047022554574,19.283104739461677,18.74270428412823,0.4900959979901215,-0.005405679518375995
3500,1.0329109284036861,2.11487999909743,7.53571396310667,4.9980524451607025,19.26927194245246,18.742705007087253,0.4906541614667089,-0.02021558822596686
3600,1.0392567100352728,2.1234325680712605,7.689276046565945,4.998055396593517,20.3716146731216,18.74273352640521,0.4898804857861563,-0.023431473075628748
3700,1.0427518027046285,2.113162969201358,7.776979296676095,4.998064063466765,20.76378197994628,18.74275884327308,0.490408265293105,0.08228351368023674
3800,1.0319114917106578,2.1045266475931568,7.715580868900966,4.998070898000518,21.18568469860565,18.742766110903244,0.49061584046861656,-0.010809214256198515
3900,1.0358139210695763,2.107666748992194,7.7340967350367364,4.998070516622808,21.77091531406881,18.742791694952672,0.4923005762180268,0.03839770172971135
4000,1.031742627475847,2.102528866919623,7.864480743747432,4.998082272258484,22.180179092120355,18.742814632130976,0.49112907518704385,0.013250044507586052
4100,1.026802507235853,2.0920347095202434,7.9826030703452675,4.9980829333944,22.337135903642455,18.742831595228765,0.49404282823493645,-0.04273814731622962
4200,1.027153201611732,2.0974406595609305,7.948326844492783,4.998087793578771,23.039537449913528,18.74285323135925,0.4899852706372062,0.05231639670279128
4300,1.0257867668346288,2.087848793390288,7.930665391270574,4.998093166913023,23.638655962961703,18.742855672031922,0.49098507433760413,0.0714345124081068
4400,1.0414020472303538,2.0923667359204803,8.14772317686,4.998100779766456,24.015251657372346,18.742897721999398,0.4960550717862588,0.07616616765197681
4500,1.0365766191438675,2.079147711776742,8.194489541652544,4.99810548830343,24.5531954831718,18.7429074374928,0.4942978086727479,0.0604762048445894
4600,1.0204325040793831,2.0816688491622433,8.085754122168753,4.9981064098520855,25.15804061747681,18.742915133411934,0.49617296408511097,0.01668844347885244
4700,1.0252884296596676,2.0882985341640214,8.221275068557773,4.998116911385513,25.82377431412697,18.74293630360294,0.49238011742945,-0.07181737729782389
4800,1.031430205417585,2.0737828187012823,8.335412608479565,4.99812308040644,25.871521736780885,18.742954834947643,0.49563483531371044,-0.02554410828721603
4900,1.029956275787222,2.07692122625565,8.239544575953992,4.9981235335108165,26.49162463647988,18.742978710804277,0.4961444934610272,-0.05708483074271992
5000,1.0299469098170222,2.075654080694112,8.345770829928647,4.998132652897195,26.913307210137912,18.74299095014552,0.4943113699166908,0.07069060623536413
