miliseconds,sucr,EtrioseP,Ephe,N,starch,Enitrate,trioseP,ECO2,Estarch,ETP,M1,M2
0,0.05131199748265459,5.970505363550884,37.97915620220007,4.999999999625242,-0.2842965538006237,18.75000000088608,0.009869438069299886,2.762669265773352,54.94580190798642,1.2316877305683517e-05,-0.020017662718232004,3.3365746859240235
100,1.3976597418278802,6.098011533611049,38.8990873383372,5.000000000144052,0.85799305058442,18.75000000123637,0.5599498912481061,2.720502820747451,56.559516042375265,-1.7162632745018987e-06,0.09533177687207772,3.257335274802937
200,2.9788635532273955,5.975181809396644,38.50908854745451,5.000000000929855,1.590719916765,18.750000005837382,0.5579229790837161,2.625282054554842,55.59427704609608,1.8017639377860252e-06,0.09636352283222754,3.212985255331088
300,4.2583741407165165,5.721974860457038,41.51834445577597,5.00000000169349,1.430459743389861,18.75000000846985,0.5497538356699454,2.5242250519868334,52.23244274940191,1.5466451106220914e-05,0.13100625057463167,3.1863292113907407
400,5.373852049696513,5.299039873236364,46.60868539075277,5.00000000273152,2.0533034030805055,18.750000012139605,0.5306450996356533,2.402614177233157,47.49654286424846,-1.0246591288232244e-05,0.21256979974195322,3.1073697767066757
500,5.907864952110788,4.730001462681302,50.396985230509905,5.000000002606913,1.62264562049847,18.75000001168921,0.5510636298611249,2.3330628347983082,43.85672651100455,2.323525236536699e-05,0.2647944203834542,3.019816842145301
600,6.339356691966793,4.214370140132776,55.72443518361435,5.000000003330625,1.7776678704703537,18.7500000144752,0.5504584886819444,2.1857383574341345,37.70753674111892,-4.2411797694276245e-06,0.30758514930787395,2.994029831255186
700,6.53240641519291,3.823875561935658,60.63708435321274,5.000000004154631,2.5698960190548825,18.750000017760605,0.5733841871356732,2.078627013743495,33.54633118339969,-5.987962061127383e-06,0.386587620490296,2.902088328373665
800,6.478683255589014,3.1844492545647505,67.72540274141708,5.000000005472263,2.888355531786642,18.750000022724027,0.6226275575684751,1.975113563501771,27.23277056943887,-3.8100051102362994e-06,0.48755461230569397,2.9015418169443588
900,6.306154170350106,2.676511219667081,71.95955634166552,5.000000005450387,2.774143639706717,18.750000023149678,0.6406973461763081,1.892312568971668,22.040486372332545,1.583675778973594e-05,0.5540565533353417,2.8663698524453727
1000,5.93495656550939,2.0998075587568725,76.68776677530921,5.000000006345511,3.102450342281939,18.75000002535087,0.6706946360377627,1.769449277744704,16.673468056089362,2.641612212666852e-05,0.5907248462077935,2.7852146550405084
1100,5.564559202395483,1.6689597413966295,82.3945348842375,5.000000007132495,3.8358246597633237,18.75000003077551,0.7117238693836969,1.6271182615347146,11.134045412756375,-9.59584618580785e-07,0.662716248538883,2.7552028071910435
1200,4.975161511795205,1.2883309535229095,85.59973019536172,5.0000000076065785,4.763800590924596,18.75000003045288,0.7659965676914192,1.4756521486112542,7.436274176450962,1.7941225419739776e-05,0.6700525552983301,2.6873563892301546
1300,4.302691790637732,0.7943857823248299,91.03102440498573,5.000000008203128,4.989503090759342,18.750000034824865,0.7921707715035585,1.3112967330721874,3.382880163759447,3.0163695640403546e-05,0.7590781607352973,2.5897239324258963
1400,3.551609567034559,0.5229880758037645,92.53853536027184,5.00000000900698,6.306216958512375,18.750000035803644,0.7893230248938443,1.2149080386956435,1.0165894321436113,2.8139520338865348e-05,0.8161184883527121,2.503115684118713
1500,2.7805802514948232,0.3629965168035797,95.28584629452911,5.00000001003681,7.228657991575799,18.750000039899522,0.7310740618767867,1.0614449538800825,-0.3159468497885741,1.9961681714916977e-05,0.8789336907881186,2.4924634029373487
1600,2.2349744709730373,0.21631966540369885,97.75357230164548,5.000000010934759,8.154879395120133,18.750000043281958,0.6533408161263495,0.9343945721845287,-0.3245114739672483,5.1553132800238145e-05,0.888473493463496,2.4722429117756293
1700,1.7081529681921828,0.11763407764573777,97.09337115134913,5.00000001119513,8.797216429468348,18.750000045393385,0.478048927658113,0.8416448650815765,0.8117274393699371,4.761078429870805e-05,0.9358999209174446,2.3675879987885473
1800,1.2664218839266703,0.02504189193683248,98.90147763017703,5.000000011979864,9.926823516756238,18.75000004686636,0.2535975898945898,0.7548560479934328,-0.717658081848167,6.412920199096173e-05,1.0536152129848682,2.2991102559148375
1900,0.932480867851385,0.05351367548691061,98.08282459636312,5.000000012276021,11.341223529362507,18.750000048524846,0.010730660908402623,0.7175043554959367,-0.26215135854222404,6.024989062934057e-05,1.1030465013602284,2.2798264926188514
2000,0.7651733055120769,-0.00646716559073085,98.89358385284584,5.00000001301871,11.834756875468912,18.750000052718676,0.0024367257803136495,0.7277411570041973,0.8490378113765078,7.208397852190765e-05,1.1098679267900708,2.197642647936454
2100,0.4996127011737854,0.17051573283624777,98.73761932517056,5.000000014263391,12.267558983522648,18.750000054663985,0.014610738714861876,0.7275488002323139,0.626352924252977,0.00010249134407536036,1.1513246416172827,2.1555792123881097
2200,0.5612601411127692,0.052071036683059985,97.27018443376436,5.000000014421133,13.132651781558812,18.7500000559361,0.002576924334037556,0.7805432553557321,0.07570377773170289,0.0001100277392549931,1.2680723361235482,2.065148126131472
2300,0.5585425565940529,0.1410029304573279,97.5103370999063,5.000000015601708,13.638280632368678,18.75000005905437,0.014354899334380129,0.7943368297034813,1.7003044279634332,0.00010229696569791401,1.340450088200204,2.0552243228905156
2400,0.6732717192871339,0.1777610695016507,97.46841697866682,5.000000015709241,14.061621445885441,18.750000063575804,0.012225556912790776,0.7724194748242119,1.2923273894088212,0.00012865932325309567,1.364336787212651,1.9799445346194795
2500,0.6428838436492792,0.253251382848914,96.6190346029612,5.000000016972933,15.104196572490078,18.75000006520106,0.018055214957484068,0.8176537569578524,2.3799642434465165,0.00011719097970579762,1.3914976531369145,1.952212813367357
2600,0.8239556442831427,0.35111647425426556,95.30960817160744,5.0000000175427255,15.654109986540355,18.750000066240077,-0.00944997714264428,0.8093265987136847,3.210314886063737,0.00014114196692757206,1.4526894517184878,1.8716611511354246
2700,1.015631867580057,0.25314663101802437,96.11504240257987,5.0000000183353706,15.481020485228282,18.750000069915238,-0.007332107654509683,0.8338810196604491,3.277672551870145,0.00017211668789060127,1.5650877624618953,1.8291113638021206
2800,1.0777328257749903,0.34560297551827074,95.85820172790207,5.000000018523314,16.415292939996792,18.750000073640344,-0.008337577642950362,0.8016771586839869,1.818506660709385,0.0001512736571180138,1.5854545006339609,1.7417622875012446
2900,1.0311169121361263,0.2937433056794162,96.04646903138268,5.000000019016186,16.168177899341433,18.750000074823806,0.01905001117931359,0.8199615765359685,2.1892809655258483,0.00018754367803069632,1.618853980165976,1.677532291251314
3000,1.0848020578633313,0.201101735981784,96.26433997251505,5.000000020116404,16.718473311329472,18.750000077761364,0.0011857403198806404,0.8267477478855075,1.6606106155513736,0.0001923826823448361,1.734893667486395,1.6859366413193255
3100,1.1049270085380354,0.3315283096652807,96.08299764930595,5.0000000208215125,17.461432834211458,18.750000078759044,0.0071284381375102445,0.8211374722215937,1.2314867409853476,0.0002047453259711373,1.7872488786825969,1.5683023558670446
3200,1.1160378950334708,0.18217096143241412,96.1403923910488,5.000000021102358,18.192231438425793,18.750000082509313,0.0007279781694047626,0.8226729387108435,2.0412741819473217,0.00020957177838573838,1.8379843800986688,1.497207268687698
3300,1.0963828401165536,0.24783345495251316,97.49275138352806,5.000000021659952,18.54535854533784,18.75000008330406,-0.004127588608773524,0.8419411288402506,1.6193137116233698,0.00024510639585872913,1.8739698485332192,1.5014037922651842
3400,1.0429067988017877,0.20820780388460375,97.69017791983121,5.000000022483015,19.614634423604503,18.750000086980826,0.018958878038792863,0.8933782817191562,1.0489663636773146,0.00025891296587439677,1.9382564561961118,1.4014457275061922
3500,1.0857270172169082,0.21708373292729694,96.37457409133569,5.000000023028177,20.253082075311003,18.750000088270934,0.019291780419560214,0.88230617518401,1.851507279128076,0.0002940697266229947,1.976339581726474,1.3684783363335615
3600,0.9466369541291326,0.1796816999009042,96.53205640682948,5.0000000242000056,20.09359090108188,18.750000093242285,0.0067640115732413185,0.8757475791141257,0.5476658377794557,0.0003089753647888056,2.014531392899348,1.2853114785887432
3700,0.9269089012356295,0.22814909272589415,97.72064321042096,5.000000024297142,20.814627753706112,18.7500000936549,0.006808713633785455,0.9200684874135833,1.316867319149759,0.0003606223715646332,2.091245596919696,1.246706059255667
3800,1.0528935892437856,0.25693551372471923,96.35539303006628,5.000000024960494,21.631086389797506,18.75000009623644,0.005353995358058201,0.929412123519431,0.9941823202666807,0.00039747543844760895,2.1582557548756798,1.1700748716373366
3900,0.9737547568324675,0.27435696312206537,96.63465079766037,5.0000000254773305,21.964894417279996,18.750000099595866,0.0015677229639894739,0.9089617640810824,1.0744736232278764,0.00043629287273533925,2.1867620194546498,1.1063813467291086
4000,1.024469415319446,0.1264316731741249,97.92319952785564,5.000000026861289,22.852970924446375,18.750000099538653,0.007490511460951877,0.8953735241459111,1.5025156583102468,0.0005062966783646504,2.24737136302292,1.0673217460912208
4100,0.9928429166972962,0.20414088948037792,96.35015607478294,5.000000027078174,23.56689183217781,18.750000103210734,0.01646438319524541,0.9482090277387977,0.6888738524660926,0.0005710696933504826,2.2999587701795345,1.0770684889527151
4200,0.9832121666856624,0.14084673329328024,98.04995482663912,5.000000027736842,24.00790707618588,18.75000010685804,0.008613303630247461,0.9235926502971123,0.3714348993479514,0.0006360175357221808,2.389620845190773,0.9745493583548185
4300,1.0688589673294213,0.28779723167492044,97.48946132908523,5.000000028936652,25.2294637967429,18.750000108642006,0.03313764691857088,0.9341689958500173,0.8086325718912228,0.0006883616605073451,2.4482461951962806,0.9480037227975103
4400,1.030721647969585,0.15641282994308567,96.68615869129164,5.000000029069302,25.628596833423153,18.75000011030056,0.012440526194933832,0.9381847988542714,1.2146234053202927,0.000783439560038261,2.45003138345919,0.8974198503550991
4500,1.038275712281069,0.10807109246437602,98.18896921249048,5.000000030056553,26.119952244202647,18.750000112162834,0.013898355029594675,0.9520688388973707,1.7615773068540714,0.0008584571725438507,2.5032482482546605,0.7866295000154806
4600,1.0787771349349458,0.23492625260146824,96.58168405118558,5.000000030026104,27.251519990009186,18.750000115550947,0.01711286632075578,0.9777648469402986,0.9579483089769358,0.0009606788433895153,2.5854084917163442,0.7464334837392296
4700,0.9965457663467377,0.25908270428797975,96.9819590646357,5.000000030989538,27.12993023157196,18.750000117654146,0.04440521921144555,0.9755356790708236,0.8625258747600166,0.0010775650776648103,2.6551171954168034,0.6712379747288484
4800,0.9285614825784875,0.10766151815406726,96.94011180246471,5.000000031667077,27.979413599628845,18.750000119065394,0.02796254926708619,0.9612041605438594,0.14456440363377587,0.0011857849099493269,2.710288557054977,0.6858383818653317
4900,1.0205944742250228,0.0995376813252391,98.32630050669543,5.000000032570291,28.489826501698357,18.750000123834422,0.03950154555996236,0.9405945740119139,1.0312100294055884,0.0013495759434772872,2.730332449244804,0.6009412474192902
5000,1.070985493669179,0.2274095294652207,96.4853483246065,5.000000033416685,29.23246928915773,18.75000012480973,0.05753492359432539,0.947137771616049,1.567264125334369,0.0014920824003278551,2.8024419841929875,0.5727371351943338
