miliseconds,miR,miR_gene,miR_gene_TF1,miR_gene_TF2,Signal,TF1,TF1_mRNA,TF2
0,1000.000909629367,1.9907645716132425,0.0,-0.0042831664274786485,0.0,0.0,0.0,999.994369425745
100,999.955535880292,1.9890440379573173,0.0,0.021628967153504465,0.0,0.0,0.0,999.9855850024338
200,999.9031969303383,1.9600094477840957,0.0,0.02911222978597315,0.0,0.0,0.0,999.9681530862484
300,999.8615465622714,1.9403679323980085,0.0,0.061801757730426204,0.0,0.0,0.0,999.9342750991256
400,999.822594890859,1.9214149857834557,0.0,0.08870380455098073,0.0,0.0,0.0,999.9114615535555
500,999.8185579751157,1.9071070456860089,0.0,0.10736040049780154,0.0,0.0,0.0,999.8994188921781
600,999.760532950673,1.8906199338646865,0.0,0.12171301268183887,0.0,0.0,0.0,999.8761474577649
700,999.7080808883115,1.8552315947470912,0.0,0.13970308869714593,0.0,0.0,0.0,999.8627757701545
800,999.683029940103,1.8406487671579415,0.0,0.15063774574553646,0.0,0.0,0.0,999.8553190581277
900,999.6624868536221,1.8261845513119481,0.0,0.17100693417859655,0.0,0.0,0.0,999.8347982878125
1000,999.6408338611774,1.8127855988920891,0.0,0.1951014136659122,0.0,0.0,0.0,999.8147625598594
1100,999.6045486617663,1.7964010936054002,0.0,0.21587023888349707,0.0,0.0,0.0,999.8004056877314
1200,999.5384178150005,1.7720358571128245,0.0,0.2214367295501232,0.0,0.0,0.0,999.7714047226103
1300,999.5001055099347,1.7555678147705998,0.0,0.2511288712768812,0.0,0.0,0.0,999.759087154509
1400,999.4953831881953,1.7374684670670217,0.0,0.26531734129599577,0.0,0.0,0.0,999.7371875521701
1500,999.4320049895994,1.7321483688612909,0.0,0.27597098459057734,0.0,0.0,0.0,999.7201348191742
1600,999.3939401894662,1.7101422297690487,0.0,0.30561450315889527,0.0,0.0,0.0,999.7025796843607
1700,999.3879250877517,1.6897140984964578,0.0,0.3028680808518883,0.0,0.0,0.0,999.6783535730789
1800,999.3342566775391,1.6742504392049593,0.0,0.3340336036050999,0.0,0.0,0.0,999.6731953773055
1900,999.3147812520982,1.6567642388482549,0.0,0.34240472795530347,0.0,0.0,0.0,999.6622195058733
2000,999.2673225943346,1.6484959285095404,0.0,0.353323717500053,0.0,0.0,0.0,999.6274054883513
2100,999.2622145222282,1.6300694217170777,0.0,0.38387672481560065,0.0,0.0,0.0,999.6305482216317
2200,999.1887961985761,1.603359847196434,0.0,0.3849227520889129,0.0,0.0,0.0,999.5964389864993
2300,999.1917805648064,1.5880778056862324,0.0,0.40469872464219875,0.0,0.0,0.0,999.5966346394946
2400,999.1375745173053,1.5736845449040406,0.0,0.4295295438054253,0.0,0.0,0.0,999.5801035928715
2500,999.1318329451959,1.5627673306991587,0.0,0.4350011812973316,0.0,0.0,0.0,999.5673561124385
2600,999.0858250224344,1.5520144617641825,0.0,0.45554576028766164,0.0,0.0,0.0,999.5366960680661
2700,999.0756618919804,1.5389494559233146,0.0,0.4611540338356577,0.0,0.0,0.0,999.5165752301094
2800,999.0104894032228,1.5118680830760651,0.0,0.477287680833816,0.0,0.0,0.0,999.5080218689924
2900,998.9877923714952,1.5044430074405597,0.0,0.5039562762063127,0.0,0.0,0.0,999.5004158882483
3000,998.9495548691204,1.4848407905298049,0.0,0.515954489398119,0.0,0.0,0.0,999.4915955386806
3100,998.9394652418569,1.477214835305306,0.0,0.5395742455041623,0.0,0.0,0.0,999.462236513826
3200,998.8941827861739,1.453014723476646,0.0,0.5516887779199562,0.0,0.0,0.0,999.4587465157178
3300,998.8558911678017,1.4433008487987034,0.0,0.5578951352389014,0.0,0.0,0.0,999.4379840437779
3400,998.8316909193875,1.4305397817918357,0.0,0.5794285030466502,0.0,0.0,0.0,999.4294691132287
3500,998.813000560104,1.4012878193488965,0.0,0.593835312619858,0.0,0.0,0.0,999.4079157825586
3600,998.7868338646502,1.3893449332626384,0.0,0.5924528800758487,0.0,0.0,0.0,999.3871138042026
3700,998.7481332546198,1.3833750459163332,0.0,0.6157853705183075,0.0,0.0,0.0,999.3812857770034
3800,998.7174500468985,1.3675216279821698,0.0,0.6376720723382884,0.0,0.0,0.0,999.3603246587238
3900,998.696039643654,1.350906271837372,0.0,0.6489905092367134,0.0,0.0,0.0,999.3458541715439
4000,998.6969745110924,1.3412483985525048,0.0,0.6613134207748056,0.0,0.0,0.0,999.344995800363
4100,998.6454801713194,1.3233126646241868,0.0,0.6624339709042459,0.0,0.0,0.0,999.3348814686098
4200,998.6274786007552,1.309423333737857,0.0,0.6823696138018398,0.0,0.0,0.0,999.3103844181626
4300,998.6191771703649,1.2993458409732586,0.0,0.6868431107288621,0.0,0.0,0.0,999.2973345244167
4400,998.5949745104245,1.2886562676173392,0.0,0.7162058000235517,0.0,0.0,0.0,999.29218493378
4500,998.5506933262229,1.2757215695698256,0.0,0.7306728763010494,0.0,0.0,0.0,999.2841779956054
4600,998.5046904116531,1.2617405012208294,0.0,0.7273242627681561,0.0,0.0,0.0,999.2686721280045
4700,998.5125124878772,1.2415340608041272,0.0,0.7405000643445896,0.0,0.0,0.0,999.2481545326544
4800,998.468162393808,1.2475343847726497,0.0,0.7699899673684033,0.0,0.0,0.0,999.2334186219939
4900,998.4619206776254,1.2175348630967107,0.0,0.7705292551109674,0.0,0.0,0.0,999.2247812707122
5000,998.4408219842709,1.2036839198307254,0.0,0.7785445203713166,0.0,0.0,0.0,999.2190036352905
