milliseconds,T,T_i,V_I,V_NI
0,180168.6049878912,1670.983825187711,134206.17752821706,30.745630027616674
100,179286.04524531183,1665.158907908521,129863.33915602246,3505.3502423545847
200,178932.61413604263,1668.4731818571306,127277.28505276078,6130.363469308057
300,178474.8297116199,1656.967241601825,125800.87283469703,8038.138346971568
400,177144.62643505886,1648.1272732445925,124088.55406513003,9400.17900313963
500,176905.96971842175,1641.0219390577981,122397.28190639669,10319.52564794198
600,176686.02750358987,1648.443478443747,121712.6081125096,11160.70098343206
700,175786.46475104248,1635.2239669849525,120789.05278898077,11559.942395986083
800,175234.0034376374,1616.3822342730432,119360.54261284563,11894.975888062767
900,174869.79354398104,1618.8815795682335,118907.27273053517,12222.886949562717
1000,173617.95571825968,1605.6661408311688,117825.10332795655,12376.471385497942
1100,173434.67280551433,1586.7176642435652,117674.14284999746,12571.092585101855
1200,172980.87667413856,1585.583411499322,117057.43017673229,12582.559400682929
1300,172501.42091579578,1571.572295378679,115316.48861856453,12601.651005623284
1400,171198.10723326803,1558.271577304421,115022.04529164212,12508.863219971616
1500,170784.55966498263,1559.6923858136063,114735.205633803,12486.575607402096
1600,170589.88929757223,1545.826154058983,113568.67669663917,12529.269466770897
1700,169694.56919678667,1537.0983407551396,113401.7075150396,12544.857561757708
1800,169187.17227775164,1516.2672806007422,112378.80454093455,12395.639932633532
1900,168874.43844938764,1512.4388803032427,111161.1941518656,12351.40082706674
2000,168036.96197844076,1496.629439748555,110292.42115097956,12341.812867632418
2100,167426.68896383568,1491.2740924457132,109941.33020998351,12263.0358353481
2200,167249.6924515111,1469.544334983965,108852.13166195063,12050.27203599808
2300,166547.51830074182,1472.5471820369512,108081.76412289105,11884.98614749106
2400,166136.51560383514,1448.369715991758,107121.57490714628,11833.899002826707
2500,165239.21100730513,1446.6943786048782,106413.84889656887,11909.696730652058
2600,164813.08047228763,1422.9920579330533,105878.29785014993,11687.560583707873
2700,164170.63219119498,1414.4794510046513,104841.97500956651,11649.972203856558
2800,163694.297194992,1409.3435878624218,103484.1750213355,11605.532751215438
2900,163373.8499824023,1394.4502113754265,103678.68195313998,11508.50637944729
3000,162314.3333155387,1381.6688523962994,102281.92332885081,11388.217562727636
3100,162272.823104145,1365.4660216995599,100828.29856886531,11175.391517452199
3200,161375.8389904828,1353.3201415774683,100000.6799312876,11264.85770350895
3300,160880.23076405982,1346.2411437348908,99942.83230831953,11165.566916570535
3400,160306.09482338923,1329.0211814369259,98812.71666953016,10985.20677064772
3500,160110.1681086339,1320.1017293385992,97781.08342342873,10855.434135471629
3600,159698.18445282793,1305.1340467996358,97585.1591051159,10772.266019179517
3700,158602.22859886094,1303.9871056380223,96784.22253891845,10730.463547543743
3800,158678.01639798054,1281.093589604358,95273.20065565906,10598.575928190554
3900,157392.66316322653,1275.6524719246188,94259.56167679929,10544.799018763135
4000,157101.1977029898,1251.0714482814462,94218.0504810082,10490.767172061946
4100,157064.8117247416,1252.4621542565635,92744.60658042485,10309.263834603364
4200,155901.30514210835,1227.4129228922015,91499.78087023975,10131.067118955292
4300,155624.31963558117,1225.4999754985492,91234.79268327572,10043.857453138971
4400,154906.4544688199,1210.4334199784787,90146.37614663274,10046.365423859932
4500,154344.76180572048,1189.663109233113,88538.08368608207,9861.603223825465
4600,154599.19047577874,1186.963273982122,88423.93028378364,9750.440149631631
4700,153851.8880391885,1175.2288166361152,87009.4219192123,9809.77933762917
4800,153542.66519844596,1157.1278370632156,87087.33896305856,9702.782567686134
4900,152920.94483035424,1144.2246970464912,85020.57751934603,9496.32632762142
5000,152100.66712244682,1130.959616548449,84486.82949992444,9327.939712486497
