milliseconds,S,I,Z,R
0,499.9728811576601,-0.016021979071258203,1.0035344855264399,0.020836654589220044
100,499.64906138715037,0.38366100028612815,0.7408744754257105,0.21044699792944446
200,499.3223563513888,0.7036502048209395,0.5451201322425293,0.39239623807997553
300,499.1231540065808,0.9159869881676393,0.40548676818687535,0.5149328911924297
400,498.9928044864539,1.1306388047684117,0.31050515328917333,0.6302071948784479
500,498.9022882012518,1.195925865567388,0.2491126156675016,0.7065152380851751
600,498.7796194824418,1.307178314492442,0.19391424065394444,0.7397826910386676
700,498.71827160893207,1.3868129894691246,0.12666934303155894,0.8073391482767317
800,498.69711897426333,1.4063808752560512,0.12207258541704566,0.8241322879065172
900,498.61885989533147,1.4833534919944775,0.0775078645619925,0.8492285749511925
1000,498.61427742771303,1.4724576336040414,0.05772031186216339,0.8576328319137496
1100,498.57009758645216,1.5104194916631455,0.05473103390231713,0.8857991736008829
1200,498.5802294849793,1.5749031497194745,0.03913312479183237,0.9140595230667626
1300,498.50408965729605,1.5657838182014514,0.04002728228850337,0.9214271582618841
1400,498.5180507274254,1.5533559181569119,0.025775525303485175,0.9178424972684629
1500,498.52638699507946,1.5748213982215384,0.029398278703541898,0.9704824782392114
1600,498.48616406785067,1.5541342521659585,0.02079038732579874,0.9844175812513569
1700,498.43901508534884,1.5658438075872432,0.04617289931963022,0.9655902096902631
1800,498.4611788688631,1.6304011465832429,0.041290916339329076,1.0026976933382066
1900,498.4683686342843,1.588386074919289,0.01930783981964553,1.0295496815789535
2000,498.4234972400508,1.641512870495035,0.035884084405988864,1.009053904799465
2100,498.3961378764936,1.6482125704996837,0.018668207010213836,1.0080523932645005
2200,498.38797353751187,1.6146660464438218,0.03724422539214202,1.0505270897639603
2300,498.3756608960291,1.5964006584612813,0.03813599048780263,1.065540463046799
2400,498.3860805107359,1.6537534312801323,0.03593986489178893,1.0823994878243417
2500,498.369844439155,1.6608073759435842,0.011872562854823195,1.1001838533755317
2600,498.37679967651644,1.6245748270999392,0.04550124603612205,1.0913874090855369
2700,498.33914705610675,1.6589030112728222,0.013679126393573307,1.1062259727289019
2800,498.37060717084563,1.6413589274451281,0.010066356437172953,1.1203106873090145
2900,498.3435998355948,1.632060509906723,0.022181076576527754,1.113127581094014
3000,498.31913171346855,1.6740275626982393,0.025168546523931294,1.1664195651299714
3100,498.28874335131854,1.6520950183415064,0.04103539143521739,1.1488323237759166
3200,498.26191632470847,1.7076850511843003,0.03209800477536745,1.1745527188777596
3300,498.2508162872975,1.6598488371558284,0.02877020367861677,1.1674498747066488
3400,498.24034953470726,1.683834127752706,0.026436029304931948,1.1745041209394238
3500,498.2785564764154,1.7152611725665787,0.03175938388862482,1.1781182030977433
3600,498.24647149303047,1.660188045505766,0.02428398807948329,1.2330171785404114
3700,498.20325949045053,1.7058633690720404,0.01525519262803731,1.216638190373972
3800,498.23447220432706,1.7244145926402485,0.027389613824833448,1.2349158377734812
3900,498.24947690547475,1.6990859744569573,0.04379554033774156,1.2682183218640966
4000,498.1847307405904,1.7111554078707714,0.04260745957692393,1.278523337405842
4100,498.19644586503205,1.6954909120937591,0.036953234643114063,1.2488146447738564
4200,498.19664700958384,1.7165115234579413,0.013959575744640405,1.2760320926498137
4300,498.14831465601736,1.754539186003488,0.025394710517036186,1.3023686232658687
4400,498.1677287991014,1.746056565956741,0.02519129390262652,1.3201518691832113
4500,498.1298667066759,1.7584116128255076,0.03807853877962833,1.3417507701658644
4600,498.1529762150954,1.7309123530911008,0.025875668652968593,1.3530660953258182
4700,498.09372391779294,1.7716485475133186,0.041336041300679506,1.365262694297832
4800,498.09491754716265,1.7496803285171847,0.03000782818917996,1.3356003800316048
4900,498.1290940431263,1.7802573292528026,0.046860798919713606,1.39354780720646
5000,498.06948584760204,1.7918290540650095,0.025531610899906083,1.388389138637778
