milliseconds,u,v,w
0,0.09972674257530018,0.5452231104371382,0.19993200940874237
100,0.09834701099781143,0.5656449847401234,0.1999301984405704
200,0.09656990649648362,0.5632090975719402,0.19971015834585987
300,0.09525330845633732,0.5691344166491235,0.19969188374738547
400,0.09455633185819551,0.5768598584308549,0.19954770588998066
500,0.0916643667500614,0.5912994354756547,0.19947187781025702
600,0.09044237637254708,0.5983580984246678,0.19900694005257974
700,0.0904689076820742,0.6008889941062436,0.1988988052421904
800,0.08936232510464982,0.6115628872417528,0.19893223005173707
900,0.0873749782620758,0.6078258621456272,0.1989539978347643
1000,0.08617012887409485,0.6217432508444344,0.19852874771831505
1100,0.08584955247296258,0.6259437817163714,0.1983313394587125
1200,0.08274490198976533,0.6429728348246831,0.19849919346883266
1300,0.08175924931026994,0.6453232222231206,0.19837633533564122
1400,0.08044068849791623,0.6550632466626998,0.19804771982518452
1500,0.07834038803793422,0.6523094133580453,0.1978059214852666
1600,0.07915845806985095,0.6626273649706871,0.19791035448353042
1700,0.07745747176038659,0.6618353553661613,0.1976684918911349
1800,0.07481837326939414,0.6774380182231183,0.19752043357398336
1900,0.07574540833025314,0.6790141951064637,0.19758219276400532
2000,0.07377985732173183,0.6868235891625585,0.19717704864599153
2100,0.07260499956112212,0.695024348635946,0.19719159608665698
2200,0.07222936846537001,0.7027251624980919,0.19704235289604186
2300,0.07138441235994529,0.7087089523729788,0.19666754971173925
2400,0.06861495308224919,0.7195056895329687,0.19651454962278045
2500,0.06893879873391165,0.7240270250393164,0.1965474147805486
2600,0.06706568356575983,0.7220039460880373,0.19656083222745313
2700,0.06673028940202164,0.7251646999978966,0.19643560357584472
2800,0.06387365792650918,0.7328847363917951,0.1959565240326547
2900,0.06484519127116858,0.7465402617652067,0.19586842776286328
3000,0.0623102918059945,0.7502497481956487,0.19574315776305967
3100,0.0629124127742175,0.7452916532628011,0.19583948691915593
3200,0.062054024537213454,0.7547071403507747,0.19565762237427362
3300,0.06061432395058564,0.7569159440791168,0.1954438533223274
3400,0.057875335037128335,0.7651005023239092,0.19525284434823154
3500,0.056541380499596526,0.7684010158691841,0.1951278203379199
3600,0.057171448309757476,0.7820424319388849,0.19488417556691834
3700,0.05476928769042604,0.781435498845477,0.19501981572389512
3800,0.05618706104974519,0.7770705564960779,0.19466771921705797
3900,0.053342674232650183,0.7816484219723584,0.19452631732712256
4000,0.05352468948270537,0.7876579770038492,0.19457726332971348
4100,0.052123850042613024,0.8010466959718706,0.19428259638327183
4200,0.05048267131102361,0.8053663991299166,0.19397139768682156
4300,0.05129269576391463,0.8017894046964533,0.19394417414627135
4400,0.051099231717672965,0.8093539570423439,0.1938073191218617
4500,0.04837016176794654,0.8196818962508211,0.19381717127774511
4600,0.0475995346704621,0.8175505808377119,0.19375490070480253
4700,0.04849324961935712,0.8234239127389308,0.19344170798980123
4800,0.047159270871045565,0.8333323012949161,0.1932367694250672
4900,0.047885803658763916,0.8286751850708364,0.19334288308301215
5000,0.04495883072446846,0.8279692775865085,0.19288251599397035
