milliseconds,T,I,VI,VNI
0,1000000.0,1000000.0,10000000.0,1000000.0
100,1093900.736319625,1005547.4724756324,5619907.271747122,636679.6398246428
200,1250168.0804069582,973678.8631184982,3213810.4476192715,435783.65392535145
300,1462650.8031626903,923753.1040732962,1887701.8120031222,321786.9643294687
400,1732224.040614955,865926.8045660441,1152753.4376603635,254438.73775800175
500,2063538.2973747847,805881.4092813723,741631.8320541101,212296.14909131953
600,2463669.5007172516,746874.8109722754,508194.6239346567,183962.37904078607
700,2941400.8180716503,690759.9067281422,372553.8624109858,163394.2463344559
800,3506688.5637275404,638541.9080848271,291042.84773014666,147393.15019658752
900,4170116.6146941115,590705.4809603743,239788.0652402001,134264.57046514205
1000,4942237.25834883,547415.2321277766,205726.1132428956,123104.33592170668
1100,5832742.603075609,508641.3840761243,181694.2192874726,113420.56119123861
1200,6849449.705217618,474239.2261728477,163748.46206488484,104934.73011241316
1300,7997129.490074686,443999.2932957342,149699.98671717447,97477.95167171836
1400,9276267.493873427,417678.5638334351,138317.86929712107,90937.51450238742
1500,10681909.251259938,395019.71462474985,128893.48583632476,85229.56420079149
1600,12202796.305662876,375762.544613449,121003.96369111048,80285.43337533619
1700,13821020.773895457,359650.6281147866,114383.47815820813,76044.88950269381
1800,15512378.410619635,346435.1095267345,108852.8083100718,72452.8338327295
1900,17247530.244607735,335876.92586032115,104281.9646250716,69457.79231639465
2000,18993890.964235336,327748.08106723096,100569.08019077651,67011.18213756553
2100,20718007.83462876,321832.8660323904,97629.27265499817,65067.032018502796
2200,22388076.166605763,317928.6583716666,95388.71407329482,63581.921248660954
2300,23976212.906682935,315846.8705486755,93781.24412757317,62515.00760876851
2400,25460122.75489611,315413.42205691297,92746.97596354844,61828.11774110475
2500,26824029.52576795,316469.63787185616,92231.42302921816,61485.85432723222
2600,28058783.677120134,318872.12921209395,92184.98424991805,61455.683758011735
2700,29161323.623442814,322492.63331755303,92562.75741412633,61707.97068863538
2800,30133716.24989304,327217.65449134784,93324.39996303036,62215.97352596751
2900,30981964.25367772,332947.7466671995,94433.93715184179,62955.79584216101
3000,31714812.846324902,339596.6166156816,95859.56221242217,63906.28405910187
3100,32342646.26031145,347090.128478075,97573.41544114226,65048.89050503716
3200,32876545.13090925,355365.3265863819,99551.32936905313,66367.51988028131
3300,33327582.35248306,364369.23325470893,101772.54143453803,67848.34211323955
3400,33706466.5424072,374057.64640618785,104219.35486977008,69479.56067699526
3500,34023166.42824783,384394.2826673923,106876.84773697979,71251.22690055666
3600,34286681.79855692,395349.90036826435,109732.60343525009,73155.06552250992
3700,34504994.18992412,406901.38669104915,112776.43657578774,75184.28892391972
3800,34685103.966116205,419030.9397134659,116000.12317575733,77333.41462239553
3900,34833080.37131684,431725.40099186014,119397.15834746225,79598.10529951144
4000,34954128.188327596,444975.7105058723,122962.55763455006,81975.03779294065
4100,35052661.674226925,458776.34749999206,126692.65310698083,84461.76760802441
4200,35132406.202943064,473124.89518796495,130584.9360244754,87056.62263673956
4300,35196495.61699721,488021.60907097964,134637.91550480985,89758.60902123677
4400,35247542.92436928,503469.0298521517,138850.95364007712,92567.30168144229
4500,35287741.64279526,519471.9005892875,143224.21350442464,95482.80873773259
4600,35318912.46494826,536036.759824943,147758.5372243656,98505.69149580512
4700,35342572.44965851,553171.7541625253,152455.35696525004,101636.90461107301
4800,35359975.12618804,570886.4551497602,157316.63155550795,104877.7542383886
4900,35372150.98945878,589191.7185730324,162344.78207222486,108229.85453213422
5000,35379949.137478724,608099.5614428202,167542.64253215553,111695.09490841333
