milliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
0,2.99986511660785e-05,0.00030000022014097487,0.002996159536820841,2.808314420859997e-07,1.1998692526341619,-0.0010402637064655914,-4.3373473137037646e-05,1.1990518017655503,-0.0003567111340830132,3.450444498324797e-05,0.12016099781986139,0.00030003477208339057,8.637929239585764e-10,5.49032868325152e-10,2.255354795220272e-06,1.712596259085423e-07,0.00014460192971999785,3.651253014051798e-06,8.70883092482642e-09,-2.3367747270966538e-07,1.1469239821119641e-05,-8.187324191435531e-05,-2.5385594540493695e-05,-0.00015632540389502912,-0.0009406268618491325,3.468936961713977e-05
100,2.9723871695409234e-05,0.0002999999415190283,0.002991828537874153,4.489344778014025e-08,1.1983485365976232,0.000729683408764582,1.0355551028879846e-05,1.1991858808784277,0.00020767382281688566,-2.4340647884629207e-05,0.11985348886187412,0.00029830008286390794,2.7711460235790127e-07,1.4782774728945691e-09,1.2476904896069864e-06,-7.577621580100182e-08,0.00012448620312675144,5.970984275133451e-07,5.951908484910184e-09,-1.2617394277201575e-06,9.010743568948273e-07,-0.00011241201117443969,1.4077147780928517e-06,-8.003086904246538e-05,0.001711415712295398,-8.384985308477315e-06
200,2.9716872000334697e-05,0.0002999976381422683,0.0029872187465350545,9.098512504456769e-07,1.1992140456985203,0.0009583293344818348,2.8682110763304017e-05,1.2008638076188798,0.0002820396094652662,-3.885234462602311e-05,0.11988222816190025,0.00029953787120739795,2.830148870866274e-07,1.9480426084221605e-09,1.0752786648492556e-05,1.665828535154603e-07,0.00011255232100095805,-4.7625774544371856e-07,2.0069213150493135e-08,-5.628281663473189e-08,-2.9114066243061076e-06,-7.193863284351089e-05,-3.173828970985789e-05,9.45244829080917e-05,0.0037335774206777262,5.310083045120712e-05
300,2.971099339169005e-05,0.0002999970959791343,0.0029829645672607577,2.392595253487469e-06,1.199744613824099,0.0006829243357356719,4.1705277332937934e-05,1.2001988667857313,-0.0004574486199018011,1.4700188525326643e-05,0.11985286192824747,0.0002992938556527749,2.8587637555104686e-07,2.8795354389497616e-09,7.754711757089184e-06,-1.0994449444667019e-07,3.269791465974797e-05,7.942431757914023e-06,2.770497241142094e-08,-5.461793180772686e-07,-1.3645740781700056e-05,-0.00012403370260301468,3.204524891813762e-05,-1.0033193170378446e-05,0.005136646149157598,-3.373429401028064e-05
400,2.970420538963002e-05,0.00029999680061726803,0.0029858956705126017,3.3680188919834817e-06,1.1990258763773443,0.002575034102565393,1.250683067376034e-05,1.199110127664811,0.0002291033926146615,-1.925753129831326e-07,0.11992799204640914,0.00029997249027566557,2.9589123324747053e-07,2.91025988840392e-09,1.174108248783075e-05,-1.3305673414988564e-07,0.00012488024742569163,6.937967479941471e-06,-2.31712124679958e-08,1.1454916023187994e-06,-1.4715103985912578e-05,-5.136229186901322e-05,-4.669131211974124e-05,-3.657775631465457e-05,0.0054561040186879356,-1.6960761831912154e-05
500,2.9706454329477627e-05,0.0002999962546307097,0.002977350506915243,4.222781694205338e-06,1.1969627268318133,0.0036664640388228763,-1.6768757190142085e-05,1.2007960203511714,-5.303814936582887e-05,-8.230093556600779e-07,0.11990180160160781,0.00029683502960030627,2.938537450529099e-07,5.0678939838974094e-09,1.993886180748573e-05,7.922003226712984e-08,-0.0001502658244265323,1.1726205256044407e-05,1.9680726216599008e-08,1.87217571916853e-06,-1.2783021016902622e-05,-6.0263311700048255e-05,-3.865140571759855e-05,7.805505628414602e-05,0.00551939374844768,1.896567988000925e-05
600,2.9706383239553956e-05,0.0002999948230248616,0.002973837387475297,6.063869358198851e-06,1.19648571005685,0.003376607301157809,-8.47184273568843e-06,1.2000526612520248,7.943273537497517e-05,2.594437428685542e-05,0.12002538891647356,0.00029812677147189083,2.9419323207519195e-07,4.401822898572856e-09,2.175447380727152e-05,-1.901993456851868e-08,-0.00010718416134232639,-8.986269700479059e-06,-2.1135860275630804e-08,4.0046099912878185e-06,-1.1107197311330247e-05,0.00012807430960953904,-1.8804152123964628e-05,-0.00013744419692669822,0.008236899824239948,1.0937792294709512e-05
700,2.9704316880849965e-05,0.0002999945550719874,0.002970739424295787,5.623832185964001e-06,1.1974006481684536,0.0027430373919248613,1.55241584308768e-05,1.2006711070476388,0.0004795431658960007,1.3150043033421983e-05,0.11997039542326826,0.00029635567103432754,2.9658348698727166e-07,4.91821653254821e-09,2.6553635936973757e-05,6.851942011729264e-09,4.1607811349594304e-05,-5.168493854943011e-06,1.025342663331409e-08,5.734500080393229e-06,1.4801220627099148e-05,0.0001865770544389832,4.490631697372143e-05,0.00020930508564508634,0.007885349050380071,-2.5403741736874887e-05
800,2.970811879339584e-05,0.0002999936470687282,0.002962731271460805,6.489451869925533e-06,1.1959553854192408,0.005222411695614591,3.732241654094846e-06,1.1994929102040572,0.0004620161214470168,8.350039591862446e-07,0.11980506842697011,0.0002941995040831232,2.9038945161593395e-07,5.800421076592407e-09,2.3338609524326674e-05,1.056637345848059e-07,-8.227308933535598e-05,-6.047933785606833e-06,1.3594645571270489e-08,5.383862400848154e-06,-1.3794124362934019e-05,2.115639210707955e-05,-2.5431044531249752e-05,0.00014064075882798188,0.010058606381459103,-5.286542133432147e-05
900,2.9707396440307145e-05,0.0002999926844234701,0.002965796318424132,6.309386098425359e-06,1.1927854972806562,0.005577531486397036,-1.7737579963383013e-05,1.1989191493193574,1.271484778186431e-05,5.516247171759707e-06,0.1199051820641721,0.0002944010392450049,2.914341893893067e-07,7.62339879621878e-09,2.908587130281001e-05,1.4753876426258905e-07,-5.5182344272972314e-05,6.750177646877684e-06,1.502830272054448e-08,7.731109866767442e-06,-6.614937532461838e-08,0.00013407049481033157,4.727633168062666e-05,0.00012792150414959053,0.013035134474663198,-4.938556353789396e-05
