milliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
0,3e-05,0.0003,0.003,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.12,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2.9724429696271483e-05,0.0002999991514223536,0.0029954541217850883,8.756362090522598e-07,1.1998680903015784,0.00012838205294949032,1.3174178796390794e-09,1.199999977566268,1.2330131605555296e-08,3.326259933471606e-43,0.11999999511538562,0.0002998732013998877,2.755703037285181e-07,8.485776463154164e-10,3.3941821780518054e-06,1.2829027594364422e-10,5.218985893387115e-09,1.4079090334044484e-43,1.3047464733467772e-12,1.2679729536583208e-07,1.3177067002675671e-43,4.884614358705173e-09,3.869972194782645e-43,5.448090432916284e-09,0.0014234464837189517,4.299735008630247e-43
200,2.9717309046659493e-05,0.000299998275499541,0.0029910661971058994,1.7523415499343546e-06,1.199677430386716,0.0003153430195899552,3.323414680763729e-09,1.1999999434070276,3.1104891642185574e-08,8.391066544477375e-43,0.1199999876777146,0.0002996878970570966,2.826909533405079e-07,1.7245004589932356e-09,6.897677906555436e-06,3.2363443145853943e-10,1.3165795458562739e-08,3.5516942825143156e-43,3.2914488646406802e-12,3.120996514545136e-07,3.3241432808014932e-43,1.2322285373899352e-08,9.762674854399055e-43,1.374375132349259e-08,0.0028837201698910103,1.0846825955474708e-42
300,2.97101883970475e-05,0.0002999973995767283,0.0029866782724267105,2.6290468908164485e-06,1.1994867704718537,0.0005023039862304201,5.329411481888377e-09,1.1999999092477869,4.9879651678815855e-08,1.3455873155483143e-42,0.1199999802400436,0.0002995025927143055,2.898116029524976e-07,2.600423271671054e-09,1.0401173635059065e-05,5.189785869734346e-10,2.1112605023738358e-08,5.695479531624182e-43,5.278151255934583e-12,4.974020075431951e-07,5.33057986133542e-43,1.975995638909353e-08,1.565537751401547e-42,2.203941221406889e-08,0.004344001185659494,1.7393916902319173e-42
400,2.9704748427396544e-05,0.0002999965499782903,0.002982421589331852,3.4792506918719046e-06,1.1990793861997944,0.00090348476700757,4.869161857149455e-07,1.199991291276899,4.832343709045393e-06,2.9061856375479044e-15,0.11999806915921761,0.00029910350245928577,2.952515726034494e-07,3.4500217096724113e-09,1.3794275908800888e-05,5.804956409904934e-09,1.945538605298876e-06,1.1692469738268506e-15,4.863731031313631e-10,8.960111676110681e-07,1.161346381355989e-15,1.930840781204577e-06,3.3896100157532453e-15,2.0274509710718324e-06,0.005760351452624857,3.766028311517756e-15
500,2.9705114746222497e-05,0.0002999957913233495,0.0029786183099286263,4.237898938697641e-06,1.1979232786924787,0.002044736273432117,2.6253230603245575e-06,1.1999530185901763,2.6072048238034573e-05,1.5852445870034164e-14,0.11998958151320907,0.00029796584049074886,2.948852537774967e-07,4.208676650464921e-09,1.6805999062681426e-05,2.867767786545938e-08,1.0490874772417168e-05,6.377921672247446e-15,2.6226557008757163e-09,2.031536853550262e-06,6.3348261064077345e-15,1.0418486784569331e-05,1.8489393313701577e-14,1.0932350412350437e-05,0.007024915727266439,2.0542651915286366e-14
600,2.9705481065048454e-05,0.0002999950326684087,0.002974815030525401,4.99654718552338e-06,1.1967671711851635,0.003185987779856664,4.76372993493417e-06,1.1999147459034534,4.731175276702365e-05,2.8798706102520427e-14,0.11998109386720053,0.0002968281785222119,2.9451893495154397e-07,4.967331591257428e-09,1.981772221656198e-05,5.155039932101373e-08,1.903621093953546e-05,1.1586596370668066e-14,4.758938298620069e-09,3.1670625394894553e-06,1.150830583145948e-14,1.8906132787934133e-05,3.3589176611649925e-14,1.983724985362904e-05,0.00828948846298009,3.731927551905499e-14
700,2.9705847383874408e-05,0.00029999427401346794,0.0029710117511221753,5.755195432349119e-06,1.1956110636778483,0.004327239286281211,6.902136809543782e-06,1.1998764732167309,6.855145729601273e-05,4.1744966335006687e-14,0.11997260622119199,0.000295690516553675,2.941526161255913e-07,5.7259865320499385e-09,2.2829445370442533e-05,7.442312077656817e-08,2.7581547106653752e-05,1.679527106908866e-14,6.895220896364422e-09,4.302588225428643e-06,1.66817855565112e-14,2.7393778791298937e-05,4.868895990959823e-14,2.8742149294907637e-05,0.00955406965985072,5.4095899122823565e-14
800,2.9706213702700362e-05,0.00029999351535852715,0.0029672084717189498,6.513843679174852e-06,1.1944549561705329,0.005468490792705758,9.040543684153382e-06,1.199838200530008,8.979116182500181e-05,5.46912265674929e-14,0.11996411857518346,0.00029455285458513807,2.937862972996386e-07,6.484641472842445e-09,2.584116852432307e-05,9.729584223212253e-08,3.612688327377204e-05,2.2003945767509256e-14,9.031503494108763e-09,5.43811391136783e-06,2.1855265281562924e-14,3.588142479466369e-05,6.378874320754653e-14,3.764704873618622e-05,0.010818659317963246,7.087252272659214e-14
900,2.9706580021526312e-05,0.00029999275670358636,0.0029634051923157242,7.272491926000589e-06,1.1932988486632174,0.006609742299130299,1.1178950558762994e-05,1.1997999278432852,0.00011103086635399089,6.763748679997907e-14,0.11995563092917493,0.0002934151926166011,2.934199784736859e-07,7.243296413634949e-09,2.88528916782036e-05,1.2016856368767677e-07,4.4672219440890286e-05,2.721262046592983e-14,1.1167786091853117e-08,6.573639597307024e-06,2.7028745006614647e-14,4.43690707980284e-05,7.888852650549475e-14,4.655194817746479e-05,0.012083257437402588,8.764914633036063e-14
