milliseconds,Ti,Tm,I,u
0,1.306897366228198,1.1841670821417545,0.9083567719890819,0.0
100,1.248500808848919,1.1076074890254117,0.8508429982297955,0.0
200,1.1664283941413773,1.0062557097831109,0.8509997726731421,0.0
300,1.1357653398679872,0.9438752226295016,0.8088990383154987,0.0
400,1.0977486426697187,0.8579888112975904,0.7797896722228731,0.0
500,1.0437867862770627,0.8395320752281298,0.7754029295834824,0.0
600,0.9881582907262657,0.772055477833703,0.7218229489942938,0.0
700,0.9062503778272479,0.7279642274290432,0.7062062442851905,0.0
800,0.8604268402235702,0.6661599776489859,0.7088664496510765,0.0
900,0.8595950755693943,0.6531655813174826,0.6625819720977947,0.0
1000,0.8005635408624514,0.6363439786096683,0.6674750415692084,0.0
1100,0.7372673245298039,0.605247878174631,0.6435486009630823,0.0
1200,0.7009087036648348,0.5789283424399189,0.6313690227625192,0.0
1300,0.6995522720996767,0.553586055836196,0.6053434322931124,0.0
1400,0.6734472521484557,0.49936289305487086,0.5791031938478557,0.0
1500,0.622581867230388,0.4806591080192045,0.587079503574109,0.0
1600,0.5937520167143744,0.45054284976109066,0.5483351247237112,0.0
1700,0.6127859624299887,0.45715817109861046,0.5323288617296023,0.0
1800,0.572845705456844,0.425196269360002,0.5490955411871695,0.0
1900,0.5447905539533757,0.43975701696254277,0.535058934203927,0.0
2000,0.5363264308480581,0.41125607137057135,0.5099813615834758,0.0
2100,0.5054832331417536,0.41002319090371386,0.48582925983579633,0.0
2200,0.47563098084501976,0.38113757679018906,0.4897940564092376,0.0
2300,0.45645410712586126,0.3920005111330875,0.48745461450133587,0.0
2400,0.44346475663110907,0.33840865980914,0.4696468986736652,0.0
2500,0.4712685342895763,0.3476760616823026,0.4557657196763374,0.0
2600,0.41845665935081067,0.34119706866572186,0.4644453691181558,0.0
2700,0.3982404093584746,0.30326050481124994,0.4303955213482459,0.0
2800,0.41496024764691736,0.3136743262326811,0.42488292853339815,0.0
2900,0.41201339554196775,0.3085685683794255,0.42345525346192475,0.0
3000,0.3897146127280121,0.28346522987953476,0.40691677396545106,0.0
3100,0.3698112605954146,0.2750002040389592,0.40468510328602686,0.0
3200,0.36205122835173825,0.2742592516065611,0.4074326383047666,0.0
3300,0.366579257983272,0.2692202313647552,0.3909746050126916,0.0
3400,0.33202280668361045,0.2665811824147821,0.37438070679783203,0.0
3500,0.35474384039514656,0.26966295885763075,0.38040376844619495,0.0
3600,0.335170360482266,0.26662202504911664,0.3660561016073933,0.0
3700,0.34166108638187254,0.2756563524037393,0.3521205900433966,0.0
3800,0.3222194672970355,0.2684915765282204,0.3553862618146631,0.0
3900,0.3177131566321751,0.26001015160972546,0.3290219340138193,0.0
4000,0.3363598581457934,0.2321057444489234,0.32981296295389384,0.0
4100,0.2916738094393124,0.22100630033041616,0.3092843109221956,0.0
4200,0.28864433895629094,0.24231467115488864,0.3358529525756011,0.0
4300,0.3198460435742003,0.22695446541153289,0.3064685925644019,0.0
4400,0.28913464592494714,0.22905518764320457,0.293216528874006,0.0
4500,0.29704565564518376,0.22174452012645857,0.28788679080760304,0.0
4600,0.2807294863107613,0.2250218515855153,0.28529500334899727,0.0
4700,0.30181068826874063,0.20501288341166612,0.2973721824899776,0.0
4800,0.2973873121114857,0.202693864935007,0.26622059025952627,0.0
4900,0.26281836964032684,0.2200185225824433,0.28496144553115754,0.0
5000,0.2859626982069371,0.20510980670179893,0.2830292179623252,0.0
