milliseconds,T,N,L,R,C,I,S
0,4703539942.238826,249997456.34320223,526375.1177854039,351994970.9152754,2140000000.0,1164.0364638621834,0.0
100,4648437448.151073,249999781.97968552,560614.9301151072,351999633.8328038,2140000000.0,888.6526395179558,0.0
200,4545367731.35107,249999632.1284741,593552.731139141,351979175.0315494,2140000000.0,769.6489023192311,0.0
300,4526377226.92559,249993930.67678088,612290.9696914594,352000440.28475803,2140000000.0,700.3062465910122,0.0
400,4469632078.705896,249988279.1108156,620407.5168784834,351990520.6796889,2140000000.0,681.0176584907973,0.0
500,4421984781.228137,249988348.66541794,622617.7880399073,351963413.3806477,2140000000.0,674.4831319913302,0.0
600,4373478778.256388,249982549.13319537,623976.1175515271,351954848.6095386,2140000000.0,647.647517493411,0.0
700,4258157648.5240183,249985043.00233805,620689.9637505539,351963417.59439003,2140000000.0,656.865937196094,0.0
800,4288780260.805584,249981535.90271318,621463.32766362,351945553.28213316,2140000000.0,656.9935081190068,0.0
900,4242290313.053469,249974767.50768214,621350.3298876054,351919752.80904096,2140000000.0,650.0139121459101,0.0
1000,4164528779.9769464,249973694.86875725,618498.0649644344,351908160.9320351,2140000000.0,635.0068609636564,0.0
1100,4162337291.9210525,249970465.22573045,616436.4464878123,351905348.1021092,2140000000.0,624.9306280968322,0.0
1200,4126428353.374769,249971477.0175057,615603.7326486548,351885345.11451006,2140000000.0,638.9244574030455,0.0
1300,4044124527.0379596,249967452.82778066,615943.4667790077,351874210.817993,2140000000.0,628.0342270945127,0.0
1400,4014849164.5396633,249963395.1456582,612624.446196167,351873511.81632864,2140000000.0,622.5336903675037,0.0
1500,3970583928.7862873,249960901.83073345,612431.9692964081,351884749.01498365,2140000000.0,614.9547358267141,0.0
1600,3956996770.4894185,249960396.62972796,611523.5147935094,351840801.39049566,2140000000.0,610.2013747103307,0.0
1700,3926788883.074254,249953383.24611494,608673.3435018712,351842269.735996,2140000000.0,615.1178082573131,0.0
1800,3851684144.2408257,249949721.6476486,609740.51731094,351848166.11019355,2140000000.0,608.2082810505574,0.0
1900,3793743931.079181,249948666.9807853,607895.0430375095,351833930.410881,2140000000.0,598.1155493055579,0.0
2000,3777116850.7073317,249946496.30851448,605646.6856316328,351826487.0073183,2140000000.0,593.8705335755338,0.0
2100,3763323247.532337,249943109.907709,605403.8498329063,351810083.73589635,2140000000.0,603.4029133798674,0.0
2200,3756071944.9793777,249946624.04002783,603831.7832609233,351802588.81878996,2140000000.0,592.7187193175978,0.0
2300,3701519203.738863,249942298.38631472,605298.0468228309,351790271.5535046,2140000000.0,585.3478998965909,0.0
2400,3650771199.7369304,249936567.49869955,601437.8983901173,351761206.7682577,2140000000.0,591.3183402959136,0.0
2500,3668933761.4082694,249939814.59486583,601511.069473121,351741258.7091382,2140000000.0,576.9074533257577,0.0
2600,3571810647.8975034,249934970.30266687,599547.9173034031,351724389.09372675,2140000000.0,581.3774565181058,0.0
2700,3571740897.4346237,249929713.30214906,599656.6453312373,351746478.36788416,2140000000.0,573.7531762388182,0.0
2800,3596959000.7579956,249928312.9141276,599077.7401317117,351709825.0485746,2140000000.0,575.0878700904412,0.0
2900,3557135640.5187964,249928053.26921856,599460.2407661332,351717700.70286614,2140000000.0,561.7091438897133,0.0
3000,3504732706.440897,249927473.70466095,596636.4576744086,351697763.13118845,2140000000.0,571.5916952317336,0.0
3100,3521005441.434376,249921862.2268797,595062.8448648906,351677972.8423032,2140000000.0,569.6061042349569,0.0
3200,3415288535.5149155,249920370.83252332,597017.151644072,351666983.0114518,2140000000.0,560.012573381213,0.0
3300,3433997883.2622924,249917342.15192357,594367.1035492271,351653364.70786756,2140000000.0,565.7780442904025,0.0
3400,3395162127.9969034,249916122.80873284,592996.8864517746,351654232.23233575,2140000000.0,558.9033726630173,0.0
3500,3429850788.8522816,249915216.25179693,594126.8802578353,351611707.56886864,2140000000.0,553.6970783559499,0.0
3600,3351527774.006149,249916268.56942227,590784.4162512525,351613789.85928077,2140000000.0,548.0140605775523,0.0
3700,3376637488.0181036,249913767.77938196,590125.9497781433,351607911.86637616,2140000000.0,556.7688485983233,0.0
3800,3297713974.4999776,249911375.723673,591581.2778633161,351602701.02210593,2140000000.0,542.9464353551849,0.0
3900,3337449770.553009,249906866.27586505,588576.4167711288,351576920.6489808,2140000000.0,534.584987363034,0.0
4000,3248902556.095709,249907207.2724027,590285.9264016402,351552818.4063925,2140000000.0,545.5217785811509,0.0
4100,3256272162.050544,249902243.5749073,587209.892769045,351531781.17271334,2140000000.0,544.2561689610096,0.0
4200,3244993478.982291,249904650.74084184,589207.9127534718,351521567.959699,2140000000.0,542.8634126817623,0.0
4300,3248135858.3996058,249902688.17584231,587462.1117294923,351517876.7977668,2140000000.0,541.6583261084135,0.0
4400,3226371919.001402,249898899.1883539,585559.9493704739,351521486.93736047,2140000000.0,535.7776304064528,0.0
4500,3205210087.2189527,249895456.2947564,585755.7933578336,351491227.46354115,2140000000.0,534.8789422058561,0.0
4600,3147378772.1499004,249897887.35832113,586362.9504109549,351473764.8468652,2140000000.0,520.6509610673211,0.0
4700,3127844378.212154,249896301.5428339,585875.9619877004,351445555.8758778,2140000000.0,517.5052235406683,0.0
4800,3124724941.7972994,249893723.44417533,583822.3088568106,351446042.6462471,2140000000.0,533.3814873828157,0.0
4900,3065321433.574075,249894373.46712315,582960.9366245614,351418831.84844184,2140000000.0,514.7559017691827,0.0
5000,3089430406.3284383,249887433.43213248,583794.1890333794,351437030.2686061,2140000000.0,516.2422295637764,0.0
