milliseconds,Sic1,Cdk1_Clb5or6,Cdk1_Clb5or6_Sic1,Clb5or6_degraded,Cdk1_Clb3or4,Cdk1_Clb3or4_Sic1,Clb3or4_degraded,Cdk1_Clb1or2,Cdk1_Clb1or2_Sic1,Clb1or2_degraded,Sic1_degraded_re14,Sic1_degraded_re18,Sic1_degraded_re5
0,4.9887465774685005,-0.00012174743700489532,0.006406435244763012,-0.0005506589925408355,-3.788490701208886e-05,0.0012084194404234424,-0.0001835099729507413,-3.907180519163504e-06,-0.0002825655455035308,-2.270422767264276e-05,2.41874418107592e-05,-0.0002140022148774154,-0.0008470960154018291
100,4.992621172096686,0.0034621222270719313,0.0167286993258359,-0.00010908242579132915,0.0004789980051723715,0.0011228932699437022,0.00021197348087072005,7.461550237919344e-05,0.0002863867315702074,-2.2722917194017642e-05,-3.507382755585204e-05,2.5647589094202368e-05,0.0009526922196727349
200,4.98641683712019,0.003803803874514654,0.004529370290661272,0.001318689872013539,0.0005852469371464158,0.0027669655300528,-0.00010527486254566796,8.202981528159375e-05,0.0001598025605419951,-1.4197856295144896e-05,-2.3332654335591332e-05,-6.0174363535367056e-05,-0.0015931488975262631
300,4.972819618682431,0.004032598167526498,0.025113700884551816,0.0004340104670616495,0.0005664018122167776,0.002183327520370732,-0.0001036731528522412,8.1895877406785e-05,0.0007975097580616441,2.8221316196328912e-05,-9.305815783661125e-07,-0.00020937707901455405,0.00011565268210271785
400,4.969836581126803,0.00437854211450779,0.03190313093313349,0.0011248282434745194,0.0006034938107778744,0.006167703970996976,0.00026088937959371214,0.00010488009004918419,0.0005933332844201269,2.104464815861565e-05,3.8989762668595374e-05,0.00022616265429967295,0.0011694089302047945
500,4.956727303240972,0.005021210405288786,0.05659923207048885,0.0007403962879272385,0.0006216631062300385,0.007609333294608108,-6.649822402689958e-06,8.539437212383313e-05,0.0004570827463360349,-1.5062597289842564e-06,4.9818216215863366e-05,-0.00013177409389840883,-0.0002453853905070594
600,4.94593302699688,0.004828288206291741,0.0547777548182641,0.0010295160434521697,0.0007343005183313769,0.008141647139868211,5.215432633160313e-05,0.00010904616228119042,0.0008382207912159478,2.0000986213877458e-05,4.97578437039979e-05,6.684514998379925e-07,0.0007484145553955496
700,4.930035196630811,0.00492775876443097,0.05078393899367379,0.001984350754532658,0.0008127170621512651,0.008397093709422225,0.00029873803775806116,0.00011175421694600406,0.001533885637098592,7.052039803155088e-05,-9.004436953556099e-06,0.00033454188132236355,-0.00010285795028129076
800,4.913775338538233,0.0057541809872834054,0.07249336261522901,0.0018946532560493053,0.0007636632542563314,0.012409125266572599,0.0002632273816277799,0.00012684779424474726,0.0012867943026944747,8.619730693238667e-05,-9.064781905200478e-06,-3.4288118303610636e-05,0.002495753167531754
900,4.884187621938342,0.005587521462999334,0.08157626434347547,0.003455483870116903,0.0008165703176814338,0.011922518971721656,0.0005397436113547076,0.00012130098300917973,0.0014615954398879865,3.587085473639419e-05,-4.616135842555701e-06,7.365071669246468e-05,0.0034740596659198894
1000,4.901562860300057,0.005861764844502087,0.09370057355085716,0.0034619401692744206,0.0008755907429977666,0.012909157113172429,0.0007204758539187898,0.00012928806594429652,0.0017371168287679695,9.170313710548454e-05,6.245205014037466e-05,0.0005019753176491436,0.0028263457043350244
1100,4.856975369277833,0.006146519447434272,0.09476331638242157,0.005365066251254364,0.0008879614095184528,0.015686150009534893,0.0006901632164928764,0.00012793212503133005,0.0018496197090163069,9.696797895487195e-05,6.713579043132509e-05,0.00043158687349114137,0.003528257642404496
1200,4.866296786856665,0.005980514847436404,0.11843278173515707,0.004540065108682982,0.0009916333859424236,0.01625560704205968,0.000481756460372759,0.0001399587176207603,0.00254651312904685,7.764701420842529e-05,2.4556466846277172e-05,0.0004975188257119792,0.002865193706302305
1300,4.857093389829682,0.006826605373652345,0.10821972832106458,0.004393964508773404,0.0010460028777381626,0.01725604137990305,0.0007302397603186098,0.00014589132041652295,0.0025444792773345786,0.00014075430115796794,0.0001235400684854467,0.0006608685569051919,0.0040639082234428395
1400,4.822047764083964,0.006651169010549156,0.12877453195094873,0.005859827331623055,0.0009978885297718496,0.018348712480670677,0.0009667575583111235,0.00016974059883764344,0.003047835116555649,0.0001076234900478345,0.00011584468446678826,0.0006145926281634808,0.003966176477912173
1500,4.84243178723735,0.006843507976571588,0.12639521102727075,0.005824051270997888,0.0010730017849042905,0.01812584929894079,0.0007315164780981325,0.00015634170105406078,0.003036904060151846,0.00013350032511583274,8.436454358744258e-05,0.0008746959696683428,0.0035508514301393263
1600,4.80337112207358,0.00698306861387054,0.15433484069820358,0.006546834801904829,0.001164791986097192,0.01951964579826789,0.0010011020179117275,0.00019144268258584207,0.002992384934963162,0.0001221696409525887,0.00016052744390170187,0.000875622995167202,0.005339129675364863
