milliseconds,Cdk,Anaphase_promoting_complex_Phosphorylated,Securin
0,0.2962599215687841,-0.0007872396715505473,0.35083996640248266
100,0.3033456825338089,0.006294569262400869,0.36265304855962416
200,0.3097621950934509,0.007919432717647376,0.3634719130775957
300,0.31333311288845506,0.011212588410453141,0.37236578650633445
400,0.3199041954878727,0.012016490211704232,0.38819489568408305
500,0.32578324830139144,0.014438769702606869,0.39890707870592024
600,0.33515258640226103,0.015329759800941803,0.40016984975842196
700,0.3415915126784829,0.014824297915474509,0.4174154672160352
800,0.3449553109159124,0.016768221539727235,0.42582338058430313
900,0.35321004914890947,0.017082093910965768,0.4310745943861816
1000,0.3564640325841937,0.017171525733650543,0.4456955425071086
1100,0.360117329586571,0.01989883267600892,0.4492852306095726
1200,0.3689660676110543,0.02023222920474184,0.45519041142219313
1300,0.3708828997004271,0.019948358675774713,0.4670612434522999
1400,0.3759238224782021,0.02276038228568696,0.4790973444423331
1500,0.3878730016105426,0.021866806019729113,0.4912662451749216
1600,0.39293030899010534,0.023141452393416723,0.49550319090734857
1700,0.39864762795516934,0.02510940427828838,0.4981549188590681
1800,0.4031698978719119,0.02584779265999841,0.5113291866013168
1900,0.40802201363008184,0.027313325456437186,0.5207718271182062
2000,0.4108217522425988,0.0284196374747075,0.5268545911272419
2100,0.42068424964809664,0.029108258819750536,0.5344597739444077
2200,0.42593491002013556,0.030593105181498468,0.540392383709222
2300,0.42476992158208343,0.03189384553548469,0.5491700425616444
2400,0.4336619632267615,0.03366756104361932,0.5592899148719134
2500,0.44266491035551003,0.03371232352466832,0.5639353469753059
2600,0.4426351211151875,0.03486243549808537,0.5757077853568319
2700,0.45388546877680874,0.03639259083016344,0.5878399566529581
2800,0.45781639784038236,0.03965652333023226,0.5919619655080319
2900,0.46289499196865125,0.041630991644948885,0.6045388062443042
3000,0.46423217993852434,0.04166347010380816,0.6141688063518358
3100,0.47472134388826254,0.04531831081776073,0.6117147850309771
3200,0.47585085284095885,0.0460712442349532,0.6195755719679956
3300,0.48486292844216716,0.04716093710665087,0.6335178090181095
3400,0.4894533527329394,0.050431574226976646,0.6433458758572834
3500,0.49464456815851077,0.05209773553915626,0.6455853134987187
3600,0.5021524113014271,0.05403482430261171,0.6569426781289556
3700,0.5059309456477046,0.055054208506318154,0.667203234205679
3800,0.5092843388621623,0.058090498753317156,0.6640054098273271
3900,0.5128832745113775,0.06022925854509434,0.6798965349993437
4000,0.5243506073288426,0.06341895593685437,0.6821645711109301
4100,0.5232404416532798,0.06604197072960713,0.6885573417637038
4200,0.5294751224289289,0.06870803211122155,0.69477362964287
4300,0.5376726292983808,0.07084113751585744,0.698321464228939
4400,0.5418636694802472,0.07350275580128994,0.7093472323285734
4500,0.5509255274938236,0.07604848306613722,0.7231824307353266
4600,0.5512012725435598,0.08080842567138588,0.7242162050451664
4700,0.5555892651226235,0.08393165146944928,0.7326563566326428
4800,0.5646931516499852,0.08650144334327567,0.7322370395015885
4900,0.56580493539994,0.08878914892646725,0.7409193268339382
5000,0.5724381526376128,0.09310485520588917,0.7512736281849454
