milliseconds,Susceptible_Counties_with_airports,Infected_Counties_with_airports,Hospitalised_Counties_with_airports,ICU_Counties_with_airports,Deceased_Counties_with_airports,Recovered_Counties_with_airports,Discharged_Counties_with_airports,Susceptible_Counties_neighbouring_counties_with_airports,Infected_Counties_neighbouring_counties_with_airports,Hospitalised_Counties_neighbouring_counties_with_airports,ICU_Counties_neighbouring_counties_with_airports,Deceased_Counties_neighbouring_counties_with_airports,Recovered_Counties_neighbouring_counties_with_airports,Discharged_Counties_neighbouring_counties_with_airports,Susceptible_Counties_with_highways,Infected_Counties_with_highways,Hospitalised_Counties_with_highways,ICU_Counties_with_highways,Deceased_Counties_with_highways,Recovered_Counties_with_highways,Discharged_Counties_with_highways,Susceptible_Low_risk_counties,Infected_Low_risk_counties,Hospitalised_Low_risk_counties,ICU_Low_risk_counties,Deceased_Low_risk_counties,Recovered_Low_risk_counties,Discharged_Low_risk_counties
0,4052877.0605235,30.274772196624735,0.010892045381439033,-0.004472187902963023,-0.016453942526516406,0.16453009365415705,-0.0068524204136086635,4431673.3276071055,25.827142714764186,0.016600392282058854,0.0015604076167891124,0.02079641715314196,0.08351717382039028,0.017832551130944885,1811059.2471981056,9.992978869929695,0.016636242058344745,0.0005454059720753743,0.0022775494743805208,-0.08461720203041752,0.00799594748859899,1269942.0534655284,6.014051197857306,0.027272542553534854,-0.0028796258660784765,0.0028957970824801072,-0.04467570104309057,0.00565550474814717
100,4052874.5192221263,30.599057770999384,0.1697083760415455,-0.0017725139501651597,0.02300361044327942,0.06275704816239491,0.006294426779429163,4431672.605376862,26.028637415155597,0.29170746040564266,0.0008652562647790039,0.0012883558459989945,0.15817161534004454,-0.014216271257022028,1811058.735851489,10.014466310141563,0.10839275093624627,-0.0001459984165938298,0.010816355127044278,0.1374530294349293,-0.00373468631532433,1269941.9175181624,5.89968921672452,0.09251716190770332,0.001861053627405354,0.005604930024112742,0.08510590147310823,0.006766473699179689
200,4052872.8970644404,30.382965791053124,0.3715427475429496,-0.0012762825070824814,0.07203313446867315,1.7936362703244577,0.006633924937543303,4431670.784928904,26.54700304234026,0.3270476261601747,-0.002563052141606502,0.07012909784311631,1.7559373715705469,-0.005886063765928706,1811058.1548365108,10.016013312294794,0.11484434395773443,0.0023746038845264606,0.020831972470025637,0.5391359507623339,-0.0059634862350165675,1269941.7444345213,5.812054927686651,0.14783840947057875,-0.0023733963994656063,0.009987831284362838,0.2706484615108141,-0.003240643790259147
300,4052872.6614540354,30.78168141434437,0.5092281486302943,0.005350270110319404,0.07513541738166538,2.6655241175327293,0.01656328399319339,4431670.338677073,26.444537632927094,0.6123896690817582,0.015189321537556488,0.0885970957057582,1.7165928358259075,0.014422149579222231,1811058.0843001576,10.00803902456793,0.1800402132757435,0.004352906415727243,0.02338542923346555,0.5775292574366113,0.006506327628161439,1269941.6709862358,5.676940294178859,0.24689794262376935,0.005565281136505626,0.015146033902452125,0.3612368722727411,0.0070801052941359705
400,4052871.5957920686,31.710195480563616,0.6566985960810076,0.010400212750153823,0.12827291296388324,3.0325866393161123,0.02330697315428662,4431669.452181201,27.037185285823565,0.6453005528234839,0.007768100431402643,0.0911142744815173,2.130897704448007,0.017887645480256918,1811057.94456068,10.028542908152543,0.2588847617774741,-0.000708238556090742,0.04005776827900246,0.918937964109087,0.009329309436783556,1269941.5692533825,5.5386625640975184,0.292885076900284,0.0021803593042588588,0.021249792463496633,0.5326496469275093,-0.0003796963468899496
500,4052870.264279869,31.672321898874713,0.6445817282656935,0.00320184721122001,0.1699911110572122,3.3526655093062416,0.007550475064160206,4431667.838991278,27.15516165980253,0.9898254702064333,0.0079178691594252,0.12186813494698034,3.229971192804485,0.023399159225808337,1811057.3452228713,10.016766324244493,0.3000435891700819,0.005181385748223678,0.053231571692815415,1.2500557965443508,-0.0015727337810569463,1269941.4851434103,5.484634718412695,0.36782713818475304,0.0035633519289385578,0.03394014026923226,0.6854124720924842,0.003966981072193556
600,4052869.4999374,32.131319605156186,0.8524947447409736,0.011783649488121765,0.1611951944609459,3.7686233244316867,0.00416957245229807,4431666.207692246,27.187070917524792,1.1189308182187288,0.006859506094944304,0.14500041368131983,3.8592918470766904,0.04161668909875736,1811057.233270814,10.040511893047896,0.4219611965824021,0.003762656401987824,0.06424548477195895,1.3349758677854422,0.007631558384841005,1269941.3853379537,5.337910270345909,0.4441382292193089,0.0062305494458094884,0.037426239236843274,0.7597567858750679,0.016300694010257872
700,4052868.1444750763,32.92952028875253,1.027323164867163,0.014897017345371877,0.23736043660898712,5.455305113365694,0.02044244055929431,4431666.194536545,27.697808983487622,1.3501373559598702,0.02635827026999278,0.20353526120090482,4.078960141708412,0.060397653319172004,1811056.6282653722,10.041544687475625,0.4819212211844102,0.008341943319144124,0.0775133687833913,1.5867975943499881,0.008011436750739741,1269941.2135552438,5.233176453438045,0.5314039766839154,0.010838182730527904,0.043041627409454664,0.8544560905470487,0.007532023998173832
800,4052865.4638755135,32.77406089961586,1.2395865910006723,0.01186020920954953,0.25859362006373393,5.673271643345887,0.04410775530951569,4431664.9904010855,27.63374494849864,1.3990680241707276,0.04209119872352885,0.1916950225460408,4.623145971714429,0.0641340331685638,1811056.2573369415,10.048126063267697,0.5081790967089688,0.006814988814731289,0.07323992958543393,1.8667893068708818,0.02406178029815965,1269941.1077162945,5.204390655409572,0.569193284616615,0.012886618053990726,0.050605150439828606,1.072500875012478,0.02606907027338238
900,4052865.142913329,33.20685352849223,1.3172986403920517,0.022545600921161753,0.2715769491947891,6.443449992429888,0.06859763413472494,4431663.41194479,28.069438300423425,1.5661967829870254,0.04179041273229431,0.24610571727566252,5.14073706387022,0.07931989377791065,1811056.2987982554,10.069419207072956,0.629801029790095,0.014003017881575057,0.08301794854535999,2.049587365936264,0.028948222775770496,1269941.0789091582,5.092195088694806,0.6707384419700929,0.01889837273450679,0.048449184966869396,1.1734019915514462,0.02886983709138531
1000,4052862.493260103,34.15389520174795,1.3926672271039864,0.020822716050382186,0.29332605389769256,7.267125541049313,0.04817865207257448,4431662.410551968,28.136063563980393,1.821158160318015,0.04541291575958578,0.25582749546925376,6.390842291643939,0.09511070727825663,1811055.6834384832,10.077440954093989,0.6476298301783613,0.012577197670814215,0.1069813540256738,2.359843442647079,0.024716680197105472,1269940.9858883445,4.952182652063092,0.7010561655497397,0.01993132086438539,0.060901800697456196,1.2501916381622082,0.023155395929427322
1100,4052862.4430014817,34.59261021251351,1.7688898434837956,0.03181894673819631,0.3689968983446594,7.554662971210467,0.0666563548024753,4431662.138955861,28.37221501796144,2.027277083609941,0.058778398061062845,0.3251947058145035,6.934768031403011,0.08236706031787348,1811055.66418553,10.10960921027409,0.7488586804725675,0.015289815307653757,0.10899701276255216,2.3793714175527776,0.041031134109194616,1269940.794219348,4.946544248573428,0.744831598819078,0.025095294083631103,0.06265221430074096,1.3141845852272402,0.04034396202580645
1200,4052858.922585139,34.69431789142129,1.7143771409407307,0.0417977432425234,0.37139494790016436,9.25432727586297,0.07162545815985286,4431660.801307306,28.486273728289685,2.1396585327228173,0.06093978862865024,0.3206511728007142,7.959884172433926,0.10084968072553334,1811055.2271550824,10.097150129458102,0.8103606573038457,0.019585944236900753,0.12176835428123674,2.6797664571256896,0.04173941297522643,1269940.6982590063,4.839056194140998,0.8041845147687875,0.029122854196320557,0.06369318277728334,1.5227241807170362,0.0494924638642696
1300,4052857.989316688,35.00798961283597,1.9089035905021001,0.05042764668212636,0.43131279995109795,9.387965914051248,0.1015858370433278,4431659.047664397,28.878443786697478,2.3304122990434433,0.08587068089066519,0.3838871185708256,8.26900440993024,0.11202527789682777,1811054.6627840102,10.116442531397821,0.8751730369190723,0.021712550922683004,0.137428582823759,3.1637282876973645,0.04600050892152664,1269940.565669651,4.74439536817166,0.8553616075361993,0.03379588469957236,0.07530349019702785,1.566822505297523,0.05379161730851918
