miliseconds,P,N
0,10001.622486849345,-0.1428602320032093
100,9780.31141298485,65.08418622827833
200,9677.853228247244,104.70210762747972
300,9569.850668476256,120.87501209481148
400,9353.675703631256,126.27397013939998
500,9245.093389833877,127.4366702794864
600,9111.373784258465,127.28895284521184
700,8975.662341247871,124.21190186572973
800,8817.379666380664,122.16820719077553
900,8677.06780167817,121.82517463893434
1000,8569.970108682079,119.89408009329458
1100,8375.777084551555,117.96104233715877
1200,8229.640001458358,114.29910361955943
1300,8105.461778430565,112.00058979425964
1400,8068.561338348949,110.59244766710776
1500,7879.305246714646,110.22352158698821
1600,7802.344336946506,107.94040919207595
1700,7655.306903538582,106.6284419533629
1800,7538.50110812326,103.24350464590293
1900,7497.305452480015,103.73418025749069
2000,7443.369426731068,101.45173907627562
2100,7323.212883102724,99.61351480095423
2200,7218.554830510027,97.64155169948053
2300,7106.88586014955,96.56466020621654
2400,7028.319518676371,96.26158780908443
2500,6905.970947496206,93.41535155622805
2600,6835.089719756431,91.42809457223599
2700,6777.074774803249,91.81341891307416
2800,6636.450909452875,90.33189903519694
2900,6614.954570052648,89.84306508188078
3000,6515.486248944413,87.00836424837904
3100,6401.082996271622,86.75238818827945
3200,6367.569966880902,85.49590044218
3300,6346.912880440809,84.66100108903235
3400,6206.619702494993,82.72836782197696
3500,6152.168081692762,80.9007426089025
3600,6063.3916105311555,80.11221140087635
3700,6079.406082105436,80.54165864243107
3800,5967.297799966009,78.39789888789034
3900,5842.461322341819,77.64610107371678
4000,5857.793974076923,76.43939353980569
4100,5748.440867291014,76.25727129477329
4200,5721.037641972959,74.63748088443899
4300,5700.553638743845,73.49405173272156
4400,5562.915140552964,74.1126841548568
4500,5612.8196403895245,71.46852184865477
4600,5511.03820053171,71.28751839739134
4700,5515.960826318378,71.10423600580907
4800,5369.409176267655,69.60468517901566
4900,5367.003535286976,68.50162138958649
5000,5325.604734253396,68.46458575436296
