milliseconds,P,N
0,10000.0,0.0
100,9845.111072742962,65.198094460321
200,9684.310850211861,103.7436787054425
300,9523.050529477126,120.91293705668622
400,9364.590981257015,126.85592375450352
500,9210.323643777421,127.88076707905017
600,9060.68655762721,126.91414325147208
700,8915.71448319743,125.18231512572598
800,8775.28841625496,123.1813691812047
900,8639.236284339344,121.1101601806156
1000,8507.372429558094,119.04786652757056
1100,8379.51275778895,117.02550467410057
1200,8255.480201006678,115.05432625539831
1300,8135.106480208541,113.13744473079255
1400,8018.232526392355,111.2752175502092
1500,7904.707973195392,109.466158883052
1600,7794.390823318857,107.70831187001404
1700,7687.147012561749,105.99970613264021
1800,7582.84985535032,104.33847975056877
1900,7481.379497943006,102.72281604942809
2000,7382.622464095028,101.1508899479371
2100,7286.471195070767,99.62095558730367
2200,7192.82378938425,98.13134806351738
2300,7101.583771449226,96.68049725832634
2400,7012.659439642929,95.26696162086108
2500,6925.963639577931,93.88935247614612
2600,6841.413641313225,92.54634328408743
2700,6758.930674062816,91.23664773386707
2800,6678.439743830246,89.9590367769447
2900,6599.86910049865,88.71236830574367
3000,6523.151260470589,87.49553690112162
3100,6448.220697553444,86.30749771862222
3200,6375.016475909672,85.1472563886893
3300,6303.479036315109,84.01386570124185
3400,6233.55250021312,82.90643241524515
3500,6165.182866398711,81.82408935411608
3600,6098.318676740525,80.76601342590342
3700,6032.91077485533,79.73140957444632
3800,5968.91187338734,78.71950502604028
3900,5906.277044145471,77.7295705574961
4000,5844.962862271483,76.76089682882211
4100,5784.928178281661,75.81281492651318
4200,5726.133048346054,74.88469036550609
4300,5668.539720867114,73.97591507012312
4400,5612.111381139319,73.08590858396344
4500,5556.813312598024,72.2141204633673
4600,5502.611540070908,71.35999721865191
4700,5449.474052124056,70.52302869906867
4800,5397.369466968168,69.7026926376628
4900,5346.2682006476225,68.8985032192043
5000,5296.14124009969,68.10999163988518
